advogado_id;codigo_advogado;area_id;senioridade;valor_hora
1;  ADV-001  ;2;Pleno;174,12
2;  ADV-002  ;8;Sócio;302,31
3;  ADV-003  ;3;Sócio;261,72
4;  ADV-004  ;6;Júnior;355,84
5;ADV-005;2;Júnior;264,35
6;ADV-006;4;Júnior;296,58
7;ADV-007;6;Sênior;158,76
8;ADV-008;4;Júnior;316,61
9;ADV-009;2;Sócio;130,52
10;ADV-010;7;Pleno;132,43
11;ADV-011;8;Sênior;268,24
12;ADV-012;5;Júnior;127,23
13;ADV-013;8;Júnior;349,52
14;ADV-014;1;Sênior;156,14
15;ADV-015;5;Sênior;222,97
16;ADV-016;3;Sênior;299,6
17;ADV-017;2;Pleno;228,24
18;ADV-018;3;Pleno;178,27
19;ADV-019;3;Sênior;291,44
20;ADV-020;6;Júnior;342,25
21;ADV-021;2;Sênior;205,63
22;ADV-022;8;Pleno;115,06
23;ADV-023;8;Júnior;111,72
24;ADV-024;7;Pleno;289,52
25;ADV-025;1;Sócio;151,51
26;ADV-026;3;Sócio;282,85
27;ADV-027;1;Sócio;320,44
28;ADV-028;5;Sênior;253,77
29;ADV-029;2;Júnior;255,7
30;ADV-030;2;Pleno;117,94
31;ADV-031;3;Sênior;124,19
32;ADV-032;4;Júnior;225,56
33;ADV-033;7;Sênior;215,78
34;ADV-034;3;Sênior;201,32
35;ADV-035;6;Sênior;224,99
36;ADV-036;8;Pleno;220,55
37;ADV-037;1;Sócio;369,36
38;ADV-038;3;Júnior;241,6
39;ADV-039;4;Júnior;135,02
40;ADV-040;7;Sócio;278,14
31;ADV-031;3;Sênior;124,19
21;ADV-021;2;Sênior;205,63
17;ADV-017;2;Pleno;228,24
143;ADV-001;2;Pleno;-999,0
