audiencia_id;processo_id;data_audiencia;tipo;modalidade;status;resultado
1;1;  2026-10-05  ;Instrução;Presencial;Cancelada;Acordo
2;3;  2026-06-05  ;Conciliação;Virtual;Realizada;Adiada
3;4;  2026-07-24  ;Julgamento;Virtual;Realizada;Sem acordo
4;5;  2026-12-03  ;Instrução;Presencial;Agendada;Pendente
5;7;2026-03-09;Conciliação;Presencial;Realizada;Adiada
6;9;2026-03-24;Julgamento;Virtual;Cancelada;Sem acordo
7;10;2025-10-28;Conciliação;Virtual;Cancelada;Sem acordo
8;11;2026-11-29;Instrução;Presencial;Cancelada;Sem acordo
9;13;2026-04-15;Instrução;Virtual;Realizada;Acordo
10;14;2026-06-09;Conciliação;Virtual;Cancelada;Acordo
11;15;2026-09-30;Instrução;Virtual;Agendada;Pendente
12;17;2027-03-10;Conciliação;Presencial;Agendada;Pendente
13;18;2026-03-29;Instrução;Virtual;Agendada;Pendente
14;19;2026-07-29;Julgamento;Presencial;Realizada;Adiada
15;21;2026-05-29;Julgamento;Virtual;Cancelada;Pendente
16;22;2026-07-13;Instrução;Virtual;Realizada;Sem acordo
17;23;2027-04-14;Conciliação;Presencial;Realizada;Sem acordo
18;26;2026-03-02;Julgamento;Presencial;Agendada;Acordo
19;27;2026-08-16;Instrução;Virtual;Realizada;Adiada
20;28;2027-01-29;Conciliação;Virtual;Realizada;Sem acordo
21;29;2026-01-24;Conciliação;Presencial;Realizada;Sem acordo
22;30;2026-10-27;Instrução;Virtual;Realizada;Adiada
23;31;2026-08-01;Julgamento;Presencial;Agendada;Adiada
24;32;2027-03-23;Conciliação;Virtual;Realizada;Pendente
25;34;2026-12-07;Conciliação;Presencial;Cancelada;Acordo
26;36;2026-12-30;Instrução;Virtual;Agendada;Sem acordo
27;38;2027-03-02;Julgamento;Presencial;Realizada;Acordo
28;39;2027-01-24;Instrução;Virtual;Agendada;Sem acordo
29;41;2026-07-14;Julgamento;Virtual;Realizada;Pendente
30;42;2027-04-13;Julgamento;Presencial;Realizada;Sem acordo
31;43;2026-07-23;Instrução;Presencial;Realizada;Pendente
32;44;2026-06-15;Conciliação;Presencial;Realizada;Pendente
33;45;2027-04-13;Julgamento;Presencial;Agendada;Sem acordo
34;47;2026-05-21;Conciliação;Virtual;Agendada;Acordo
35;50;2026-01-17;Julgamento;Virtual;Realizada;Adiada
36;52;2026-04-08;Julgamento;Virtual;Agendada;Sem acordo
37;55;2027-04-04;Julgamento;Virtual;Agendada;Sem acordo
38;56;2026-11-26;Conciliação;Virtual;Cancelada;Acordo
39;58;2026-12-11;Instrução;Presencial;Realizada;Adiada
40;60;2025-09-23;Julgamento;Presencial;Realizada;Sem acordo
41;62;2026-07-26;Julgamento;Presencial;Agendada;Sem acordo
42;63;2026-12-18;Conciliação;Presencial;Realizada;Pendente
43;64;2026-07-30;Instrução;Presencial;Agendada;Acordo
44;66;2025-11-27;Julgamento;Presencial;Cancelada;Pendente
45;67;2027-02-14;Instrução;Virtual;Cancelada;Adiada
46;69;2027-05-18;Conciliação;Virtual;Agendada;Sem acordo
47;72;2027-06-08;Instrução;Presencial;Agendada;Pendente
48;73;2026-07-04;Instrução;Virtual;Realizada;Acordo
49;74;2026-08-29;Instrução;Virtual;Agendada;Sem acordo
50;75;2027-03-21;Instrução;Presencial;Realizada;Acordo
51;76;2027-02-25;Instrução;Virtual;Agendada;Acordo
52;77;2026-06-29;Instrução;Presencial;Cancelada;Adiada
53;80;2026-07-19;Instrução;Presencial;Realizada;Acordo
54;81;2027-04-25;Instrução;Presencial;Agendada;Pendente
55;82;2027-02-26;Instrução;Presencial;Agendada;Sem acordo
56;84;2027-04-01;Julgamento;Virtual;Cancelada;Adiada
57;85;2026-06-02;Julgamento;Virtual;Realizada;Acordo
58;86;2027-03-11;Julgamento;Presencial;Realizada;Acordo
59;87;2026-12-31;Conciliação;Presencial;Realizada;Adiada
60;88;2026-07-11;Julgamento;Virtual;Agendada;Sem acordo
61;91;2026-01-24;Instrução;Virtual;Cancelada;Acordo
62;92;2025-12-30;Julgamento;Virtual;Realizada;Sem acordo
63;93;2026-04-27;Julgamento;Virtual;Cancelada;Acordo
64;95;2027-02-05;Julgamento;Virtual;Cancelada;Sem acordo
65;97;2027-05-06;Conciliação;Presencial;Cancelada;Adiada
66;99;2027-05-06;Instrução;Presencial;Realizada;Pendente
67;100;2026-11-01;Conciliação;Presencial;Agendada;Pendente
68;101;2026-10-17;Conciliação;Presencial;Cancelada;Acordo
69;102;2026-12-18;Instrução;Presencial;Agendada;Acordo
70;104;2027-01-06;Julgamento;Presencial;Cancelada;Sem acordo
71;105;2026-09-07;Instrução;Presencial;Cancelada;Pendente
72;108;2026-04-02;Instrução;Presencial;Cancelada;Pendente
73;109;2026-03-24;Julgamento;Virtual;Realizada;Acordo
74;110;2026-02-27;Conciliação;Presencial;Cancelada;Pendente
75;111;2027-05-04;Conciliação;Presencial;Agendada;Acordo
76;112;2027-10-15;Julgamento;Virtual;Cancelada;Adiada
77;113;2025-09-26;Conciliação;Presencial;Realizada;Pendente
78;114;2026-05-11;Julgamento;Virtual;Agendada;Adiada
79;117;2026-05-15;Julgamento;Presencial;Cancelada;Sem acordo
80;118;2026-07-12;Conciliação;Presencial;Agendada;Pendente
81;119;2027-02-26;Instrução;Presencial;Agendada;Pendente
82;122;2025-11-24;Instrução;Virtual;Realizada;Sem acordo
83;124;2027-05-19;Julgamento;Presencial;Agendada;Acordo
84;125;2026-07-02;Julgamento;Presencial;Realizada;Pendente
85;127;2026-08-20;Conciliação;Virtual;Realizada;Adiada
86;128;2026-11-27;Conciliação;Virtual;Realizada;Adiada
87;129;2026-08-21;Conciliação;Virtual;Agendada;Adiada
88;131;2026-12-10;Julgamento;Presencial;Realizada;Pendente
89;132;2026-01-02;Julgamento;Virtual;Realizada;Sem acordo
90;134;2026-12-10;Julgamento;Presencial;Agendada;Sem acordo
91;135;2026-09-27;Instrução;Virtual;Cancelada;Pendente
92;136;2025-11-29;Conciliação;Virtual;Agendada;Acordo
93;137;2026-12-19;Julgamento;Presencial;Cancelada;Sem acordo
94;138;2027-01-07;Conciliação;Virtual;Cancelada;Acordo
95;139;2027-08-31;Instrução;Virtual;Cancelada;Pendente
96;141;2027-05-04;Conciliação;Presencial;Cancelada;Pendente
97;143;2026-06-16;Julgamento;Virtual;Cancelada;Acordo
98;144;2026-05-27;Conciliação;Virtual;Agendada;Acordo
99;145;2026-05-03;Conciliação;Virtual;Realizada;Acordo
100;147;2026-10-16;Conciliação;Presencial;Realizada;Pendente
101;154;2026-03-06;Julgamento;Virtual;Cancelada;Pendente
102;158;2026-05-02;Conciliação;Virtual;Cancelada;Pendente
103;159;2027-07-05;Instrução;Presencial;Agendada;Pendente
104;160;2026-06-12;Instrução;Presencial;Realizada;Pendente
105;161;2026-05-06;Conciliação;Presencial;Realizada;Pendente
106;162;2027-02-24;Julgamento;Virtual;Cancelada;Adiada
107;164;2025-11-30;Conciliação;Presencial;Agendada;Pendente
108;165;2026-11-25;Instrução;Presencial;Cancelada;Adiada
109;166;2026-03-27;Conciliação;Virtual;Agendada;Adiada
110;167;2026-08-03;Instrução;Virtual;Cancelada;Pendente
111;168;2027-06-16;Conciliação;Virtual;Cancelada;Acordo
112;170;2026-02-16;Instrução;Presencial;Cancelada;Pendente
113;171;2025-12-11;Instrução;Virtual;Realizada;Sem acordo
114;172;2027-05-15;Julgamento;Presencial;Cancelada;Pendente
115;173;2026-09-27;Conciliação;Presencial;Realizada;Sem acordo
116;175;2027-06-26;Julgamento;Presencial;Realizada;Pendente
117;176;2026-12-24;Conciliação;Presencial;Agendada;Sem acordo
