cliente_id;codigo_cliente;tipo_pessoa;uf;data_cadastro;status
1;  CLI-00001  ;Pessoa Jurídica;MG;2022-03-21;Ativo
2;  CLI-00002  ;Pessoa Jurídica;SC;2024-06-26;Ativo
3;  CLI-00003  ;Pessoa Física;SC;2023-07-20;Ativo
4;  CLI-00004  ;Pessoa Física;PR;2024-05-09;Ativo
5;CLI-00005;Pessoa Jurídica;SC;2024-10-10;Ativo
6;CLI-00006;Pessoa Física;SP;2022-04-26;Ativo
7;CLI-00007;Pessoa Física;SP;2024-11-25;Ativo
8;CLI-00008;Pessoa Jurídica;RJ;2021-07-06;Inativo
9;CLI-00009;Pessoa Jurídica;MG;2023-07-31;Ativo
10;CLI-00010;Pessoa Jurídica;RJ;2023-02-21;Ativo
11;CLI-00011;Pessoa Jurídica;PR;2024-04-14;Ativo
12;CLI-00012;Pessoa Física;RJ;2023-03-20;Inativo
13;CLI-00013;Pessoa Física;MG;2025-03-04;Ativo
14;CLI-00014;Pessoa Física;PR;2023-05-11;Inativo
15;CLI-00015;Pessoa Jurídica;RJ;2021-07-12;Ativo
16;CLI-00016;Pessoa Jurídica;SC;2021-12-20;Ativo
17;CLI-00017;Pessoa Física;MG;2023-11-20;Ativo
18;CLI-00018;Pessoa Jurídica;PR;2022-01-17;Ativo
19;CLI-00019;Pessoa Física;PR;2022-12-19;Ativo
20;CLI-00020;Pessoa Física;RJ;2023-09-12;Ativo
21;CLI-00021;Pessoa Jurídica;PR;2022-05-26;Ativo
22;CLI-00022;Pessoa Jurídica;PR;2022-07-27;Ativo
23;CLI-00023;Pessoa Física;SP;2022-12-19;Ativo
24;CLI-00024;Pessoa Jurídica;RJ;2022-10-13;Inativo
25;CLI-00025;Pessoa Física;RJ;2023-11-05;Ativo
26;CLI-00026;Pessoa Física;RJ;2025-06-24;Ativo
27;CLI-00027;Pessoa Física;SC;2022-06-14;Inativo
28;CLI-00028;Pessoa Jurídica;PR;2023-02-03;Ativo
29;CLI-00029;Pessoa Jurídica;RJ;2023-07-09;Ativo
30;CLI-00030;Pessoa Física;MG;2025-05-10;Ativo
31;CLI-00031;Pessoa Física;SC;2024-10-23;Ativo
32;CLI-00032;Pessoa Jurídica;MG;2025-02-22;Ativo
33;CLI-00033;Pessoa Física;PR;2023-07-31;Ativo
34;CLI-00034;Pessoa Jurídica;PR;2025-04-17;Ativo
35;CLI-00035;Pessoa Física;RJ;2022-01-19;Ativo
36;CLI-00036;Pessoa Física;RJ;2025-02-26;Ativo
37;CLI-00037;Pessoa Física;SC;2024-01-02;Ativo
38;CLI-00038;Pessoa Física;RJ;2023-04-03;Ativo
39;CLI-00039;Pessoa Física;MG;2025-01-03;Ativo
40;CLI-00040;Pessoa Jurídica;RJ;2022-09-23;Ativo
41;CLI-00041;Pessoa Física;PR;2023-06-24;Ativo
42;CLI-00042;Pessoa Jurídica;RJ;2022-11-26;Ativo
43;CLI-00043;Pessoa Jurídica;PR;2024-10-08;Ativo
44;CLI-00044;Pessoa Física;PR;2021-11-25;Ativo
45;CLI-00045;Pessoa Física;SP;2025-05-13;Ativo
46;CLI-00046;Pessoa Física;PR;2021-08-24;Ativo
47;CLI-00047;Pessoa Jurídica;SC;2025-04-03;Ativo
48;CLI-00048;Pessoa Jurídica;SP;2022-01-23;Ativo
49;CLI-00049;Pessoa Jurídica;SP;2022-04-03;Ativo
50;CLI-00050;Pessoa Física;SP;2024-03-03;Ativo
51;CLI-00051;Pessoa Jurídica;PR;2022-10-07;Ativo
52;CLI-00052;Pessoa Física;PR;2023-09-01;Ativo
53;CLI-00053;Pessoa Jurídica;RJ;2023-05-01;Ativo
54;CLI-00054;Pessoa Jurídica;PR;2023-05-15;Ativo
55;CLI-00055;Pessoa Física;RJ;2021-10-16;Ativo
56;CLI-00056;Pessoa Física;SC;2023-12-19;Ativo
57;CLI-00057;Pessoa Jurídica;RJ;2025-05-17;Ativo
58;CLI-00058;Pessoa Jurídica;PR;2022-12-13;Ativo
59;CLI-00059;Pessoa Jurídica;PR;2023-01-20;Ativo
60;CLI-00060;Pessoa Física;MG;2025-01-15;Ativo
61;CLI-00061;Pessoa Física;RJ;2021-08-19;Ativo
62;CLI-00062;Pessoa Física;SC;2021-07-24;Ativo
63;CLI-00063;Pessoa Jurídica;MG;2024-04-06;Ativo
64;CLI-00064;Pessoa Jurídica;SC;2024-04-05;Ativo
65;CLI-00065;Pessoa Jurídica;MG;2023-10-10;Ativo
66;CLI-00066;Pessoa Física;RJ;2023-03-17;Ativo
67;CLI-00067;Pessoa Física;RJ;2024-07-17;Ativo
68;CLI-00068;Pessoa Física;SC;2021-11-15;Inativo
69;CLI-00069;Pessoa Física;PR;2025-06-22;Ativo
70;CLI-00070;Pessoa Jurídica;SC;2024-05-04;Ativo
71;CLI-00071;Pessoa Física;PR;2023-02-01;Ativo
72;CLI-00072;Pessoa Física;SC;2023-06-04;Ativo
73;CLI-00073;Pessoa Jurídica;SP;2022-11-29;Ativo
74;CLI-00074;Pessoa Física;SP;2021-08-13;Inativo
75;CLI-00075;Pessoa Jurídica;RJ;2024-07-13;Ativo
76;CLI-00076;Pessoa Jurídica;PR;2024-05-25;Ativo
77;CLI-00077;Pessoa Jurídica;PR;2023-09-18;Ativo
78;CLI-00078;Pessoa Física;MG;2024-12-23;Ativo
79;CLI-00079;Pessoa Física;PR;2022-10-26;Ativo
80;CLI-00080;Pessoa Jurídica;RJ;2023-04-21;Ativo
81;CLI-00081;Pessoa Jurídica;MG;2024-09-13;Ativo
82;CLI-00082;Pessoa Jurídica;RJ;2021-12-08;Ativo
83;CLI-00083;Pessoa Jurídica;SP;2023-04-06;Ativo
84;CLI-00084;Pessoa Jurídica;MG;2023-03-24;Ativo
85;CLI-00085;Pessoa Jurídica;SP;2025-01-02;Inativo
86;CLI-00086;Pessoa Jurídica;MG;2022-03-05;Ativo
87;CLI-00087;Pessoa Jurídica;MG;2022-03-22;Ativo
88;CLI-00088;Pessoa Física;RJ;2024-09-13;Ativo
89;CLI-00089;Pessoa Jurídica;SC;2024-01-29;Ativo
90;CLI-00090;Pessoa Física;MG;2022-11-05;Ativo
91;CLI-00091;Pessoa Jurídica;PR;2024-12-02;Inativo
92;CLI-00092;Pessoa Jurídica;MG;2024-03-26;Ativo
93;CLI-00093;Pessoa Jurídica;PR;2021-09-19;Ativo
94;CLI-00094;Pessoa Física;SP;2024-07-02;Ativo
95;CLI-00095;Pessoa Física;PR;2022-01-30;Ativo
96;CLI-00096;Pessoa Física;PR;2021-10-25;Ativo
97;CLI-00097;Pessoa Jurídica;SP;2022-11-18;Ativo
98;CLI-00098;Pessoa Jurídica;RJ;2023-01-17;Ativo
99;CLI-00099;Pessoa Jurídica;SP;2023-10-08;Ativo
100;CLI-00100;Pessoa Jurídica;PR;2021-06-15;Ativo
101;CLI-00101;Pessoa Física;SP;2022-10-02;Ativo
102;CLI-00102;Pessoa Física;RJ;2021-11-30;Ativo
103;CLI-00103;Pessoa Física;SP;2023-11-09;Ativo
104;CLI-00104;Pessoa Física;MG;2023-12-15;Ativo
105;CLI-00105;Pessoa Jurídica;RJ;2023-02-19;Ativo
106;CLI-00106;Pessoa Física;SP;2024-08-10;Ativo
107;CLI-00107;Pessoa Física;SP;2023-11-19;Ativo
