prazo_id;processo_id;tipo_prazo;data_vencimento;data_conclusao;status;prioridade
1;1;  Documento  ;2026-06-04;;Vencido;Alta
2;1;  Documento  ;2026-02-16;2026-02-20;Concluído;Baixa
3;1;  Contestação  ;2027-03-13;2027-03-20;Concluído;Baixa
4;1;  Recurso  ;2026-02-25;2026-02-09;Concluído;Média
5;2;Manifestação;2026-07-19;;Aberto;Baixa
6;3;Pagamento;2026-04-18;2026-04-16;Concluído;Média
7;4;Manifestação;2027-05-12;2027-05-20;Concluído;Média
8;4;Pagamento;2026-08-08;;Aberto;Média
9;5;Manifestação;2026-12-09;2026-12-01;Concluído;Baixa
10;5;Pagamento;2027-02-13;2027-02-12;Concluído;Média
11;5;Contestação;2026-02-15;;Vencido;Baixa
12;5;Recurso;2026-11-16;2026-11-05;Concluído;Baixa
13;6;Recurso;2026-10-29;2026-10-26;Concluído;Baixa
14;6;Contestação;2025-09-20;2025-09-08;Concluído;Média
15;6;Documento;2026-01-23;2026-01-25;Concluído;Alta
16;6;Recurso;2026-06-13;;Vencido;Média
17;7;Recurso;2025-11-12;2025-11-12;Concluído;Média
18;8;Pagamento;2027-01-02;2026-12-16;Concluído;Média
19;8;Pagamento;2027-01-19;2027-01-11;Concluído;Baixa
20;9;Documento;2026-10-09;2026-10-17;Concluído;Média
21;9;Recurso;2026-07-15;2026-07-11;Concluído;Alta
22;9;Documento;2027-03-31;2027-03-22;Concluído;Média
23;10;Contestação;2026-04-05;2026-04-02;Concluído;Média
24;10;Documento;2026-12-09;2026-11-28;Concluído;Baixa
25;10;Contestação;2025-12-01;;Vencido;Média
26;11;Manifestação;2026-03-01;2026-03-08;Concluído;Baixa
27;11;Documento;2026-05-12;2026-05-15;Concluído;Alta
28;11;Pagamento;2025-12-14;2025-12-14;Concluído;Alta
29;11;Manifestação;2025-12-08;2025-12-04;Concluído;Média
30;12;Documento;2026-07-08;2026-07-17;Concluído;Baixa
31;12;Manifestação;2026-02-16;2026-02-05;Concluído;Baixa
32;12;Recurso;2025-10-27;2025-10-12;Concluído;Média
33;12;Recurso;2026-11-12;2026-11-15;Concluído;Média
34;13;Manifestação;2026-11-14;2026-11-20;Concluído;Alta
35;14;Documento;2027-02-09;2027-02-10;Concluído;Alta
36;14;Recurso;2026-08-06;2026-08-14;Concluído;Alta
37;14;Pagamento;2027-03-15;2027-03-25;Concluído;Baixa
38;14;Contestação;2027-02-04;2027-02-07;Concluído;Baixa
39;15;Manifestação;2026-02-23;;Vencido;Alta
40;15;Pagamento;2026-01-23;2026-01-14;Concluído;Média
41;15;Pagamento;2025-09-29;2025-10-03;Concluído;Alta
42;16;Recurso;2027-01-09;2027-01-19;Concluído;Média
43;16;Pagamento;2026-12-24;2026-12-17;Concluído;Baixa
44;16;Manifestação;2026-11-03;2026-11-13;Concluído;Alta
45;17;Documento;2026-12-21;2026-12-02;Concluído;Alta
46;17;Manifestação;2026-10-26;2026-10-19;Concluído;Alta
47;17;Contestação;2027-04-15;2027-04-11;Concluído;Alta
48;17;Recurso;2027-01-14;2026-12-28;Concluído;Média
49;18;Documento;2026-03-17;;Vencido;Média
50;19;Contestação;2026-01-10;2025-12-31;Concluído;Média
51;19;Contestação;2026-07-05;2026-06-30;Concluído;Alta
52;20;Manifestação;2026-03-08;2026-02-19;Concluído;Alta
53;20;Contestação;2025-11-07;2025-10-21;Concluído;Baixa
54;21;Contestação;2027-03-22;2027-03-23;Concluído;Média
55;21;Manifestação;2026-12-21;2026-12-29;Concluído;Média
56;21;Contestação;2027-01-15;;Aberto;Baixa
57;21;Documento;2027-07-06;2027-07-09;Concluído;Alta
58;22;Manifestação;2026-07-28;2026-08-04;Concluído;Alta
59;23;Documento;2026-11-23;2026-11-11;Concluído;Média
60;24;Recurso;2026-09-08;;Aberto;Alta
61;24;Pagamento;2026-07-27;2026-07-19;Concluído;Baixa
62;24;Contestação;2026-07-14;2026-07-09;Concluído;Alta
63;25;Pagamento;2026-02-10;;Vencido;Média
64;25;Manifestação;2026-03-24;2026-03-20;Concluído;Média
65;25;Recurso;2026-12-07;2026-11-27;Concluído;Média
66;25;Contestação;2026-10-06;;Aberto;Média
67;26;Pagamento;2026-10-01;2026-09-18;Concluído;Baixa
68;26;Manifestação;2026-07-10;;Aberto;Média
69;27;Pagamento;2026-11-20;2026-11-21;Concluído;Baixa
70;27;Recurso;2026-09-28;2026-09-16;Concluído;Baixa
71;27;Contestação;2026-07-31;2026-07-23;Concluído;Baixa
72;27;Documento;2026-12-31;2027-01-03;Concluído;Alta
73;28;Pagamento;2027-04-03;2027-04-08;Concluído;Média
74;28;Recurso;2027-03-17;2027-02-28;Concluído;Média
75;28;Documento;2026-03-09;2026-02-21;Concluído;Baixa
76;28;Recurso;2026-12-20;2026-12-30;Concluído;Alta
77;29;Documento;2026-06-08;2026-05-19;Concluído;Alta
78;30;Pagamento;2026-07-19;2026-07-19;Concluído;Alta
79;30;Documento;2025-09-20;2025-09-17;Concluído;Alta
80;31;Manifestação;2026-05-14;;Vencido;Baixa
81;31;Contestação;2026-06-20;2026-06-08;Concluído;Média
82;31;Contestação;2026-12-26;2026-12-14;Concluído;Baixa
83;31;Documento;2026-08-10;2026-08-01;Concluído;Média
84;32;Documento;2026-10-11;2026-09-29;Concluído;Média
85;32;Contestação;2026-11-28;2026-12-05;Concluído;Alta
86;32;Recurso;2027-09-07;2027-09-02;Concluído;Média
87;33;Contestação;2026-06-26;2026-06-15;Concluído;Alta
88;33;Manifestação;2026-11-16;;Aberto;Média
89;33;Pagamento;2027-08-26;;Aberto;Baixa
90;33;Pagamento;2027-08-18;2027-07-31;Concluído;Alta
91;34;Manifestação;2026-10-16;2026-10-13;Concluído;Baixa
92;34;Recurso;2027-06-13;;Aberto;Alta
93;34;Documento;2027-05-19;2027-04-29;Concluído;Alta
94;35;Pagamento;2027-04-07;2027-03-19;Concluído;Baixa
95;35;Recurso;2026-03-10;2026-02-27;Concluído;Média
96;35;Contestação;2026-03-21;2026-03-23;Concluído;Baixa
97;36;Pagamento;2026-10-30;2026-11-01;Concluído;Alta
98;36;Documento;2026-11-19;2026-11-29;Concluído;Alta
99;36;Manifestação;2027-06-06;2027-06-08;Concluído;Média
100;37;Manifestação;2026-09-03;2026-08-20;Concluído;Baixa
101;37;Recurso;2026-11-17;2026-10-31;Concluído;Baixa
102;38;Documento;2026-07-27;2026-07-14;Concluído;Baixa
103;39;Manifestação;2026-10-19;;Aberto;Baixa
104;39;Documento;2027-02-15;2027-02-11;Concluído;Baixa
105;39;Pagamento;2026-10-21;2026-10-01;Concluído;Média
106;40;Recurso;2027-07-12;2027-07-17;Concluído;Alta
107;40;Pagamento;2027-06-07;2027-06-05;Concluído;Média
108;41;Pagamento;2026-12-23;2026-12-28;Concluído;Média
109;42;Pagamento;2027-02-12;2027-02-19;Concluído;Alta
110;42;Contestação;2026-08-10;;Aberto;Alta
111;42;Contestação;2026-07-15;2026-07-02;Concluído;Média
112;42;Manifestação;2026-06-19;2026-06-06;Concluído;Média
113;43;Contestação;2026-10-24;;Aberto;Baixa
114;43;Manifestação;2026-09-23;2026-09-29;Concluído;Média
115;43;Contestação;2026-08-06;2026-07-21;Concluído;Baixa
116;44;Documento;2027-06-20;2027-06-17;Concluído;Média
117;44;Documento;2026-08-22;;Aberto;Alta
118;44;Pagamento;2026-10-07;2026-09-28;Concluído;Alta
119;44;Contestação;2027-04-16;;Aberto;Baixa
120;45;Pagamento;2026-03-01;;Vencido;Alta
121;45;Pagamento;2027-04-21;2027-04-17;Concluído;Baixa
122;45;Pagamento;2026-11-06;2026-10-17;Concluído;Média
123;46;Recurso;2026-05-20;2026-05-10;Concluído;Alta
124;46;Contestação;2025-10-25;2025-10-20;Concluído;Baixa
125;46;Manifestação;2026-02-26;;Vencido;Baixa
126;47;Pagamento;2026-04-02;2026-03-15;Concluído;Baixa
127;47;Pagamento;2026-02-05;2026-01-29;Concluído;Alta
128;47;Pagamento;2026-01-13;2026-01-18;Concluído;Média
129;47;Manifestação;2026-05-19;2026-05-24;Concluído;Baixa
130;48;Contestação;2025-12-20;;Vencido;Baixa
131;48;Manifestação;2026-01-27;2026-01-30;Concluído;Alta
132;49;Pagamento;2026-06-11;;Vencido;Média
