processo_id;codigo_processo;cliente_id;area_id;advogado_id;data_abertura;data_encerramento;status;risco;valor_causa;desfecho
1;  PROC-000001  ;312;5;20;2025-11-03;;Ativo;Médio;482532,19;
2;  PROC-000002  ;404;5;22;2026-01-03;;Ativo;Alto;777878,43;
3;  PROC-000003  ;317;2;28;2026-01-28;;Ativo;Baixo;497285,29;
4;  PROC-000004  ;512;3;40;2026-04-25;;Suspenso;Baixo;181530,83;
5;PROC-000005;294;2;14;2026-01-08;2027-11-09;Encerrado;Baixo;299977,55;Desfavorável
6;PROC-000006;453;1;5;2025-09-07;;Ativo;Baixo;386317,82;
7;PROC-000007;261;6;14;2025-09-16;;Ativo;Alto;693734,74;
8;PROC-000008;591;8;22;2026-01-03;2027-03-30;Encerrado;Médio;345886,12;Desfavorável
9;PROC-000009;63;4;28;2026-02-13;;Ativo;Alto;721905,4;
10;PROC-000010;73;3;23;2025-10-11;;Ativo;Médio;787245,0;
11;PROC-000011;243;5;23;2025-11-09;;Ativo;Alto;665421,96;
12;PROC-000012;442;1;12;2025-07-12;;Ativo;Médio;229679,66;
13;PROC-000013;395;8;7;2026-01-10;;Ativo;Baixo;174202,5;
14;PROC-000014;89;3;16;2026-01-22;;Ativo;Baixo;338303,06;
15;PROC-000015;524;7;3;2025-07-15;;Ativo;Baixo;163676,58;
16;PROC-000016;586;4;26;2026-05-25;2027-06-23;Encerrado;Alto;618125,46;Favorável
17;PROC-000017;4;6;9;2025-12-17;;Ativo;Baixo;489146,0;
18;PROC-000018;36;1;32;2025-08-22;2027-04-24;Encerrado;Médio;474580,89;Acordo
19;PROC-000019;247;4;10;2025-07-03;;Ativo;Médio;244748,38;
20;PROC-000020;280;3;26;2025-08-27;;Ativo;Baixo;225217,59;
21;PROC-000021;376;7;40;2026-03-26;2026-07-14;Encerrado;Baixo;727276,73;Acordo
22;PROC-000022;258;8;23;2026-01-21;;Ativo;Médio;773542,65;
23;PROC-000023;392;8;23;2026-06-13;;Suspenso;Médio;17462,5;
24;PROC-000024;231;6;31;2026-01-10;;Ativo;Médio;725139,06;
