prazo_id,processo_id,tipo_prazo,data_vencimento,data_conclusao,status,prioridade,motivo_rejeicao
7,4,Manifestação,2027-12-05,2027-05-20,Concluído,Média,fk_invalida:processo_id
8,4,Pagamento,2026-08-08,,Aberto,Média,fk_invalida:processo_id
17,7,Recurso,2025-12-11,2025-11-12,Concluído,Média,fk_invalida:processo_id
18,8,Pagamento,2027-02-01,2026-12-16,Concluído,Média,fk_invalida:processo_id
20,9,Documento,2026-09-10,2026-10-17,Concluído,Média,fk_invalida:processo_id
35,14,Documento,2027-09-02,2027-02-10,Concluído,Alta,fk_invalida:processo_id
36,14,Recurso,2026-06-08,2026-08-14,Concluído,Alta,fk_invalida:processo_id
38,14,Contestação,2027-04-02,2027-02-07,Concluído,Baixa,fk_invalida:processo_id
42,16,Recurso,2027-09-01,2027-01-19,Concluído,Média,fk_invalida:processo_id
44,16,Manifestação,2026-03-11,2026-11-13,Concluído,Alta,fk_invalida:processo_id
52,20,Manifestação,2026-08-03,2026-02-19,Concluído,Alta,fk_invalida:processo_id
53,20,Contestação,2025-07-11,2025-10-21,Concluído,Baixa,fk_invalida:processo_id
57,21,Documento,2027-06-07,2027-07-09,Concluído,Alta,fk_invalida:processo_id
63,25,Pagamento,2026-10-02,,Vencido,Média,fk_invalida:processo_id
65,25,Recurso,2026-07-12,2026-11-27,Concluído,Média,fk_invalida:processo_id
66,25,Contestação,2026-06-10,,Aberto,Média,fk_invalida:processo_id
73,28,Pagamento,2027-03-04,2027-04-08,Concluído,Média,fk_invalida:processo_id
75,28,Documento,2026-09-03,2026-02-21,Concluído,Baixa,fk_invalida:processo_id
77,29,Documento,2026-08-06,2026-05-19,Concluído,Alta,fk_invalida:processo_id
83,31,Documento,2026-10-08,2026-08-01,Concluído,Média,fk_invalida:processo_id
84,32,Documento,2026-11-10,2026-09-29,Concluído,Média,fk_invalida:processo_id
86,32,Recurso,2027-07-09,2027-09-02,Concluído,Média,fk_invalida:processo_id
99,36,Manifestação,2027-06-06,2027-06-08,Concluído,Média,fk_invalida:processo_id
100,37,Manifestação,2026-03-09,2026-08-20,Concluído,Baixa,fk_invalida:processo_id
106,40,Recurso,2027-12-07,2027-07-17,Concluído,Alta,fk_invalida:processo_id
107,40,Pagamento,2027-07-06,2027-06-05,Concluído,Média,fk_invalida:processo_id
115,43,Contestação,2026-06-08,2026-07-21,Concluído,Baixa,fk_invalida:processo_id
118,44,Pagamento,2026-07-10,2026-09-28,Concluído,Alta,fk_invalida:processo_id
120,45,Pagamento,2026-01-03,,Vencido,Alta,fk_invalida:processo_id
122,45,Pagamento,2026-06-11,2026-10-17,Concluído,Média,fk_invalida:processo_id
126,47,Pagamento,2026-02-04,2026-03-15,Concluído,Baixa,fk_invalida:processo_id
127,47,Pagamento,2026-05-02,2026-01-29,Concluído,Alta,fk_invalida:processo_id
135,50,Contestação,2026-04-12,2026-11-16,Concluído,Média,fk_invalida:processo_id
136,50,Documento,2026-10-10,2026-09-21,Concluído,Média,fk_invalida:processo_id
139,52,Contestação,2026-10-08,,Aberto,Média,fk_invalida:processo_id
140,52,Manifestação,2026-02-01,,Vencido,Média,fk_invalida:processo_id
148,55,Manifestação,2026-01-09,2026-08-28,Concluído,Baixa,fk_invalida:processo_id
157,58,Recurso,2025-11-11,2025-11-07,Concluído,Baixa,fk_invalida:processo_id
161,60,Documento,2026-03-07,2026-07-01,Concluído,Baixa,fk_invalida:processo_id
162,60,Contestação,2026-04-10,2026-10-08,Concluído,Baixa,fk_invalida:processo_id
176,64,Manifestação,2026-12-02,2026-02-19,Concluído,Baixa,fk_invalida:processo_id
185,70,Manifestação,2026-08-06,2026-05-22,Concluído,Alta,fk_invalida:processo_id
190,73,Pagamento,2026-11-07,,Aberto,Média,fk_invalida:processo_id
192,74,Pagamento,2026-10-08,2026-07-29,Concluído,Média,fk_invalida:processo_id
193,74,Pagamento,2027-07-07,2027-07-01,Concluído,Alta,fk_invalida:processo_id
195,75,Documento,2027-02-03,2027-02-21,Concluído,Alta,fk_invalida:processo_id
202,77,Contestação,2026-04-03,2026-02-18,Concluído,Alta,fk_invalida:processo_id
205,78,Recurso,2026-01-06,2026-05-27,Concluído,Média,fk_invalida:processo_id
206,79,Recurso,2026-02-04,2026-03-27,Concluído,Baixa,fk_invalida:processo_id
208,79,Contestação,2025-08-12,,Vencido,Baixa,fk_invalida:processo_id
210,80,Recurso,2026-02-04,2026-03-22,Concluído,Baixa,fk_invalida:processo_id
212,80,Manifestação,2026-03-03,2026-02-12,Concluído,Alta,fk_invalida:processo_id
213,80,Manifestação,2026-04-11,2026-10-18,Concluído,Alta,fk_invalida:processo_id
214,81,Pagamento,2026-03-12,2026-11-30,Concluído,Baixa,fk_invalida:processo_id
221,84,Pagamento,2026-04-04,2026-03-26,Concluído,Alta,fk_invalida:processo_id
222,84,Manifestação,2026-04-07,2026-07-03,Concluído,Baixa,fk_invalida:processo_id
225,86,Manifestação,2026-06-11,2026-11-03,Concluído,Média,fk_invalida:processo_id
226,86,Recurso,2027-12-06,2027-06-17,Concluído,Alta,fk_invalida:processo_id
227,86,Documento,2026-10-09,2026-08-27,Concluído,Baixa,fk_invalida:processo_id
229,87,Contestação,2026-02-07,,Aberto,Baixa,fk_invalida:processo_id
232,88,Documento,2026-04-03,2026-02-16,Concluído,Média,fk_invalida:processo_id
236,89,Manifestação,2026-06-06,2026-05-19,Concluído,Média,fk_invalida:processo_id
237,90,Contestação,2026-11-06,2026-06-03,Concluído,Baixa,fk_invalida:processo_id
244,93,Contestação,2027-09-04,2027-04-01,Concluído,Alta,fk_invalida:processo_id
256,97,Contestação,2026-08-09,2026-09-12,Concluído,Média,fk_invalida:processo_id
267,101,Recurso,2025-04-09,2025-09-10,Concluído,Baixa,fk_invalida:processo_id
273,104,Documento,2026-07-09,2026-09-02,Concluído,Alta,fk_invalida:processo_id
276,106,Contestação,2027-02-04,2027-03-26,Concluído,Média,fk_invalida:processo_id
285,110,Recurso,2026-06-01,,Vencido,Baixa,fk_invalida:processo_id
288,112,Manifestação,2027-07-03,2027-02-23,Concluído,Alta,fk_invalida:processo_id
295,114,Contestação,2026-04-10,2026-10-02,Concluído,Alta,fk_invalida:processo_id
296,115,Recurso,2026-08-09,2026-09-09,Concluído,Média,fk_invalida:processo_id
297,115,Manifestação,2026-12-09,2026-08-30,Concluído,Baixa,fk_invalida:processo_id
299,116,Contestação,2026-06-05,2026-05-03,Concluído,Baixa,fk_invalida:processo_id
300,117,Recurso,2026-10-10,,Aberto,Média,fk_invalida:processo_id
304,119,Pagamento,2026-08-02,2026-02-16,Concluído,Média,fk_invalida:processo_id
306,119,Contestação,2026-04-06,,Vencido,Baixa,fk_invalida:processo_id
308,121,Documento,2027-07-01,2027-01-15,Concluído,Alta,fk_invalida:processo_id
310,121,Contestação,2027-03-06,,Aberto,Alta,fk_invalida:processo_id
315,122,Pagamento,2026-04-02,2026-02-06,Concluído,Alta,fk_invalida:processo_id
321,124,Recurso,2026-07-11,2026-11-14,Concluído,Média,fk_invalida:processo_id
322,124,Manifestação,2027-08-06,,Aberto,Média,fk_invalida:processo_id
323,125,Recurso,2027-07-01,2026-12-29,Concluído,Alta,fk_invalida:processo_id
326,126,Pagamento,2026-10-11,2026-10-29,Concluído,Alta,fk_invalida:processo_id
327,127,Recurso,2027-04-04,,Aberto,Baixa,fk_invalida:processo_id
328,127,Manifestação,2027-07-03,2027-03-02,Concluído,Alta,fk_invalida:processo_id
329,127,Recurso,2027-12-03,2027-03-19,Concluído,Média,fk_invalida:processo_id
334,129,Documento,2026-09-12,2026-12-14,Concluído,Média,fk_invalida:processo_id
339,131,Pagamento,2025-06-12,2025-11-18,Concluído,Média,fk_invalida:processo_id
347,136,Contestação,2026-04-05,2026-04-19,Concluído,Média,fk_invalida:processo_id
352,139,Pagamento,2027-01-10,2027-09-25,Concluído,Alta,fk_invalida:processo_id
354,139,Documento,2027-06-06,2027-05-29,Concluído,Média,fk_invalida:processo_id
