honorario_id,processo_id,modelo_cobranca,valor_contratado,percentual_exito,data_contrato,status
1,1,Misto,3583.01,426.68,2025-11-03,Quitado
2,2,Misto,25764.86,8691.35,2026-01-03,Em atraso
3,3,Fixo,5302.45,1444.09,2026-01-28,Ativo
4,4,Êxito,8123.88,2161.45,2026-04-25,Quitado
5,5,Hora,13680.65,1303.74,2026-01-08,Em atraso
6,6,Misto,26554.36,8773.96,2025-09-07,Quitado
7,7,Misto,12838.75,2205.22,2025-09-16,Em atraso
8,8,Êxito,16746.96,387.93,2026-01-03,Quitado
9,9,Misto,20102.37,6748.03,2026-02-13,Ativo
10,10,Hora,42796.52,2711.23,2025-10-11,Quitado
11,11,Misto,19559.42,714.76,2025-11-09,Em atraso
12,12,Misto,15841.88,5229.9,2025-07-12,Em atraso
13,13,Hora,15487.79,5394.08,2026-01-10,Quitado
14,14,Fixo,34214.84,7296.89,2026-01-22,Em atraso
15,15,Hora,41552.95,7914.25,2025-07-15,Quitado
16,16,Hora,41751.31,10011.74,2026-05-25,Em atraso
17,17,Fixo,11751.4,3145.37,2025-12-17,Quitado
18,18,Êxito,34256.09,7004.5,2025-08-22,Ativo
19,19,Fixo,39232.72,6976.02,2025-07-03,Em atraso
20,20,Fixo,3581.54,100.75,2025-08-27,Quitado
21,21,Fixo,17061.94,261.66,2026-03-26,Ativo
22,22,Misto,42264.89,14444.37,2026-01-21,Ativo
23,23,Fixo,15140.35,4183.5,2026-06-13,Quitado
24,24,Hora,14461.44,2881.32,2026-01-10,Quitado
25,25,Êxito,6861.73,274.83,2025-12-26,Ativo
26,26,Êxito,37374.5,6491.8,2025-11-01,Quitado
27,27,Fixo,19406.14,2965.65,2026-01-24,Quitado
28,28,Misto,27043.82,3209.36,2025-12-28,Ativo
29,29,Hora,14072.26,3292.44,2025-12-15,Quitado
30,30,Misto,12192.87,4241.31,2025-09-06,Ativo
31,31,Fixo,14189.75,1025.94,2025-09-25,Em atraso
32,32,Êxito,14644.84,3081.73,2026-05-15,Em atraso
33,33,Hora,22863.29,854.32,2026-05-14,Quitado
34,34,Misto,8383.66,91.63,2026-05-10,Quitado
35,35,Misto,40785.56,9021.22,2026-03-03,Quitado
36,36,Hora,12045.04,3452.07,2026-06-15,Ativo
37,37,Fixo,43096.15,14540.43,2026-05-31,Ativo
38,38,Fixo,17171.64,3237.37,2026-02-09,Ativo
39,39,Êxito,5287.32,1422.23,2026-05-25,Em atraso
40,40,Êxito,33733.57,10932.77,2026-04-15,Quitado
41,41,Misto,22315.54,4323.91,2025-10-26,Quitado
42,42,Misto,19624.42,5693.53,2026-02-02,Em atraso
43,43,Hora,16984.78,4632.92,2026-06-17,Em atraso
44,44,Êxito,5253.59,1208.17,2026-04-17,Em atraso
45,45,Misto,13786.04,3350.97,2025-12-30,Quitado
46,46,Misto,23477.35,5576.89,2025-08-13,Ativo
47,47,Misto,13968.82,3659.65,2025-10-20,Em atraso
48,48,Êxito,23441.73,3382.28,2025-07-19,Em atraso
49,49,Misto,31684.57,2550.39,2025-10-05,Em atraso
50,50,Êxito,2145.99,585.44,2025-08-07,Quitado
51,51,Misto,12572.58,603.22,2025-08-29,Ativo
52,52,Fixo,38863.75,1009.42,2025-10-16,Em atraso
53,53,Fixo,40802.45,13783.09,2025-08-24,Quitado
54,54,Hora,4366.6,1022.64,2025-10-11,Quitado
55,55,Êxito,39167.74,11247.65,2026-06-21,Quitado
56,56,Fixo,36237.88,10023.26,2026-05-15,Ativo
57,57,Hora,24762.99,7755.22,2025-11-25,Ativo
58,58,Misto,34298.27,3993.57,2025-07-15,Ativo
59,59,Misto,14883.96,1672.8,2026-06-11,Quitado
60,60,Fixo,9177.26,917.84,2025-07-18,Em atraso
61,61,Hora,35828.87,7223.43,2025-10-21,Quitado
62,62,Misto,14064.96,4221.42,2025-07-21,Quitado
63,63,Misto,40724.28,9772.27,2026-01-31,Ativo
64,64,Misto,36961.23,9597.67,2026-01-13,Em atraso
65,65,Hora,28747.17,8903.01,2025-07-08,Quitado
66,66,Êxito,24929.43,1401.22,2025-10-22,Quitado
67,67,Fixo,26118.94,1123.09,2025-12-09,Ativo
68,68,Êxito,32412.72,1971.46,2025-12-04,Em atraso
69,69,Fixo,33820.43,5607.69,2026-02-13,Em atraso
70,70,Misto,6320.2,369.65,2025-08-24,Ativo
71,71,Fixo,3782.76,23.33,2025-11-21,Em atraso
72,72,Fixo,3097.26,522.91,2026-05-26,Quitado
73,73,Fixo,33752.83,7146.31,2026-05-24,Ativo
74,74,Misto,17394.22,888.43,2026-05-21,Ativo
