movimentacao_id,processo_id,data_movimentacao,tipo,origem
1,1,2026-12-13,Sentença,Tribunal
2,1,2026-08-22,Recurso,Escritório
3,1,2025-11-05,Despacho,Parte contrária
4,1,2026-12-23,Decisão,Parte contrária
5,1,2026-07-22,Sentença,Escritório
6,2,2026-07-25,Recurso,Tribunal
7,2,2026-07-26,Sentença,Escritório
8,3,2026-07-17,Decisão,Tribunal
9,3,2026-12-24,Despacho,Parte contrária
10,3,2026-08-01,Despacho,Parte contrária
11,4,2027-08-25,Recurso,Tribunal
12,4,2026-09-22,Sentença,Escritório
13,4,2026-12-13,Petição,Tribunal
14,5,2027-04-14,Recurso,Escritório
15,5,2027-02-14,Despacho,Tribunal
16,5,2026-03-25,Despacho,Parte contrária
17,5,2026-10-02,Despacho,Tribunal
18,6,2026-08-10,Recurso,Tribunal
19,6,2026-08-27,Recurso,Parte contrária
20,6,2026-04-27,Decisão,Escritório
21,7,2025-10-17,Decisão,Escritório
22,7,2027-01-07,Despacho,Parte contrária
23,7,2026-06-26,Despacho,Escritório
24,7,2026-08-04,Decisão,Escritório
25,8,2026-05-13,Despacho,Escritório
26,8,2027-03-22,Sentença,Escritório
27,8,2027-04-05,Decisão,Tribunal
28,9,2027-01-11,Sentença,Tribunal
29,9,2026-08-18,Petição,Escritório
30,9,2026-04-07,Despacho,Parte contrária
31,9,2026-06-30,Despacho,Parte contrária
32,9,2027-03-06,Despacho,Escritório
33,10,2026-08-28,Recurso,Parte contrária
34,10,2025-10-21,Recurso,Parte contrária
35,10,2026-10-07,Decisão,Escritório
36,11,2025-12-01,Recurso,Parte contrária
37,11,2027-01-21,Recurso,Escritório
38,12,2025-09-20,Despacho,Parte contrária
39,12,2026-01-04,Sentença,Tribunal
40,13,2026-02-15,Recurso,Tribunal
41,13,2026-06-11,Recurso,Escritório
42,14,2026-12-30,Sentença,Tribunal
43,14,2026-04-18,Despacho,Escritório
44,15,2025-09-02,Recurso,Escritório
45,15,2025-09-09,Sentença,Parte contrária
46,15,2026-05-31,Recurso,Tribunal
47,16,2026-08-20,Despacho,Tribunal
48,16,2027-05-22,Despacho,Tribunal
49,16,2027-03-11,Despacho,Parte contrária
50,17,2026-05-23,Despacho,Escritório
51,17,2026-03-28,Sentença,Tribunal
52,18,2026-10-24,Decisão,Parte contrária
53,18,2026-08-06,Decisão,Parte contrária
54,18,2025-09-13,Decisão,Parte contrária
55,18,2025-09-20,Despacho,Tribunal
56,18,2026-10-28,Decisão,Escritório
57,19,2026-08-12,Despacho,Parte contrária
58,19,2025-08-21,Sentença,Parte contrária
59,19,2026-04-08,Despacho,Tribunal
60,19,2026-05-07,Decisão,Parte contrária
61,20,2026-07-14,Despacho,Tribunal
62,20,2026-12-30,Petição,Parte contrária
63,20,2026-01-04,Decisão,Parte contrária
64,20,2025-11-28,Petição,Parte contrária
65,21,2026-05-25,Sentença,Tribunal
66,21,2026-10-19,Despacho,Escritório
67,21,2026-07-14,Despacho,Escritório
68,21,2026-12-30,Sentença,Escritório
69,21,2027-03-20,Decisão,Escritório
70,22,2026-06-06,Decisão,Parte contrária
71,22,2026-04-08,Recurso,Tribunal
72,22,2026-01-22,Petição,Parte contrária
73,22,2027-05-01,Petição,Escritório
74,23,2027-09-19,Petição,Parte contrária
75,23,2027-08-25,Petição,Tribunal
76,23,2026-10-24,Decisão,Tribunal
77,23,2026-11-26,Despacho,Tribunal
78,24,2027-02-05,Despacho,Tribunal
79,24,2026-09-26,Petição,Parte contrária
80,24,2026-10-28,Sentença,Parte contrária
81,24,2027-05-22,Recurso,Parte contrária
82,24,2027-03-14,Despacho,Tribunal
83,25,2026-07-06,Recurso,Escritório
84,25,2026-07-02,Decisão,Tribunal
85,25,2026-07-28,Despacho,Tribunal
86,25,2026-07-20,Recurso,Parte contrária
87,25,2027-01-08,Recurso,Escritório
88,26,2026-11-11,Decisão,Escritório
89,26,2026-01-14,Recurso,Parte contrária
90,26,2026-09-23,Sentença,Parte contrária
91,26,2026-05-21,Petição,Tribunal
92,26,2026-12-18,Sentença,Escritório
93,27,2026-04-17,Petição,Escritório
94,27,2026-09-08,Recurso,Escritório
95,27,2026-05-25,Despacho,Parte contrária
96,28,2027-01-02,Despacho,Parte contrária
97,28,2026-12-27,Decisão,Escritório
98,28,2026-03-17,Sentença,Escritório
99,28,2027-01-28,Petição,Parte contrária
100,29,2026-08-18,Recurso,Parte contrária
101,29,2026-08-06,Petição,Parte contrária
102,29,2026-06-24,Sentença,Tribunal
103,29,2026-02-17,Despacho,Parte contrária
104,29,2026-06-17,Recurso,Parte contrária
105,30,2026-07-29,Recurso,Parte contrária
106,30,2026-04-23,Decisão,Parte contrária
107,31,2026-10-07,Despacho,Parte contrária
108,31,2026-09-27,Petição,Tribunal
109,31,2026-04-10,Petição,Tribunal
110,31,2026-12-10,Decisão,Parte contrária
