cliente_id;codigo_cliente;regime_id;setor;uf;status
1;  EMP-00001  ;1;Comércio;SP;Ativo
2;  EMP-00002  ;2;Construção;PR;Ativo
3;  EMP-00003  ;2;Saúde;SC;Ativo
4;  EMP-00004  ;3;Serviços;SC;Inativo
5;EMP-00005;2;Serviços;SP;Ativo
6;EMP-00006;3;Indústria;MG;Ativo
7;EMP-00007;3;Serviços;SP;Ativo
8;EMP-00008;4;Saúde;SP;Ativo
9;EMP-00009;4;Construção;SP;Ativo
10;EMP-00010;1;Indústria;SC;Ativo
11;EMP-00011;2;Comércio;MG;Ativo
12;EMP-00012;4;Saúde;PR;Ativo
13;EMP-00013;4;Indústria;SP;Ativo
14;EMP-00014;1;Comércio;MG;Ativo
15;EMP-00015;1;Serviços;PR;Ativo
16;EMP-00016;4;Serviços;SP;Ativo
17;EMP-00017;1;Serviços;SC;Ativo
18;EMP-00018;1;Indústria;RJ;Inativo
19;EMP-00019;3;Serviços;MG;Inativo
20;EMP-00020;3;Construção;MG;Ativo
21;EMP-00021;1;Construção;SC;Ativo
22;EMP-00022;2;Saúde;RJ;Ativo
23;EMP-00023;1;Construção;RJ;Ativo
24;EMP-00024;3;Indústria;RJ;Ativo
25;EMP-00025;3;Indústria;PR;Ativo
26;EMP-00026;1;Indústria;SP;Ativo
27;EMP-00027;2;Indústria;SP;Ativo
28;EMP-00028;2;Comércio;PR;Ativo
29;EMP-00029;2;Indústria;PR;Ativo
30;EMP-00030;1;Construção;SP;Ativo
31;EMP-00031;3;Indústria;SP;Ativo
32;EMP-00032;1;Saúde;MG;Inativo
33;EMP-00033;4;Saúde;SC;Ativo
34;EMP-00034;2;Serviços;PR;Ativo
35;EMP-00035;1;Construção;PR;Ativo
36;EMP-00036;4;Construção;MG;Inativo
37;EMP-00037;1;Indústria;RJ;Ativo
38;EMP-00038;1;Construção;MG;Ativo
39;EMP-00039;2;Serviços;PR;Ativo
40;EMP-00040;2;Indústria;MG;Ativo
41;EMP-00041;4;Construção;RJ;Ativo
42;EMP-00042;2;Indústria;MG;Ativo
43;EMP-00043;3;Serviços;SC;Ativo
44;EMP-00044;1;Indústria;SP;Ativo
45;EMP-00045;3;Serviços;RJ;Ativo
46;EMP-00046;2;Construção;MG;Ativo
47;EMP-00047;1;Comércio;SC;Ativo
48;EMP-00048;3;Saúde;PR;Ativo
49;EMP-00049;1;Saúde;SC;Ativo
50;EMP-00050;2;Comércio;SP;Ativo
51;EMP-00051;2;Comércio;SC;Inativo
52;EMP-00052;3;Construção;SC;Ativo
53;EMP-00053;4;Serviços;RJ;Ativo
54;EMP-00054;4;Saúde;SP;Ativo
55;EMP-00055;1;Construção;PR;Ativo
56;EMP-00056;2;Comércio;MG;Ativo
57;EMP-00057;3;Saúde;SP;Ativo
58;EMP-00058;1;Indústria;SP;Ativo
59;EMP-00059;1;Indústria;RJ;Ativo
60;EMP-00060;2;Comércio;PR;Ativo
61;EMP-00061;4;Indústria;SP;Ativo
62;EMP-00062;4;Construção;RJ;Ativo
63;EMP-00063;2;Comércio;RJ;Inativo
64;EMP-00064;3;Indústria;MG;Ativo
65;EMP-00065;3;Indústria;SP;Inativo
66;EMP-00066;4;Serviços;MG;Ativo
67;EMP-00067;2;Comércio;SC;Ativo
68;EMP-00068;3;Serviços;SC;Ativo
69;EMP-00069;1;Indústria;MG;Ativo
70;EMP-00070;3;Comércio;PR;Ativo
71;EMP-00071;2;Construção;SP;Ativo
72;EMP-00072;1;Construção;SP;Ativo
73;EMP-00073;2;Construção;RJ;Ativo
74;EMP-00074;3;Indústria;PR;Ativo
75;EMP-00075;2;Saúde;SC;Ativo
76;EMP-00076;3;Saúde;RJ;Inativo
77;EMP-00077;2;Serviços;RJ;Ativo
78;EMP-00078;3;Indústria;MG;Ativo
79;EMP-00079;4;Construção;PR;Ativo
80;EMP-00080;2;Construção;RJ;Ativo
81;EMP-00081;1;Indústria;SP;Ativo
82;EMP-00082;4;Saúde;RJ;Inativo
83;EMP-00083;4;Construção;MG;Ativo
84;EMP-00084;1;Saúde;SC;Inativo
85;EMP-00085;4;Serviços;SP;Ativo
86;EMP-00086;4;Saúde;MG;Ativo
87;EMP-00087;4;Indústria;SC;Ativo
88;EMP-00088;1;Indústria;SC;Ativo
89;EMP-00089;3;Indústria;RJ;Ativo
90;EMP-00090;3;Comércio;SC;Ativo
91;EMP-00091;4;Serviços;SC;Ativo
92;EMP-00092;1;Indústria;SC;Ativo
93;EMP-00093;2;Saúde;MG;Ativo
94;EMP-00094;2;Serviços;PR;Ativo
95;EMP-00095;2;Serviços;PR;Ativo
96;EMP-00096;4;Indústria;PR;Inativo
97;EMP-00097;3;Construção;RJ;Ativo
98;EMP-00098;4;Serviços;RJ;Ativo
99;EMP-00099;3;Serviços;SC;Ativo
100;EMP-00100;2;Saúde;MG;Ativo
101;EMP-00101;1;Saúde;PR;Ativo
102;EMP-00102;4;Construção;PR;Ativo
103;EMP-00103;4;Saúde;MG;Ativo
104;EMP-00104;1;Comércio;MG;Inativo
105;EMP-00105;4;Construção;RJ;Inativo
106;EMP-00106;1;Indústria;MG;Ativo
107;EMP-00107;4;Comércio;RJ;Ativo
108;EMP-00108;2;Indústria;RJ;Ativo
109;EMP-00109;2;Serviços;MG;Inativo
110;EMP-00110;4;Serviços;MG;Ativo
111;EMP-00111;2;Comércio;RJ;Inativo
112;EMP-00112;4;Construção;SP;Ativo
113;EMP-00113;3;Construção;RJ;Ativo
114;EMP-00114;3;Indústria;PR;Ativo
115;EMP-00115;4;Comércio;MG;Ativo
116;EMP-00116;1;Construção;RJ;Ativo
117;EMP-00117;4;Serviços;RJ;Ativo
118;EMP-00118;1;Construção;PR;Ativo
119;EMP-00119;3;Saúde;SP;Ativo
120;EMP-00120;3;Construção;SP;Ativo
121;EMP-00121;2;Construção;SC;Ativo
122;EMP-00122;4;Comércio;RJ;Ativo
123;EMP-00123;1;Serviços;SC;Ativo
124;EMP-00124;2;Indústria;SC;Ativo
125;EMP-00125;2;Construção;SC;Ativo
126;EMP-00126;1;Comércio;RJ;Ativo
127;EMP-00127;4;Saúde;SP;Ativo
128;EMP-00128;2;Construção;PR;Ativo
129;EMP-00129;1;Construção;PR;Ativo
130;EMP-00130;3;Serviços;RJ;Ativo
131;EMP-00131;2;Serviços;RJ;Ativo
132;EMP-00132;1;Construção;PR;Ativo
133;EMP-00133;3;Comércio;RJ;Ativo
134;EMP-00134;1;Comércio;MG;Ativo
135;EMP-00135;4;Comércio;RJ;Ativo
136;EMP-00136;1;Comércio;MG;Ativo
137;EMP-00137;1;Saúde;PR;Inativo
138;EMP-00138;2;Serviços;RJ;Ativo
139;EMP-00139;2;Indústria;SP;Ativo
140;EMP-00140;4;Serviços;PR;Ativo
141;EMP-00141;1;Serviços;RJ;Ativo
142;EMP-00142;3;Construção;RJ;Ativo
143;EMP-00143;4;Serviços;PR;Ativo
144;EMP-00144;3;Serviços;SP;Inativo
145;EMP-00145;3;Comércio;PR;Ativo
146;EMP-00146;1;Comércio;SC;Ativo
147;EMP-00147;1;Comércio;PR;Ativo
148;EMP-00148;4;Serviços;SP;Ativo
149;EMP-00149;3;Serviços;SP;Ativo
150;EMP-00150;1;Construção;SP;Inativo
151;EMP-00151;4;Serviços;RJ;Ativo
152;EMP-00152;1;Indústria;SP;Ativo
153;EMP-00153;3;Saúde;PR;Ativo
154;EMP-00154;1;Saúde;SP;Ativo
155;EMP-00155;2;Comércio;MG;Ativo
156;EMP-00156;4;Serviços;MG;Ativo
157;EMP-00157;2;Construção;SC;Ativo
158;EMP-00158;4;Serviços;SP;Ativo
159;EMP-00159;3;Construção;SC;Ativo
160;EMP-00160;1;Saúde;SP;Ativo
161;EMP-00161;2;Comércio;RJ;Ativo
162;EMP-00162;4;Serviços;SP;Ativo
163;EMP-00163;1;Comércio;SC;Ativo
164;EMP-00164;4;Serviços;RJ;Ativo
165;EMP-00165;3;Saúde;RJ;Ativo
166;EMP-00166;4;Construção;PR;Ativo
167;EMP-00167;1;Construção;PR;Ativo
168;EMP-00168;1;Indústria;RJ;Ativo
169;EMP-00169;4;Indústria;SP;Ativo
170;EMP-00170;4;Serviços;SC;Ativo
171;EMP-00171;1;Serviços;MG;Inativo
172;EMP-00172;3;Comércio;SC;Ativo
173;EMP-00173;1;Comércio;RJ;Ativo
174;EMP-00174;4;Serviços;PR;Ativo
175;EMP-00175;4;Comércio;RJ;Ativo
176;EMP-00176;3;Indústria;MG;Ativo
177;EMP-00177;2;Saúde;SC;Ativo
178;EMP-00178;3;Comércio;RJ;Ativo
179;EMP-00179;1;Saúde;SP;Ativo
180;EMP-00180;3;Construção;SP;Inativo
181;EMP-00181;3;Saúde;MG;Ativo
182;EMP-00182;2;Saúde;MG;Ativo
183;EMP-00183;4;Serviços;SP;Ativo
184;EMP-00184;4;Comércio;MG;Ativo
185;EMP-00185;4;Construção;PR;Ativo
186;EMP-00186;1;Serviços;PR;Ativo
187;EMP-00187;1;Serviços;SP;Ativo
188;EMP-00188;2;Saúde;RJ;Ativo
189;EMP-00189;3;Indústria;SC;Ativo
190;EMP-00190;2;Comércio;SC;Ativo
191;EMP-00191;2;Serviços;RJ;Ativo
192;EMP-00192;4;Comércio;SC;Ativo
193;EMP-00193;4;Serviços;PR;Ativo
194;EMP-00194;4;Saúde;PR;Ativo
195;EMP-00195;2;Serviços;SP;Ativo
196;EMP-00196;2;Construção;MG;Ativo
197;EMP-00197;3;Construção;PR;Inativo
198;EMP-00198;1;Indústria;SP;Ativo
