honorario_id;cliente_id;competencia;valor;data_vencimento;data_pagamento;status
1;1;  2025-07  ;818,41;2025-07-16;2025-07-28;Pago
2;1;  2025-07  ;2645,22;2025-08-12;;Pendente
3;1;  2025-08  ;2269,97;2025-09-13;2025-09-18;Pago
4;1;  2025-09  ;4032,69;2025-10-19;2025-11-02;Pago
5;1;2025-10;3561,94;2025-11-16;2025-11-26;Pago
6;1;2025-11;2861,17;2025-12-11;2025-12-17;Pago
7;1;2025-12;846,28;2026-01-13;;Pendente
8;1;2026-01;923,01;2026-02-06;2026-02-06;Pago
9;1;2026-02;1307,74;2026-03-10;2026-03-23;Pago
10;1;2026-03;3285,26;2026-04-10;2026-04-21;Pago
11;1;2026-04;1138,2;2026-05-21;2026-06-02;Pago
12;1;2026-05;3552,89;2026-06-11;2026-06-18;Pago
13;2;2025-07;3936,84;2025-07-23;;Pendente
14;2;2025-07;4420,3;2025-08-12;2025-08-19;Pago
15;2;2025-08;1034,65;2025-09-12;2025-09-11;Pago
16;2;2025-09;3747,08;2025-10-13;2025-10-22;Pago
17;2;2025-10;541,32;2025-11-18;2025-11-15;Pago
18;2;2025-11;1357,22;2025-12-19;2025-12-31;Pago
19;2;2025-12;3226,79;2026-01-18;2026-01-25;Pago
20;2;2026-01;2500,02;2026-02-12;;Pendente
21;2;2026-02;688,49;2026-03-21;2026-03-25;Pago
22;2;2026-03;1398,63;2026-04-16;2026-04-23;Pago
23;2;2026-04;4480,35;2026-05-20;;Pendente
24;2;2026-05;1342,87;2026-06-14;2026-06-24;Pago
25;3;2025-07;4052,36;2025-07-11;2025-07-12;Pago
26;3;2025-07;2329,6;2025-08-22;;Pendente
27;3;2025-08;3103,58;2025-09-13;2025-09-24;Pago
28;3;2025-09;4499,9;2025-10-10;2025-10-21;Pago
29;3;2025-10;1237,54;2025-11-08;2025-11-13;Pago
30;3;2025-11;3677,82;2025-12-22;2026-01-06;Pago
31;3;2025-12;3732,04;2026-01-20;2026-01-29;Pago
32;3;2026-01;2222,6;2026-02-18;2026-03-02;Pago
33;3;2026-02;2304,28;2026-03-08;2026-03-19;Pago
34;3;2026-03;3901,95;2026-04-17;2026-04-20;Pago
35;3;2026-04;1584,48;2026-05-09;2026-05-08;Pago
36;3;2026-05;2937,9;2026-06-08;2026-06-18;Pago
37;4;2025-07;2659,41;2025-07-13;2025-07-13;Pago
38;4;2025-07;738,49;2025-08-10;2025-08-21;Pago
39;4;2025-08;3955,09;2025-09-24;2025-09-26;Pago
40;4;2025-09;3333,83;2025-10-24;2025-11-08;Pago
41;4;2025-10;2868,56;2025-11-19;2025-11-27;Pago
42;4;2025-11;3147,0;2025-12-18;2025-12-31;Pago
43;4;2025-12;2328,15;2026-01-07;2026-01-07;Pago
44;4;2026-01;1517,91;2026-02-10;2026-02-24;Pago
45;4;2026-02;2281,13;2026-03-22;2026-03-19;Pago
46;4;2026-03;2975,26;2026-04-08;2026-04-12;Pago
47;4;2026-04;2143,43;2026-05-15;2026-05-30;Pago
48;4;2026-05;4114,1;2026-06-08;;Pendente
49;5;2025-07;1570,27;2025-07-20;2025-07-31;Pago
50;5;2025-07;3441,39;2025-08-21;2025-08-27;Pago
51;5;2025-08;4148,44;2025-09-12;2025-09-20;Pago
52;5;2025-09;3151,27;2025-10-19;2025-11-01;Pago
53;5;2025-10;860,13;2025-11-10;2025-11-20;Pago
54;5;2025-11;2220,27;2025-12-09;2025-12-09;Pago
55;5;2025-12;4014,29;2026-01-14;2026-01-15;Pago
56;5;2026-01;3850,8;2026-02-10;2026-02-12;Pago
57;5;2026-02;3351,12;2026-03-10;2026-03-16;Pago
58;5;2026-03;1428,28;2026-04-14;2026-04-20;Pago
59;5;2026-04;2141,82;2026-05-12;2026-05-12;Pago
60;5;2026-05;2799,23;2026-06-13;2026-06-12;Pago
61;6;2025-07;3436,86;2025-07-19;2025-07-21;Pago
62;6;2025-07;1631,08;2025-08-20;2025-08-21;Pago
63;6;2025-08;4461,86;2025-09-17;2025-09-17;Pago
64;6;2025-09;682,82;2025-10-24;2025-10-29;Pago
65;6;2025-10;2428,92;2025-11-21;;Pendente
66;6;2025-11;789,99;2025-12-21;2025-12-25;Pago
67;6;2025-12;3239,46;2026-01-19;2026-01-24;Pago
68;6;2026-01;500,96;2026-02-07;2026-02-14;Pago
69;6;2026-02;1084,9;2026-03-10;2026-03-15;Pago
70;6;2026-03;1647,28;2026-04-21;2026-04-29;Pago
71;6;2026-04;3581,66;2026-05-14;2026-05-21;Pago
72;6;2026-05;521,06;2026-06-12;2026-06-11;Pago
73;7;2025-07;2367,11;2025-07-26;;Pendente
74;7;2025-07;2046,65;2025-08-12;2025-08-26;Pago
75;7;2025-08;1034,63;2025-09-14;;Pendente
76;7;2025-09;647,43;2025-10-21;;Pendente
77;7;2025-10;4066,89;2025-11-14;;Pendente
78;7;2025-11;2491,1;2025-12-11;2025-12-19;Pago
79;7;2025-12;1475,14;2026-01-21;2026-01-22;Pago
80;7;2026-01;1583,98;2026-02-11;2026-02-10;Pago
81;7;2026-02;3381,71;2026-03-22;2026-04-02;Pago
82;7;2026-03;3060,42;2026-04-09;2026-04-16;Pago
83;7;2026-04;1000,0;2026-05-19;;Pendente
84;7;2026-05;4213,73;2026-06-16;2026-06-14;Pago
85;8;2025-07;3769,76;2025-07-13;2025-07-12;Pago
86;8;2025-07;964,81;2025-08-13;2025-08-15;Pago
87;8;2025-08;1535,54;2025-09-19;2025-09-28;Pago
88;8;2025-09;3441,53;2025-10-21;2025-11-01;Pago
89;8;2025-10;4104,36;2025-11-15;2025-11-19;Pago
90;8;2025-11;2150,4;2025-12-22;2025-12-24;Pago
91;8;2025-12;3633,86;2026-01-11;2026-01-25;Pago
92;8;2026-01;826,4;2026-02-18;2026-02-16;Pago
93;8;2026-02;2094,04;2026-03-20;2026-04-02;Pago
94;8;2026-03;1048,13;2026-04-10;2026-04-20;Pago
95;8;2026-04;3202,71;2026-05-12;2026-05-15;Pago
96;8;2026-05;1839,56;2026-06-11;2026-06-10;Pago
97;9;2025-07;2387,09;2025-07-24;2025-08-04;Pago
98;9;2025-07;2065,28;2025-08-15;2025-08-16;Pago
99;9;2025-08;2937,44;2025-09-10;2025-09-12;Pago
100;9;2025-09;3248,97;2025-10-15;2025-10-22;Pago
101;9;2025-10;2354,03;2025-11-20;;Pendente
102;9;2025-11;4013,17;2025-12-10;2025-12-16;Pago
103;9;2025-12;1505,08;2026-01-15;2026-01-27;Pago
104;9;2026-01;3443,15;2026-02-19;2026-03-01;Pago
105;9;2026-02;3680,13;2026-03-10;2026-03-24;Pago
106;9;2026-03;4135,19;2026-04-11;2026-04-26;Pago
107;9;2026-04;1878,21;2026-05-19;2026-05-30;Pago
108;9;2026-05;1348,02;2026-06-19;2026-06-29;Pago
109;10;2025-07;3226,73;2025-07-21;2025-07-22;Pago
110;10;2025-07;2261,98;2025-08-13;;Pendente
111;10;2025-08;1056,79;2025-09-15;2025-09-12;Pago
112;10;2025-09;2744,24;2025-10-17;2025-10-27;Pago
113;10;2025-10;2584,32;2025-11-15;2025-11-28;Pago
114;10;2025-11;2731,04;2025-12-17;2025-12-17;Pago
115;10;2025-12;2789,16;2026-01-10;2026-01-18;Pago
116;10;2026-01;1352,47;2026-02-19;2026-02-26;Pago
117;10;2026-02;2850,81;2026-03-20;2026-04-03;Pago
118;10;2026-03;2827,19;2026-04-16;2026-04-26;Pago
119;10;2026-04;4184,85;2026-05-17;2026-05-25;Pago
120;10;2026-05;2656,67;2026-06-21;2026-06-21;Pago
121;11;2025-07;4153,13;2025-07-21;2025-07-18;Pago
122;11;2025-07;1794,43;2025-08-10;2025-08-19;Pago
123;11;2025-08;3445,4;2025-09-10;2025-09-19;Pago
124;11;2025-09;575,93;2025-10-15;2025-10-28;Pago
125;11;2025-10;1006,56;2025-11-12;2025-11-25;Pago
126;11;2025-11;3115,74;2025-12-09;2025-12-23;Pago
127;11;2025-12;3299,3;2026-01-16;2026-01-22;Pago
128;11;2026-01;4493,74;2026-02-15;2026-02-12;Pago
129;11;2026-02;975,19;2026-03-21;2026-04-04;Pago
130;11;2026-03;2247,68;2026-04-07;2026-04-04;Pago
131;11;2026-04;1288,38;2026-05-13;2026-05-15;Pago
132;11;2026-05;3515,64;2026-06-15;2026-06-12;Pago
133;12;2025-07;459,97;2025-07-21;2025-07-26;Pago
134;12;2025-07;4100,55;2025-08-24;2025-08-21;Pago
135;12;2025-08;2228,09;2025-09-17;;Pendente
136;12;2025-09;1010,66;2025-10-09;2025-10-22;Pago
137;12;2025-10;3672,91;2025-11-20;2025-11-17;Pago
138;12;2025-11;1324,35;2025-12-20;2026-01-01;Pago
139;12;2025-12;3084,95;2026-01-22;2026-02-04;Pago
140;12;2026-01;2526,72;2026-02-13;2026-02-16;Pago
141;12;2026-02;841,41;2026-03-13;2026-03-24;Pago
142;12;2026-03;1683,18;2026-04-08;2026-04-13;Pago
143;12;2026-04;838,23;2026-05-22;2026-05-26;Pago
144;12;2026-05;3290,18;2026-06-21;2026-06-27;Pago
145;13;2025-07;469,76;2025-07-12;2025-07-18;Pago
146;13;2025-07;2299,3;2025-08-17;2025-08-20;Pago
147;13;2025-08;2392,86;2025-09-13;2025-09-13;Pago
148;13;2025-09;1483,01;2025-10-15;2025-10-28;Pago
149;13;2025-10;818,16;2025-11-16;2025-11-15;Pago
150;13;2025-11;4246,32;2025-12-17;2025-12-25;Pago
151;13;2025-12;4454,78;2026-01-12;2026-01-21;Pago
152;13;2026-01;2725,54;2026-02-07;2026-02-17;Pago
153;13;2026-02;3267,4;2026-03-14;;Pendente
154;13;2026-03;3466,83;2026-04-20;2026-05-01;Pago
155;13;2026-04;2643,66;2026-05-15;2026-05-29;Pago
156;13;2026-05;3793,44;2026-06-13;2026-06-14;Pago
157;14;2025-07;2023,31;2025-07-24;2025-07-29;Pago
158;14;2025-07;823,43;2025-08-22;2025-08-31;Pago
159;14;2025-08;1736,44;2025-09-13;2025-09-17;Pago
160;14;2025-09;3490,77;2025-10-15;2025-10-14;Pago
161;14;2025-10;2256,28;2025-11-12;2025-11-20;Pago
162;14;2025-11;690,26;2025-12-11;2025-12-23;Pago
163;14;2025-12;3057,96;2026-01-15;2026-01-17;Pago
164;14;2026-01;3758,75;2026-02-18;2026-03-01;Pago
165;14;2026-02;882,46;2026-03-11;2026-03-13;Pago
166;14;2026-03;1951,06;2026-04-08;2026-04-05;Pago
167;14;2026-04;661,45;2026-05-18;2026-05-16;Pago
168;14;2026-05;2633,05;2026-06-14;2026-06-15;Pago
169;15;2025-07;2151,65;2025-07-11;2025-07-09;Pago
170;15;2025-07;4432,5;2025-08-14;2025-08-13;Pago
171;15;2025-08;2972,31;2025-09-19;2025-09-25;Pago
172;15;2025-09;4489,78;2025-10-19;;Pendente
173;15;2025-10;1548,18;2025-11-18;2025-11-24;Pago
174;15;2025-11;1955,01;2025-12-23;2025-12-20;Pago
175;15;2025-12;2479,14;2026-01-08;2026-01-12;Pago
176;15;2026-01;1479,53;2026-02-09;2026-02-16;Pago
177;15;2026-02;1652,12;2026-03-10;2026-03-20;Pago
178;15;2026-03;2594,17;2026-04-19;2026-04-17;Pago
179;15;2026-04;3706,91;2026-05-10;2026-05-22;Pago
180;15;2026-05;1569,39;2026-06-11;2026-06-16;Pago
181;16;2025-07;2225,44;2025-07-22;;Pendente
182;16;2025-07;1186,3;2025-08-20;;Pendente
183;16;2025-08;2007,81;2025-09-23;2025-10-04;Pago
184;16;2025-09;3752,74;2025-10-14;2025-10-19;Pago
185;16;2025-10;3138,19;2025-11-10;2025-11-08;Pago
186;16;2025-11;489,38;2025-12-15;2025-12-12;Pago
187;16;2025-12;3129,53;2026-01-17;2026-01-26;Pago
188;16;2026-01;4249,31;2026-02-17;2026-02-23;Pago
189;16;2026-02;575,06;2026-03-14;;Pendente
190;16;2026-03;2281,58;2026-04-22;2026-05-06;Pago
191;16;2026-04;1205,49;2026-05-21;;Pendente
192;16;2026-05;727,4;2026-06-06;2026-06-04;Pago
193;17;2025-07;1104,64;2025-07-22;2025-07-19;Pago
194;17;2025-07;4000,62;2025-08-20;2025-08-17;Pago
195;17;2025-08;2131,97;2025-09-10;;Pendente
196;17;2025-09;3159,19;2025-10-24;2025-10-21;Pago
197;17;2025-10;1291,49;2025-11-20;2025-11-28;Pago
198;17;2025-11;3836,4;2025-12-14;2025-12-19;Pago
199;17;2025-12;4110,16;2026-01-12;2026-01-09;Pago
200;17;2026-01;2025,93;2026-02-20;2026-02-27;Pago
201;17;2026-02;1308,48;2026-03-13;2026-03-19;Pago
202;17;2026-03;3586,87;2026-04-09;;Pendente
203;17;2026-04;2928,39;2026-05-09;2026-05-06;Pago
204;17;2026-05;788,0;2026-06-14;2026-06-23;Pago
205;18;2025-07;2022,4;2025-07-11;2025-07-14;Pago
206;18;2025-07;3939,61;2025-08-16;2025-08-18;Pago
207;18;2025-08;4252,67;2025-09-24;2025-10-04;Pago
208;18;2025-09;3134,52;2025-10-12;2025-10-14;Pago
209;18;2025-10;2158,67;2025-11-11;2025-11-25;Pago
210;18;2025-11;4088,34;2025-12-08;;Pendente
211;18;2025-12;1629,25;2026-01-17;2026-01-29;Pago
212;18;2026-01;2308,28;2026-02-18;2026-02-28;Pago
213;18;2026-02;1872,73;2026-03-11;2026-03-14;Pago
214;18;2026-03;997,25;2026-04-17;2026-04-21;Pago
215;18;2026-04;3460,35;2026-05-10;2026-05-19;Pago
216;18;2026-05;1832,22;2026-06-10;2026-06-18;Pago
217;19;2025-07;3956,32;2025-07-25;2025-08-02;Pago
218;19;2025-07;1142,35;2025-08-24;2025-08-31;Pago
219;19;2025-08;3380,78;2025-09-10;2025-09-14;Pago
220;19;2025-09;781,41;2025-10-18;2025-10-22;Pago
