imposto_id;cliente_id;competencia;tributo;valor_apurado;data_vencimento
1;1;  2025-07  ;IRPJ/CSLL;17190,51;2025-07-16
2;1;  2025-07  ;ICMS;20907,18;2025-08-12
3;1;  2025-08  ;ISS;35566,75;2025-09-13
4;1;  2025-09  ;ICMS;49268,99;2025-10-19
5;1;2025-10;IRPJ/CSLL;7351,01;2025-11-16
6;1;2025-11;INSS;9117,13;2025-12-11
7;1;2025-12;INSS;8530,77;2026-01-13
8;1;2026-01;PIS/COFINS;52687,16;2026-02-06
9;1;2026-02;IRPJ/CSLL;61684,43;2026-03-10
10;1;2026-03;PIS/COFINS;47426,67;2026-04-10
11;1;2026-04;ICMS;7478,96;2026-05-21
12;1;2026-05;IRPJ/CSLL;1252,83;2026-06-11
13;2;2025-07;FGTS;62694,83;2025-07-23
14;2;2025-07;IRPJ/CSLL;57595,78;2025-08-12
15;2;2025-08;IRPJ/CSLL;7442,1;2025-09-12
16;2;2025-09;IRPJ/CSLL;1035,63;2025-10-13
17;2;2025-10;INSS;61923,08;2025-11-18
18;2;2025-11;ICMS;57908,27;2025-12-19
19;2;2025-12;PIS/COFINS;34763,26;2026-01-18
20;2;2026-01;INSS;52132,58;2026-02-12
21;2;2026-02;ISS;5988,13;2026-03-21
22;2;2026-03;ICMS;52515,08;2026-04-16
23;2;2026-04;PIS/COFINS;46671,21;2026-05-20
24;2;2026-05;ICMS;17286,34;2026-06-14
25;3;2025-07;FGTS;3100,42;2025-07-11
26;3;2025-07;FGTS;27667,74;2025-08-22
27;3;2025-08;PIS/COFINS;9076,17;2025-09-13
28;3;2025-09;ICMS;55495,01;2025-10-10
29;3;2025-10;FGTS;53245,51;2025-11-08
30;3;2025-11;FGTS;53870,21;2025-12-22
31;3;2025-12;IRPJ/CSLL;16131,23;2026-01-20
32;3;2026-01;FGTS;58528,27;2026-02-18
33;3;2026-02;ICMS;19104,27;2026-03-08
34;3;2026-03;ISS;10869,68;2026-04-17
35;3;2026-04;ICMS;47260,1;2026-05-09
36;3;2026-05;PIS/COFINS;63755,32;2026-06-08
37;4;2025-07;PIS/COFINS;47145,93;2025-07-13
38;4;2025-07;FGTS;43633,07;2025-08-10
39;4;2025-08;FGTS;43551,74;2025-09-24
40;4;2025-09;IRPJ/CSLL;42343,32;2025-10-24
41;4;2025-10;IRPJ/CSLL;10902,27;2025-11-19
42;4;2025-11;IRPJ/CSLL;6343,72;2025-12-18
43;4;2025-12;PIS/COFINS;27173,86;2026-01-07
44;4;2026-01;INSS;55520,06;2026-02-10
45;4;2026-02;ISS;51382,13;2026-03-22
46;4;2026-03;IRPJ/CSLL;7254,64;2026-04-08
47;4;2026-04;ICMS;19486,77;2026-05-15
48;4;2026-05;PIS/COFINS;18951,26;2026-06-08
49;5;2025-07;PIS/COFINS;47647,31;2025-07-20
50;5;2025-07;PIS/COFINS;1170,16;2025-08-21
51;5;2025-08;FGTS;60073,82;2025-09-12
52;5;2025-09;ICMS;27475,42;2025-10-19
53;5;2025-10;PIS/COFINS;36995,82;2025-11-10
54;5;2025-11;FGTS;59903,28;2025-12-09
55;5;2025-12;ISS;30329,11;2026-01-14
56;5;2026-01;FGTS;51996,15;2026-02-10
57;5;2026-02;IRPJ/CSLL;17544,98;2026-03-10
58;5;2026-03;ICMS;34720,78;2026-04-14
59;5;2026-04;ICMS;48596,3;2026-05-12
60;5;2026-05;INSS;17607,03;2026-06-13
61;6;2025-07;IRPJ/CSLL;24447,08;2025-07-19
62;6;2025-07;PIS/COFINS;14349,62;2025-08-20
63;6;2025-08;IRPJ/CSLL;51061,18;2025-09-17
64;6;2025-09;ICMS;64923,97;2025-10-24
65;6;2025-10;IRPJ/CSLL;29420,27;2025-11-21
66;6;2025-11;ISS;2748,7;2025-12-21
67;6;2025-12;INSS;38766,94;2026-01-19
68;6;2026-01;ICMS;56477,5;2026-02-07
69;6;2026-02;INSS;34842,65;2026-03-10
70;6;2026-03;FGTS;22381,05;2026-04-21
71;6;2026-04;IRPJ/CSLL;29836,2;2026-05-14
72;6;2026-05;INSS;37280,19;2026-06-12
73;7;2025-07;IRPJ/CSLL;37490,28;2025-07-26
74;7;2025-07;PIS/COFINS;41003,35;2025-08-12
75;7;2025-08;PIS/COFINS;20111,24;2025-09-14
76;7;2025-09;ISS;60203,33;2025-10-21
77;7;2025-10;INSS;15698,4;2025-11-14
78;7;2025-11;ISS;1170,36;2025-12-11
79;7;2025-12;ISS;38263,86;2026-01-21
80;7;2026-01;PIS/COFINS;53429,21;2026-02-11
81;7;2026-02;ICMS;12511,62;2026-03-22
82;7;2026-03;PIS/COFINS;60561,93;2026-04-09
83;7;2026-04;ISS;6742,57;2026-05-19
84;7;2026-05;INSS;11166,8;2026-06-16
85;8;2025-07;PIS/COFINS;22595,05;2025-07-13
86;8;2025-07;INSS;33087,97;2025-08-13
87;8;2025-08;FGTS;45218,12;2025-09-19
88;8;2025-09;INSS;58165,94;2025-10-21
89;8;2025-10;INSS;6059,54;2025-11-15
90;8;2025-11;ISS;10685,06;2025-12-22
91;8;2025-12;PIS/COFINS;42933,76;2026-01-11
92;8;2026-01;INSS;2657,02;2026-02-18
93;8;2026-02;ICMS;40658,4;2026-03-20
94;8;2026-03;ICMS;63002,16;2026-04-10
95;8;2026-04;IRPJ/CSLL;53352,14;2026-05-12
96;8;2026-05;ICMS;25407,11;2026-06-11
97;9;2025-07;FGTS;22438,81;2025-07-24
98;9;2025-07;ICMS;19650,71;2025-08-15
99;9;2025-08;ISS;21461,36;2025-09-10
100;9;2025-09;ISS;27570,36;2025-10-15
101;9;2025-10;ISS;13531,5;2025-11-20
102;9;2025-11;FGTS;16147,49;2025-12-10
103;9;2025-12;IRPJ/CSLL;49968,73;2026-01-15
104;9;2026-01;FGTS;58771,22;2026-02-19
105;9;2026-02;INSS;51388,88;2026-03-10
106;9;2026-03;PIS/COFINS;45033,83;2026-04-11
107;9;2026-04;FGTS;7287,73;2026-05-19
108;9;2026-05;ISS;26379,82;2026-06-19
109;10;2025-07;ICMS;34722,32;2025-07-21
110;10;2025-07;PIS/COFINS;31280,92;2025-08-13
111;10;2025-08;ISS;36323,28;2025-09-15
112;10;2025-09;PIS/COFINS;64538,29;2025-10-17
113;10;2025-10;IRPJ/CSLL;41776,59;2025-11-15
114;10;2025-11;ISS;3245,35;2025-12-17
115;10;2025-12;ICMS;21489,71;2026-01-10
116;10;2026-01;PIS/COFINS;19556,84;2026-02-19
117;10;2026-02;PIS/COFINS;11600,17;2026-03-20
118;10;2026-03;ICMS;13637,13;2026-04-16
119;10;2026-04;ISS;32131,54;2026-05-17
120;10;2026-05;ISS;14499,87;2026-06-21
121;11;2025-07;IRPJ/CSLL;12731,42;2025-07-21
122;11;2025-07;PIS/COFINS;26381,06;2025-08-10
123;11;2025-08;IRPJ/CSLL;42171,78;2025-09-10
124;11;2025-09;FGTS;31500,09;2025-10-15
125;11;2025-10;ICMS;11229,64;2025-11-12
126;11;2025-11;ICMS;37401,63;2025-12-09
127;11;2025-12;ISS;55907,8;2026-01-16
128;11;2026-01;PIS/COFINS;36986,61;2026-02-15
129;11;2026-02;FGTS;23821,29;2026-03-21
130;11;2026-03;ISS;2183,4;2026-04-07
131;11;2026-04;FGTS;11049,01;2026-05-13
132;11;2026-05;IRPJ/CSLL;11797,22;2026-06-15
133;12;2025-07;INSS;40999,12;2025-07-21
134;12;2025-07;PIS/COFINS;51396,87;2025-08-24
135;12;2025-08;PIS/COFINS;39830,69;2025-09-17
136;12;2025-09;PIS/COFINS;13727,39;2025-10-09
137;12;2025-10;PIS/COFINS;34880,29;2025-11-20
138;12;2025-11;PIS/COFINS;40868,75;2025-12-20
139;12;2025-12;ICMS;15365,22;2026-01-22
140;12;2026-01;ISS;60684,78;2026-02-13
141;12;2026-02;INSS;21497,99;2026-03-13
142;12;2026-03;IRPJ/CSLL;43179,79;2026-04-08
143;12;2026-04;ISS;10602,37;2026-05-22
144;12;2026-05;PIS/COFINS;13651,78;2026-06-21
145;13;2025-07;INSS;55056,71;2025-07-12
146;13;2025-07;IRPJ/CSLL;23948,2;2025-08-17
147;13;2025-08;ISS;39875,25;2025-09-13
148;13;2025-09;ISS;48517,67;2025-10-15
149;13;2025-10;IRPJ/CSLL;21049,34;2025-11-16
150;13;2025-11;PIS/COFINS;1750,74;2025-12-17
151;13;2025-12;PIS/COFINS;43771,28;2026-01-12
152;13;2026-01;INSS;32725,91;2026-02-07
153;13;2026-02;FGTS;56365,73;2026-03-14
154;13;2026-03;ISS;26626,95;2026-04-20
155;13;2026-04;PIS/COFINS;17940,01;2026-05-15
156;13;2026-05;INSS;59786,15;2026-06-13
157;14;2025-07;IRPJ/CSLL;20723,29;2025-07-24
158;14;2025-07;ICMS;2334,84;2025-08-22
159;14;2025-08;ICMS;56699,8;2025-09-13
160;14;2025-09;ISS;22853,43;2025-10-15
161;14;2025-10;INSS;13423,37;2025-11-12
162;14;2025-11;ISS;47859,19;2025-12-11
163;14;2025-12;ISS;20166,77;2026-01-15
164;14;2026-01;PIS/COFINS;25675,35;2026-02-18
165;14;2026-02;IRPJ/CSLL;47975,28;2026-03-11
166;14;2026-03;INSS;23801,52;2026-04-08
167;14;2026-04;PIS/COFINS;26648,45;2026-05-18
168;14;2026-05;IRPJ/CSLL;34299,21;2026-06-14
169;15;2025-07;INSS;36214,52;2025-07-11
170;15;2025-07;ICMS;39203,27;2025-08-14
