guia_id,imposto_id,valor,data_vencimento,data_pagamento,status
1,1,17190.51,2025-07-16,2025-07-28,Pago
2,2,20907.18,2025-12-08,,Vencido
3,3,35566.75,2025-09-13,2025-09-18,Pago
4,4,49268.99,2025-10-19,2025-11-02,Pago
5,5,7351.01,2025-11-16,2025-11-26,Pago
6,6,9117.13,2025-12-11,2025-12-17,Pago
7,7,8530.77,2026-01-13,,Vencido
8,8,52687.16,2026-02-06,2026-02-06,Pago
9,9,61684.43,2026-03-10,2026-03-23,Pago
10,10,47426.67,2026-04-10,2026-04-21,Pago
11,11,7478.96,2026-05-21,2026-06-02,Pago
12,12,1252.83,2026-06-11,2026-06-18,Pago
13,13,62694.83,2025-07-23,,Vencido
14,14,57595.78,2025-08-12,2025-08-19,Pago
15,15,7442.1,2025-09-12,2025-09-11,Pago
16,16,1035.63,2025-10-13,2025-10-22,Pago
17,17,61923.08,2025-11-18,2025-11-15,Pago
18,18,57908.27,2025-12-19,2025-12-31,Pago
19,19,34763.26,2026-01-18,2026-01-25,Pago
20,20,52132.58,2026-02-12,,Vencido
21,21,5988.13,2026-03-21,2026-03-25,Pago
22,22,52515.08,2026-04-16,2026-04-23,Pago
23,23,46671.21,2026-05-20,,Vencido
24,24,17286.34,2026-06-14,2026-06-24,Pago
25,25,3100.42,2025-07-11,2025-07-12,Pago
26,26,27667.74,2025-08-22,,Vencido
27,27,9076.17,2025-09-13,2025-09-24,Pago
28,28,55495.01,2025-10-10,2025-10-21,Pago
29,29,53245.51,2025-11-08,2025-11-13,Pago
30,30,53870.21,2025-12-22,2026-01-06,Pago
31,31,16131.23,2026-01-20,2026-01-29,Pago
32,32,58528.27,2026-02-18,2026-03-02,Pago
33,33,19104.27,2026-03-08,2026-03-19,Pago
34,34,10869.68,2026-04-17,2026-04-20,Pago
35,35,47260.1,2026-05-09,2026-05-08,Pago
36,36,63755.32,2026-06-08,2026-06-18,Pago
37,37,47145.93,2025-07-13,2025-07-13,Pago
38,38,43633.07,2025-08-10,2025-08-21,Pago
39,39,43551.74,2025-09-24,2025-09-26,Pago
40,40,42343.32,2025-10-24,2025-11-08,Pago
41,41,10902.27,2025-11-19,2025-11-27,Pago
42,42,6343.72,2025-12-18,2025-12-31,Pago
43,43,27173.86,2026-01-07,2026-01-07,Pago
44,44,55520.06,2026-02-10,2026-02-24,Pago
45,45,51382.13,2026-03-22,2026-03-19,Pago
46,46,7254.64,2026-04-08,2026-04-12,Pago
47,47,19486.77,2026-05-15,2026-05-30,Pago
48,48,18951.26,2026-06-08,,Vencido
49,49,47647.31,2025-07-20,2025-07-31,Pago
50,50,1170.16,2025-08-21,2025-08-27,Pago
51,51,60073.82,2025-09-12,2025-09-20,Pago
52,52,27475.42,2025-10-19,2025-11-01,Pago
53,53,36995.82,2025-11-10,2025-11-20,Pago
54,54,59903.28,2025-12-09,2025-12-09,Pago
55,55,30329.11,2026-01-14,2026-01-15,Pago
56,56,51996.15,2026-02-10,2026-02-12,Pago
57,57,17544.98,2026-03-10,2026-03-16,Pago
58,58,34720.78,2026-04-14,2026-04-20,Pago
59,59,48596.3,2026-05-12,2026-05-12,Pago
60,60,17607.03,2026-06-13,2026-06-12,Pago
61,61,24447.08,2025-07-19,2025-07-21,Pago
62,62,14349.62,2025-08-20,2025-08-21,Pago
63,63,51061.18,2025-09-17,2025-09-17,Pago
64,64,64923.97,2025-10-24,2025-10-29,Pago
65,65,29420.27,2025-11-21,,Vencido
66,66,2748.7,2025-12-21,2025-12-25,Pago
67,67,38766.94,2026-01-19,2026-01-24,Pago
68,68,56477.5,2026-02-07,2026-02-14,Pago
69,69,34842.65,2026-03-10,2026-03-15,Pago
70,70,22381.05,2026-04-21,2026-04-29,Pago
71,71,29836.2,2026-05-14,2026-05-21,Pago
72,72,37280.19,2026-06-12,2026-06-11,Pago
73,73,37490.28,2025-07-26,,Vencido
74,74,41003.35,2025-08-12,2025-08-26,Pago
75,75,20111.24,2025-09-14,,Vencido
76,76,60203.33,2025-10-21,,Vencido
77,77,15698.4,2025-11-14,,Vencido
78,78,1170.36,2025-12-11,2025-12-19,Pago
79,79,38263.86,2026-01-21,2026-01-22,Pago
80,80,53429.21,2026-02-11,2026-02-10,Pago
81,81,12511.62,2026-03-22,2026-04-02,Pago
82,82,60561.93,2026-04-09,2026-04-16,Pago
83,83,6742.57,2026-05-19,,Vencido
84,84,11166.8,2026-06-16,2026-06-14,Pago
85,85,22595.05,2025-07-13,2025-07-12,Pago
86,86,33087.97,2025-08-13,2025-08-15,Pago
87,87,45218.12,2025-09-19,2025-09-28,Pago
88,88,58165.94,2025-10-21,2025-11-01,Pago
89,89,6059.54,2025-11-15,2025-11-19,Pago
90,90,10685.06,2025-12-22,2025-12-24,Pago
91,91,42933.76,2026-01-11,2026-01-25,Pago
92,92,2657.02,2026-02-18,2026-02-16,Pago
93,93,40658.4,2026-03-20,2026-04-02,Pago
94,94,63002.16,2026-04-10,2026-04-20,Pago
95,95,53352.14,2026-05-12,2026-05-15,Pago
