documento_id,cliente_id,competencia,tipo_documento,data_solicitacao,data_recebimento,status
1,1,2025-07,Notas fiscais,2025-07-06,2025-06-29,Recebido
2,1,2025-07,Extratos,2025-08-02,,Pendente
3,1,2025-08,Extratos,2025-09-03,2025-08-31,Recebido
4,1,2025-09,Extratos,2025-10-09,2025-10-05,Recebido
5,1,2025-10,Folha,2025-11-06,2025-11-02,Recebido
6,1,2025-11,Notas fiscais,2025-12-01,2025-12-05,Recebido
7,1,2025-12,Folha,2026-01-03,2026-01-08,Recebido
8,1,2026-01,Documentos societários,2026-01-27,2026-02-03,Recebido
9,1,2026-02,Notas fiscais,2026-02-28,2026-02-23,Recebido
10,1,2026-03,Folha,2026-03-31,2026-03-26,Recebido
11,1,2026-04,Documentos societários,2026-05-11,2026-05-18,Recebido
12,1,2026-05,Documentos societários,2026-06-01,2026-06-04,Recebido
13,2,2025-07,Documentos societários,2025-07-13,2025-07-04,Recebido
14,2,2025-07,Folha,2025-08-02,2025-07-29,Recebido
15,2,2025-08,Extratos,2025-09-02,2025-09-02,Recebido
16,2,2025-09,Documentos societários,2025-10-03,2025-10-12,Recebido
17,2,2025-10,Extratos,2025-11-08,2025-11-10,Recebido
18,2,2025-11,Notas fiscais,2025-12-09,2025-12-09,Recebido
19,2,2025-12,Extratos,2026-01-08,2026-01-05,Recebido
20,2,2026-01,Notas fiscais,2026-02-02,2026-01-28,Recebido
21,2,2026-02,Extratos,2026-03-11,2026-03-13,Recebido
22,2,2026-03,Notas fiscais,2026-04-06,2026-04-10,Recebido
23,2,2026-04,Folha,2026-05-10,2026-04-30,Recebido
24,2,2026-05,Folha,2026-06-04,2026-05-26,Recebido
25,3,2025-07,Extratos,2025-07-01,2025-06-23,Recebido
26,3,2025-07,Folha,2025-08-12,2025-08-02,Recebido
27,3,2025-08,Documentos societários,2025-09-03,2025-09-02,Recebido
28,3,2025-09,Notas fiscais,2025-09-30,2025-10-06,Recebido
29,3,2025-10,Notas fiscais,2025-10-29,2025-10-26,Recebido
30,3,2025-11,Folha,2025-12-12,2025-12-07,Recebido
31,3,2025-12,Extratos,2026-01-10,2026-01-16,Recebido
32,3,2026-01,Documentos societários,2026-02-08,2026-02-17,Recebido
33,3,2026-02,Extratos,2026-02-26,2026-02-22,Recebido
34,3,2026-03,Extratos,2026-04-07,2026-03-30,Recebido
35,3,2026-04,Notas fiscais,2026-04-29,2026-04-30,Recebido
36,3,2026-05,Folha,2026-05-29,2026-05-27,Recebido
37,4,2025-07,Folha,2025-07-03,2025-07-05,Recebido
38,4,2025-07,Notas fiscais,2025-07-31,2025-08-09,Recebido
39,4,2025-08,Documentos societários,2025-09-14,2025-09-17,Recebido
40,4,2025-09,Documentos societários,2025-10-14,2025-10-10,Recebido
41,4,2025-10,Documentos societários,2025-11-09,2025-11-06,Recebido
