pendencia_id,cliente_id,responsavel_id,data_abertura,tipo,prioridade,status
1,1,16,2026-01-31,Documento ausente,Baixa,Aberta
2,2,14,2025-08-24,Cadastro desatualizado,Baixa,Resolvida
3,2,26,2026-06-12,Guia vencida,Baixa,Aberta
4,3,1,2025-12-05,Divergência fiscal,Média,Resolvida
5,4,2,2025-11-10,Documento ausente,Baixa,Aberta
6,4,8,2025-11-30,Documento ausente,Baixa,Aberta
7,4,24,2026-03-09,Guia vencida,Alta,Resolvida
8,5,1,2025-10-22,Documento ausente,Baixa,Resolvida
9,5,33,2025-11-26,Guia vencida,Baixa,Resolvida
10,6,7,2025-07-14,Divergência fiscal,Média,Resolvida
11,6,28,2025-08-10,Documento ausente,Baixa,Aberta
12,6,19,2025-12-09,Guia vencida,Média,Aberta
13,7,16,2025-10-12,Documento ausente,Alta,Aberta
14,7,26,2025-11-27,Divergência fiscal,Baixa,Aberta
15,7,32,2026-06-03,Cadastro desatualizado,Baixa,Aberta
16,8,16,2025-09-04,Guia vencida,Baixa,Aberta
17,9,28,2025-07-21,Documento ausente,Baixa,Resolvida
18,9,32,2025-09-05,Divergência fiscal,Alta,Aberta
19,9,6,2026-05-30,Divergência fiscal,Alta,Resolvida
20,10,16,2025-12-24,Cadastro desatualizado,Alta,Resolvida
21,11,21,2025-10-11,Cadastro desatualizado,Média,Aberta
22,11,35,2026-03-26,Guia vencida,Alta,Resolvida
23,11,17,2026-04-27,Cadastro desatualizado,Baixa,Aberta
24,12,21,2025-07-09,Guia vencida,Alta,Resolvida
25,12,8,2026-03-30,Cadastro desatualizado,Média,Resolvida
26,13,13,2025-07-08,Divergência fiscal,Alta,Resolvida
27,13,22,2025-10-31,Guia vencida,Baixa,Aberta
28,13,9,2026-02-22,Divergência fiscal,Baixa,Resolvida
29,13,9,2026-04-04,Documento ausente,Baixa,Aberta
30,14,3,2025-10-04,Guia vencida,Alta,Resolvida
31,15,8,2025-07-06,Guia vencida,Baixa,Aberta
32,15,3,2025-12-09,Documento ausente,Baixa,Aberta
33,15,30,2026-02-04,Documento ausente,Alta,Aberta
34,16,34,2025-09-09,Divergência fiscal,Média,Aberta
35,16,5,2025-12-10,Cadastro desatualizado,Média,Resolvida
36,16,21,2026-02-04,Cadastro desatualizado,Baixa,Aberta
37,16,1,2026-04-06,Divergência fiscal,Baixa,Resolvida
