responsavel_id,codigo_responsavel,equipe,senioridade
1,COL-001,Pessoal,Sênior
2,COL-002,Contábil,Júnior
3,COL-003,Contábil,Pleno
4,COL-004,Fiscal,Júnior
5,COL-005,Societário,Sênior
6,COL-006,Fiscal,Pleno
7,COL-007,Pessoal,Sênior
8,COL-008,Contábil,Pleno
9,COL-009,Societário,Pleno
10,COL-010,Fiscal,Júnior
11,COL-011,Fiscal,Sênior
12,COL-012,Fiscal,Júnior
13,COL-013,Contábil,Sênior
14,COL-014,Pessoal,Pleno
15,COL-015,Pessoal,Júnior
16,COL-016,Fiscal,Júnior
17,COL-017,Contábil,Pleno
18,COL-018,Contábil,Pleno
19,COL-019,Societário,Sênior
20,COL-020,Contábil,Pleno
21,COL-021,Contábil,Pleno
22,COL-022,Pessoal,Júnior
23,COL-023,Societário,Sênior
24,COL-024,Fiscal,Júnior
25,COL-025,Pessoal,Júnior
26,COL-026,Fiscal,Pleno
27,COL-027,Fiscal,Júnior
28,COL-028,Contábil,Sênior
29,COL-029,Pessoal,Sênior
30,COL-030,Fiscal,Sênior
31,COL-031,Fiscal,Pleno
32,COL-032,Societário,Sênior
33,COL-033,Fiscal,Pleno
34,COL-034,Contábil,Pleno
35,COL-035,Contábil,Pleno
