diagnostico_id;os_id;defeito_relatado;causa;taxa_diagnostico;data_diagnostico
1;1;  Lento  ;Oxidação;83,04;2025-08-28
2;2;  Não carrega  ;Desgaste;36,24;2025-09-15
3;3;  Falha de rede  ;Oxidação;170,79;2026-06-21
4;4;  Lento  ;Desgaste;183,95;2025-07-28
5;5;Superaquecimento;Software;30,74;2025-10-10
6;6;Superaquecimento;Software;166,53;2025-12-07
7;7;Não carrega;Impacto;131,42;2026-04-06
8;8;Ruído;Componente queimado;76,57;2025-08-21
9;9;Sem imagem;Impacto;226,92;2026-04-15
10;10;Falha de rede;Oxidação;83,57;2025-11-14
11;11;Superaquecimento;Oxidação;82,05;2026-05-26
12;12;Tela quebrada;Software;162,99;2026-01-26
13;13;Lento;Componente queimado;147,16;2025-10-26
14;14;Falha de rede;Oxidação;158,22;2025-08-31
15;15;Tela quebrada;Software;229,28;2026-01-02
16;16;Não carrega;Impacto;188,22;2025-08-19
17;17;Ruído;Oxidação;223,36;2026-02-24
18;18;Não carrega;Componente queimado;52,92;2025-09-18
19;19;Superaquecimento;Desgaste;131,89;2026-06-14
20;20;Tela quebrada;Componente queimado;151,44;2026-06-23
21;21;Não carrega;Desgaste;222,14;2026-02-10
22;22;Falha de rede;Impacto;192,32;2025-08-29
23;23;Ruído;Componente queimado;146,92;2026-05-30
24;24;Sem imagem;Desgaste;170,78;2026-02-15
25;25;Lento;Oxidação;131,18;2025-11-03
26;26;Sem imagem;Oxidação;131,18;2026-04-28
27;27;Falha de rede;Impacto;242,3;2025-12-10
28;28;Lento;Impacto;49,82;2025-07-16
29;29;Superaquecimento;Impacto;83,54;2026-01-22
30;30;Tela quebrada;Desgaste;69,73;2025-11-06
31;31;Superaquecimento;Oxidação;126,1;2026-02-16
32;32;Lento;Impacto;79,92;2025-07-27
33;33;Falha de rede;Oxidação;232,35;2026-02-09
34;34;Ruído;Desgaste;187,28;2025-12-30
35;35;Tela quebrada;Impacto;84,91;2025-11-01
36;36;Falha de rede;Software;41,72;2026-04-13
37;37;Falha de rede;Componente queimado;181,26;2026-04-16
38;38;Superaquecimento;Software;121,37;2026-01-26
39;39;Não liga;Impacto;134,76;2026-01-18
40;40;Não liga;Impacto;162,54;2026-01-21
41;41;Tela quebrada;Software;177,66;2026-05-30
42;42;Tela quebrada;Oxidação;138,77;2025-12-13
43;43;Ruído;Software;194,92;2025-10-26
44;44;Tela quebrada;Desgaste;137,13;2025-08-23
45;45;Não carrega;Software;52,41;2026-03-23
46;46;Sem imagem;Componente queimado;65,96;2025-09-21
47;47;Não liga;Componente queimado;57,86;2026-02-17
48;48;Não carrega;Oxidação;222,69;2026-05-06
49;49;Falha de rede;Impacto;187,75;2026-06-19
50;50;Ruído;Componente queimado;49,22;2025-09-17
51;51;Sem imagem;Oxidação;90,99;2025-07-22
52;52;Sem imagem;Componente queimado;205,96;2026-04-26
53;53;Superaquecimento;Componente queimado;124,23;2026-05-15
54;54;Falha de rede;Impacto;117,87;2026-05-29
55;55;Lento;Componente queimado;43,92;2026-01-21
56;56;Tela quebrada;Componente queimado;40,79;2025-08-10
57;57;Superaquecimento;Desgaste;202,19;2025-11-20
58;58;Superaquecimento;Software;103,35;2026-01-11
59;59;Ruído;Componente queimado;153,19;2026-01-18
60;60;Sem imagem;Componente queimado;207,78;2026-03-22
61;61;Falha de rede;Desgaste;147,01;2025-08-30
62;62;Não liga;Componente queimado;90,63;2026-02-14
63;63;Não carrega;Oxidação;170,93;2026-03-02
64;64;Sem imagem;Desgaste;191,09;2026-04-04
65;65;Falha de rede;Oxidação;53,23;2025-08-21
66;66;Superaquecimento;Componente queimado;174,05;2026-03-25
67;67;Superaquecimento;Componente queimado;90,92;2026-06-27
68;68;Tela quebrada;Impacto;206,49;2025-10-29
69;69;Sem imagem;Oxidação;85,21;2026-05-18
70;70;Não liga;Desgaste;195,08;2025-10-08
71;71;Não liga;Desgaste;143,0;2026-05-25
72;72;Superaquecimento;Software;42,05;2026-04-30
73;73;Não liga;Software;131,04;2025-11-03
74;74;Não carrega;Software;175,05;2026-06-06
75;75;Superaquecimento;Software;90,41;2026-05-02
76;76;Não liga;Software;218,7;2025-09-20
77;77;Ruído;Componente queimado;103,45;2026-03-03
78;78;Falha de rede;Desgaste;154,33;2025-07-06
79;79;Lento;Desgaste;70,54;2026-07-01
80;80;Superaquecimento;Oxidação;232,78;2025-11-02
81;81;Falha de rede;Oxidação;109,59;2025-07-29
82;82;Sem imagem;Impacto;216,14;2025-11-03
83;83;Lento;Software;214,63;2026-04-03
84;84;Tela quebrada;Desgaste;237,54;2025-08-14
85;85;Não carrega;Impacto;146,91;2026-03-15
86;86;Não carrega;Software;49,67;2025-12-06
87;87;Falha de rede;Componente queimado;162,83;2026-01-25
88;88;Tela quebrada;Impacto;192,18;2026-06-30
89;89;Não carrega;Componente queimado;201,14;2026-01-05
90;90;Não carrega;Componente queimado;159,16;2026-05-09
91;91;Ruído;Impacto;213,77;2025-09-14
92;92;Tela quebrada;Componente queimado;110,44;2026-03-29
93;93;Lento;Impacto;46,83;2025-10-30
94;94;Superaquecimento;Impacto;77,97;2026-05-29
95;95;Falha de rede;Software;56,73;2026-02-15
96;96;Não liga;Desgaste;130,87;2026-06-14
97;97;Tela quebrada;Oxidação;85,92;2025-10-31
98;98;Sem imagem;Oxidação;191,13;2026-03-21
99;99;Ruído;Impacto;112,87;2025-12-29
100;100;Não liga;Software;203,06;2025-11-08
101;101;Falha de rede;Impacto;151,06;2026-01-05
102;102;Não carrega;Componente queimado;194,35;2025-09-22
103;103;Ruído;Impacto;117,41;2026-03-06
104;104;Superaquecimento;Impacto;63,57;2026-06-05
105;105;Lento;Software;119,96;2025-12-28
106;106;Lento;Impacto;193,24;2025-11-11
107;107;Superaquecimento;Desgaste;215,38;2026-06-20
108;108;Ruído;Desgaste;205,84;2026-03-14
109;109;Lento;Oxidação;70,79;2026-04-10
110;110;Não carrega;Desgaste;244,39;2025-10-08
111;111;Falha de rede;Impacto;132,37;2025-08-17
112;112;Não carrega;Impacto;67,24;2025-07-10
113;113;Não carrega;Desgaste;121,31;2025-08-03
114;114;Não liga;Componente queimado;230,12;2026-03-19
115;115;Não carrega;Software;163,33;2026-07-02
116;116;Falha de rede;Desgaste;228,74;2025-07-05
117;117;Ruído;Impacto;93,76;2026-06-29
118;118;Falha de rede;Software;179,32;2025-08-21
119;119;Não liga;Oxidação;121,13;2025-07-09
120;120;Não carrega;Desgaste;191,91;2026-05-05
121;121;Lento;Oxidação;71,22;2025-07-14
122;122;Lento;Impacto;161,46;2025-09-25
123;123;Superaquecimento;Oxidação;54,75;2026-02-15
124;124;Lento;Oxidação;128,63;2026-05-26
125;125;Ruído;Impacto;177,68;2025-08-12
126;126;Superaquecimento;Componente queimado;137,87;2025-09-25
127;127;Não liga;Desgaste;58,58;2025-12-28
128;128;Tela quebrada;Impacto;150,53;2026-03-18
129;129;Lento;Impacto;119,33;2025-08-24
130;130;Lento;Desgaste;204,91;2026-02-23
131;131;Não carrega;Impacto;56,29;2025-12-05
132;132;Superaquecimento;Oxidação;106,21;2025-11-24
133;133;Ruído;Oxidação;222,84;2026-04-21
134;134;Não liga;Componente queimado;224,31;2025-09-02
135;135;Lento;Software;227,19;2026-01-10
136;136;Ruído;Componente queimado;96,54;2025-10-17
137;137;Falha de rede;Impacto;80,81;2026-04-14
138;138;Tela quebrada;Software;137,15;2026-06-24
139;139;Lento;Software;203,05;2025-12-10
140;140;Ruído;Componente queimado;149,58;2025-09-21
141;141;Ruído;Software;172,53;2026-05-24
142;142;Lento;Oxidação;55,99;2025-11-03
143;143;Falha de rede;Oxidação;142,04;2025-10-04
144;144;Sem imagem;Desgaste;30,79;2026-02-28
145;145;Não carrega;Componente queimado;118,76;2026-04-01
146;146;Sem imagem;Componente queimado;247,74;2025-07-05
147;147;Falha de rede;Impacto;96,02;2026-03-02
148;148;Ruído;Software;143,95;2025-07-13
149;149;Tela quebrada;Componente queimado;62,86;2026-01-25
150;150;Lento;Desgaste;199,78;2025-10-24
151;151;Sem imagem;Desgaste;54,34;2025-07-04
152;152;Superaquecimento;Impacto;163,04;2025-10-28
153;153;Falha de rede;Desgaste;178,15;2025-09-08
154;154;Não carrega;Componente queimado;203,45;2025-10-31
155;155;Falha de rede;Componente queimado;183,73;2026-04-07
156;156;Tela quebrada;Componente queimado;36,12;2026-06-04
157;157;Sem imagem;Impacto;39,46;2026-03-09
158;158;Não carrega;Componente queimado;80,17;2026-05-06
159;159;Tela quebrada;Desgaste;227,23;2025-12-23
160;160;Superaquecimento;Impacto;46,04;2025-07-09
161;161;Falha de rede;Componente queimado;225,66;2026-06-09
162;162;Não carrega;Impacto;94,16;2025-10-22
163;163;Não liga;Oxidação;152,47;2025-11-22
164;164;Superaquecimento;Impacto;112,84;2025-10-19
165;165;Superaquecimento;Software;73,67;2025-12-09
166;166;Ruído;Impacto;60,83;2025-07-27
167;167;Falha de rede;Impacto;50,14;2026-03-04
168;168;Não carrega;Oxidação;227,02;2026-06-26
169;169;Superaquecimento;Software;212,88;2026-01-02
170;170;Sem imagem;Desgaste;109,33;2025-11-18
171;171;Falha de rede;Oxidação;92,67;2026-05-21
172;172;Superaquecimento;Componente queimado;142,12;2026-05-13
173;173;Falha de rede;Software;44,55;2025-12-25
174;174;Não carrega;Impacto;186,97;2025-12-12
175;175;Falha de rede;Componente queimado;160,8;2026-04-22
176;176;Lento;Desgaste;177,75;2026-03-12
177;177;Superaquecimento;Componente queimado;203,39;2025-07-23
178;178;Ruído;Desgaste;112,83;2026-02-19
179;179;Lento;Componente queimado;133,58;2026-06-06
180;180;Lento;Impacto;69,26;2025-10-17
181;181;Falha de rede;Desgaste;137,97;2025-07-19
182;182;Não carrega;Oxidação;118,1;2025-11-17
183;183;Lento;Componente queimado;63,32;2026-04-14
184;184;Não carrega;Oxidação;215,82;2025-11-12
185;185;Sem imagem;Desgaste;244,83;2026-04-14
186;186;Tela quebrada;Software;130,16;2025-11-24
187;187;Ruído;Desgaste;64,6;2025-07-28
188;188;Lento;Impacto;240,52;2026-07-02
189;189;Tela quebrada;Software;40,3;2026-04-26
190;190;Lento;Desgaste;56,68;2026-05-26
191;191;Lento;Oxidação;128,99;2025-12-08
192;192;Não liga;Componente queimado;194,76;2025-09-30
193;193;Lento;Componente queimado;82,36;2025-12-14
194;194;Sem imagem;Impacto;138,39;2025-08-22
195;195;Superaquecimento;Software;222,76;2025-10-18
196;196;Lento;Oxidação;106,4;2026-04-13
197;197;Ruído;Impacto;176,84;2026-03-20
198;198;Superaquecimento;Impacto;61,88;2026-01-23
199;199;Superaquecimento;Impacto;190,86;2026-03-20
200;200;Falha de rede;Componente queimado;74,8;2026-02-12
201;201;Ruído;Componente queimado;208,61;2025-12-25
202;202;Não liga;Impacto;191,41;2026-01-16
203;203;Sem imagem;Componente queimado;44,78;2026-03-21
204;204;Não carrega;Impacto;79,79;2026-05-20
205;205;Sem imagem;Desgaste;226,64;2026-03-28
206;206;Sem imagem;Oxidação;155,34;2026-01-10
207;207;Sem imagem;Oxidação;237,96;2025-09-19
208;208;Não liga;Impacto;174,47;2026-04-13
209;209;Falha de rede;Software;242,31;2025-08-30
210;210;Sem imagem;Impacto;113,69;2025-10-28
211;211;Superaquecimento;Desgaste;164,5;2025-12-17
212;212;Sem imagem;Desgaste;149,29;2026-01-05
213;213;Não liga;Software;173,39;2025-08-26
214;214;Não liga;Software;243,43;2026-06-17
215;215;Superaquecimento;Impacto;111,93;2025-11-29
216;216;Superaquecimento;Impacto;115,47;2025-09-06
217;217;Tela quebrada;Desgaste;110,38;2026-03-28
218;218;Não carrega;Componente queimado;162,54;2026-02-26
219;219;Ruído;Componente queimado;104,43;2025-10-24
220;220;Sem imagem;Desgaste;113,7;2026-06-18
221;221;Ruído;Impacto;101,89;2025-10-20
222;222;Lento;Impacto;46,9;2025-11-10
223;223;Não carrega;Desgaste;173,47;2025-12-23
224;224;Falha de rede;Impacto;117,16;2026-05-09
