garantia_id;reparo_id;inicio;fim;status;retorno
1;1;  2025-09-04  ;2025-12-03;Expirada;0
2;2;  2025-09-23  ;2025-12-22;Acionada;1
3;4;  2025-08-05  ;2025-11-03;Expirada;0
4;5;  2025-10-12  ;2026-01-10;Expirada;0
5;7;2026-04-10;2026-07-09;Vigente;0
6;8;2025-08-29;2025-11-27;Expirada;0
7;9;2026-04-26;2026-07-25;Expirada;0
8;10;2025-11-24;2026-02-22;Vigente;0
9;11;2026-06-07;2026-09-05;Acionada;0
10;12;2026-01-28;2026-04-28;Expirada;0
11;14;2025-09-10;2025-12-09;Expirada;0
12;16;2025-08-18;2025-11-16;Vigente;0
13;17;2026-02-25;2026-05-26;Expirada;0
14;19;2026-06-18;2026-09-16;Acionada;0
15;20;2026-06-29;2026-09-27;Vigente;0
16;21;2026-02-17;2026-05-18;Vigente;0
17;22;2025-09-01;2025-11-30;Vigente;0
18;23;2026-06-05;2026-09-03;Vigente;0
19;24;2026-02-23;2026-05-24;Acionada;0
20;26;2026-04-27;2026-07-26;Acionada;0
21;27;2025-12-16;2026-03-16;Vigente;0
22;28;2025-07-29;2025-10-27;Expirada;0
23;30;2025-11-14;2026-02-12;Expirada;1
24;31;2026-02-20;2026-05-21;Acionada;0
25;34;2026-01-06;2026-04-06;Vigente;0
26;35;2025-11-08;2026-02-06;Vigente;0
27;36;2026-04-22;2026-07-21;Acionada;0
28;37;2026-04-20;2026-07-19;Acionada;0
29;39;2026-01-22;2026-04-22;Vigente;0
30;40;2026-01-26;2026-04-26;Vigente;0
31;41;2026-05-29;2026-08-27;Expirada;0
32;42;2025-12-16;2026-03-16;Expirada;1
33;44;2025-08-27;2025-11-25;Vigente;0
34;45;2026-03-24;2026-06-22;Expirada;0
35;46;2025-10-01;2025-12-30;Acionada;0
36;47;2026-02-21;2026-05-22;Vigente;0
37;48;2026-05-04;2026-08-02;Acionada;0
38;49;2026-06-20;2026-09-18;Acionada;0
39;50;2025-09-29;2025-12-28;Vigente;0
40;51;2025-07-28;2025-10-26;Vigente;0
41;52;2026-05-02;2026-07-31;Expirada;0
42;53;2026-05-24;2026-08-22;Expirada;0
43;55;2026-02-02;2026-05-03;Acionada;0
44;57;2025-11-21;2026-02-19;Expirada;0
45;58;2026-01-18;2026-04-18;Vigente;0
46;59;2026-01-26;2026-04-26;Expirada;0
47;61;2025-09-05;2025-12-04;Acionada;0
48;63;2026-03-05;2026-06-03;Acionada;0
49;64;2026-04-07;2026-07-06;Vigente;0
50;67;2026-07-02;2026-09-30;Expirada;0
51;68;2025-11-05;2026-02-03;Vigente;0
52;70;2025-10-16;2026-01-14;Expirada;0
53;71;2026-05-31;2026-08-29;Acionada;0
54;72;2026-05-11;2026-08-09;Acionada;0
55;73;2025-11-11;2026-02-09;Vigente;0
56;74;2026-06-15;2026-09-13;Expirada;0
57;75;2026-05-13;2026-08-11;Acionada;0
58;76;2025-09-24;2025-12-23;Acionada;0
59;77;2026-03-10;2026-06-08;Vigente;0
60;79;2026-07-05;2026-10-03;Expirada;0
61;80;2025-11-11;2026-02-09;Expirada;0
62;82;2025-11-13;2026-02-11;Acionada;0
63;83;2026-04-10;2026-07-09;Acionada;0
64;84;2025-08-19;2025-11-17;Vigente;0
65;85;2026-03-18;2026-06-16;Vigente;0
66;86;2025-12-11;2026-03-11;Acionada;0
67;87;2026-02-06;2026-05-07;Vigente;0
68;88;2026-06-30;2026-09-28;Acionada;0
69;91;2025-09-22;2025-12-21;Vigente;0
70;93;2025-11-06;2026-02-04;Acionada;0
71;94;2026-06-09;2026-09-07;Vigente;0
72;95;2026-02-24;2026-05-25;Expirada;0
73;96;2026-06-22;2026-09-20;Expirada;0
74;97;2025-10-30;2026-01-28;Expirada;0
75;98;2026-03-27;2026-06-25;Vigente;0
76;100;2025-11-09;2026-02-07;Expirada;0
77;102;2025-10-03;2026-01-01;Vigente;1
78;106;2025-11-13;2026-02-11;Vigente;0
79;108;2026-03-17;2026-06-15;Acionada;0
80;109;2026-04-19;2026-07-18;Acionada;0
81;110;2025-10-07;2026-01-05;Vigente;0
82;111;2025-08-26;2025-11-24;Acionada;0
83;112;2025-07-22;2025-10-20;Vigente;0
84;114;2026-03-31;2026-06-29;Vigente;0
85;116;2025-07-17;2025-10-15;Expirada;0
86;117;2026-06-30;2026-09-28;Acionada;0
87;118;2025-09-01;2025-11-30;Acionada;0
88;119;2025-07-14;2025-10-12;Vigente;0
89;120;2026-05-05;2026-08-03;Vigente;0
90;121;2025-07-28;2025-10-26;Acionada;0
91;122;2025-10-03;2026-01-01;Expirada;1
92;123;2026-02-18;2026-05-19;Vigente;0
93;124;2026-06-05;2026-09-03;Vigente;0
94;126;2025-09-26;2025-12-25;Expirada;0
95;127;2026-01-09;2026-04-09;Vigente;0
96;130;2026-03-05;2026-06-03;Expirada;1
97;131;2025-12-16;2026-03-16;Expirada;0
98;132;2025-12-03;2026-03-03;Expirada;0
99;134;2025-09-09;2025-12-08;Acionada;0
100;135;2026-01-09;2026-04-09;Acionada;0
101;136;2025-10-18;2026-01-16;Acionada;0
102;138;2026-06-26;2026-09-24;Acionada;0
103;139;2025-12-20;2026-03-20;Acionada;0
104;140;2025-09-29;2025-12-28;Acionada;0
105;141;2026-05-31;2026-08-29;Expirada;0
106;142;2025-11-14;2026-02-12;Vigente;0
107;143;2025-10-15;2026-01-13;Acionada;0
108;144;2026-03-07;2026-06-05;Vigente;0
109;145;2026-04-08;2026-07-07;Acionada;0
110;146;2025-07-10;2025-10-08;Acionada;0
111;147;2026-03-05;2026-06-03;Vigente;1
112;148;2025-07-25;2025-10-23;Acionada;0
113;151;2025-07-02;2025-09-30;Acionada;0
114;152;2025-11-09;2026-02-07;Vigente;0
115;154;2025-11-09;2026-02-07;Vigente;0
116;155;2026-04-18;2026-07-17;Expirada;0
117;158;2026-05-18;2026-08-16;Vigente;1
118;159;2025-12-30;2026-03-30;Acionada;0
119;160;2025-07-19;2025-10-17;Expirada;0
120;162;2025-10-31;2026-01-29;Expirada;0
121;163;2025-11-26;2026-02-24;Expirada;0
122;164;2025-10-17;2026-01-15;Vigente;0
123;165;2025-12-19;2026-03-19;Vigente;0
124;166;2025-07-28;2025-10-26;Expirada;0
125;169;2026-01-09;2026-04-09;Acionada;0
126;170;2025-11-19;2026-02-17;Acionada;0
127;171;2026-05-27;2026-08-25;Acionada;0
128;174;2025-12-15;2026-03-15;Vigente;0
129;176;2026-03-15;2026-06-13;Expirada;0
130;177;2025-07-30;2025-10-28;Vigente;0
131;178;2026-02-19;2026-05-20;Vigente;0
132;179;2026-06-13;2026-09-11;Acionada;0
133;180;2025-10-18;2026-01-16;Acionada;0
134;181;2025-07-18;2025-10-16;Expirada;0
135;182;2025-11-23;2026-02-21;Expirada;0
136;183;2026-04-15;2026-07-14;Vigente;0
137;185;2026-04-24;2026-07-23;Expirada;0
138;186;2025-12-03;2026-03-03;Acionada;0
139;187;2025-07-29;2025-10-27;Expirada;0
140;188;2026-07-05;2026-10-03;Vigente;0
141;189;2026-05-09;2026-08-07;Vigente;0
142;190;2026-05-29;2026-08-27;Expirada;0
143;193;2025-12-17;2026-03-17;Vigente;0
144;194;2025-08-31;2025-11-29;Acionada;0
145;195;2025-10-23;2026-01-21;Acionada;0
146;196;2026-04-20;2026-07-19;Vigente;0
147;199;2026-03-29;2026-06-27;Expirada;0
148;200;2026-02-24;2026-05-25;Expirada;0
149;201;2026-01-03;2026-04-03;Vigente;0
150;202;2026-01-22;2026-04-22;Expirada;0
151;203;2026-03-20;2026-06-18;Acionada;0
152;205;2026-04-03;2026-07-02;Vigente;1
153;206;2026-01-20;2026-04-20;Vigente;0
154;207;2025-09-24;2025-12-23;Expirada;0
155;208;2026-04-15;2026-07-14;Expirada;0
156;211;2025-12-23;2026-03-23;Vigente;0
157;212;2026-01-12;2026-04-12;Vigente;0
158;213;2025-09-05;2025-12-04;Acionada;1
159;214;2026-06-22;2026-09-20;Expirada;0
160;215;2025-12-11;2026-03-11;Expirada;0
161;216;2025-09-11;2025-12-10;Vigente;0
162;217;2026-04-04;2026-07-03;Expirada;0
163;218;2026-03-01;2026-05-30;Expirada;0
164;219;2025-10-26;2026-01-24;Expirada;1
165;220;2026-06-20;2026-09-18;Expirada;0
166;221;2025-10-21;2026-01-19;Expirada;0
167;223;2025-12-26;2026-03-26;Vigente;0
168;224;2026-05-14;2026-08-12;Vigente;0
169;225;2025-11-06;2026-02-04;Expirada;0
170;226;2026-06-25;2026-09-23;Vigente;0
171;227;2026-05-28;2026-08-26;Vigente;0
172;228;2026-03-14;2026-06-12;Vigente;0
173;229;2025-12-14;2026-03-14;Acionada;0
174;230;2025-12-01;2026-03-01;Acionada;0
175;231;2025-07-08;2025-10-06;Acionada;0
176;232;2025-08-08;2025-11-06;Expirada;0
177;233;2026-05-15;2026-08-13;Vigente;0
178;234;2025-09-23;2025-12-22;Vigente;0
179;235;2025-08-21;2025-11-19;Acionada;0
180;237;2026-02-07;2026-05-08;Vigente;0
181;238;2026-05-19;2026-08-17;Acionada;0
182;239;2026-04-07;2026-07-06;Vigente;1
183;240;2025-08-27;2025-11-25;Vigente;0
184;241;2025-09-03;2025-12-02;Expirada;0
185;242;2026-03-30;2026-06-28;Expirada;0
186;244;2025-09-23;2025-12-22;Acionada;0
187;245;2025-11-02;2026-01-31;Expirada;0
188;247;2025-10-23;2026-01-21;Expirada;0
189;248;2025-09-17;2025-12-16;Expirada;0
190;250;2026-05-08;2026-08-06;Acionada;0
191;251;2025-08-21;2025-11-19;Vigente;0
192;252;2026-04-08;2026-07-07;Acionada;0
193;253;2026-01-05;2026-04-05;Expirada;0
194;254;2026-05-04;2026-08-02;Acionada;0
195;255;2026-01-24;2026-04-24;Vigente;0
196;256;2026-04-08;2026-07-07;Expirada;0
197;258;2026-02-24;2026-05-25;Vigente;0
198;259;2025-07-31;2025-10-29;Expirada;0
199;260;2026-04-18;2026-07-17;Expirada;0
200;261;2025-10-24;2026-01-22;Expirada;0
201;262;2026-03-23;2026-06-21;Expirada;0
202;263;2026-01-18;2026-04-18;Vigente;0
203;265;2026-01-07;2026-04-07;Acionada;0
204;266;2026-02-02;2026-05-03;Vigente;0
205;267;2026-05-12;2026-08-10;Expirada;0
206;269;2026-05-20;2026-08-18;Vigente;0
207;270;2025-10-06;2026-01-04;Expirada;0
208;271;2025-07-24;2025-10-22;Expirada;0
209;272;2025-11-23;2026-02-21;Acionada;1
210;273;2025-09-28;2025-12-27;Acionada;0
211;274;2026-03-20;2026-06-18;Expirada;0
212;275;2026-02-13;2026-05-14;Expirada;0
213;276;2025-08-09;2025-11-07;Vigente;0
214;277;2026-06-06;2026-09-04;Acionada;0
215;278;2026-01-06;2026-04-06;Vigente;0
216;279;2026-06-07;2026-09-05;Expirada;0
217;282;2025-07-26;2025-10-24;Vigente;0
218;283;2026-01-23;2026-04-23;Vigente;0
219;284;2025-11-11;2026-02-09;Expirada;1
220;285;2026-06-18;2026-09-16;Acionada;0
221;288;2025-09-14;2025-12-13;Vigente;0
222;290;2025-07-21;2025-10-19;Acionada;0
223;292;2025-12-22;2026-03-22;Vigente;0
224;293;2025-11-27;2026-02-25;Acionada;0
225;294;2025-07-25;2025-10-23;Vigente;0
226;295;2026-06-16;2026-09-14;Vigente;0
227;296;2026-05-22;2026-08-20;Expirada;1
228;297;2026-05-16;2026-08-14;Expirada;0
229;298;2025-11-26;2026-02-24;Expirada;0
230;299;2025-07-23;2025-10-21;Expirada;0
231;300;2025-12-07;2026-03-07;Acionada;0
232;301;2026-06-01;2026-08-30;Vigente;0
233;302;2025-09-30;2025-12-29;Acionada;0
234;303;2025-10-04;2026-01-02;Acionada;0
235;305;2025-10-10;2026-01-08;Expirada;0
236;306;2026-06-19;2026-09-17;Acionada;0
237;308;2025-09-20;2025-12-19;Expirada;0
238;309;2025-11-25;2026-02-23;Acionada;0
239;311;2026-06-30;2026-09-28;Expirada;0
240;313;2026-01-26;2026-04-26;Acionada;0
241;314;2025-08-05;2025-11-03;Acionada;0
242;315;2025-08-28;2025-11-26;Expirada;0
243;316;2025-08-19;2025-11-17;Acionada;0
244;318;2025-07-29;2025-10-27;Vigente;0
245;320;2026-04-14;2026-07-13;Acionada;0
246;321;2026-03-14;2026-06-12;Expirada;0
247;322;2025-09-27;2025-12-26;Vigente;0
248;323;2026-02-16;2026-05-17;Vigente;0
249;324;2025-10-30;2026-01-28;Expirada;0
250;325;2026-01-14;2026-04-14;Vigente;1
251;327;2026-02-02;2026-05-03;Acionada;0
252;328;2025-12-09;2026-03-09;Expirada;0
253;329;2026-01-20;2026-04-20;Vigente;0
254;330;2026-03-11;2026-06-09;Expirada;0
255;331;2026-01-12;2026-04-12;Expirada;0
256;332;2026-02-12;2026-05-13;Acionada;0
257;333;2026-02-03;2026-05-04;Expirada;0
258;334;2026-04-18;2026-07-17;Expirada;0
259;335;2026-06-21;2026-09-19;Acionada;0
260;336;2026-01-30;2026-04-30;Acionada;0
261;337;2025-12-31;2026-03-31;Acionada;0
262;338;2025-10-15;2026-01-13;Vigente;0
263;339;2025-11-22;2026-02-20;Vigente;0
264;340;2026-06-09;2026-09-07;Acionada;0
265;341;2025-12-08;2026-03-08;Vigente;0
266;342;2025-07-25;2025-10-23;Acionada;0
267;343;2025-11-25;2026-02-23;Expirada;0
268;344;2025-12-09;2026-03-09;Vigente;0
269;345;2025-11-04;2026-02-02;Vigente;0
270;346;2026-04-16;2026-07-15;Expirada;0
