peca_id;peca;categoria;custo_unitario;estoque_atual
1;  Peça 001  ;Fonte;826,8;38
2;  Peça 002  ;Conector;724,27;13
3;  Peça 003  ;Cabo;785,03;38
4;  Peça 004  ;Armazenamento;155,7;13
5;Peça 005;Bateria;324,79;28
6;Peça 006;Placa;820,31;67
7;Peça 007;Memória;572,63;68
8;Peça 008;Tela;678,71;6
9;Peça 009;Cabo;211,78;51
10;Peça 010;Placa;272,84;25
11;Peça 011;Memória;83,34;8
12;Peça 012;Bateria;107,57;54
13;Peça 013;Tela;756,65;6
14;Peça 014;Bateria;799,29;19
15;Peça 015;Bateria;692,77;41
16;Peça 016;Fonte;109,81;51
17;Peça 017;Fonte;220,09;5
18;Peça 018;Armazenamento;715,07;16
19;Peça 019;Conector;12,18;77
20;Peça 020;Tela;684,76;68
21;Peça 021;Armazenamento;180,65;3
22;Peça 022;Tela;835,02;52
23;Peça 023;Bateria;558,07;28
24;Peça 024;Tela;321,07;78
25;Peça 025;Memória;124,4;23
26;Peça 026;Bateria;648,38;26
27;Peça 027;Armazenamento;244,25;5
28;Peça 028;Memória;644,4;50
29;Peça 029;Bateria;383,54;1
30;Peça 030;Fonte;597,98;71
31;Peça 031;Armazenamento;746,14;18
32;Peça 032;Memória;448,53;18
33;Peça 033;Cabo;505,07;10
34;Peça 034;Bateria;647,9;4
35;Peça 035;Bateria;16,74;60
36;Peça 036;Fonte;395,85;63
37;Peça 037;Cabo;46,73;9
38;Peça 038;Armazenamento;552,48;78
39;Peça 039;Tela;510,14;18
40;Peça 040;Conector;377,61;16
41;Peça 041;Placa;371,33;47
42;Peça 042;Bateria;714,32;16
43;Peça 043;Armazenamento;670,65;54
44;Peça 044;Placa;272,41;34
45;Peça 045;Fonte;228,18;77
46;Peça 046;Armazenamento;699,09;10
47;Peça 047;Fonte;715,84;12
48;Peça 048;Fonte;887,1;54
49;Peça 049;Placa;656,55;28
50;Peça 050;Fonte;308,27;42
51;Peça 051;Bateria;253,45;61
52;Peça 052;Conector;65,99;38
53;Peça 053;Memória;474,69;72
54;Peça 054;Memória;729,09;2
55;Peça 055;Conector;778,79;40
56;Peça 056;Memória;329,85;17
57;Peça 057;Armazenamento;743,28;69
58;Peça 058;Fonte;559,56;70
59;Peça 059;Tela;245,33;41
60;Peça 060;Conector;198,02;16
61;Peça 061;Memória;448,43;74
62;Peça 062;Tela;479,31;34
63;Peça 063;Armazenamento;644,07;75
64;Peça 064;Bateria;426,03;79
65;Peça 065;Cabo;81,45;58
66;Peça 066;Bateria;174,7;47
67;Peça 067;Memória;148,13;7
68;Peça 068;Bateria;569,93;31
69;Peça 069;Conector;37,38;45
70;Peça 070;Placa;657,59;4
71;Peça 071;Fonte;617,21;18
72;Peça 072;Bateria;347,5;60
73;Peça 073;Conector;817,34;79
74;Peça 074;Armazenamento;196,44;22
75;Peça 075;Placa;619,32;78
76;Peça 076;Bateria;575,91;42
77;Peça 077;Placa;887,35;29
78;Peça 078;Conector;549,66;22
79;Peça 079;Memória;81,2;78
80;Peça 080;Cabo;89,09;19
75;Peça 075;Placa;619,32;78
31;Peça 031;Armazenamento;746,14;18
37;Peça 037;Cabo;46,73;9
183;Peça 001;Fonte;-999,0;38
