uso_id;reparo_id;peca_id;quantidade;custo_total
1,0;1,0;57,0;1,0;465,22
2,0;1,0;31,0;2,0;798,6
3,0;1,0;27,0;2,0;793,65
4,0;2,0;1,0;2,0;433,94
5,0;2,0;76,0;2,0;187,26
6,0;2,0;53,0;1,0;478,81
7,0;4,0;62,0;1,0;693,64
8,0;4,0;33,0;2,0;780,23
9,0;4,0;15,0;1,0;368,33
10,0;5,0;51,0;1,0;250,81
11,0;5,0;73,0;1,0;454,19
12,0;7,0;69,0;2,0;717,49
13,0;7,0;12,0;2,0;588,75
14,0;8,0;30,0;2,0;827,76
15,0;9,0;4,0;2,0;128,34
16,0;9,0;40,0;2,0;30,73
17,0;9,0;38,0;1,0;501,91
18,0;10,0;25,0;1,0;558,44
19,0;11,0;18,0;1,0;183,81
20,0;11,0;59,0;2,0;99,39
21,0;11,0;19,0;2,0;551,08
22,0;12,0;31,0;2,0;403,67
23,0;12,0;42,0;1,0;556,23
24,0;12,0;35,0;2,0;294,81
25,0;14,0;62,0;1,0;351,01
26,0;16,0;22,0;1,0;334,98
27,0;17,0;68,0;1,0;387,93
28,0;19,0;14,0;1,0;556,88
29,0;19,0;8,0;2,0;230,07
30,0;19,0;6,0;1,0;99,17
31,0;20,0;40,0;2,0;338,32
32,0;20,0;24,0;1,0;466,25
33,0;20,0;70,0;2,0;149,59
34,0;21,0;13,0;2,0;625,62
35,0;21,0;24,0;2,0;593,04
36,0;21,0;72,0;1,0;812,23
37,0;22,0;29,0;1,0;331,84
38,0;22,0;43,0;2,0;824,16
39,0;22,0;47,0;1,0;342,27
40,0;23,0;76,0;2,0;549,52
41,0;23,0;18,0;2,0;242,91
42,0;24,0;76,0;2,0;187,42
43,0;24,0;73,0;2,0;704,52
44,0;24,0;68,0;1,0;22,6
45,0;26,0;38,0;1,0;299,52
46,0;27,0;29,0;1,0;347,79
47,0;28,0;55,0;1,0;699,13
48,0;28,0;18,0;1,0;411,97
49,0;30,0;21,0;1,0;837,31
50,0;30,0;61,0;1,0;790,16
51,0;31,0;72,0;2,0;264,88
52,0;31,0;12,0;2,0;15,88
53,0;31,0;27,0;2,0;131,9
54,0;34,0;72,0;1,0;316,63
55,0;34,0;15,0;2,0;63,18
56,0;35,0;37,0;1,0;747,65
57,0;36,0;7,0;1,0;430,81
58,0;37,0;69,0;2,0;269,89
59,0;39,0;68,0;1,0;506,23
60,0;39,0;40,0;1,0;612,12
61,0;39,0;44,0;1,0;434,97
62,0;40,0;69,0;1,0;349,91
63,0;40,0;55,0;1,0;395,67
64,0;41,0;52,0;1,0;644,49
65,0;41,0;53,0;2,0;357,99
66,0;41,0;2,0;2,0;428,42
67,0;42,0;76,0;2,0;308,74
68,0;42,0;46,0;2,0;488,57
69,0;44,0;49,0;1,0;90,48
70,0;45,0;78,0;1,0;185,82
71,0;46,0;79,0;2,0;314,96
72,0;46,0;15,0;1,0;150,49
73,0;47,0;75,0;1,0;736,49
74,0;47,0;57,0;1,0;821,95
75,0;47,0;28,0;1,0;40,79
76,0;48,0;29,0;2,0;726,78
77,0;48,0;61,0;1,0;21,92
78,0;48,0;19,0;2,0;510,53
79,0;49,0;3,0;2,0;135,09
80,0;49,0;80,0;2,0;458,47
81,0;50,0;66,0;2,0;121,09
82,0;50,0;25,0;2,0;363,78
83,0;50,0;12,0;1,0;521,65
84,0;51,0;44,0;2,0;157,31
85,0;52,0;1,0;2,0;509,45
86,0;53,0;4,0;1,0;582,53
87,0;53,0;51,0;2,0;186,83
88,0;55,0;7,0;1,0;154,47
89,0;57,0;44,0;1,0;79,18
90,0;58,0;33,0;1,0;798,08
91,0;58,0;32,0;2,0;432,3
92,0;59,0;31,0;2,0;659,71
93,0;59,0;27,0;1,0;143,15
94,0;61,0;25,0;2,0;702,79
95,0;63,0;64,0;2,0;439,98
96,0;63,0;28,0;1,0;437,88
97,0;64,0;12,0;1,0;217,28
98,0;64,0;68,0;2,0;713,05
99,0;67,0;62,0;2,0;556,37
