avaliacao_id,os_id,nota_atendimento,nota_servico,comentario_categoria,data_avaliacao,motivo_rejeicao
22,48,5,1,Elogio,2026-04-05,fk_invalida:os_id
26,52,1,3,Atendimento,2026-02-05,fk_invalida:os_id
28,55,4,3,Preço,2026-02-02,fk_invalida:os_id
30,61,3,5,Elogio,2025-05-09,fk_invalida:os_id
32,64,3,4,Prazo,2026-07-04,fk_invalida:os_id
45,87,3,3,Preço,2026-06-02,fk_invalida:os_id
55,110,1,5,Elogio,2025-07-10,fk_invalida:os_id
59,118,3,4,Atendimento,2025-01-09,fk_invalida:os_id
63,124,3,5,Atendimento,2026-05-06,fk_invalida:os_id
65,127,1,1,Prazo,2026-09-01,fk_invalida:os_id
67,132,2,4,Atendimento,2025-03-12,fk_invalida:os_id
69,135,3,4,Sem comentário,2026-09-01,fk_invalida:os_id
82,152,3,2,Preço,2025-09-11,fk_invalida:os_id
99,186,5,2,Atendimento,2025-03-12,fk_invalida:os_id
109,201,4,1,Prazo,2026-03-01,fk_invalida:os_id
112,205,5,1,Prazo,2026-03-04,fk_invalida:os_id
118,213,2,3,Elogio,2025-05-09,fk_invalida:os_id
121,217,1,4,Preço,2026-04-04,fk_invalida:os_id
130,230,2,4,Sem comentário,2025-01-12,fk_invalida:os_id
131,231,5,3,Sem comentário,2025-08-07,fk_invalida:os_id
136,241,5,2,Preço,2025-03-09,fk_invalida:os_id
155,278,1,2,Sem comentário,2026-06-01,fk_invalida:os_id
171,303,1,1,Atendimento,2025-04-10,fk_invalida:os_id
195,341,2,4,Preço,2025-08-12,fk_invalida:os_id
204,355,2,2,Preço,2025-04-08,fk_invalida:os_id
219,376,4,2,Preço,2026-02-01,fk_invalida:os_id
220,377,4,5,Sem comentário,2026-04-01,fk_invalida:os_id
221,378,5,5,Elogio,2026-05-07,fk_invalida:os_id
244,423,4,5,Prazo,2025-01-11,fk_invalida:os_id
256,448,5,2,Sem comentário,2026-01-07,fk_invalida:os_id
260,456,5,1,Prazo,2025-07-10,fk_invalida:os_id
266,466,1,2,Sem comentário,2026-01-06,fk_invalida:os_id
269,471,5,5,Atendimento,2026-02-02,fk_invalida:os_id
270,474,4,3,Atendimento,2026-02-06,fk_invalida:os_id
274,478,5,5,Prazo,2025-11-08,fk_invalida:os_id
279,484,4,3,Prazo,2025-06-11,fk_invalida:os_id
284,491,1,5,Atendimento,2026-01-07,fk_invalida:os_id
286,493,1,2,Preço,2025-03-10,fk_invalida:os_id
313,536,2,3,Elogio,2026-02-03,fk_invalida:os_id
315,538,1,3,Preço,2026-01-03,fk_invalida:os_id
319,544,3,1,Preço,2026-05-02,fk_invalida:os_id
325,552,5,1,Preço,2025-09-08,fk_invalida:os_id
327,555,4,2,Sem comentário,2026-08-02,fk_invalida:os_id
329,559,1,4,Atendimento,2026-12-06,fk_invalida:os_id
332,562,4,5,Prazo,2026-05-01,fk_invalida:os_id
339,573,4,4,Atendimento,2026-01-03,fk_invalida:os_id
340,574,4,5,Atendimento,2025-10-10,fk_invalida:os_id
345,579,4,4,Preço,2025-04-08,fk_invalida:os_id
348,584,3,4,Prazo,2025-08-12,fk_invalida:os_id
353,592,2,4,Atendimento,2025-08-08,fk_invalida:os_id
355,595,5,3,Elogio,2025-04-12,fk_invalida:os_id
361,603,4,1,Sem comentário,2025-06-10,fk_invalida:os_id
362,604,2,4,Prazo,2025-04-10,fk_invalida:os_id
365,610,5,1,Elogio,2026-01-03,fk_invalida:os_id
370,618,2,2,Elogio,2025-07-11,fk_invalida:os_id
371,620,2,2,Sem comentário,2025-03-09,fk_invalida:os_id
376,628,2,5,Atendimento,2025-12-10,fk_invalida:os_id
386,651,4,1,Elogio,2026-07-03,fk_invalida:os_id
387,654,4,1,Prazo,2026-05-05,fk_invalida:os_id
388,655,3,1,Preço,2026-06-01,fk_invalida:os_id
411,697,5,1,Prazo,2025-02-09,fk_invalida:os_id
416,703,4,1,Elogio,2025-06-09,fk_invalida:os_id
423,720,1,1,Elogio,2026-08-01,fk_invalida:os_id
432,730,1,3,Atendimento,2025-02-09,fk_invalida:os_id
446,748,3,2,Elogio,2025-03-10,fk_invalida:os_id
457,763,2,5,Prazo,2026-11-03,fk_invalida:os_id
467,781,2,3,Preço,2026-01-06,fk_invalida:os_id
473,787,1,2,Atendimento,2025-09-12,fk_invalida:os_id
477,794,5,5,Preço,2025-02-12,fk_invalida:os_id
482,805,3,2,Sem comentário,2026-04-02,fk_invalida:os_id
487,818,1,4,Atendimento,2026-06-03,fk_invalida:os_id
493,826,1,4,Preço,2026-09-04,fk_invalida:os_id
499,835,5,2,Sem comentário,2026-02-04,fk_invalida:os_id
506,848,3,3,Preço,2026-06-07,fk_invalida:os_id
519,866,1,4,Sem comentário,2026-04-01,fk_invalida:os_id
521,870,4,2,Prazo,2026-06-01,fk_invalida:os_id
523,874,2,5,Prazo,2025-01-12,fk_invalida:os_id
524,875,3,4,Preço,2026-04-06,fk_invalida:os_id
529,881,3,3,Prazo,2026-01-01,fk_invalida:os_id
537,895,4,4,Prazo,2025-11-07,fk_invalida:os_id
550,918,2,2,Preço,2025-02-08,fk_invalida:os_id
578,955,1,3,Prazo,2025-10-12,fk_invalida:os_id
579,957,2,5,Preço,2025-03-12,fk_invalida:os_id
581,959,5,5,Sem comentário,2025-09-08,fk_invalida:os_id
585,966,4,1,Sem comentário,2026-06-06,fk_invalida:os_id
593,976,3,5,Sem comentário,2025-05-10,fk_invalida:os_id
603,992,2,1,Sem comentário,2026-01-04,fk_invalida:os_id
609,1002,2,2,Atendimento,2025-05-10,fk_invalida:os_id
625,1034,2,4,Atendimento,2026-09-06,fk_invalida:os_id
626,1035,2,5,Elogio,2026-05-06,fk_invalida:os_id
639,1061,3,1,Atendimento,2026-04-04,fk_invalida:os_id
646,1075,2,4,Sem comentário,2025-05-10,fk_invalida:os_id
650,1079,4,1,Prazo,2025-04-10,fk_invalida:os_id
651,1081,5,5,Elogio,2025-08-12,fk_invalida:os_id
656,1086,3,1,Elogio,2026-03-03,fk_invalida:os_id
661,1092,3,3,Preço,2025-07-11,fk_invalida:os_id
662,1093,3,5,Preço,2025-06-09,fk_invalida:os_id
664,1099,3,1,Sem comentário,2025-11-09,fk_invalida:os_id
674,1114,5,4,Sem comentário,2026-01-06,fk_invalida:os_id
691,1142,3,2,Prazo,2026-03-01,fk_invalida:os_id
705,1167,4,4,Atendimento,2025-12-10,fk_invalida:os_id
711,1181,3,5,Preço,2025-12-10,fk_invalida:os_id
714,1187,5,1,Prazo,2025-03-11,fk_invalida:os_id
718,1192,5,5,Preço,2026-06-05,fk_invalida:os_id
735,1220,2,2,Sem comentário,2026-07-01,fk_invalida:os_id
743,1228,4,3,Sem comentário,2025-12-08,fk_invalida:os_id
746,1231,1,5,Elogio,2026-03-05,fk_invalida:os_id
751,1237,3,3,Elogio,2026-02-04,fk_invalida:os_id
753,1239,5,5,Prazo,2026-01-02,fk_invalida:os_id
755,1242,4,3,Prazo,2026-02-07,fk_invalida:os_id
769,1267,3,4,Atendimento,2025-08-08,fk_invalida:os_id
773,1273,5,3,Preço,2026-05-02,fk_invalida:os_id
774,1275,4,3,Atendimento,2025-03-09,fk_invalida:os_id
785,1292,5,3,Preço,2026-06-07,fk_invalida:os_id
792,1301,5,1,Prazo,2026-11-05,fk_invalida:os_id
810,1330,1,4,Sem comentário,2026-03-06,fk_invalida:os_id
812,1334,1,4,Atendimento,2025-12-08,fk_invalida:os_id
815,1338,4,4,Prazo,2026-01-02,fk_invalida:os_id
821,1350,2,3,Sem comentário,2026-01-01,fk_invalida:os_id
823,1359,1,1,Prazo,2026-04-06,fk_invalida:os_id
826,1364,2,2,Atendimento,2026-07-02,fk_invalida:os_id
833,1377,2,4,Atendimento,2026-02-07,fk_invalida:os_id
835,1380,3,3,Preço,2025-03-08,fk_invalida:os_id
841,1386,5,5,Preço,2025-08-12,fk_invalida:os_id
853,1412,4,3,Elogio,2026-03-02,fk_invalida:os_id
861,1425,3,1,Preço,2026-06-05,fk_invalida:os_id
878,1455,1,3,Elogio,2025-05-12,fk_invalida:os_id
887,1472,2,3,Sem comentário,2025-11-10,fk_invalida:os_id
889,1474,4,5,Prazo,2025-01-12,fk_invalida:os_id
890,1475,3,3,Preço,2026-07-01,fk_invalida:os_id
891,1476,2,5,Atendimento,2026-01-04,fk_invalida:os_id
892,1478,4,3,Elogio,2026-05-04,fk_invalida:os_id
904,1494,3,4,Preço,2026-04-02,fk_invalida:os_id
905,1495,1,5,Elogio,2026-02-07,fk_invalida:os_id
913,1507,3,4,Elogio,2026-08-01,fk_invalida:os_id
926,1532,3,2,Atendimento,2025-12-09,fk_invalida:os_id
938,1552,2,5,Preço,2025-01-11,fk_invalida:os_id
946,1568,1,3,Atendimento,2026-04-07,fk_invalida:os_id
951,1573,1,2,Prazo,2026-03-04,fk_invalida:os_id
954,1576,2,5,Atendimento,2026-04-07,fk_invalida:os_id
960,1584,1,5,Prazo,2026-05-01,fk_invalida:os_id
962,1588,4,2,Sem comentário,2026-01-02,fk_invalida:os_id
967,1601,3,1,Sem comentário,2025-09-07,fk_invalida:os_id
974,1612,2,5,Prazo,2026-11-05,fk_invalida:os_id
976,1617,2,1,Atendimento,2026-09-03,fk_invalida:os_id
993,1639,5,4,Prazo,2025-11-07,fk_invalida:os_id
996,1642,1,3,Sem comentário,2025-04-11,fk_invalida:os_id
998,1647,2,5,Preço,2025-04-12,fk_invalida:os_id
1003,1654,1,1,Elogio,2025-01-11,fk_invalida:os_id
1006,1659,1,4,Preço,2025-03-10,fk_invalida:os_id
1013,1671,2,2,Elogio,2025-12-08,fk_invalida:os_id
1014,1672,1,5,Preço,2025-01-08,fk_invalida:os_id
1015,1673,2,1,Atendimento,2026-05-02,fk_invalida:os_id
1018,1679,3,5,Preço,2026-03-05,fk_invalida:os_id
1019,1681,2,1,Preço,2026-11-01,fk_invalida:os_id
1026,1689,5,4,Elogio,2025-02-08,fk_invalida:os_id
1050,1728,1,5,Atendimento,2025-10-08,fk_invalida:os_id
1059,1745,1,4,Atendimento,2025-04-08,fk_invalida:os_id
1076,1773,2,1,Prazo,2025-12-12,fk_invalida:os_id
1101,1813,5,3,Elogio,2025-02-09,fk_invalida:os_id
1107,1826,3,4,Sem comentário,2025-12-10,fk_invalida:os_id
1120,1848,2,5,Preço,2026-08-04,fk_invalida:os_id
