diagnostico_id,os_id,defeito_relatado,causa,taxa_diagnostico,data_diagnostico,motivo_rejeicao
2,2,Não carrega,Desgaste,36.24,2025-09-15,fk_invalida:os_id
3,3,Falha de rede,Oxidação,170.79,2026-06-21,fk_invalida:os_id
8,8,Ruído,Componente queimado,76.57,2025-08-21,fk_invalida:os_id
9,9,Sem imagem,Impacto,226.92,2026-04-15,fk_invalida:os_id
10,10,Falha de rede,Oxidação,83.57,2025-11-14,fk_invalida:os_id
11,11,Superaquecimento,Oxidação,82.05,2026-05-26,fk_invalida:os_id
12,12,Tela quebrada,Software,162.99,2026-01-26,fk_invalida:os_id
13,13,Lento,Componente queimado,147.16,2025-10-26,fk_invalida:os_id
16,16,Não carrega,Impacto,188.22,2025-08-19,fk_invalida:os_id
17,17,Ruído,Oxidação,223.36,2026-02-24,fk_invalida:os_id
18,18,Não carrega,Componente queimado,52.92,2025-09-18,fk_invalida:os_id
19,19,Superaquecimento,Desgaste,131.89,2026-06-14,fk_invalida:os_id
20,20,Tela quebrada,Componente queimado,151.44,2026-06-23,fk_invalida:os_id
21,21,Não carrega,Desgaste,222.14,2026-02-10,fk_invalida:os_id
24,24,Sem imagem,Desgaste,170.78,2026-02-15,fk_invalida:os_id
26,26,Sem imagem,Oxidação,131.18,2026-04-28,fk_invalida:os_id
27,27,Falha de rede,Impacto,242.3,2025-12-10,fk_invalida:os_id
28,28,Lento,Impacto,49.82,2025-07-16,fk_invalida:os_id
29,29,Superaquecimento,Impacto,83.54,2026-01-22,fk_invalida:os_id
30,30,Tela quebrada,Desgaste,69.73,2025-11-06,fk_invalida:os_id
31,31,Superaquecimento,Oxidação,126.1,2026-02-16,fk_invalida:os_id
32,32,Lento,Impacto,79.92,2025-07-27,fk_invalida:os_id
36,36,Falha de rede,Software,41.72,2026-04-13,fk_invalida:os_id
37,37,Falha de rede,Componente queimado,181.26,2026-04-16,fk_invalida:os_id
38,38,Superaquecimento,Software,121.37,2026-01-26,fk_invalida:os_id
39,39,Não liga,Impacto,134.76,2026-01-18,fk_invalida:os_id
40,40,Não liga,Impacto,162.54,2026-01-21,fk_invalida:os_id
41,41,Tela quebrada,Software,177.66,2026-05-30,fk_invalida:os_id
42,42,Tela quebrada,Oxidação,138.77,2025-12-13,fk_invalida:os_id
43,43,Ruído,Software,194.92,2025-10-26,fk_invalida:os_id
44,44,Tela quebrada,Desgaste,137.13,2025-08-23,fk_invalida:os_id
45,45,Não carrega,Software,52.41,2026-03-23,fk_invalida:os_id
46,46,Sem imagem,Componente queimado,65.96,2025-09-21,fk_invalida:os_id
47,47,Não liga,Componente queimado,57.86,2026-02-17,fk_invalida:os_id
48,48,Não carrega,Oxidação,222.69,2026-05-06,fk_invalida:os_id
49,49,Falha de rede,Impacto,187.75,2026-06-19,fk_invalida:os_id
50,50,Ruído,Componente queimado,49.22,2025-09-17,fk_invalida:os_id
51,51,Sem imagem,Oxidação,90.99,2025-07-22,fk_invalida:os_id
52,52,Sem imagem,Componente queimado,205.96,2026-04-26,fk_invalida:os_id
53,53,Superaquecimento,Componente queimado,124.23,2026-05-15,fk_invalida:os_id
55,55,Lento,Componente queimado,43.92,2026-01-21,fk_invalida:os_id
57,57,Superaquecimento,Desgaste,202.19,2025-11-20,fk_invalida:os_id
58,58,Superaquecimento,Software,103.35,2026-01-11,fk_invalida:os_id
59,59,Ruído,Componente queimado,153.19,2026-01-18,fk_invalida:os_id
60,60,Sem imagem,Componente queimado,207.78,2026-03-22,fk_invalida:os_id
61,61,Falha de rede,Desgaste,147.01,2025-08-30,fk_invalida:os_id
62,62,Não liga,Componente queimado,90.63,2026-02-14,fk_invalida:os_id
64,64,Sem imagem,Desgaste,191.09,2026-04-04,fk_invalida:os_id
65,65,Falha de rede,Oxidação,53.23,2025-08-21,fk_invalida:os_id
66,66,Superaquecimento,Componente queimado,174.05,2026-03-25,fk_invalida:os_id
69,69,Sem imagem,Oxidação,85.21,2026-05-18,fk_invalida:os_id
70,70,Não liga,Desgaste,195.08,2025-10-08,fk_invalida:os_id
71,71,Não liga,Desgaste,143.0,2026-05-25,fk_invalida:os_id
73,73,Não liga,Software,131.04,2025-11-03,fk_invalida:os_id
74,74,Não carrega,Software,175.05,2026-06-06,fk_invalida:os_id
75,75,Superaquecimento,Software,90.41,2026-05-02,fk_invalida:os_id
76,76,Não liga,Software,218.7,2025-09-20,fk_invalida:os_id
82,82,Sem imagem,Impacto,216.14,2025-11-03,fk_invalida:os_id
84,84,Tela quebrada,Desgaste,237.54,2025-08-14,fk_invalida:os_id
85,85,Não carrega,Impacto,146.91,2026-03-15,fk_invalida:os_id
87,87,Falha de rede,Componente queimado,162.83,2026-01-25,fk_invalida:os_id
88,88,Tela quebrada,Impacto,192.18,2026-06-30,fk_invalida:os_id
91,91,Ruído,Impacto,213.77,2025-09-14,fk_invalida:os_id
95,95,Falha de rede,Software,56.73,2026-02-15,fk_invalida:os_id
96,96,Não liga,Desgaste,130.87,2026-06-14,fk_invalida:os_id
97,97,Tela quebrada,Oxidação,85.92,2025-10-31,fk_invalida:os_id
98,98,Sem imagem,Oxidação,191.13,2026-03-21,fk_invalida:os_id
106,106,Lento,Impacto,193.24,2025-11-11,fk_invalida:os_id
107,107,Superaquecimento,Desgaste,215.38,2026-06-20,fk_invalida:os_id
108,108,Ruído,Desgaste,205.84,2026-03-14,fk_invalida:os_id
109,109,Lento,Oxidação,70.79,2026-04-10,fk_invalida:os_id
110,110,Não carrega,Desgaste,244.39,2025-10-08,fk_invalida:os_id
111,111,Falha de rede,Impacto,132.37,2025-08-17,fk_invalida:os_id
112,112,Não carrega,Impacto,67.24,2025-07-10,fk_invalida:os_id
114,114,Não liga,Componente queimado,230.12,2026-03-19,fk_invalida:os_id
116,116,Falha de rede,Desgaste,228.74,2025-07-05,fk_invalida:os_id
117,117,Ruído,Impacto,93.76,2026-06-29,fk_invalida:os_id
118,118,Falha de rede,Software,179.32,2025-08-21,fk_invalida:os_id
119,119,Não liga,Oxidação,121.13,2025-07-09,fk_invalida:os_id
121,121,Lento,Oxidação,71.22,2025-07-14,fk_invalida:os_id
123,123,Superaquecimento,Oxidação,54.75,2026-02-15,fk_invalida:os_id
124,124,Lento,Oxidação,128.63,2026-05-26,fk_invalida:os_id
125,125,Ruído,Impacto,177.68,2025-08-12,fk_invalida:os_id
126,126,Superaquecimento,Componente queimado,137.87,2025-09-25,fk_invalida:os_id
127,127,Não liga,Desgaste,58.58,2025-12-28,fk_invalida:os_id
128,128,Tela quebrada,Impacto,150.53,2026-03-18,fk_invalida:os_id
129,129,Lento,Impacto,119.33,2025-08-24,fk_invalida:os_id
131,131,Não carrega,Impacto,56.29,2025-12-05,fk_invalida:os_id
132,132,Superaquecimento,Oxidação,106.21,2025-11-24,fk_invalida:os_id
133,133,Ruído,Oxidação,222.84,2026-04-21,fk_invalida:os_id
135,135,Lento,Software,227.19,2026-01-10,fk_invalida:os_id
136,136,Ruído,Componente queimado,96.54,2025-10-17,fk_invalida:os_id
137,137,Falha de rede,Impacto,80.81,2026-04-14,fk_invalida:os_id
138,138,Tela quebrada,Software,137.15,2026-06-24,fk_invalida:os_id
139,139,Lento,Software,203.05,2025-12-10,fk_invalida:os_id
140,140,Ruído,Componente queimado,149.58,2025-09-21,fk_invalida:os_id
141,141,Ruído,Software,172.53,2026-05-24,fk_invalida:os_id
142,142,Lento,Oxidação,55.99,2025-11-03,fk_invalida:os_id
143,143,Falha de rede,Oxidação,142.04,2025-10-04,fk_invalida:os_id
148,148,Ruído,Software,143.95,2025-07-13,fk_invalida:os_id
149,149,Tela quebrada,Componente queimado,62.86,2026-01-25,fk_invalida:os_id
150,150,Lento,Desgaste,199.78,2025-10-24,fk_invalida:os_id
152,152,Superaquecimento,Impacto,163.04,2025-10-28,fk_invalida:os_id
153,153,Falha de rede,Desgaste,178.15,2025-09-08,fk_invalida:os_id
155,155,Falha de rede,Componente queimado,183.73,2026-04-07,fk_invalida:os_id
158,158,Não carrega,Componente queimado,80.17,2026-05-06,fk_invalida:os_id
159,159,Tela quebrada,Desgaste,227.23,2025-12-23,fk_invalida:os_id
160,160,Superaquecimento,Impacto,46.04,2025-07-09,fk_invalida:os_id
162,162,Não carrega,Impacto,94.16,2025-10-22,fk_invalida:os_id
163,163,Não liga,Oxidação,152.47,2025-11-22,fk_invalida:os_id
164,164,Superaquecimento,Impacto,112.84,2025-10-19,fk_invalida:os_id
165,165,Superaquecimento,Software,73.67,2025-12-09,fk_invalida:os_id
166,166,Ruído,Impacto,60.83,2025-07-27,fk_invalida:os_id
168,168,Não carrega,Oxidação,227.02,2026-06-26,fk_invalida:os_id
170,170,Sem imagem,Desgaste,109.33,2025-11-18,fk_invalida:os_id
171,171,Falha de rede,Oxidação,92.67,2026-05-21,fk_invalida:os_id
172,172,Superaquecimento,Componente queimado,142.12,2026-05-13,fk_invalida:os_id
