uso_id,reparo_id,peca_id,quantidade,custo_total,motivo_rejeicao
4.0,2.0,1.0,2.0,433.94,fk_invalida:reparo_id
5.0,2.0,76.0,2.0,187.26,fk_invalida:reparo_id
6.0,2.0,53.0,1.0,478.81,fk_invalida:reparo_id
12.0,7.0,69.0,2.0,717.49,fk_invalida:reparo_id
13.0,7.0,12.0,2.0,588.75,fk_invalida:reparo_id
14.0,8.0,30.0,2.0,827.76,fk_invalida:reparo_id
15.0,9.0,4.0,2.0,128.34,fk_invalida:reparo_id
16.0,9.0,40.0,2.0,30.73,fk_invalida:reparo_id
17.0,9.0,38.0,1.0,501.91,fk_invalida:reparo_id
18.0,10.0,25.0,1.0,558.44,fk_invalida:reparo_id
19.0,11.0,18.0,1.0,183.81,fk_invalida:reparo_id
20.0,11.0,59.0,2.0,99.39,fk_invalida:reparo_id
21.0,11.0,19.0,2.0,551.08,fk_invalida:reparo_id
22.0,12.0,31.0,2.0,403.67,fk_invalida:reparo_id
23.0,12.0,42.0,1.0,556.23,fk_invalida:reparo_id
24.0,12.0,35.0,2.0,294.81,fk_invalida:reparo_id
25.0,14.0,62.0,1.0,351.01,fk_invalida:reparo_id
26.0,16.0,22.0,1.0,334.98,fk_invalida:reparo_id
27.0,17.0,68.0,1.0,387.93,fk_invalida:reparo_id
28.0,19.0,14.0,1.0,556.88,fk_invalida:reparo_id
29.0,19.0,8.0,2.0,230.07,fk_invalida:reparo_id
30.0,19.0,6.0,1.0,99.17,fk_invalida:reparo_id
31.0,20.0,40.0,2.0,338.32,fk_invalida:reparo_id
32.0,20.0,24.0,1.0,466.25,fk_invalida:reparo_id
33.0,20.0,70.0,2.0,149.59,fk_invalida:reparo_id
34.0,21.0,13.0,2.0,625.62,fk_invalida:reparo_id
35.0,21.0,24.0,2.0,593.04,fk_invalida:reparo_id
36.0,21.0,72.0,1.0,812.23,fk_invalida:reparo_id
37.0,22.0,29.0,1.0,331.84,fk_invalida:reparo_id
38.0,22.0,43.0,2.0,824.16,fk_invalida:reparo_id
39.0,22.0,47.0,1.0,342.27,fk_invalida:reparo_id
