avaliacao_id,os_id,nota_atendimento,nota_servico,comentario_categoria,data_avaliacao
1,1,3,4,Atendimento,2025-09-04
2,4,4,5,Elogio,2025-08-05
3,5,5,3,Prazo,2025-10-12
4,8,3,3,Sem comentário,2025-08-29
5,9,3,5,Prazo,2026-04-26
6,10,2,1,Preço,2025-11-24
7,12,3,5,Sem comentário,2026-01-28
8,17,1,5,Elogio,2026-02-25
9,19,5,4,Prazo,2026-06-18
10,20,2,3,Preço,2026-06-29
11,22,2,4,Sem comentário,2025-09-01
12,23,1,1,Elogio,2026-06-05
13,24,3,1,Sem comentário,2026-02-23
14,27,2,4,Prazo,2025-12-16
15,30,3,4,Sem comentário,2025-11-14
16,31,4,1,Prazo,2026-02-20
17,37,5,2,Prazo,2026-04-20
18,39,2,3,Elogio,2026-01-22
19,40,1,5,Preço,2026-01-26
20,42,4,3,Preço,2025-12-16
21,45,1,4,Elogio,2026-03-24
22,48,5,1,Elogio,2026-05-04
23,49,3,1,Atendimento,2026-06-20
24,50,4,3,Prazo,2025-09-29
25,51,5,4,Elogio,2025-07-28
26,52,1,3,Atendimento,2026-05-02
27,53,1,1,Preço,2026-05-24
28,55,4,3,Preço,2026-02-02
29,58,5,5,Preço,2026-01-18
30,61,3,5,Elogio,2025-09-05
31,63,4,3,Prazo,2026-03-05
32,64,3,4,Prazo,2026-04-07
33,67,4,2,Prazo,2026-07-02
34,70,3,5,Prazo,2025-10-16
35,71,4,1,Preço,2026-05-31
36,72,2,5,Elogio,2026-05-11
37,74,5,1,Preço,2026-06-15
38,75,5,1,Prazo,2026-05-13
39,76,3,5,Atendimento,2025-09-24
40,80,5,4,Sem comentário,2025-11-11
41,82,4,4,Atendimento,2025-11-13
42,83,2,2,Sem comentário,2026-04-10
43,84,4,4,Preço,2025-08-19
44,86,4,5,Sem comentário,2025-12-11
45,87,3,3,Preço,2026-02-06
46,88,4,5,Sem comentário,2026-06-30
47,91,3,3,Prazo,2025-09-22
48,95,3,3,Atendimento,2026-02-24
49,96,4,3,Preço,2026-06-22
50,97,2,1,Atendimento,2025-10-30
51,100,4,3,Atendimento,2025-11-09
52,102,1,3,Elogio,2025-10-03
53,106,2,3,Elogio,2025-11-13
54,108,2,3,Preço,2026-03-17
55,110,1,5,Elogio,2025-10-07
56,112,3,1,Atendimento,2025-07-22
57,116,2,3,Prazo,2025-07-17
58,117,5,2,Preço,2026-06-30
59,118,3,4,Atendimento,2025-09-01
60,119,3,1,Sem comentário,2025-07-14
61,120,3,4,Elogio,2026-05-05
62,122,3,1,Sem comentário,2025-10-03
63,124,3,5,Atendimento,2026-06-05
64,126,2,3,Sem comentário,2025-09-26
65,127,1,1,Prazo,2026-01-09
66,130,4,5,Elogio,2026-03-05
67,132,2,4,Atendimento,2025-12-03
68,134,2,4,Sem comentário,2025-09-09
69,135,3,4,Sem comentário,2026-01-09
70,136,2,2,Sem comentário,2025-10-18
71,138,3,4,Prazo,2026-06-26
72,139,4,1,Elogio,2025-12-20
73,140,1,3,Preço,2025-09-29
74,141,1,1,Prazo,2026-05-31
75,142,3,5,Prazo,2025-11-14
76,143,5,1,Preço,2025-10-15
77,144,2,3,Sem comentário,2026-03-07
78,145,3,3,Atendimento,2026-04-08
79,146,4,4,Preço,2025-07-10
80,148,3,3,Atendimento,2025-07-25
81,151,2,1,Atendimento,2025-07-02
82,152,3,2,Preço,2025-11-09
83,154,3,5,Prazo,2025-11-09
84,155,2,5,Prazo,2026-04-18
85,158,2,4,Preço,2026-05-18
86,159,5,4,Atendimento,2025-12-30
87,160,2,3,Preço,2025-07-19
88,162,1,1,Elogio,2025-10-31
89,163,1,1,Atendimento,2025-11-26
90,164,5,5,Prazo,2025-10-17
91,171,1,2,Elogio,2026-05-27
92,176,2,1,Atendimento,2026-03-15
93,177,2,2,Sem comentário,2025-07-30
94,178,2,3,Prazo,2026-02-19
95,179,3,5,Sem comentário,2026-06-13
96,182,4,2,Elogio,2025-11-23
97,183,5,3,Atendimento,2026-04-15
98,185,3,5,Elogio,2026-04-24
99,186,5,2,Atendimento,2025-12-03
100,187,5,3,Sem comentário,2025-07-29
101,188,1,4,Preço,2026-07-05
102,190,1,2,Sem comentário,2026-05-29
103,193,3,3,Sem comentário,2025-12-17
104,194,5,2,Preço,2025-08-31
105,195,1,2,Preço,2025-10-23
106,196,1,4,Sem comentário,2026-04-20
107,199,1,5,Elogio,2026-03-29
108,200,3,2,Prazo,2026-02-24
109,201,4,1,Prazo,2026-01-03
110,202,5,5,Elogio,2026-01-22
111,203,1,5,Preço,2026-03-20
112,205,5,1,Prazo,2026-04-03
113,206,2,2,Atendimento,2026-01-20
114,207,3,3,Preço,2025-09-24
115,208,2,1,Atendimento,2026-04-15
116,211,2,1,Prazo,2025-12-23
117,212,5,5,Elogio,2026-01-12
118,213,2,3,Elogio,2025-09-05
119,214,4,5,Atendimento,2026-06-22
120,215,3,4,Prazo,2025-12-11
121,217,1,4,Preço,2026-04-04
122,219,2,3,Elogio,2025-10-26
123,220,2,2,Atendimento,2026-06-20
124,221,4,5,Sem comentário,2025-10-21
125,223,3,1,Sem comentário,2025-12-26
126,225,1,4,Prazo,2025-11-06
127,227,4,5,Elogio,2026-05-28
128,228,4,1,Elogio,2026-03-14
129,229,5,5,Sem comentário,2025-12-14
130,230,2,4,Sem comentário,2025-12-01
131,231,5,3,Sem comentário,2025-07-08
132,233,5,4,Prazo,2026-05-15
133,235,1,3,Sem comentário,2025-08-21
134,237,4,4,Elogio,2026-02-07
135,239,3,3,Sem comentário,2026-04-07
136,241,5,2,Preço,2025-09-03
137,244,3,5,Atendimento,2025-09-23
138,247,5,3,Atendimento,2025-10-23
139,248,1,4,Sem comentário,2025-09-17
140,250,2,3,Sem comentário,2026-05-08
141,251,2,5,Prazo,2025-08-21
142,253,2,1,Elogio,2026-01-05
143,255,5,2,Atendimento,2026-01-24
144,260,1,3,Atendimento,2026-04-18
145,262,1,5,Atendimento,2026-03-23
146,263,3,2,Elogio,2026-01-18
147,265,2,1,Atendimento,2026-01-07
