orcamento_id,os_id,valor_pecas,valor_mao_obra,valor_total,data_orcamento,status
1,1,215.5,500.96,716.46,2025-08-29,Aprovado
2,2,993.85,253.23,1247.08,2025-09-14,Aprovado
3,3,498.06,530.29,1028.35,2026-06-20,Recusado
4,4,467.16,503.1,970.26,2025-07-28,Aprovado
5,5,432.1,415.65,847.75,2025-10-08,Aprovado
6,6,178.27,519.01,697.28,2025-12-06,Recusado
7,7,227.72,356.94,584.66,2026-04-05,Aprovado
8,8,1229.35,73.76,1303.11,2025-08-19,Aprovado
9,9,238.34,226.8,465.14,2026-04-15,Aprovado
10,10,939.2,496.06,1435.26,2025-11-14,Aprovado
11,11,553.58,428.78,982.36,2026-05-26,Aprovado
12,12,610.58,149.49,760.07,2026-01-26,Aprovado
13,13,662.88,204.61,867.49,2025-10-27,Recusado
14,14,397.82,93.87,491.69,2025-08-31,Aprovado
15,15,597.47,171.4,768.87,2026-01-03,Recusado
16,16,710.35,354.4,1064.75,2025-08-18,Aprovado
17,17,284.7,284.22,568.92,2026-02-25,Aprovado
18,18,86.31,614.42,700.73,2025-09-19,Recusado
19,19,563.29,135.76,699.05,2026-06-14,Aprovado
20,20,1239.72,135.34,1375.06,2026-06-24,Aprovado
21,21,995.5,609.64,1605.14,2026-02-09,Aprovado
22,22,1175.13,396.5,1571.63,2025-08-30,Aprovado
23,23,190.2,401.18,591.38,2026-05-30,Aprovado
24,24,795.15,125.33,920.48,2026-02-16,Aprovado
25,25,541.22,282.33,823.55,2025-11-03,Recusado
26,26,517.83,452.66,970.49,2026-04-27,Aprovado
27,27,653.82,597.38,1251.2,2025-12-10,Aprovado
28,28,1102.02,206.13,1308.15,2025-07-16,Aprovado
29,29,907.02,237.44,1144.46,2026-01-23,Recusado
30,30,902.52,389.29,1291.81,2025-11-06,Aprovado
31,31,1011.16,572.23,1583.39,2026-02-16,Aprovado
32,32,1120.7,450.19,1570.89,2025-07-27,Recusado
33,33,400.44,534.17,934.61,2026-02-07,Recusado
34,34,1187.72,171.89,1359.61,2025-12-29,Aprovado
35,35,249.87,409.84,659.71,2025-10-30,Aprovado
36,36,65.06,223.13,288.19,2026-04-14,Aprovado
37,37,896.8,96.42,993.22,2026-04-15,Aprovado
38,38,384.85,442.55,827.4,2026-01-25,Recusado
39,39,1158.36,476.83,1635.19,2026-01-19,Aprovado
40,40,1017.62,223.01,1240.63,2026-01-20,Aprovado
41,41,857.59,442.88,1300.47,2026-05-28,Aprovado
42,42,46.71,345.81,392.52,2025-12-13,Aprovado
43,43,778.39,108.33,886.72,2025-10-26,Recusado
44,44,445.16,274.04,719.2,2025-08-23,Aprovado
45,45,1184.66,261.17,1445.83,2026-03-21,Aprovado
46,46,880.98,421.25,1302.23,2025-09-20,Aprovado
47,47,289.06,485.91,774.97,2026-02-17,Aprovado
48,48,1001.94,131.19,1133.13,2026-05-04,Aprovado
49,49,360.84,457.12,817.96,2026-06-18,Aprovado
50,50,1003.52,78.81,1082.33,2025-09-16,Aprovado
51,51,569.11,272.11,841.22,2025-07-21,Aprovado
52,52,465.44,364.03,829.47,2026-04-25,Aprovado
53,53,78.21,215.31,293.52,2026-05-16,Aprovado
54,54,1101.87,408.78,1510.65,2026-05-30,Recusado
55,55,573.87,197.93,771.8,2026-01-20,Aprovado
56,56,1099.71,274.04,1373.75,2025-08-10,Recusado
57,57,267.53,418.78,686.31,2025-11-20,Aprovado
58,58,471.79,167.47,639.26,2026-01-09,Aprovado
59,59,632.95,385.44,1018.39,2026-01-19,Aprovado
60,60,287.84,203.9,491.74,2026-03-20,Recusado
61,61,471.62,277.4,749.02,2025-08-29,Aprovado
62,62,551.25,192.82,744.07,2026-02-13,Recusado
63,63,903.74,184.3,1088.04,2026-02-28,Aprovado
64,64,566.9,366.05,932.95,2026-04-04,Aprovado
65,65,1240.67,126.73,1367.4,2025-08-22,Recusado
66,66,1229.24,285.25,1514.49,2026-03-25,Recusado
67,67,857.31,277.54,1134.85,2026-06-27,Aprovado
68,68,625.85,571.31,1197.16,2025-10-28,Aprovado
69,69,628.07,416.5,1044.57,2026-05-17,Recusado
70,70,982.93,178.51,1161.44,2025-10-07,Aprovado
71,71,489.41,70.28,559.69,2026-05-25,Aprovado
72,72,463.09,62.99,526.08,2026-05-01,Aprovado
73,73,295.64,488.25,783.89,2025-11-04,Aprovado
74,74,566.6,414.73,981.33,2026-06-07,Aprovado
75,75,847.16,145.03,992.19,2026-05-02,Aprovado
76,76,378.22,403.52,781.74,2025-09-21,Aprovado
77,77,238.09,106.56,344.65,2026-03-02,Aprovado
78,78,973.88,619.23,1593.11,2025-07-06,Recusado
79,79,1077.06,622.06,1699.12,2026-06-29,Aprovado
80,80,1085.06,549.48,1634.54,2025-11-01,Aprovado
81,81,148.96,262.86,411.82,2025-07-29,Recusado
82,82,618.53,179.49,798.02,2025-11-04,Aprovado
83,83,188.58,347.07,535.65,2026-04-04,Aprovado
84,84,151.64,433.06,584.7,2025-08-12,Aprovado
85,85,713.23,411.14,1124.37,2026-03-15,Aprovado
86,86,771.84,256.89,1028.73,2025-12-05,Aprovado
87,87,66.83,503.39,570.22,2026-01-26,Aprovado
88,88,190.75,502.54,693.29,2026-06-30,Aprovado
89,89,96.24,74.31,170.55,2026-01-05,Recusado
90,90,105.69,429.39,535.08,2026-05-10,Recusado
91,91,1020.18,394.23,1414.41,2025-09-14,Aprovado
92,92,573.95,61.55,635.5,2026-03-28,Recusado
93,93,37.12,253.25,290.37,2025-10-28,Aprovado
94,94,435.75,89.37,525.12,2026-05-29,Aprovado
95,95,545.24,214.29,759.53,2026-02-13,Aprovado
96,96,532.58,371.0,903.58,2026-06-12,Aprovado
97,97,437.08,307.41,744.49,2025-10-30,Aprovado
98,98,1135.02,491.06,1626.08,2026-03-21,Aprovado
99,99,1283.92,183.43,1467.35,2025-12-27,Recusado
100,100,417.86,360.22,778.08,2025-11-06,Aprovado
101,101,430.99,494.5,925.49,2026-01-03,Recusado
102,102,222.42,298.76,521.18,2025-09-23,Aprovado
103,103,731.76,308.8,1040.56,2026-03-04,Recusado
104,104,1053.0,77.2,1130.2,2026-06-05,Recusado
105,105,852.11,397.77,1249.88,2025-12-29,Recusado
106,106,854.5,333.66,1188.16,2025-11-10,Aprovado
107,107,460.28,277.1,737.38,2026-06-21,Recusado
108,108,847.34,292.11,1139.45,2026-03-12,Aprovado
109,109,218.63,426.46,645.09,2026-04-11,Aprovado
110,110,1146.6,442.08,1588.68,2025-10-07,Aprovado
111,111,434.79,548.45,983.24,2025-08-17,Aprovado
112,112,239.3,172.57,411.87,2025-07-10,Aprovado
113,113,633.6,131.63,765.23,2025-08-04,Recusado
114,114,1145.92,305.16,1451.08,2026-03-18,Aprovado
115,115,746.21,280.7,1026.91,2026-06-30,Recusado
116,116,465.99,248.42,714.41,2025-07-06,Aprovado
117,117,1002.08,146.45,1148.53,2026-06-30,Aprovado
118,118,929.26,193.71,1122.97,2025-08-20,Aprovado
119,119,922.39,532.19,1454.58,2025-07-07,Aprovado
120,120,1297.92,503.11,1801.03,2026-05-05,Aprovado
121,121,926.42,157.23,1083.65,2025-07-15,Aprovado
122,122,503.96,478.61,982.57,2025-09-25,Aprovado
123,123,1216.37,565.44,1781.81,2026-02-13,Aprovado
124,124,1117.3,445.43,1562.73,2026-05-27,Aprovado
125,125,775.65,503.61,1279.26,2025-08-12,Recusado
126,126,739.73,467.89,1207.62,2025-09-25,Aprovado
127,127,661.57,238.19,899.76,2025-12-27,Aprovado
128,128,223.49,64.96,288.45,2026-03-17,Recusado
129,129,1150.43,510.12,1660.55,2025-08-24,Recusado
130,130,902.01,323.17,1225.18,2026-02-24,Aprovado
131,131,596.44,89.77,686.21,2025-12-06,Aprovado
132,132,638.91,343.74,982.65,2025-11-22,Aprovado
133,133,581.21,67.75,648.96,2026-04-21,Recusado
134,134,1063.03,644.98,1708.01,2025-08-31,Aprovado
135,135,147.86,360.77,508.63,2026-01-08,Aprovado
136,136,628.1,356.2,984.3,2025-10-15,Aprovado
137,137,92.6,103.79,196.39,2026-04-15,Recusado
138,138,412.31,225.46,637.77,2026-06-25,Aprovado
139,139,498.43,544.18,1042.61,2025-12-10,Aprovado
140,140,353.27,211.43,564.7,2025-09-21,Aprovado
141,141,207.8,194.75,402.55,2026-05-24,Aprovado
142,142,720.85,160.33,881.18,2025-11-02,Aprovado
143,143,1031.33,148.81,1180.14,2025-10-02,Aprovado
144,144,1090.87,476.71,1567.58,2026-03-01,Aprovado
145,145,1070.07,615.45,1685.52,2026-04-02,Aprovado
146,146,823.89,531.52,1355.41,2025-07-03,Aprovado
147,147,51.31,388.31,439.62,2026-02-28,Aprovado
148,148,258.86,324.57,583.43,2025-07-12,Aprovado
149,149,264.19,639.37,903.56,2026-01-23,Recusado
150,150,166.2,575.93,742.13,2025-10-23,Recusado
151,151,1282.31,585.9,1868.21,2025-07-02,Aprovado
152,152,124.76,563.78,688.54,2025-10-28,Aprovado
153,153,597.7,504.69,1102.39,2025-09-07,Recusado
154,154,1287.1,288.68,1575.78,2025-11-01,Aprovado
155,155,878.54,599.23,1477.77,2026-04-08,Aprovado
156,156,480.68,119.34,600.02,2026-06-04,Recusado
157,157,660.04,315.47,975.51,2026-03-08,Recusado
158,158,64.81,103.39,168.2,2026-05-05,Aprovado
159,159,450.54,280.84,731.38,2025-12-23,Aprovado
160,160,803.95,404.48,1208.43,2025-07-10,Aprovado
161,161,270.14,107.44,377.58,2026-06-08,Recusado
162,162,322.96,505.9,828.86,2025-10-23,Aprovado
163,163,1118.05,254.74,1372.79,2025-11-21,Aprovado
164,164,543.54,549.11,1092.65,2025-10-17,Aprovado
165,165,910.55,173.79,1084.34,2025-12-10,Aprovado
166,166,543.58,101.35,644.93,2025-07-26,Aprovado
167,167,325.67,583.83,909.5,2026-03-03,Recusado
168,168,268.9,186.36,455.26,2026-06-24,Recusado
169,169,449.99,111.14,561.13,2026-01-01,Aprovado
170,170,953.78,339.86,1293.64,2025-11-19,Aprovado
171,171,518.67,647.69,1166.36,2026-05-20,Aprovado
172,172,1223.77,357.65,1581.42,2026-05-13,Recusado
173,173,915.42,597.18,1512.6,2025-12-23,Recusado
174,174,241.53,511.58,753.11,2025-12-12,Aprovado
175,175,897.03,105.25,1002.28,2026-04-20,Recusado
176,176,585.64,160.4,746.04,2026-03-11,Aprovado
177,177,1277.53,519.79,1797.32,2025-07-22,Aprovado
178,178,1299.58,239.22,1538.8,2026-02-18,Aprovado
179,179,88.45,603.15,691.6,2026-06-05,Aprovado
180,180,122.12,509.64,631.76,2025-10-15,Aprovado
181,181,24.6,281.09,305.69,2025-07-17,Aprovado
182,182,1005.42,145.51,1150.93,2025-11-15,Aprovado
183,183,1221.72,93.75,1315.47,2026-04-12,Aprovado
184,184,1176.91,619.82,1796.73,2025-11-10,Recusado
185,185,93.17,143.32,236.49,2026-04-12,Aprovado
186,186,86.84,429.51,516.35,2025-11-22,Aprovado
187,187,682.29,541.16,1223.45,2025-07-28,Aprovado
188,188,342.66,247.06,589.72,2026-06-30,Aprovado
189,189,196.2,86.99,283.19,2026-04-27,Aprovado
190,190,702.59,538.11,1240.7,2026-05-24,Aprovado
191,191,284.76,540.69,825.45,2025-12-08,Recusado
192,192,741.46,580.3,1321.76,2025-10-01,Recusado
193,193,510.15,496.9,1007.05,2025-12-12,Aprovado
194,194,1079.97,467.58,1547.55,2025-08-22,Aprovado
195,195,1145.29,554.59,1699.88,2025-10-19,Aprovado
196,196,1283.39,87.17,1370.56,2026-04-11,Aprovado
197,197,58.82,183.06,241.88,2026-03-20,Recusado
198,198,1150.4,248.75,1399.15,2026-01-21,Recusado
199,199,118.58,570.21,688.79,2026-03-18,Aprovado
200,200,714.41,371.54,1085.95,2026-02-12,Aprovado
201,201,1147.33,319.29,1466.62,2025-12-26,Aprovado
202,202,1192.78,482.6,1675.38,2026-01-16,Aprovado
203,203,1084.01,563.04,1647.05,2026-03-20,Aprovado
204,204,547.5,557.52,1105.02,2026-05-21,Recusado
205,205,168.22,249.41,417.63,2026-03-27,Aprovado
206,206,42.02,628.67,670.69,2026-01-10,Aprovado
207,207,1211.39,602.95,1814.34,2025-09-18,Aprovado
208,208,775.39,128.4,903.79,2026-04-13,Aprovado
209,209,761.01,563.99,1325.0,2025-08-30,Recusado
210,210,942.95,253.92,1196.87,2025-10-29,Recusado
211,211,590.19,485.23,1075.42,2025-12-17,Aprovado
212,212,915.94,234.72,1150.66,2026-01-06,Aprovado
213,213,751.6,202.29,953.89,2025-08-24,Aprovado
214,214,572.62,102.14,674.76,2026-06-16,Aprovado
215,215,499.81,531.51,1031.32,2025-11-30,Aprovado
216,216,49.66,339.12,388.78,2025-09-05,Aprovado
217,217,1196.6,471.88,1668.48,2026-03-26,Aprovado
218,218,316.63,451.67,768.3,2026-02-26,Aprovado
219,219,1035.61,450.84,1486.45,2025-10-22,Aprovado
220,220,976.92,103.77,1080.69,2026-06-19,Aprovado
221,221,180.52,371.92,552.44,2025-10-20,Aprovado
222,222,409.82,600.22,1010.04,2025-11-11,Recusado
223,223,621.97,313.75,935.72,2025-12-21,Aprovado
224,224,719.47,264.63,984.1,2026-05-07,Aprovado
225,225,1224.38,629.22,1853.6,2025-11-04,Aprovado
226,226,361.96,594.66,956.62,2026-06-25,Aprovado
227,227,756.5,262.38,1018.88,2026-05-28,Aprovado
228,228,918.76,498.14,1416.9,2026-03-13,Aprovado
229,229,959.54,614.87,1574.41,2025-12-06,Aprovado
230,230,120.92,297.54,418.46,2025-11-24,Aprovado
231,231,332.49,568.7,901.19,2025-07-08,Aprovado
232,232,689.12,552.77,1241.89,2025-07-29,Aprovado
233,233,924.11,366.79,1290.9,2026-05-13,Aprovado
234,234,1273.75,643.3,1917.05,2025-09-22,Aprovado
235,235,183.58,526.88,710.46,2025-08-16,Aprovado
236,236,489.68,368.8,858.48,2026-03-06,Recusado
237,237,1041.06,370.54,1411.6,2026-02-01,Aprovado
238,238,1254.86,307.25,1562.11,2026-05-13,Aprovado
239,239,1217.19,372.98,1590.17,2026-03-31,Aprovado
240,240,952.83,288.38,1241.21,2025-08-16,Aprovado
241,241,834.52,483.41,1317.93,2025-08-24,Aprovado
242,242,1222.67,456.3,1678.97,2026-03-26,Aprovado
243,243,340.38,361.89,702.27,2025-12-15,Recusado
244,244,287.84,285.34,573.18,2025-09-23,Aprovado
245,245,610.02,634.21,1244.23,2025-10-30,Aprovado
246,246,995.5,71.99,1067.49,2025-09-11,Recusado
247,247,525.05,556.52,1081.57,2025-10-18,Aprovado
248,248,1010.38,618.94,1629.32,2025-09-04,Aprovado
249,249,54.85,375.26,430.11,2026-04-29,Recusado
250,250,785.61,506.8,1292.41,2026-05-06,Aprovado
251,251,915.33,230.79,1146.12,2025-08-14,Aprovado
252,252,548.21,491.25,1039.46,2026-04-02,Aprovado
253,253,857.72,157.24,1014.96,2026-01-03,Aprovado
254,254,487.81,433.74,921.55,2026-04-21,Aprovado
255,255,725.76,577.65,1303.41,2026-01-22,Aprovado
256,256,564.65,98.12,662.77,2026-04-06,Aprovado
257,257,738.08,583.69,1321.77,2026-02-22,Recusado
258,258,1014.1,469.42,1483.52,2026-02-18,Aprovado
259,259,337.45,595.03,932.48,2025-07-28,Aprovado
260,260,814.87,481.52,1296.39,2026-04-11,Aprovado
