cliente_id,codigo_cliente,tipo_cliente,uf
1,CLI-00001,Pessoa Física,MG
2,CLI-00002,Pessoa Física,MG
3,CLI-00003,Empresa,PR
4,CLI-00004,Empresa,RJ
5,CLI-00005,Pessoa Física,RJ
6,CLI-00006,Empresa,RJ
7,CLI-00007,Empresa,MG
8,CLI-00008,Empresa,PR
9,CLI-00009,Empresa,SP
10,CLI-00010,Empresa,RJ
11,CLI-00011,Pessoa Física,SC
12,CLI-00012,Pessoa Física,RJ
13,CLI-00013,Pessoa Física,MG
14,CLI-00014,Pessoa Física,MG
15,CLI-00015,Empresa,PR
16,CLI-00016,Empresa,PR
17,CLI-00017,Pessoa Física,RJ
18,CLI-00018,Pessoa Física,SC
19,CLI-00019,Pessoa Física,SP
20,CLI-00020,Pessoa Física,RJ
21,CLI-00021,Empresa,SP
22,CLI-00022,Empresa,RJ
23,CLI-00023,Pessoa Física,PR
24,CLI-00024,Empresa,SP
25,CLI-00025,Pessoa Física,MG
26,CLI-00026,Pessoa Física,SP
27,CLI-00027,Empresa,RJ
28,CLI-00028,Pessoa Física,SC
29,CLI-00029,Empresa,RJ
30,CLI-00030,Pessoa Física,RJ
31,CLI-00031,Empresa,PR
32,CLI-00032,Pessoa Física,SC
33,CLI-00033,Pessoa Física,SC
34,CLI-00034,Pessoa Física,RJ
35,CLI-00035,Pessoa Física,SC
36,CLI-00036,Pessoa Física,SC
37,CLI-00037,Pessoa Física,MG
38,CLI-00038,Empresa,SP
39,CLI-00039,Pessoa Física,RJ
40,CLI-00040,Empresa,PR
41,CLI-00041,Pessoa Física,RJ
42,CLI-00042,Pessoa Física,RJ
43,CLI-00043,Empresa,MG
44,CLI-00044,Pessoa Física,RJ
45,CLI-00045,Pessoa Física,RJ
46,CLI-00046,Pessoa Física,SC
47,CLI-00047,Pessoa Física,MG
48,CLI-00048,Empresa,RJ
49,CLI-00049,Empresa,MG
50,CLI-00050,Pessoa Física,RJ
51,CLI-00051,Empresa,SP
52,CLI-00052,Empresa,PR
53,CLI-00053,Empresa,MG
54,CLI-00054,Empresa,SP
55,CLI-00055,Pessoa Física,RJ
56,CLI-00056,Empresa,MG
57,CLI-00057,Pessoa Física,RJ
58,CLI-00058,Empresa,SP
59,CLI-00059,Empresa,MG
60,CLI-00060,Empresa,PR
61,CLI-00061,Empresa,RJ
62,CLI-00062,Empresa,RJ
63,CLI-00063,Empresa,SC
64,CLI-00064,Pessoa Física,PR
65,CLI-00065,Empresa,PR
66,CLI-00066,Empresa,RJ
67,CLI-00067,Pessoa Física,PR
68,CLI-00068,Empresa,RJ
69,CLI-00069,Pessoa Física,MG
70,CLI-00070,Pessoa Física,PR
71,CLI-00071,Pessoa Física,SC
72,CLI-00072,Empresa,PR
73,CLI-00073,Empresa,MG
74,CLI-00074,Pessoa Física,SC
75,CLI-00075,Pessoa Física,RJ
76,CLI-00076,Empresa,MG
77,CLI-00077,Empresa,MG
78,CLI-00078,Empresa,PR
79,CLI-00079,Empresa,SP
80,CLI-00080,Pessoa Física,SC
81,CLI-00081,Pessoa Física,RJ
82,CLI-00082,Pessoa Física,RJ
83,CLI-00083,Pessoa Física,SP
84,CLI-00084,Empresa,PR
85,CLI-00085,Pessoa Física,PR
86,CLI-00086,Empresa,SP
87,CLI-00087,Pessoa Física,MG
88,CLI-00088,Pessoa Física,PR
89,CLI-00089,Pessoa Física,SC
90,CLI-00090,Pessoa Física,SC
91,CLI-00091,Empresa,RJ
92,CLI-00092,Empresa,SP
93,CLI-00093,Pessoa Física,SP
94,CLI-00094,Empresa,MG
95,CLI-00095,Pessoa Física,PR
96,CLI-00096,Pessoa Física,RJ
97,CLI-00097,Pessoa Física,SP
98,CLI-00098,Empresa,MG
99,CLI-00099,Empresa,PR
100,CLI-00100,Pessoa Física,SP
101,CLI-00101,Pessoa Física,RJ
102,CLI-00102,Empresa,SC
103,CLI-00103,Empresa,SC
104,CLI-00104,Pessoa Física,SC
105,CLI-00105,Empresa,SC
106,CLI-00106,Empresa,MG
107,CLI-00107,Empresa,SP
108,CLI-00108,Empresa,SC
109,CLI-00109,Pessoa Física,PR
110,CLI-00110,Empresa,RJ
111,CLI-00111,Empresa,MG
112,CLI-00112,Pessoa Física,MG
113,CLI-00113,Pessoa Física,PR
114,CLI-00114,Pessoa Física,SP
115,CLI-00115,Empresa,MG
116,CLI-00116,Empresa,SC
117,CLI-00117,Empresa,MG
118,CLI-00118,Empresa,MG
119,CLI-00119,Pessoa Física,RJ
120,CLI-00120,Empresa,PR
121,CLI-00121,Pessoa Física,MG
122,CLI-00122,Pessoa Física,SP
123,CLI-00123,Empresa,PR
124,CLI-00124,Empresa,SP
125,CLI-00125,Pessoa Física,PR
126,CLI-00126,Empresa,PR
127,CLI-00127,Pessoa Física,MG
128,CLI-00128,Pessoa Física,SP
129,CLI-00129,Empresa,SC
130,CLI-00130,Empresa,PR
131,CLI-00131,Empresa,SC
132,CLI-00132,Empresa,RJ
133,CLI-00133,Pessoa Física,SP
134,CLI-00134,Pessoa Física,SP
135,CLI-00135,Empresa,RJ
136,CLI-00136,Pessoa Física,RJ
137,CLI-00137,Pessoa Física,SP
138,CLI-00138,Empresa,SP
139,CLI-00139,Pessoa Física,SC
140,CLI-00140,Empresa,PR
141,CLI-00141,Pessoa Física,SP
142,CLI-00142,Pessoa Física,SP
143,CLI-00143,Pessoa Física,SP
144,CLI-00144,Empresa,PR
145,CLI-00145,Pessoa Física,SC
146,CLI-00146,Empresa,RJ
147,CLI-00147,Pessoa Física,SC
148,CLI-00148,Empresa,PR
149,CLI-00149,Empresa,RJ
150,CLI-00150,Pessoa Física,RJ
151,CLI-00151,Pessoa Física,SC
152,CLI-00152,Empresa,SP
153,CLI-00153,Empresa,MG
154,CLI-00154,Pessoa Física,PR
155,CLI-00155,Pessoa Física,SP
156,CLI-00156,Pessoa Física,SP
157,CLI-00157,Empresa,SP
158,CLI-00158,Empresa,PR
159,CLI-00159,Pessoa Física,SP
160,CLI-00160,Pessoa Física,PR
161,CLI-00161,Pessoa Física,SP
162,CLI-00162,Empresa,SP
163,CLI-00163,Empresa,SC
164,CLI-00164,Pessoa Física,SP
165,CLI-00165,Empresa,SP
166,CLI-00166,Empresa,RJ
167,CLI-00167,Empresa,SP
168,CLI-00168,Pessoa Física,RJ
169,CLI-00169,Empresa,SP
170,CLI-00170,Empresa,MG
171,CLI-00171,Empresa,RJ
172,CLI-00172,Pessoa Física,MG
173,CLI-00173,Pessoa Física,RJ
174,CLI-00174,Pessoa Física,RJ
175,CLI-00175,Pessoa Física,RJ
176,CLI-00176,Pessoa Física,SP
177,CLI-00177,Empresa,PR
178,CLI-00178,Pessoa Física,RJ
179,CLI-00179,Pessoa Física,SC
180,CLI-00180,Empresa,PR
181,CLI-00181,Empresa,SP
182,CLI-00182,Pessoa Física,PR
183,CLI-00183,Empresa,MG
184,CLI-00184,Pessoa Física,SC
185,CLI-00185,Pessoa Física,PR
186,CLI-00186,Pessoa Física,PR
187,CLI-00187,Pessoa Física,PR
188,CLI-00188,Empresa,SP
189,CLI-00189,Empresa,SC
190,CLI-00190,Empresa,MG
191,CLI-00191,Empresa,MG
192,CLI-00192,Pessoa Física,MG
193,CLI-00193,Empresa,RJ
194,CLI-00194,Empresa,SC
195,CLI-00195,Pessoa Física,RJ
196,CLI-00196,Empresa,PR
197,CLI-00197,Empresa,SP
198,CLI-00198,Empresa,PR
199,CLI-00199,Pessoa Física,RJ
200,CLI-00200,Empresa,MG
201,CLI-00201,Empresa,RJ
202,CLI-00202,Empresa,SP
203,CLI-00203,Pessoa Física,SP
204,CLI-00204,Empresa,RJ
205,CLI-00205,Pessoa Física,PR
206,CLI-00206,Empresa,SC
207,CLI-00207,Pessoa Física,MG
208,CLI-00208,Empresa,MG
209,CLI-00209,Empresa,SC
210,CLI-00210,Empresa,PR
211,CLI-00211,Empresa,SP
212,CLI-00212,Empresa,RJ
213,CLI-00213,Empresa,RJ
214,CLI-00214,Pessoa Física,SC
215,CLI-00215,Empresa,PR
216,CLI-00216,Empresa,RJ
217,CLI-00217,Pessoa Física,SC
218,CLI-00218,Pessoa Física,SP
219,CLI-00219,Pessoa Física,SP
220,CLI-00220,Empresa,SC
221,CLI-00221,Empresa,SC
222,CLI-00222,Empresa,SP
223,CLI-00223,Empresa,PR
224,CLI-00224,Empresa,PR
225,CLI-00225,Empresa,SP
226,CLI-00226,Empresa,MG
227,CLI-00227,Pessoa Física,PR
228,CLI-00228,Pessoa Física,PR
229,CLI-00229,Pessoa Física,PR
230,CLI-00230,Empresa,PR
231,CLI-00231,Empresa,MG
232,CLI-00232,Empresa,SC
233,CLI-00233,Pessoa Física,MG
234,CLI-00234,Empresa,SC
235,CLI-00235,Pessoa Física,MG
236,CLI-00236,Pessoa Física,SC
237,CLI-00237,Pessoa Física,SC
238,CLI-00238,Empresa,SC
239,CLI-00239,Empresa,PR
240,CLI-00240,Empresa,SP
241,CLI-00241,Pessoa Física,MG
242,CLI-00242,Pessoa Física,SP
243,CLI-00243,Pessoa Física,SC
244,CLI-00244,Pessoa Física,SC
245,CLI-00245,Empresa,PR
246,CLI-00246,Empresa,SC
247,CLI-00247,Empresa,SP
248,CLI-00248,Empresa,SC
249,CLI-00249,Pessoa Física,PR
250,CLI-00250,Empresa,SC
251,CLI-00251,Pessoa Física,SC
252,CLI-00252,Pessoa Física,RJ
253,CLI-00253,Pessoa Física,SC
254,CLI-00254,Empresa,SP
255,CLI-00255,Empresa,SP
256,CLI-00256,Empresa,PR
257,CLI-00257,Empresa,SC
258,CLI-00258,Empresa,PR
