equipamento_id,cliente_id,tipo_id,marca_id,modelo,numero_serie_ficticio,ano_fabricacao
1,186,5,5,MOD-951,SER-0000001,2019
2,614,2,9,MOD-486,SER-0000002,2021
3,86,8,9,MOD-642,SER-0000003,2018
4,966,3,8,MOD-124,SER-0000004,2020
5,407,3,7,MOD-412,SER-0000005,2020
6,1,4,1,MOD-563,SER-0000006,2020
7,1173,4,6,MOD-385,SER-0000007,2023
8,977,10,3,MOD-818,SER-0000008,2024
9,1068,3,10,MOD-334,SER-0000009,2023
10,1072,3,7,MOD-958,SER-0000010,2021
11,205,3,4,MOD-324,SER-0000011,2024
12,688,1,9,MOD-128,SER-0000012,2025
13,392,9,8,MOD-243,SER-0000013,2018
14,1120,1,5,MOD-655,SER-0000014,2019
15,571,6,5,MOD-892,SER-0000015,2026
16,339,8,9,MOD-148,SER-0000016,2024
17,283,5,7,MOD-297,SER-0000017,2025
18,747,5,3,MOD-104,SER-0000018,2022
19,1038,7,4,MOD-409,SER-0000019,2021
20,920,4,7,MOD-451,SER-0000020,2019
21,19,2,4,MOD-434,SER-0000021,2026
22,898,10,7,MOD-334,SER-0000022,2018
23,828,9,11,MOD-470,SER-0000023,2023
24,238,5,7,MOD-973,SER-0000024,2026
25,995,10,11,MOD-935,SER-0000025,2021
26,1070,10,2,MOD-304,SER-0000026,2024
27,201,2,6,MOD-632,SER-0000027,2023
28,402,8,8,MOD-720,SER-0000028,2026
29,802,9,4,MOD-727,SER-0000029,2020
30,810,10,11,MOD-493,SER-0000030,2026
31,417,9,5,MOD-306,SER-0000031,2021
32,914,10,4,MOD-676,SER-0000032,2025
33,190,6,7,MOD-766,SER-0000033,2021
34,1009,5,12,MOD-689,SER-0000034,2026
35,1092,4,3,MOD-509,SER-0000035,2021
36,515,2,11,MOD-449,SER-0000036,2022
37,640,2,3,MOD-230,SER-0000037,2018
38,492,2,10,MOD-698,SER-0000038,2021
39,512,8,9,MOD-601,SER-0000039,2018
40,591,4,12,MOD-840,SER-0000040,2024
41,264,1,3,MOD-604,SER-0000041,2025
42,689,9,8,MOD-173,SER-0000042,2025
43,1093,10,6,MOD-121,SER-0000043,2024
44,623,2,4,MOD-513,SER-0000044,2020
45,357,8,9,MOD-887,SER-0000045,2025
46,888,5,1,MOD-914,SER-0000046,2021
47,920,6,6,MOD-261,SER-0000047,2019
48,1068,5,3,MOD-723,SER-0000048,2019
49,1160,7,2,MOD-533,SER-0000049,2021
50,623,1,7,MOD-633,SER-0000050,2025
51,466,8,1,MOD-426,SER-0000051,2018
52,968,2,7,MOD-763,SER-0000052,2023
53,101,2,6,MOD-130,SER-0000053,2021
54,107,5,6,MOD-835,SER-0000054,2018
55,453,5,8,MOD-397,SER-0000055,2022
56,317,8,10,MOD-791,SER-0000056,2026
57,589,10,2,MOD-462,SER-0000057,2022
58,964,8,6,MOD-140,SER-0000058,2021
59,314,2,4,MOD-484,SER-0000059,2022
60,186,5,9,MOD-317,SER-0000060,2024
61,1172,6,9,MOD-983,SER-0000061,2019
62,957,6,4,MOD-709,SER-0000062,2020
63,491,7,9,MOD-422,SER-0000063,2022
64,517,8,4,MOD-548,SER-0000064,2023
65,584,9,4,MOD-555,SER-0000065,2021
66,1122,5,10,MOD-164,SER-0000066,2022
67,1163,6,8,MOD-456,SER-0000067,2018
68,323,5,4,MOD-310,SER-0000068,2023
69,869,8,7,MOD-570,SER-0000069,2024
70,633,2,11,MOD-192,SER-0000070,2021
71,773,9,3,MOD-653,SER-0000071,2024
72,313,8,7,MOD-702,SER-0000072,2023
73,1070,6,7,MOD-139,SER-0000073,2019
74,692,6,1,MOD-458,SER-0000074,2024
75,280,9,12,MOD-223,SER-0000075,2019
76,119,7,1,MOD-122,SER-0000076,2026
77,757,4,7,MOD-106,SER-0000077,2018
78,498,5,9,MOD-644,SER-0000078,2019
79,746,2,10,MOD-538,SER-0000079,2026
80,838,7,6,MOD-928,SER-0000080,2022
81,1082,1,7,MOD-533,SER-0000081,2019
82,262,3,1,MOD-756,SER-0000082,2022
83,1095,10,12,MOD-360,SER-0000083,2020
84,116,1,5,MOD-717,SER-0000084,2021
85,641,4,7,MOD-695,SER-0000085,2020
86,1025,4,4,MOD-706,SER-0000086,2023
87,92,6,1,MOD-365,SER-0000087,2023
88,916,2,8,MOD-293,SER-0000088,2021
89,266,5,2,MOD-644,SER-0000089,2023
90,719,6,5,MOD-767,SER-0000090,2025
91,1107,8,4,MOD-402,SER-0000091,2020
92,697,4,6,MOD-755,SER-0000092,2021
93,1079,4,2,MOD-998,SER-0000093,2018
94,861,8,6,MOD-635,SER-0000094,2024
95,230,5,1,MOD-239,SER-0000095,2023
96,685,6,9,MOD-245,SER-0000096,2023
97,279,7,10,MOD-835,SER-0000097,2018
98,508,1,11,MOD-389,SER-0000098,2026
99,546,5,8,MOD-555,SER-0000099,2024
100,808,7,4,MOD-362,SER-0000100,2022
101,110,1,4,MOD-876,SER-0000101,2025
102,980,10,4,MOD-754,SER-0000102,2021
103,282,1,8,MOD-589,SER-0000103,2023
104,618,5,10,MOD-231,SER-0000104,2019
105,345,7,5,MOD-356,SER-0000105,2022
106,955,3,12,MOD-315,SER-0000106,2023
107,787,1,5,MOD-403,SER-0000107,2024
108,317,6,9,MOD-291,SER-0000108,2023
109,1108,3,2,MOD-878,SER-0000109,2018
110,199,8,9,MOD-914,SER-0000110,2025
111,638,4,7,MOD-928,SER-0000111,2023
112,1021,7,6,MOD-814,SER-0000112,2026
113,911,3,3,MOD-702,SER-0000113,2018
114,1014,7,7,MOD-757,SER-0000114,2021
115,407,9,4,MOD-265,SER-0000115,2024
116,406,10,7,MOD-513,SER-0000116,2022
117,591,6,10,MOD-524,SER-0000117,2018
118,738,5,8,MOD-298,SER-0000118,2021
119,861,10,5,MOD-844,SER-0000119,2023
120,1001,4,4,MOD-857,SER-0000120,2018
121,1030,10,12,MOD-499,SER-0000121,2025
122,1157,8,7,MOD-643,SER-0000122,2022
123,761,9,3,MOD-647,SER-0000123,2026
124,110,7,5,MOD-237,SER-0000124,2025
125,507,10,11,MOD-458,SER-0000125,2023
126,949,8,7,MOD-492,SER-0000126,2026
127,411,3,8,MOD-983,SER-0000127,2023
128,808,7,5,MOD-264,SER-0000128,2021
129,24,3,6,MOD-215,SER-0000129,2023
130,1171,9,12,MOD-916,SER-0000130,2024
131,680,8,4,MOD-164,SER-0000131,2020
132,767,5,12,MOD-450,SER-0000132,2019
133,452,3,3,MOD-658,SER-0000133,2025
134,177,5,12,MOD-323,SER-0000134,2024
135,1146,5,10,MOD-625,SER-0000135,2018
136,419,2,4,MOD-672,SER-0000136,2026
137,67,4,9,MOD-671,SER-0000137,2020
138,1093,4,1,MOD-615,SER-0000138,2021
139,1099,1,6,MOD-536,SER-0000139,2025
140,1058,9,2,MOD-120,SER-0000140,2024
141,1062,10,6,MOD-132,SER-0000141,2026
142,391,2,8,MOD-628,SER-0000142,2019
143,903,6,6,MOD-462,SER-0000143,2025
144,669,6,9,MOD-638,SER-0000144,2022
145,504,1,12,MOD-302,SER-0000145,2023
146,1090,3,8,MOD-948,SER-0000146,2025
147,267,7,11,MOD-478,SER-0000147,2026
148,59,10,6,MOD-832,SER-0000148,2020
149,765,1,11,MOD-199,SER-0000149,2022
150,723,8,10,MOD-863,SER-0000150,2023
151,349,3,9,MOD-173,SER-0000151,2018
152,662,6,8,MOD-219,SER-0000152,2019
153,983,5,8,MOD-440,SER-0000153,2021
154,723,3,2,MOD-379,SER-0000154,2018
155,496,3,8,MOD-707,SER-0000155,2021
156,728,7,5,MOD-160,SER-0000156,2020
157,83,2,10,MOD-361,SER-0000157,2023
158,963,2,10,MOD-471,SER-0000158,2023
159,853,10,10,MOD-551,SER-0000159,2018
160,1067,2,11,MOD-993,SER-0000160,2019
161,292,7,3,MOD-362,SER-0000161,2019
162,53,10,12,MOD-508,SER-0000162,2021
163,893,8,9,MOD-500,SER-0000163,2019
164,667,1,10,MOD-383,SER-0000164,2023
165,991,7,6,MOD-331,SER-0000165,2023
166,843,7,11,MOD-476,SER-0000166,2023
167,341,4,3,MOD-993,SER-0000167,2019
168,628,6,10,MOD-333,SER-0000168,2022
169,22,2,1,MOD-365,SER-0000169,2021
170,881,7,2,MOD-903,SER-0000170,2024
171,418,3,7,MOD-961,SER-0000171,2024
172,940,5,5,MOD-337,SER-0000172,2025
173,7,6,8,MOD-788,SER-0000173,2024
174,926,3,5,MOD-733,SER-0000174,2022
175,669,8,1,MOD-596,SER-0000175,2019
176,818,1,7,MOD-546,SER-0000176,2022
177,987,7,5,MOD-556,SER-0000177,2022
178,620,7,2,MOD-431,SER-0000178,2022
179,1110,6,3,MOD-948,SER-0000179,2021
180,423,8,3,MOD-287,SER-0000180,2025
181,1112,2,4,MOD-411,SER-0000181,2020
182,906,3,3,MOD-803,SER-0000182,2018
183,115,7,5,MOD-443,SER-0000183,2020
184,557,2,7,MOD-378,SER-0000184,2024
185,334,5,3,MOD-625,SER-0000185,2024
186,655,3,1,MOD-616,SER-0000186,2020
187,246,7,9,MOD-930,SER-0000187,2025
188,64,2,3,MOD-691,SER-0000188,2020
189,288,4,9,MOD-685,SER-0000189,2018
190,758,6,6,MOD-861,SER-0000190,2020
191,674,8,1,MOD-635,SER-0000191,2023
192,832,9,10,MOD-914,SER-0000192,2019
193,917,2,6,MOD-553,SER-0000193,2024
194,353,7,4,MOD-467,SER-0000194,2023
195,1133,2,8,MOD-779,SER-0000195,2024
196,395,7,11,MOD-809,SER-0000196,2021
197,947,6,1,MOD-870,SER-0000197,2021
198,1165,8,9,MOD-417,SER-0000198,2025
199,1056,5,7,MOD-643,SER-0000199,2018
200,729,9,11,MOD-474,SER-0000200,2019
201,1114,1,10,MOD-146,SER-0000201,2023
202,692,10,3,MOD-364,SER-0000202,2020
203,766,6,4,MOD-969,SER-0000203,2021
204,675,2,3,MOD-343,SER-0000204,2026
205,254,3,3,MOD-755,SER-0000205,2018
206,638,9,7,MOD-963,SER-0000206,2022
207,141,8,12,MOD-198,SER-0000207,2020
208,388,5,11,MOD-108,SER-0000208,2019
209,6,6,9,MOD-887,SER-0000209,2022
210,67,4,9,MOD-969,SER-0000210,2020
211,703,9,8,MOD-143,SER-0000211,2020
212,1045,9,1,MOD-340,SER-0000212,2025
213,719,2,6,MOD-251,SER-0000213,2026
214,962,7,8,MOD-347,SER-0000214,2026
215,957,1,7,MOD-792,SER-0000215,2018
216,390,1,4,MOD-841,SER-0000216,2024
217,72,4,3,MOD-565,SER-0000217,2020
218,805,6,12,MOD-599,SER-0000218,2024
219,443,8,4,MOD-985,SER-0000219,2020
220,243,10,3,MOD-502,SER-0000220,2019
221,2,7,9,MOD-624,SER-0000221,2021
222,774,1,1,MOD-766,SER-0000222,2020
223,490,1,12,MOD-207,SER-0000223,2022
224,1036,5,5,MOD-723,SER-0000224,2022
225,139,5,5,MOD-474,SER-0000225,2026
226,204,10,3,MOD-281,SER-0000226,2026
227,1123,6,4,MOD-271,SER-0000227,2020
228,778,5,9,MOD-436,SER-0000228,2020
229,86,10,1,MOD-692,SER-0000229,2019
230,695,3,12,MOD-361,SER-0000230,2024
231,446,5,2,MOD-432,SER-0000231,2022
232,1088,9,3,MOD-984,SER-0000232,2024
233,361,9,8,MOD-136,SER-0000233,2023
234,902,5,4,MOD-162,SER-0000234,2018
235,856,6,1,MOD-803,SER-0000235,2025
236,591,8,4,MOD-148,SER-0000236,2021
237,65,6,8,MOD-978,SER-0000237,2025
238,606,1,11,MOD-670,SER-0000238,2020
239,357,9,2,MOD-545,SER-0000239,2022
240,362,4,6,MOD-482,SER-0000240,2025
241,798,1,5,MOD-237,SER-0000241,2018
242,219,7,4,MOD-658,SER-0000242,2023
243,1109,7,10,MOD-182,SER-0000243,2026
244,213,3,8,MOD-959,SER-0000244,2023
245,594,9,3,MOD-476,SER-0000245,2026
246,459,4,8,MOD-788,SER-0000246,2019
247,322,8,6,MOD-714,SER-0000247,2025
248,568,2,5,MOD-625,SER-0000248,2021
249,397,8,5,MOD-455,SER-0000249,2019
250,1007,3,5,MOD-890,SER-0000250,2026
251,993,7,10,MOD-797,SER-0000251,2023
252,887,3,2,MOD-209,SER-0000252,2024
253,945,1,10,MOD-943,SER-0000253,2018
254,886,9,2,MOD-389,SER-0000254,2024
255,624,9,2,MOD-609,SER-0000255,2018
256,800,7,11,MOD-129,SER-0000256,2022
257,123,8,6,MOD-787,SER-0000257,2020
258,431,1,5,MOD-131,SER-0000258,2022
259,426,1,5,MOD-970,SER-0000259,2022
260,944,8,8,MOD-221,SER-0000260,2019
261,316,1,11,MOD-571,SER-0000261,2026
262,631,5,10,MOD-661,SER-0000262,2026
263,1032,3,3,MOD-697,SER-0000263,2019
264,282,1,3,MOD-393,SER-0000264,2025
265,799,10,6,MOD-945,SER-0000265,2021
266,62,2,1,MOD-479,SER-0000266,2021
267,680,4,12,MOD-718,SER-0000267,2026
268,86,6,10,MOD-617,SER-0000268,2021
269,743,5,2,MOD-318,SER-0000269,2025
270,536,10,7,MOD-388,SER-0000270,2019
271,736,5,7,MOD-168,SER-0000271,2018
272,680,2,9,MOD-183,SER-0000272,2025
273,3,9,2,MOD-724,SER-0000273,2026
274,839,2,2,MOD-415,SER-0000274,2026
275,964,6,1,MOD-579,SER-0000275,2020
276,432,9,3,MOD-597,SER-0000276,2025
277,714,9,2,MOD-893,SER-0000277,2022
278,454,5,1,MOD-831,SER-0000278,2022
279,152,6,2,MOD-433,SER-0000279,2024
280,962,4,10,MOD-756,SER-0000280,2023
281,43,5,2,MOD-234,SER-0000281,2025
282,674,8,5,MOD-168,SER-0000282,2021
283,203,6,4,MOD-372,SER-0000283,2026
284,433,10,1,MOD-359,SER-0000284,2021
285,1034,4,4,MOD-869,SER-0000285,2021
286,187,7,11,MOD-188,SER-0000286,2018
287,169,6,4,MOD-904,SER-0000287,2024
288,295,10,9,MOD-200,SER-0000288,2026
289,373,6,11,MOD-825,SER-0000289,2023
290,439,6,1,MOD-865,SER-0000290,2020
291,944,6,10,MOD-616,SER-0000291,2024
292,314,5,6,MOD-749,SER-0000292,2021
293,53,4,8,MOD-861,SER-0000293,2023
294,980,2,1,MOD-991,SER-0000294,2026
295,1153,2,8,MOD-799,SER-0000295,2019
296,956,1,1,MOD-334,SER-0000296,2018
297,361,3,9,MOD-327,SER-0000297,2021
298,348,5,10,MOD-432,SER-0000298,2024
299,602,10,6,MOD-854,SER-0000299,2018
300,1126,1,4,MOD-380,SER-0000300,2024
301,797,6,1,MOD-583,SER-0000301,2025
302,334,10,9,MOD-386,SER-0000302,2023
303,1196,5,8,MOD-914,SER-0000303,2021
304,728,1,1,MOD-636,SER-0000304,2019
305,176,9,4,MOD-443,SER-0000305,2019
306,331,1,6,MOD-227,SER-0000306,2025
307,714,5,7,MOD-802,SER-0000307,2023
308,994,2,12,MOD-544,SER-0000308,2024
309,950,3,3,MOD-574,SER-0000309,2018
310,118,8,7,MOD-537,SER-0000310,2020
311,619,5,10,MOD-120,SER-0000311,2018
312,52,5,1,MOD-216,SER-0000312,2023
313,714,8,10,MOD-886,SER-0000313,2019
314,860,3,9,MOD-371,SER-0000314,2020
315,1039,1,10,MOD-794,SER-0000315,2024
316,1109,9,8,MOD-761,SER-0000316,2022
317,161,2,3,MOD-664,SER-0000317,2021
318,457,6,3,MOD-327,SER-0000318,2021
319,987,3,2,MOD-522,SER-0000319,2025
320,83,10,9,MOD-793,SER-0000320,2023
321,854,1,10,MOD-773,SER-0000321,2026
322,481,8,3,MOD-818,SER-0000322,2019
323,960,3,3,MOD-950,SER-0000323,2019
324,80,4,12,MOD-821,SER-0000324,2019
325,452,7,12,MOD-901,SER-0000325,2025
326,668,3,12,MOD-357,SER-0000326,2021
327,1074,5,8,MOD-658,SER-0000327,2024
328,1029,4,11,MOD-558,SER-0000328,2020
329,824,4,6,MOD-795,SER-0000329,2022
330,713,4,6,MOD-294,SER-0000330,2025
331,725,4,3,MOD-563,SER-0000331,2019
332,892,9,1,MOD-279,SER-0000332,2024
333,19,9,12,MOD-236,SER-0000333,2021
334,180,10,3,MOD-796,SER-0000334,2020
335,655,9,2,MOD-222,SER-0000335,2018
336,444,3,2,MOD-476,SER-0000336,2025
337,1072,2,9,MOD-235,SER-0000337,2020
338,240,2,10,MOD-560,SER-0000338,2018
339,932,5,6,MOD-195,SER-0000339,2021
340,712,7,5,MOD-616,SER-0000340,2020
341,347,1,1,MOD-234,SER-0000341,2022
342,558,10,7,MOD-867,SER-0000342,2020
343,210,10,1,MOD-586,SER-0000343,2021
344,1117,6,7,MOD-425,SER-0000344,2018
345,610,7,6,MOD-255,SER-0000345,2019
346,1009,10,7,MOD-567,SER-0000346,2018
347,300,3,3,MOD-424,SER-0000347,2026
348,694,6,12,MOD-620,SER-0000348,2018
349,27,8,7,MOD-171,SER-0000349,2021
350,334,1,12,MOD-836,SER-0000350,2023
351,733,2,9,MOD-415,SER-0000351,2024
352,21,6,12,MOD-765,SER-0000352,2023
353,689,1,9,MOD-754,SER-0000353,2025
354,979,5,1,MOD-686,SER-0000354,2018
355,1087,8,12,MOD-429,SER-0000355,2019
356,732,8,5,MOD-179,SER-0000356,2022
357,1142,10,3,MOD-535,SER-0000357,2021
358,63,7,11,MOD-781,SER-0000358,2025
359,490,4,12,MOD-725,SER-0000359,2021
360,940,7,5,MOD-959,SER-0000360,2024
361,461,2,12,MOD-783,SER-0000361,2021
362,2,8,6,MOD-120,SER-0000362,2026
363,1038,6,7,MOD-700,SER-0000363,2024
364,8,1,7,MOD-133,SER-0000364,2018
365,70,7,9,MOD-779,SER-0000365,2019
366,689,9,10,MOD-146,SER-0000366,2024
367,627,9,10,MOD-347,SER-0000367,2025
368,452,8,10,MOD-360,SER-0000368,2018
369,103,9,10,MOD-678,SER-0000369,2019
370,111,3,3,MOD-671,SER-0000370,2024
371,555,2,3,MOD-406,SER-0000371,2020
372,379,5,8,MOD-919,SER-0000372,2022
373,186,7,12,MOD-911,SER-0000373,2024
374,677,3,5,MOD-381,SER-0000374,2021
375,45,5,8,MOD-393,SER-0000375,2018
376,162,10,10,MOD-277,SER-0000376,2023
377,966,3,8,MOD-420,SER-0000377,2019
378,491,10,12,MOD-371,SER-0000378,2025
379,1025,1,1,MOD-502,SER-0000379,2023
380,1127,7,6,MOD-331,SER-0000380,2026
381,180,10,1,MOD-528,SER-0000381,2022
382,526,2,7,MOD-131,SER-0000382,2023
383,580,4,12,MOD-971,SER-0000383,2018
384,368,10,12,MOD-391,SER-0000384,2024
385,444,10,10,MOD-634,SER-0000385,2024
386,538,8,8,MOD-885,SER-0000386,2026
387,338,3,12,MOD-890,SER-0000387,2020
388,925,7,6,MOD-424,SER-0000388,2023
389,1106,7,2,MOD-515,SER-0000389,2026
390,695,9,11,MOD-515,SER-0000390,2019
391,1010,6,2,MOD-253,SER-0000391,2019
392,931,5,3,MOD-791,SER-0000392,2022
393,791,1,6,MOD-854,SER-0000393,2026
394,406,5,9,MOD-637,SER-0000394,2025
395,457,6,4,MOD-841,SER-0000395,2022
396,896,2,8,MOD-373,SER-0000396,2019
397,148,8,3,MOD-210,SER-0000397,2020
398,181,3,3,MOD-436,SER-0000398,2020
399,312,2,6,MOD-685,SER-0000399,2023
400,740,3,10,MOD-949,SER-0000400,2021
401,498,5,7,MOD-540,SER-0000401,2020
402,494,8,3,MOD-769,SER-0000402,2018
403,663,1,10,MOD-745,SER-0000403,2018
404,125,3,2,MOD-468,SER-0000404,2020
405,573,1,2,MOD-605,SER-0000405,2022
