uso_id,reparo_id,peca_id,quantidade,custo_total
1,1,57,1,465.22
2,1,31,2,798.6
3,1,27,2,793.65
4,2,1,2,433.94
5,2,76,2,187.26
6,2,53,1,478.81
7,4,62,1,693.64
8,4,33,2,780.23
9,4,15,1,368.33
10,5,51,1,250.81
11,5,73,1,454.19
12,7,69,2,717.49
13,7,12,2,588.75
14,8,30,2,827.76
15,9,4,2,128.34
16,9,40,2,30.73
17,9,38,1,501.91
18,10,25,1,558.44
19,11,18,1,183.81
20,11,59,2,99.39
21,11,19,2,551.08
22,12,31,2,403.67
23,12,42,1,556.23
24,12,35,2,294.81
25,14,62,1,351.01
26,16,22,1,334.98
27,17,68,1,387.93
28,19,14,1,556.88
29,19,8,2,230.07
30,19,6,1,99.17
31,20,40,2,338.32
32,20,24,1,466.25
33,20,70,2,149.59
34,21,13,2,625.62
35,21,24,2,593.04
36,21,72,1,812.23
37,22,29,1,331.84
38,22,43,2,824.16
39,22,47,1,342.27
40,23,76,2,549.52
41,23,18,2,242.91
42,24,76,2,187.42
43,24,73,2,704.52
44,24,68,1,22.6
45,26,38,1,299.52
46,27,29,1,347.79
47,28,55,1,699.13
48,28,18,1,411.97
49,30,21,1,837.31
50,30,61,1,790.16
51,31,72,2,264.88
52,31,12,2,15.88
53,31,27,2,131.9
54,34,72,1,316.63
55,34,15,2,63.18
56,35,37,1,747.65
57,36,7,1,430.81
58,37,69,2,269.89
59,39,68,1,506.23
60,39,40,1,612.12
61,39,44,1,434.97
62,40,69,1,349.91
63,40,55,1,395.67
64,41,52,1,644.49
65,41,53,2,357.99
66,41,2,2,428.42
67,42,76,2,308.74
68,42,46,2,488.57
69,44,49,1,90.48
70,45,78,1,185.82
71,46,79,2,314.96
72,46,15,1,150.49
73,47,75,1,736.49
74,47,57,1,821.95
75,47,28,1,40.79
76,48,29,2,726.78
77,48,61,1,21.92
78,48,19,2,510.53
79,49,3,2,135.09
80,49,80,2,458.47
81,50,66,2,121.09
82,50,25,2,363.78
83,50,12,1,521.65
84,51,44,2,157.31
85,52,1,2,509.45
86,53,4,1,582.53
87,53,51,2,186.83
88,55,7,1,154.47
89,57,44,1,79.18
90,58,33,1,798.08
91,58,32,2,432.3
92,59,31,2,659.71
93,59,27,1,143.15
94,61,25,2,702.79
95,63,64,2,439.98
96,63,28,1,437.88
97,64,12,1,217.28
98,64,68,2,713.05
99,67,62,2,556.37
100,67,17,2,284.23
101,67,60,1,436.5
102,68,52,2,120.46
103,68,26,2,602.41
104,70,57,2,569.97
105,71,42,2,411.14
106,71,51,2,127.02
107,71,59,1,284.39
108,72,11,2,224.8
109,72,57,2,735.67
110,73,66,2,383.53
111,73,50,1,24.62
112,73,48,1,293.84
113,74,65,1,497.46
114,75,24,1,756.29
115,75,17,2,261.01
116,76,5,2,105.43
117,76,45,1,713.73
118,76,36,1,429.41
119,77,55,1,819.18
120,77,55,2,587.14
121,79,34,2,284.83
122,79,39,2,334.62
123,79,50,1,356.54
124,80,53,2,549.81
125,80,1,2,671.91
126,80,59,2,558.47
127,82,34,1,834.63
128,83,9,1,783.34
129,83,69,1,289.42
130,83,69,2,22.43
131,84,71,1,805.15
132,85,40,1,141.39
133,85,20,1,822.61
134,85,54,2,656.42
135,86,77,1,320.78
136,86,36,1,383.64
137,86,13,2,287.37
138,87,15,1,297.54
139,87,36,2,412.42
140,87,3,2,557.92
