reparo_id,os_id,data_inicio,data_fim,solucao,horas_tecnicas,resultado
1,1,2025-08-29,2025-09-04,Troca de componente,9.9,Resolvido
2,2,2025-09-14,2025-09-23,Limpeza técnica,18.8,Resolvido
4,4,2025-07-28,2025-08-05,Reparo de placa,32.4,Resolvido
5,5,2025-10-08,2025-10-12,Atualização de software,10.9,Retorno
7,7,2026-04-05,2026-04-10,Reparo de placa,18.3,Resolvido
8,8,2025-08-19,2025-08-29,Troca de componente,14.5,Retorno
9,9,2026-04-15,2026-04-26,Atualização de software,29.3,Resolvido
10,10,2025-11-14,2025-11-24,Troca de componente,14.4,Resolvido
11,11,2026-05-26,2026-06-07,Reparo de placa,24.2,Resolvido
12,12,2026-01-26,2026-01-28,Atualização de software,11.9,Resolvido
14,14,2025-08-31,2025-09-10,Reparo de placa,34.2,Resolvido
16,16,2025-08-18,2025-08-18,Limpeza técnica,2.4,Resolvido
17,17,2026-02-25,2026-02-25,Atualização de software,3.2,Resolvido
19,19,2026-06-14,2026-06-18,Limpeza técnica,17.5,Resolvido
20,20,2026-06-24,2026-06-29,Limpeza técnica,17.9,Resolvido
21,21,2026-02-09,2026-02-17,Limpeza técnica,15.3,Resolvido
22,22,2025-08-30,2025-09-01,Atualização de software,11.7,Resolvido
23,23,2026-05-30,2026-06-05,Reparo de placa,15.8,Resolvido
24,24,2026-02-16,2026-02-23,Limpeza técnica,18.5,Retorno
26,26,2026-04-27,2026-04-27,Limpeza técnica,3.7,Resolvido
27,27,2025-12-10,2025-12-16,Limpeza técnica,26.0,Resolvido
28,28,2025-07-16,2025-07-29,Reparo de placa,46.2,Retorno
30,30,2025-11-06,2025-11-14,Reparo de placa,35.0,Resolvido
31,31,2026-02-16,2026-02-20,Atualização de software,15.8,Resolvido
34,34,2025-12-29,2026-01-06,Limpeza técnica,15.2,Resolvido
35,35,2025-10-30,2025-11-08,Reparo de placa,27.5,Resolvido
36,36,2026-04-14,2026-04-22,Limpeza técnica,10.5,Resolvido
37,37,2026-04-15,2026-04-20,Reparo de placa,13.9,Resolvido
39,39,2026-01-19,2026-01-22,Reparo de placa,10.5,Resolvido
40,40,2026-01-20,2026-01-26,Reparo de placa,18.3,Resolvido
41,41,2026-05-28,2026-05-29,Troca de componente,3.3,Resolvido
42,42,2025-12-13,2025-12-16,Troca de componente,7.9,Resolvido
44,44,2025-08-23,2025-08-27,Reparo de placa,8.1,Resolvido
45,45,2026-03-21,2026-03-24,Reparo de placa,5.8,Resolvido
46,46,2025-09-20,2025-10-01,Reparo de placa,31.4,Resolvido
47,47,2026-02-17,2026-02-21,Reparo de placa,10.9,Resolvido
48,48,2026-05-04,2026-05-04,Reparo de placa,2.0,Retorno
49,49,2026-06-18,2026-06-20,Troca de componente,3.5,Resolvido
50,50,2025-09-16,2025-09-29,Atualização de software,30.5,Resolvido
51,51,2025-07-21,2025-07-28,Atualização de software,14.2,Resolvido
52,52,2026-04-25,2026-05-02,Limpeza técnica,31.4,Resolvido
53,53,2026-05-16,2026-05-24,Limpeza técnica,22.3,Resolvido
55,55,2026-01-20,2026-02-02,Troca de componente,28.6,Resolvido
57,57,2025-11-20,2025-11-21,Atualização de software,4.4,Resolvido
58,58,2026-01-09,2026-01-18,Atualização de software,23.2,Resolvido
59,59,2026-01-19,2026-01-26,Reparo de placa,11.5,Resolvido
61,61,2025-08-29,2025-09-05,Atualização de software,30.0,Resolvido
63,63,2026-02-28,2026-03-05,Atualização de software,8.5,Resolvido
64,64,2026-04-04,2026-04-07,Reparo de placa,13.0,Resolvido
67,67,2026-06-27,2026-07-02,Atualização de software,6.3,Resolvido
68,68,2025-10-28,2025-11-05,Troca de componente,24.8,Resolvido
70,70,2025-10-07,2025-10-16,Atualização de software,37.0,Resolvido
71,71,2026-05-25,2026-05-31,Atualização de software,21.1,Resolvido
72,72,2026-05-01,2026-05-11,Limpeza técnica,24.9,Resolvido
73,73,2025-11-04,2025-11-11,Atualização de software,32.0,Resolvido
74,74,2026-06-07,2026-06-15,Atualização de software,27.5,Resolvido
75,75,2026-05-02,2026-05-13,Reparo de placa,45.8,Resolvido
76,76,2025-09-21,2025-09-24,Atualização de software,6.5,Resolvido
77,77,2026-03-02,2026-03-10,Limpeza técnica,14.4,Resolvido
79,79,2026-06-29,2026-07-05,Limpeza técnica,23.3,Resolvido
80,80,2025-11-01,2025-11-11,Atualização de software,36.0,Resolvido
82,82,2025-11-04,2025-11-13,Atualização de software,18.5,Resolvido
83,83,2026-04-04,2026-04-10,Reparo de placa,9.6,Resolvido
84,84,2025-08-12,2025-08-19,Troca de componente,25.6,Resolvido
85,85,2026-03-15,2026-03-18,Reparo de placa,12.6,Resolvido
86,86,2025-12-05,2025-12-11,Troca de componente,8.8,Resolvido
87,87,2026-01-26,2026-02-06,Reparo de placa,44.5,Resolvido
88,88,2026-06-30,2026-06-30,Troca de componente,3.5,Resolvido
91,91,2025-09-14,2025-09-22,Limpeza técnica,16.6,Resolvido
93,93,2025-10-28,2025-11-06,Troca de componente,13.1,Resolvido
94,94,2026-05-29,2026-06-09,Reparo de placa,22.6,Resolvido
95,95,2026-02-13,2026-02-24,Troca de componente,36.5,Resolvido
96,96,2026-06-12,2026-06-22,Reparo de placa,36.1,Resolvido
97,97,2025-10-30,2025-10-30,Reparo de placa,3.6,Resolvido
98,98,2026-03-21,2026-03-27,Troca de componente,14.3,Resolvido
100,100,2025-11-06,2025-11-09,Limpeza técnica,7.6,Retorno
102,102,2025-09-23,2025-10-03,Atualização de software,26.6,Resolvido
106,106,2025-11-10,2025-11-13,Limpeza técnica,9.9,Resolvido
108,108,2026-03-12,2026-03-17,Reparo de placa,17.8,Resolvido
109,109,2026-04-11,2026-04-19,Atualização de software,20.7,Resolvido
110,110,2025-10-07,2025-10-07,Limpeza técnica,3.8,Retorno
111,111,2025-08-17,2025-08-26,Atualização de software,23.9,Resolvido
112,112,2025-07-10,2025-07-22,Limpeza técnica,35.3,Resolvido
114,114,2026-03-18,2026-03-31,Limpeza técnica,30.0,Resolvido
116,116,2025-07-06,2025-07-17,Reparo de placa,31.6,Resolvido
117,117,2026-06-30,2026-06-30,Reparo de placa,1.4,Resolvido
118,118,2025-08-20,2025-09-01,Limpeza técnica,15.6,Resolvido
119,119,2025-07-07,2025-07-14,Reparo de placa,19.7,Resolvido
120,120,2026-05-05,2026-05-05,Troca de componente,3.1,Resolvido
121,121,2025-07-15,2025-07-28,Reparo de placa,29.5,Resolvido
122,122,2025-09-25,2025-10-03,Atualização de software,17.3,Resolvido
123,123,2026-02-13,2026-02-18,Limpeza técnica,8.8,Resolvido
124,124,2026-05-27,2026-06-05,Limpeza técnica,10.8,Resolvido
126,126,2025-09-25,2025-09-26,Reparo de placa,3.8,Resolvido
127,127,2025-12-27,2026-01-09,Atualização de software,48.2,Resolvido
130,130,2026-02-24,2026-03-05,Atualização de software,26.1,Resolvido
131,131,2025-12-06,2025-12-16,Reparo de placa,31.9,Resolvido
132,132,2025-11-22,2025-12-03,Atualização de software,37.6,Resolvido
134,134,2025-08-31,2025-09-09,Troca de componente,38.4,Resolvido
135,135,2026-01-08,2026-01-09,Atualização de software,6.0,Resolvido
136,136,2025-10-15,2025-10-18,Troca de componente,10.4,Resolvido
138,138,2026-06-25,2026-06-26,Limpeza técnica,2.4,Resolvido
139,139,2025-12-10,2025-12-20,Reparo de placa,17.9,Resolvido
140,140,2025-09-21,2025-09-29,Limpeza técnica,14.7,Resolvido
141,141,2026-05-24,2026-05-31,Atualização de software,18.1,Resolvido
142,142,2025-11-02,2025-11-14,Troca de componente,15.7,Resolvido
143,143,2025-10-02,2025-10-15,Atualização de software,44.9,Resolvido
144,144,2026-03-01,2026-03-07,Limpeza técnica,11.6,Resolvido
145,145,2026-04-02,2026-04-08,Atualização de software,17.2,Resolvido
146,146,2025-07-03,2025-07-10,Limpeza técnica,19.8,Resolvido
147,147,2026-02-28,2026-03-05,Limpeza técnica,9.1,Resolvido
148,148,2025-07-12,2025-07-25,Troca de componente,39.9,Resolvido
151,151,2025-07-02,2025-07-02,Troca de componente,1.7,Resolvido
152,152,2025-10-28,2025-11-09,Atualização de software,34.6,Resolvido
154,154,2025-11-01,2025-11-09,Troca de componente,15.9,Resolvido
155,155,2026-04-08,2026-04-18,Reparo de placa,12.8,Resolvido
158,158,2026-05-05,2026-05-18,Atualização de software,25.3,Resolvido
159,159,2025-12-23,2025-12-30,Atualização de software,15.6,Resolvido
160,160,2025-07-10,2025-07-19,Limpeza técnica,23.8,Resolvido
162,162,2025-10-23,2025-10-31,Reparo de placa,17.5,Resolvido
163,163,2025-11-21,2025-11-26,Troca de componente,8.7,Resolvido
164,164,2025-10-17,2025-10-17,Reparo de placa,2.7,Resolvido
165,165,2025-12-10,2025-12-19,Atualização de software,18.9,Retorno
166,166,2025-07-26,2025-07-28,Limpeza técnica,3.5,Resolvido
169,169,2026-01-01,2026-01-09,Atualização de software,9.3,Resolvido
170,170,2025-11-19,2025-11-19,Reparo de placa,2.5,Resolvido
171,171,2026-05-20,2026-05-27,Troca de componente,16.5,Resolvido
174,174,2025-12-12,2025-12-15,Reparo de placa,6.7,Resolvido
176,176,2026-03-11,2026-03-15,Reparo de placa,15.4,Resolvido
177,177,2025-07-22,2025-07-30,Reparo de placa,16.0,Resolvido
178,178,2026-02-18,2026-02-19,Limpeza técnica,2.6,Resolvido
179,179,2026-06-05,2026-06-13,Troca de componente,30.9,Resolvido
180,180,2025-10-15,2025-10-18,Reparo de placa,10.2,Resolvido
181,181,2025-07-17,2025-07-18,Troca de componente,4.0,Resolvido
182,182,2025-11-15,2025-11-23,Atualização de software,35.0,Resolvido
183,183,2026-04-12,2026-04-15,Atualização de software,9.0,Resolvido
185,185,2026-04-12,2026-04-24,Atualização de software,50.9,Resolvido
186,186,2025-11-22,2025-12-03,Reparo de placa,34.3,Resolvido
187,187,2025-07-28,2025-07-29,Troca de componente,6.7,Resolvido
188,188,2026-06-30,2026-07-05,Atualização de software,8.5,Resolvido
189,189,2026-04-27,2026-05-09,Reparo de placa,25.9,Resolvido
190,190,2026-05-24,2026-05-29,Limpeza técnica,13.9,Resolvido
193,193,2025-12-12,2025-12-17,Reparo de placa,13.4,Resolvido
194,194,2025-08-22,2025-08-31,Atualização de software,35.2,Resolvido
195,195,2025-10-19,2025-10-23,Limpeza técnica,18.8,Resolvido
196,196,2026-04-11,2026-04-20,Troca de componente,18.3,Resolvido
199,199,2026-03-18,2026-03-29,Limpeza técnica,12.8,Resolvido
200,200,2026-02-12,2026-02-24,Reparo de placa,16.3,Resolvido
201,201,2025-12-26,2026-01-03,Limpeza técnica,20.5,Retorno
202,202,2026-01-16,2026-01-22,Atualização de software,23.5,Resolvido
203,203,2026-03-20,2026-03-20,Troca de componente,3.3,Resolvido
205,205,2026-03-27,2026-04-03,Reparo de placa,19.1,Resolvido
206,206,2026-01-10,2026-01-20,Troca de componente,13.1,Resolvido
207,207,2025-09-18,2025-09-24,Troca de componente,14.3,Resolvido
208,208,2026-04-13,2026-04-15,Atualização de software,6.0,Resolvido
211,211,2025-12-17,2025-12-23,Limpeza técnica,7.1,Retorno
212,212,2026-01-06,2026-01-12,Limpeza técnica,25.9,Resolvido
213,213,2025-08-24,2025-09-05,Atualização de software,31.1,Resolvido
214,214,2026-06-16,2026-06-22,Troca de componente,26.8,Resolvido
215,215,2025-11-30,2025-12-11,Limpeza técnica,32.0,Resolvido
216,216,2025-09-05,2025-09-11,Reparo de placa,16.0,Retorno
217,217,2026-03-26,2026-04-04,Atualização de software,12.5,Resolvido
218,218,2026-02-26,2026-03-01,Limpeza técnica,14.5,Resolvido
219,219,2025-10-22,2025-10-26,Limpeza técnica,10.6,Resolvido
220,220,2026-06-19,2026-06-20,Reparo de placa,2.8,Retorno
221,221,2025-10-20,2025-10-21,Atualização de software,7.4,Resolvido
223,223,2025-12-21,2025-12-26,Troca de componente,13.2,Resolvido
224,224,2026-05-07,2026-05-14,Reparo de placa,13.3,Resolvido
225,225,2025-11-04,2025-11-06,Reparo de placa,11.8,Resolvido
226,226,2026-06-25,2026-06-25,Reparo de placa,2.4,Resolvido
227,227,2026-05-28,2026-05-28,Reparo de placa,3.4,Retorno
228,228,2026-03-13,2026-03-14,Reparo de placa,2.4,Resolvido
229,229,2025-12-06,2025-12-14,Reparo de placa,32.6,Resolvido
230,230,2025-11-24,2025-12-01,Atualização de software,13.8,Retorno
231,231,2025-07-08,2025-07-08,Atualização de software,3.5,Resolvido
232,232,2025-07-29,2025-08-08,Limpeza técnica,12.4,Resolvido
233,233,2026-05-13,2026-05-15,Reparo de placa,8.0,Resolvido
