tabela,brutas,tratadas_pre_fk,rejeitadas,duplicadas,tratadas_finais,esperadas,reconciliado
avaliacoes,2412,2407,5,3,2407,2407,True
clientes,1203,1200,3,3,1200,1200,True
diagnosticos,4004,4000,4,3,4000,4000,True
equipamentos,4004,4000,4,3,4000,4000,True
garantias,3229,3225,4,3,3225,3225,True
marcas,15,12,3,3,12,12,True
orcamentos,4005,4000,5,3,4000,4000,True
ordens_servico,4004,4000,4,3,4000,4000,True
pecas,84,80,4,3,80,80,True
pecas_utilizadas,6428,6424,4,3,6424,6424,True
reparos,3230,3225,5,3,3225,3225,True
tecnicos,28,25,3,3,25,25,True
tipos_equipamento,13,10,3,3,10,10,True
