aluno_id;codigo_aluno;idade;genero;regiao;data_cadastro
1;  ALU-00001  ;42;Masculino;Oeste;2023-04-17
2;  ALU-00002  ;26;Não informado;Oeste;2023-09-05
3;  ALU-00003  ;44;Não informado;Norte;2022-11-11
4;  ALU-00004  ;52;Masculino;Oeste;2023-04-20
5;ALU-00005;54;Feminino;Sul;2024-01-23
6;ALU-00006;28;Feminino;Norte;2025-06-30
7;ALU-00007;72;Não informado;Oeste;2023-09-18
8;ALU-00008;17;Feminino;Leste;2024-06-22
9;ALU-00009;52;Masculino;Leste;2025-05-14
10;ALU-00010;54;Feminino;Oeste;2022-10-27
11;ALU-00011;38;Masculino;Sul;2023-01-23
12;ALU-00012;31;Não informado;Oeste;2023-10-20
13;ALU-00013;20;Masculino;Norte;2024-03-20
14;ALU-00014;42;Feminino;Oeste;2024-07-27
15;ALU-00015;66;Feminino;Sul;2024-02-25
16;ALU-00016;21;Feminino;Leste;2022-12-09
17;ALU-00017;49;Masculino;Sul;2024-12-11
18;ALU-00018;77;Não informado;Centro;2025-01-04
19;ALU-00019;60;Não informado;Leste;2022-12-08
20;ALU-00020;23;Masculino;Sul;2025-05-24
21;ALU-00021;43;Masculino;Oeste;2022-12-09
22;ALU-00022;78;Feminino;Centro;2023-03-11
23;ALU-00023;38;Masculino;Sul;2023-12-30
24;ALU-00024;41;Não informado;Oeste;2023-05-23
25;ALU-00025;50;Masculino;Norte;2023-03-22
26;ALU-00026;18;Feminino;Oeste;2023-04-23
27;ALU-00027;45;Masculino;Norte;2025-03-12
28;ALU-00028;46;Masculino;Oeste;2022-12-08
29;ALU-00029;64;Masculino;Norte;2024-06-08
30;ALU-00030;32;Não informado;Centro;2024-12-16
31;ALU-00031;49;Feminino;Centro;2024-02-15
32;ALU-00032;40;Feminino;Leste;2024-01-14
33;ALU-00033;77;Não informado;Oeste;2022-11-19
34;ALU-00034;70;Masculino;Oeste;2024-01-15
35;ALU-00035;56;Não informado;Leste;2025-05-22
36;ALU-00036;68;Feminino;Norte;2024-09-11
37;ALU-00037;74;Masculino;Norte;2023-10-19
38;ALU-00038;73;Feminino;Sul;2024-02-05
39;ALU-00039;42;Feminino;Centro;2024-01-21
40;ALU-00040;20;Feminino;Centro;2023-12-30
41;ALU-00041;37;Não informado;Centro;2023-12-26
42;ALU-00042;18;Masculino;Leste;2025-01-20
43;ALU-00043;45;Masculino;Centro;2023-12-22
44;ALU-00044;72;Feminino;Oeste;2025-01-23
45;ALU-00045;42;Masculino;Centro;2022-12-22
46;ALU-00046;32;Masculino;Sul;2023-03-25
47;ALU-00047;55;Masculino;Leste;2023-11-23
48;ALU-00048;53;Feminino;Norte;2023-12-29
49;ALU-00049;58;Feminino;Leste;2025-02-02
50;ALU-00050;66;Não informado;Oeste;2024-03-12
51;ALU-00051;77;Masculino;Centro;2025-05-08
52;ALU-00052;76;Feminino;Sul;2023-10-04
53;ALU-00053;53;Feminino;Sul;2024-05-29
54;ALU-00054;33;Feminino;Norte;2023-11-04
55;ALU-00055;60;Não informado;Oeste;2025-01-09
56;ALU-00056;19;Não informado;Oeste;2024-09-23
57;ALU-00057;70;Feminino;Leste;2025-04-21
58;ALU-00058;26;Feminino;Norte;2023-11-07
59;ALU-00059;22;Não informado;Leste;2024-09-01
60;ALU-00060;24;Feminino;Oeste;2024-03-06
61;ALU-00061;64;Feminino;Centro;2023-03-17
62;ALU-00062;57;Masculino;Centro;2024-05-11
63;ALU-00063;30;Não informado;Centro;2023-09-14
64;ALU-00064;49;Masculino;Oeste;2025-06-03
65;ALU-00065;16;Feminino;Norte;2025-05-13
66;ALU-00066;53;Masculino;Norte;2023-04-25
67;ALU-00067;63;Feminino;Norte;2023-04-02
68;ALU-00068;70;Não informado;Norte;2024-05-18
