avaliacao_id;matricula_id;profissional_id;data_avaliacao;imc;gordura_pct;peso_kg;objetivo
1;1;12;  2025-09-28  ;20,1;18,0;59,3;Condicionamento
2;1;40;  2026-02-10  ;32,0;30,5;97,0;Condicionamento
3;1;17;  2026-01-10  ;35,3;29,7;64,3;Condicionamento
4;2;7;  2026-06-26  ;23,2;19,2;88,6;Saúde
5;3;27;2026-05-25;26,2;24,7;67,5;Hipertrofia
6;3;32;2026-03-03;33,4;22,9;54,1;Emagrecimento
7;4;38;2025-08-06;37,6;13,6;87,1;Saúde
8;5;27;2025-07-02;31,9;26,7;58,0;Emagrecimento
9;6;28;2026-02-16;35,7;16,4;51,2;Hipertrofia
10;6;22;2025-11-12;28,4;19,3;91,3;Condicionamento
11;6;17;2025-10-15;21,3;24,5;55,6;Hipertrofia
12;7;11;2026-01-10;27,2;12,5;83,0;Condicionamento
13;7;34;2026-03-14;32,6;18,5;67,0;Saúde
14;8;40;2025-07-10;32,2;26,4;58,7;Saúde
15;8;7;2025-10-07;36,8;32,8;101,9;Hipertrofia
16;9;7;2026-06-06;23,8;28,5;62,5;Emagrecimento
17;10;32;2025-08-21;25,3;24,1;98,7;Saúde
18;11;25;2026-04-24;20,2;21,0;97,6;Hipertrofia
19;11;30;2025-09-09;22,7;23,0;58,2;Saúde
20;11;3;2026-05-23;33,1;19,9;71,4;Saúde
21;12;20;2026-03-01;37,4;22,2;57,1;Saúde
22;12;14;2026-05-24;36,0;24,4;106,7;Condicionamento
23;12;32;2026-04-10;18,1;19,9;77,5;Hipertrofia
24;13;23;2026-04-09;27,7;22,0;60,7;Condicionamento
25;13;16;2025-11-01;24,8;32,9;91,8;Condicionamento
26;14;15;2026-01-08;33,3;26,4;63,7;Hipertrofia
27;14;34;2026-04-22;18,9;17,9;90,5;Emagrecimento
28;15;17;2025-11-14;28,4;17,8;59,7;Hipertrofia
29;15;7;2025-08-17;23,0;14,6;105,3;Saúde
30;16;2;2026-02-09;29,9;27,4;102,0;Condicionamento
31;16;37;2025-12-02;24,2;14,9;74,9;Emagrecimento
32;17;10;2025-11-30;29,2;28,7;65,5;Emagrecimento
33;18;2;2025-07-05;34,1;17,3;52,3;Condicionamento
34;19;12;2025-08-13;24,3;20,8;71,1;Condicionamento
35;19;32;2025-09-21;26,8;18,7;74,6;Emagrecimento
36;19;16;2025-11-19;22,6;17,1;57,4;Hipertrofia
37;20;5;2026-03-19;31,3;33,5;56,1;Hipertrofia
