cancelamento_id;matricula_id;data_cancelamento;motivo;tentativa_retencao
1;2;  2026-03-29  ;Saúde;Não
2;17;  2025-09-06  ;Mudança;Não
3;24;  2026-03-18  ;Insatisfação;Não
4;27;  2025-08-08  ;Mudança;Não
5;35;2026-01-11;Preço;Sim
6;39;2025-08-16;Insatisfação;Não
7;40;2025-07-28;Preço;Não
8;41;2025-12-06;Preço;Não
9;42;2025-12-28;Mudança;Sim
10;50;2025-10-10;Insatisfação;Sim
11;53;2026-03-19;Mudança;Não
12;56;2025-11-15;Falta de tempo;Sim
13;57;2025-09-12;Concorrência;Sim
14;64;2025-11-14;Saúde;Não
15;67;2026-01-05;Mudança;Não
16;70;2026-01-14;Concorrência;Sim
17;74;2026-04-09;Preço;Não
18;84;2026-01-15;Concorrência;Sim
19;96;2026-04-23;Falta de tempo;Não
20;111;2026-03-06;Falta de tempo;Sim
21;116;2026-06-18;Preço;Não
22;118;2025-10-14;Insatisfação;Sim
23;123;2025-08-05;Saúde;Sim
24;124;2025-09-08;Mudança;Sim
25;126;2025-07-28;Mudança;Sim
26;131;2025-10-28;Mudança;Não
27;137;2025-09-11;Concorrência;Sim
28;141;2026-06-15;Concorrência;Não
29;142;2025-08-29;Insatisfação;Não
30;146;2026-06-01;Preço;Sim
31;154;2025-09-28;Falta de tempo;Não
32;157;2025-11-13;Insatisfação;Sim
33;175;2026-02-28;Insatisfação;Sim
34;180;2026-03-18;Preço;Não
35;181;2025-10-12;Mudança;Não
36;194;2026-01-09;Preço;Sim
37;195;2026-01-13;Falta de tempo;Não
38;197;2025-07-17;Insatisfação;Não
39;207;2026-03-26;Preço;Não
40;212;2025-10-22;Mudança;Sim
41;214;2026-01-31;Saúde;Não
42;220;2025-07-14;Falta de tempo;Sim
43;221;2025-10-31;Saúde;Sim
44;223;2025-10-26;Saúde;Sim
45;224;2025-09-12;Insatisfação;Não
46;226;2025-08-02;Preço;Não
47;227;2026-02-02;Saúde;Sim
48;230;2026-03-29;Falta de tempo;Sim
49;231;2025-12-09;Saúde;Não
50;234;2026-03-01;Insatisfação;Não
51;240;2025-11-02;Concorrência;Não
52;242;2025-11-27;Saúde;Sim
53;244;2025-10-31;Preço;Não
54;253;2025-12-15;Preço;Não
55;266;2025-10-19;Preço;Não
56;271;2026-01-09;Concorrência;Sim
57;273;2025-07-09;Saúde;Sim
58;279;2026-04-13;Preço;Sim
59;281;2025-08-11;Falta de tempo;Sim
60;289;2025-10-05;Mudança;Não
61;294;2026-04-13;Saúde;Sim
62;305;2026-01-06;Mudança;Sim
63;308;2026-03-08;Concorrência;Sim
64;309;2025-11-24;Saúde;Não
65;312;2026-06-03;Concorrência;Não
66;315;2026-06-15;Concorrência;Não
67;322;2025-07-25;Falta de tempo;Sim
68;324;2025-11-03;Mudança;Sim
69;326;2025-10-19;Mudança;Não
70;330;2026-04-10;Concorrência;Não
71;333;2026-01-03;Mudança;Sim
72;337;2025-10-16;Insatisfação;Sim
73;338;2025-10-31;Concorrência;Não
74;345;2026-04-18;Saúde;Sim
75;347;2025-07-05;Preço;Sim
76;350;2025-08-02;Falta de tempo;Não
77;352;2026-06-10;Preço;Não
78;354;2025-09-27;Saúde;Não
79;356;2026-02-03;Preço;Sim
80;365;2025-11-10;Concorrência;Sim
81;368;2025-11-27;Preço;Não
82;372;2025-07-04;Falta de tempo;Sim
83;385;2026-04-09;Falta de tempo;Não
84;387;2025-09-22;Saúde;Sim
85;389;2026-01-08;Saúde;Sim
86;396;2026-06-25;Preço;Sim
87;401;2025-11-24;Saúde;Sim
88;404;2026-05-29;Concorrência;Não
89;405;2026-02-09;Preço;Não
90;406;2026-03-21;Insatisfação;Não
91;413;2025-09-11;Mudança;Não
92;414;2025-08-19;Mudança;Sim
93;416;2026-04-08;Falta de tempo;Sim
94;418;2025-08-27;Saúde;Sim
95;425;2025-12-22;Saúde;Sim
96;427;2025-12-31;Falta de tempo;Sim
97;428;2026-03-25;Mudança;Sim
98;434;2025-08-29;Mudança;Não
99;437;2026-01-21;Mudança;Não
100;442;2026-06-05;Mudança;Sim
101;443;2025-10-16;Falta de tempo;Não
102;457;2026-04-19;Mudança;Sim
103;458;2025-09-17;Mudança;Sim
104;460;2025-08-11;Preço;Sim
105;467;2025-08-07;Insatisfação;Não
106;469;2026-04-25;Saúde;Sim
107;479;2026-04-13;Concorrência;Não
108;493;2025-12-14;Preço;Sim
109;494;2025-07-07;Saúde;Não
110;501;2025-12-29;Preço;Sim
111;504;2025-12-03;Saúde;Não
112;508;2026-02-07;Mudança;Não
113;521;2025-10-20;Insatisfação;Não
114;528;2025-09-19;Mudança;Não
115;534;2025-08-24;Saúde;Sim
116;539;2026-05-06;Falta de tempo;Sim
117;545;2026-05-20;Saúde;Não
118;546;2026-01-07;Falta de tempo;Sim
119;549;2026-01-28;Mudança;Não
120;553;2026-04-23;Insatisfação;Não
121;568;2026-06-06;Insatisfação;Sim
122;578;2026-06-11;Concorrência;Sim
123;579;2026-04-22;Falta de tempo;Sim
124;580;2025-07-02;Insatisfação;Não
125;582;2025-11-19;Falta de tempo;Não
126;585;2025-12-31;Mudança;Não
127;587;2026-04-23;Insatisfação;Sim
128;596;2026-06-12;Mudança;Sim
129;598;2026-01-08;Preço;Não
130;600;2025-11-30;Saúde;Sim
131;611;2025-10-24;Falta de tempo;Não
132;612;2025-08-11;Preço;Sim
133;615;2025-10-01;Mudança;Não
134;616;2025-12-29;Concorrência;Sim
135;618;2026-05-20;Saúde;Não
136;621;2025-11-03;Insatisfação;Sim
137;624;2025-10-13;Preço;Sim
138;630;2025-09-09;Falta de tempo;Sim
139;632;2025-10-01;Saúde;Sim
140;633;2026-06-21;Insatisfação;Não
141;637;2026-02-07;Saúde;Não
142;639;2025-12-14;Preço;Não
143;640;2026-03-15;Preço;Não
144;642;2026-02-12;Concorrência;Sim
145;646;2025-09-22;Mudança;Não
146;648;2026-01-01;Mudança;Não
147;651;2025-07-30;Saúde;Sim
148;660;2026-03-10;Mudança;Sim
149;664;2025-10-24;Saúde;Sim
150;669;2026-03-05;Insatisfação;Sim
151;671;2025-07-07;Saúde;Sim
152;673;2025-08-01;Falta de tempo;Não
153;679;2025-08-22;Insatisfação;Sim
154;681;2025-12-23;Concorrência;Sim
155;685;2026-06-28;Mudança;Não
156;686;2026-06-30;Falta de tempo;Sim
157;688;2025-10-05;Mudança;Não
158;698;2025-08-03;Preço;Sim
159;714;2025-10-04;Mudança;Não
160;717;2026-01-24;Insatisfação;Sim
161;725;2025-11-16;Mudança;Sim
162;728;2026-03-06;Concorrência;Não
163;732;2026-02-10;Preço;Sim
164;733;2025-11-28;Insatisfação;Sim
165;734;2025-09-10;Insatisfação;Sim
