frequencia_id;matricula_id;data_acesso;hora_acesso;modalidade_id;duracao_minutos
1;1;  2025-08-15  ;20:00;8;93
2;1;  2026-01-08  ;08:00;7;101
3;1;  2026-06-24  ;12:00;1;58
4;2;  2025-08-22  ;06:00;10;108
5;2;2025-10-01;08:00;7;107
6;2;2025-10-12;12:00;11;45
7;2;2026-06-14;08:00;1;81
8;2;2025-08-13;12:00;5;106
9;2;2026-05-11;18:00;1;91
10;2;2026-06-20;18:00;2;93
11;2;2025-10-11;20:00;1;52
12;3;2025-10-30;18:00;3;76
13;3;2025-11-10;12:00;12;57
14;3;2026-06-04;12:00;6;65
15;3;2026-03-21;06:00;8;46
16;3;2025-10-07;18:00;1;40
17;3;2026-04-20;06:00;10;93
18;4;2025-07-09;06:00;11;58
19;4;2026-06-23;12:00;8;52
20;4;2025-12-07;18:00;2;100
21;4;2025-11-25;12:00;5;99
22;4;2026-01-13;18:00;4;102
23;4;2025-09-14;20:00;7;81
24;4;2025-09-01;18:00;8;44
25;4;2026-02-18;18:00;11;43
26;4;2025-10-26;18:00;10;56
27;5;2025-12-20;18:00;7;42
28;5;2026-01-24;12:00;4;108
29;5;2026-02-14;06:00;1;109
30;5;2026-01-31;18:00;5;47
31;5;2025-09-23;20:00;1;48
32;5;2025-12-18;20:00;10;54
33;5;2025-12-25;08:00;7;50
34;5;2026-03-20;06:00;1;100
35;6;2026-03-19;12:00;4;102
36;6;2025-09-14;08:00;8;90
37;6;2026-04-08;18:00;7;41
38;6;2025-08-20;06:00;7;44
39;7;2026-06-03;08:00;11;52
40;7;2025-09-03;06:00;2;106
41;7;2026-06-12;20:00;8;96
42;7;2025-11-08;18:00;8;55
43;7;2025-11-30;20:00;6;43
44;7;2026-02-21;06:00;7;107
45;8;2026-04-21;08:00;5;73
46;8;2025-10-27;06:00;12;61
47;8;2026-04-08;20:00;10;74
48;8;2025-10-07;08:00;5;51
49;8;2026-02-21;06:00;6;87
50;9;2026-06-02;18:00;5;83
51;9;2026-05-01;08:00;8;108
52;9;2026-01-02;08:00;11;35
53;9;2026-04-07;06:00;6;73
54;9;2026-02-15;18:00;5;40
55;9;2026-02-24;12:00;9;109
56;9;2025-10-29;18:00;2;109
57;9;2025-09-05;12:00;8;98
58;10;2025-10-11;18:00;3;76
59;10;2025-08-07;08:00;1;47
60;10;2025-12-03;12:00;9;43
61;10;2025-09-16;18:00;10;67
62;10;2026-06-27;20:00;1;109
63;10;2025-08-22;20:00;11;51
