reserva_id;aula_id;aluno_id;status
1;1;1753;  Presente  
2;1;58;  Ausente  
3;1;9;  Cancelada  
4;1;1675;  Ausente  
5;2;1780;Cancelada
6;2;341;Cancelada
7;2;68;Cancelada
8;2;369;Cancelada
9;2;4;Cancelada
10;2;629;Presente
11;2;1561;Cancelada
12;3;1045;Ausente
13;3;1781;Ausente
14;4;220;Ausente
15;4;1093;Ausente
16;4;578;Presente
17;4;1621;Cancelada
18;5;161;Presente
19;5;525;Presente
20;5;718;Presente
21;5;828;Ausente
22;5;1495;Presente
23;6;1297;Ausente
24;6;558;Cancelada
25;6;598;Ausente
26;6;1417;Ausente
27;6;1221;Cancelada
28;6;1112;Ausente
29;6;1192;Ausente
30;7;1733;Presente
31;7;113;Presente
32;8;20;Presente
33;8;1392;Ausente
34;8;664;Presente
35;8;1474;Ausente
36;8;1521;Ausente
37;9;1869;Ausente
38;9;1537;Presente
39;9;2083;Presente
40;9;595;Ausente
41;9;921;Ausente
42;9;255;Presente
43;9;1508;Presente
44;10;1507;Presente
45;10;781;Presente
46;10;1742;Cancelada
47;10;1135;Ausente
48;10;1269;Presente
49;10;2011;Cancelada
50;10;175;Presente
51;11;67;Ausente
52;11;1460;Presente
53;11;1581;Ausente
54;11;933;Ausente
55;11;1455;Ausente
56;11;600;Ausente
57;11;413;Cancelada
58;12;866;Presente
59;12;1421;Ausente
60;12;219;Ausente
61;12;810;Presente
62;12;1933;Ausente
63;13;2105;Ausente
64;13;1986;Presente
65;13;2193;Presente
66;14;365;Presente
67;14;1082;Cancelada
68;15;1448;Ausente
69;15;1819;Cancelada
70;16;17;Presente
71;16;663;Cancelada
72;16;926;Presente
73;16;498;Presente
74;17;1635;Presente
75;17;1752;Cancelada
76;17;1591;Cancelada
77;17;1537;Presente
78;18;1109;Cancelada
79;18;700;Cancelada
80;19;602;Presente
81;19;970;Presente
82;19;1123;Ausente
83;19;1898;Ausente
84;20;409;Ausente
85;20;1438;Ausente
86;20;2103;Cancelada
87;20;642;Ausente
88;20;494;Ausente
89;21;1085;Ausente
90;21;412;Presente
91;21;1798;Ausente
92;21;2166;Cancelada
93;21;2182;Cancelada
94;21;846;Presente
95;22;1748;Cancelada
96;22;1764;Presente
97;22;1902;Presente
98;23;1558;Ausente
99;23;2074;Ausente
100;24;1510;Cancelada
101;24;436;Presente
102;24;578;Cancelada
103;24;921;Presente
104;24;1971;Presente
105;24;955;Ausente
106;25;529;Presente
107;25;2094;Presente
108;25;519;Ausente
109;25;478;Cancelada
110;26;763;Cancelada
111;26;1607;Ausente
112;26;1394;Ausente
113;26;867;Presente
114;26;1809;Presente
115;27;414;Presente
116;27;286;Cancelada
117;27;281;Presente
118;27;1205;Presente
119;28;226;Ausente
120;28;923;Ausente
121;29;1154;Presente
122;29;2038;Presente
123;29;1984;Cancelada
124;29;1416;Presente
125;29;816;Ausente
126;29;2009;Presente
127;30;504;Presente
128;30;1350;Presente
129;30;1442;Cancelada
130;30;72;Cancelada
131;30;1812;Presente
132;31;2074;Ausente
133;31;508;Presente
134;31;292;Presente
135;32;1234;Cancelada
136;32;1999;Ausente
137;32;1960;Presente
138;32;1923;Ausente
139;32;1197;Ausente
140;32;1995;Presente
141;33;307;Cancelada
142;33;238;Ausente
143;33;492;Presente
144;33;213;Presente
145;33;1158;Ausente
146;34;199;Cancelada
147;34;307;Cancelada
148;34;636;Cancelada
149;34;1202;Cancelada
150;34;563;Ausente
151;35;604;Cancelada
152;35;2172;Ausente
153;35;1905;Cancelada
154;35;277;Cancelada
155;35;357;Cancelada
156;36;72;Cancelada
157;36;1650;Presente
158;36;760;Presente
159;36;355;Cancelada
160;37;38;Cancelada
161;37;1393;Ausente
162;37;1540;Ausente
163;37;334;Presente
164;37;893;Cancelada
165;37;845;Ausente
166;38;1174;Presente
167;38;1532;Presente
168;38;1287;Cancelada
169;39;2038;Ausente
170;39;1859;Cancelada
171;39;1281;Cancelada
172;39;938;Presente
173;39;2151;Ausente
174;40;1743;Presente
175;40;1545;Cancelada
176;40;886;Cancelada
177;40;2080;Ausente
178;40;512;Cancelada
179;40;861;Presente
180;41;1207;Ausente
181;41;1875;Ausente
182;41;1591;Cancelada
183;42;250;Ausente
184;42;1871;Ausente
185;42;2001;Presente
186;42;1644;Cancelada
187;42;1612;Ausente
188;42;565;Cancelada
189;42;1200;Ausente
190;43;858;Presente
191;43;1790;Ausente
192;44;96;Presente
193;44;756;Cancelada
194;44;1643;Ausente
195;44;1832;Presente
196;44;1720;Presente
197;45;419;Ausente
198;45;1270;Presente
199;45;1071;Ausente
200;46;388;Cancelada
201;46;979;Ausente
202;46;1843;Cancelada
203;46;1396;Ausente
204;46;1710;Presente
205;46;499;Ausente
206;46;1172;Cancelada
207;47;521;Ausente
208;47;35;Cancelada
209;48;965;Presente
210;48;1995;Cancelada
211;49;1857;Presente
212;49;773;Ausente
213;49;1254;Presente
214;49;62;Cancelada
215;49;1149;Cancelada
216;49;2068;Presente
217;50;1464;Cancelada
218;50;812;Ausente
219;51;1515;Cancelada
220;51;1022;Cancelada
221;51;252;Ausente
222;51;766;Cancelada
223;51;1581;Presente
224;51;461;Presente
225;52;1951;Ausente
226;52;1940;Ausente
227;52;140;Presente
228;52;754;Cancelada
229;53;1707;Presente
230;53;1770;Presente
231;54;254;Ausente
232;54;1609;Presente
233;54;1542;Cancelada
234;55;2076;Presente
235;55;1806;Presente
236;55;495;Cancelada
237;55;338;Ausente
238;55;146;Presente
239;55;1628;Cancelada
240;56;619;Ausente
241;56;1889;Ausente
242;56;1783;Presente
243;56;1838;Cancelada
244;56;1215;Presente
245;56;1408;Ausente
246;56;279;Cancelada
247;57;1533;Ausente
248;57;2066;Presente
249;57;1907;Presente
250;57;1458;Ausente
251;57;571;Presente
252;57;1774;Cancelada
253;57;539;Ausente
254;58;1225;Cancelada
255;58;1985;Ausente
256;58;1638;Ausente
257;58;984;Cancelada
258;59;405;Ausente
259;59;925;Presente
260;60;2040;Presente
261;60;2154;Presente
262;60;1848;Cancelada
263;60;1921;Presente
264;60;2091;Ausente
265;60;1469;Presente
266;60;1700;Cancelada
267;61;1723;Presente
268;61;1880;Presente
269;61;274;Presente
270;61;1333;Presente
271;62;1428;Presente
272;62;2041;Cancelada
273;62;1316;Cancelada
274;62;1230;Cancelada
275;62;1992;Ausente
276;63;1659;Cancelada
277;63;564;Cancelada
278;63;795;Presente
279;63;1228;Cancelada
280;63;1116;Cancelada
281;64;1214;Ausente
282;64;1678;Ausente
283;64;662;Ausente
284;65;429;Presente
285;65;947;Cancelada
286;65;7;Cancelada
287;65;373;Ausente
288;66;288;Cancelada
289;66;774;Cancelada
290;66;503;Cancelada
291;66;1806;Ausente
292;66;1886;Presente
293;66;1595;Cancelada
294;66;1903;Ausente
295;67;247;Presente
296;67;119;Cancelada
297;68;424;Presente
298;68;276;Ausente
299;68;2096;Cancelada
300;68;209;Ausente
301;69;1434;Presente
302;69;1640;Cancelada
303;69;919;Presente
304;70;1163;Ausente
305;70;369;Ausente
306;71;678;Presente
307;71;1061;Cancelada
308;71;664;Presente
309;71;1560;Presente
310;71;1307;Ausente
311;72;1765;Presente
312;72;229;Presente
313;73;1921;Ausente
314;73;1226;Ausente
315;73;1353;Ausente
316;73;2120;Presente
317;73;1572;Cancelada
318;73;1198;Presente
319;73;2083;Ausente
320;74;1817;Cancelada
321;74;1025;Presente
322;75;996;Presente
323;75;1010;Ausente
324;75;935;Ausente
325;75;720;Ausente
326;76;1610;Presente
327;76;1076;Cancelada
328;76;41;Ausente
329;77;1804;Presente
330;77;891;Ausente
331;77;164;Ausente
332;77;1873;Presente
333;78;337;Ausente
334;78;2170;Cancelada
335;78;2054;Cancelada
336;78;871;Cancelada
337;79;1065;Presente
338;79;527;Ausente
339;79;345;Ausente
340;79;934;Cancelada
341;79;1620;Ausente
342;79;740;Cancelada
343;79;1883;Cancelada
344;80;885;Ausente
345;80;249;Presente
346;81;732;Presente
347;81;601;Ausente
348;81;1143;Ausente
349;82;797;Ausente
350;82;1716;Presente
351;82;1029;Presente
352;83;2004;Presente
353;83;1422;Ausente
354;83;1521;Presente
355;83;1500;Cancelada
356;83;1717;Ausente
357;83;1376;Presente
358;84;169;Cancelada
359;84;672;Ausente
360;84;188;Ausente
361;84;1392;Ausente
362;84;1262;Cancelada
363;85;1474;Cancelada
364;85;1951;Presente
365;86;1226;Ausente
366;86;1200;Ausente
367;86;809;Presente
368;86;65;Ausente
369;87;437;Cancelada
370;87;378;Cancelada
371;88;2102;Ausente
372;88;1136;Cancelada
373;88;33;Cancelada
374;89;856;Cancelada
375;89;51;Cancelada
376;89;1223;Cancelada
377;90;329;Ausente
378;90;618;Ausente
379;91;1239;Presente
380;91;1177;Ausente
381;91;347;Presente
382;91;1502;Cancelada
383;92;1312;Ausente
384;92;1530;Presente
385;92;240;Ausente
386;92;9;Ausente
387;92;2150;Ausente
388;92;97;Presente
389;92;1153;Ausente
390;93;1720;Ausente
391;93;803;Cancelada
392;93;796;Cancelada
393;93;449;Presente
394;93;2178;Cancelada
395;93;1044;Presente
396;93;824;Presente
397;94;882;Ausente
398;94;1448;Ausente
399;94;91;Ausente
400;94;499;Ausente
401;94;2179;Cancelada
402;94;1856;Cancelada
403;94;386;Ausente
404;95;1492;Cancelada
405;95;1855;Presente
406;95;831;Ausente
407;95;1900;Ausente
408;95;1338;Ausente
409;95;1590;Presente
410;95;96;Presente
411;96;233;Presente
412;96;1892;Presente
413;96;2177;Cancelada
414;96;216;Cancelada
415;96;2014;Cancelada
416;96;1193;Presente
417;96;421;Presente
418;97;1877;Cancelada
419;97;396;Cancelada
420;97;2078;Ausente
421;97;882;Cancelada
422;97;121;Presente
423;97;1953;Cancelada
424;98;477;Ausente
425;98;410;Presente
426;98;433;Cancelada
427;98;946;Presente
428;98;541;Cancelada
429;98;249;Cancelada
430;99;912;Ausente
431;99;157;Ausente
432;100;1089;Presente
433;100;176;Cancelada
434;100;1776;Presente
435;100;1683;Cancelada
436;100;1747;Presente
437;101;1866;Ausente
438;101;1894;Ausente
439;102;1319;Presente
440;102;522;Presente
441;103;796;Ausente
442;103;1874;Presente
443;103;159;Ausente
444;103;933;Cancelada
445;103;1213;Cancelada
446;103;2041;Presente
447;103;1089;Presente
448;104;795;Ausente
449;104;48;Ausente
450;104;874;Ausente
451;104;483;Presente
452;104;735;Ausente
453;104;1446;Ausente
454;105;5;Cancelada
