pagamento_id,matricula_id,competencia,valor,data_vencimento,data_pagamento,status,motivo_rejeicao
49,5,2025-07-01,399,2025-03-07,2025-02-07,Pago,fk_invalida:matricula_id
50,5,2025-08-01,1199,2025-01-08,2025-07-08,Pago,fk_invalida:matricula_id
51,5,2025-09-01,99,2025-04-09,,Vencido,fk_invalida:matricula_id
52,5,2025-10-01,149,2025-02-10,2025-10-10,Pago,fk_invalida:matricula_id
58,5,2026-04-01,149,2026-02-04,,Vencido,fk_invalida:matricula_id
59,5,2026-05-01,399,2026-01-05,2026-06-05,Pago,fk_invalida:matricula_id
75,7,2025-09-01,109,2025-01-09,2025-08-09,Pago,fk_invalida:matricula_id
77,7,2025-11-01,109,2025-03-11,2025-09-11,Pago,fk_invalida:matricula_id
82,7,2026-04-01,149,2026-01-04,2026-05-04,Pago,fk_invalida:matricula_id
86,8,2025-08-01,109,2025-03-08,2025-02-08,Pago,fk_invalida:matricula_id
87,8,2025-09-01,699,2025-01-09,,Vencido,fk_invalida:matricula_id
93,8,2026-03-01,149,2026-02-03,,Vencido,fk_invalida:matricula_id
102,9,2025-12-01,99,2025-03-12,2025-04-12,Pago,fk_invalida:matricula_id
105,9,2026-03-01,399,2026-01-03,2026-11-03,Pago,fk_invalida:matricula_id
113,10,2025-11-01,99,2025-02-11,2025-09-11,Pago,fk_invalida:matricula_id
114,10,2025-12-01,199,2025-01-12,,Vencido,fk_invalida:matricula_id
119,10,2026-05-01,199,2026-01-05,2026-08-05,Pago,fk_invalida:matricula_id
120,10,2026-06-01,1199,2026-01-06,,Vencido,fk_invalida:matricula_id
121,11,2025-07-01,99,2025-06-07,2025-08-07,Pago,fk_invalida:matricula_id
124,11,2025-10-01,35,2025-04-10,2025-08-10,Pago,fk_invalida:matricula_id
126,11,2025-12-01,35,2025-02-12,,Vencido,fk_invalida:matricula_id
131,11,2026-05-01,109,2026-01-05,2026-08-05,Pago,fk_invalida:matricula_id
133,12,2025-07-01,35,2025-03-07,2025-02-07,Pago,fk_invalida:matricula_id
134,12,2025-08-01,1199,2025-01-08,2025-03-08,Pago,fk_invalida:matricula_id
135,12,2025-09-01,99,2025-02-09,2025-05-09,Pago,fk_invalida:matricula_id
136,12,2025-10-01,1199,2025-01-10,2025-03-10,Pago,fk_invalida:matricula_id
147,13,2025-09-01,699,2025-03-09,2025-02-09,Pago,fk_invalida:matricula_id
148,13,2025-10-01,109,2025-02-10,2025-03-10,Pago,fk_invalida:matricula_id
153,13,2026-03-01,199,2026-02-03,2026-06-03,Pago,fk_invalida:matricula_id
157,14,2025-07-01,109,2025-03-07,2025-09-07,Pago,fk_invalida:matricula_id
159,14,2025-09-01,1199,2025-02-09,2025-10-09,Pago,fk_invalida:matricula_id
165,14,2026-03-01,699,2026-03-03,2026-07-03,Pago,fk_invalida:matricula_id
167,14,2026-05-01,99,2026-02-05,2026-02-05,Pago,fk_invalida:matricula_id
169,15,2025-07-01,399,2025-04-07,2025-01-07,Pago,fk_invalida:matricula_id
170,15,2025-08-01,199,2025-03-08,2025-10-08,Pago,fk_invalida:matricula_id
172,15,2025-10-01,199,2025-02-10,2025-03-10,Pago,fk_invalida:matricula_id
173,15,2025-11-01,399,2025-01-11,2025-03-11,Pago,fk_invalida:matricula_id
181,16,2025-07-01,99,2025-04-07,2025-06-07,Pago,fk_invalida:matricula_id
184,16,2025-10-01,35,2025-02-10,2025-05-10,Pago,fk_invalida:matricula_id
185,16,2025-11-01,149,2025-01-11,2025-12-11,Pago,fk_invalida:matricula_id
189,16,2026-03-01,1199,2026-01-03,2026-07-03,Pago,fk_invalida:matricula_id
191,16,2026-05-01,199,2026-01-05,2026-04-05,Pago,fk_invalida:matricula_id
194,17,2025-08-01,35,2025-02-08,2025-11-08,Pago,fk_invalida:matricula_id
205,18,2025-07-01,199,2025-02-07,2025-12-07,Pago,fk_invalida:matricula_id
206,18,2025-08-01,109,2025-03-08,2025-06-08,Pago,fk_invalida:matricula_id
207,18,2025-09-01,699,2025-01-09,,Vencido,fk_invalida:matricula_id
208,18,2025-10-01,199,2025-04-10,2025-12-10,Pago,fk_invalida:matricula_id
210,18,2025-12-01,149,2025-02-12,2025-03-12,Pago,fk_invalida:matricula_id
217,19,2025-07-01,699,2025-03-07,2025-07-07,Pago,fk_invalida:matricula_id
219,19,2025-09-01,109,2025-04-09,2025-05-09,Pago,fk_invalida:matricula_id
222,19,2025-12-01,399,2025-02-12,,Vencido,fk_invalida:matricula_id
223,19,2026-01-01,399,2026-02-01,2026-04-01,Pago,fk_invalida:matricula_id
226,19,2026-04-01,149,2026-01-04,,Vencido,fk_invalida:matricula_id
228,19,2026-06-01,99,2026-01-06,2026-05-06,Pago,fk_invalida:matricula_id
229,20,2025-07-01,399,2025-03-07,,Vencido,fk_invalida:matricula_id
231,20,2025-09-01,35,2025-01-09,2025-05-09,Pago,fk_invalida:matricula_id
238,20,2026-04-01,109,2026-01-04,2026-02-04,Pago,fk_invalida:matricula_id
240,20,2026-06-01,149,2026-01-06,,Vencido,fk_invalida:matricula_id
241,21,2025-07-01,199,2025-06-07,2025-07-07,Pago,fk_invalida:matricula_id
242,21,2025-08-01,99,2025-03-08,2025-09-08,Pago,fk_invalida:matricula_id
246,21,2025-12-01,1199,2025-03-12,2025-02-12,Pago,fk_invalida:matricula_id
253,22,2025-07-01,149,2025-01-07,2025-07-07,Pago,fk_invalida:matricula_id
254,22,2025-08-01,1199,2025-04-08,2025-09-08,Pago,fk_invalida:matricula_id
259,22,2026-01-01,99,2026-01-01,2026-09-01,Pago,fk_invalida:matricula_id
265,23,2025-07-01,399,2025-03-07,2025-02-07,Pago,fk_invalida:matricula_id
270,23,2025-12-01,109,2025-02-12,2025-03-12,Pago,fk_invalida:matricula_id
275,23,2026-05-01,399,2026-01-05,2026-04-05,Pago,fk_invalida:matricula_id
276,23,2026-06-01,99,2026-01-06,2026-12-06,Pago,fk_invalida:matricula_id
278,24,2025-08-01,399,2025-03-08,2025-01-08,Pago,fk_invalida:matricula_id
280,24,2025-10-01,99,2025-01-10,2025-05-10,Pago,fk_invalida:matricula_id
