reserva_id,aula_id,aluno_id,status,motivo_rejeicao
18,5,161,Presente,fk_invalida:aula_id
19,5,525,Presente,fk_invalida:aula_id
20,5,718,Presente,fk_invalida:aula_id
21,5,828,Ausente,fk_invalida:aula_id
22,5,1495,Presente,fk_invalida:aula_id
23,6,1297,Ausente,fk_invalida:aula_id
24,6,558,Cancelada,fk_invalida:aula_id
25,6,598,Ausente,fk_invalida:aula_id
26,6,1417,Ausente,fk_invalida:aula_id
27,6,1221,Cancelada,fk_invalida:aula_id
28,6,1112,Ausente,fk_invalida:aula_id
29,6,1192,Ausente,fk_invalida:aula_id
30,7,1733,Presente,fk_invalida:aula_id
31,7,113,Presente,fk_invalida:aula_id
32,8,20,Presente,fk_invalida:aula_id
33,8,1392,Ausente,fk_invalida:aula_id
34,8,664,Presente,fk_invalida:aula_id
35,8,1474,Ausente,fk_invalida:aula_id
36,8,1521,Ausente,fk_invalida:aula_id
37,9,1869,Ausente,fk_invalida:aula_id
38,9,1537,Presente,fk_invalida:aula_id
39,9,2083,Presente,fk_invalida:aula_id
40,9,595,Ausente,fk_invalida:aula_id
41,9,921,Ausente,fk_invalida:aula_id
42,9,255,Presente,fk_invalida:aula_id
43,9,1508,Presente,fk_invalida:aula_id
44,10,1507,Presente,fk_invalida:aula_id
45,10,781,Presente,fk_invalida:aula_id
46,10,1742,Cancelada,fk_invalida:aula_id
47,10,1135,Ausente,fk_invalida:aula_id
48,10,1269,Presente,fk_invalida:aula_id
49,10,2011,Cancelada,fk_invalida:aula_id
50,10,175,Presente,fk_invalida:aula_id
51,11,67,Ausente,fk_invalida:aula_id
52,11,1460,Presente,fk_invalida:aula_id
53,11,1581,Ausente,fk_invalida:aula_id
54,11,933,Ausente,fk_invalida:aula_id
55,11,1455,Ausente,fk_invalida:aula_id
56,11,600,Ausente,fk_invalida:aula_id
57,11,413,Cancelada,fk_invalida:aula_id
58,12,866,Presente,fk_invalida:aula_id
59,12,1421,Ausente,fk_invalida:aula_id
60,12,219,Ausente,fk_invalida:aula_id
61,12,810,Presente,fk_invalida:aula_id
62,12,1933,Ausente,fk_invalida:aula_id
63,13,2105,Ausente,fk_invalida:aula_id
64,13,1986,Presente,fk_invalida:aula_id
65,13,2193,Presente,fk_invalida:aula_id
66,14,365,Presente,fk_invalida:aula_id
67,14,1082,Cancelada,fk_invalida:aula_id
68,15,1448,Ausente,fk_invalida:aula_id
69,15,1819,Cancelada,fk_invalida:aula_id
70,16,17,Presente,fk_invalida:aula_id
71,16,663,Cancelada,fk_invalida:aula_id
72,16,926,Presente,fk_invalida:aula_id
73,16,498,Presente,fk_invalida:aula_id
74,17,1635,Presente,fk_invalida:aula_id
75,17,1752,Cancelada,fk_invalida:aula_id
76,17,1591,Cancelada,fk_invalida:aula_id
77,17,1537,Presente,fk_invalida:aula_id
78,18,1109,Cancelada,fk_invalida:aula_id
79,18,700,Cancelada,fk_invalida:aula_id
80,19,602,Presente,fk_invalida:aula_id
81,19,970,Presente,fk_invalida:aula_id
82,19,1123,Ausente,fk_invalida:aula_id
83,19,1898,Ausente,fk_invalida:aula_id
84,20,409,Ausente,fk_invalida:aula_id
85,20,1438,Ausente,fk_invalida:aula_id
86,20,2103,Cancelada,fk_invalida:aula_id
87,20,642,Ausente,fk_invalida:aula_id
88,20,494,Ausente,fk_invalida:aula_id
89,21,1085,Ausente,fk_invalida:aula_id
90,21,412,Presente,fk_invalida:aula_id
91,21,1798,Ausente,fk_invalida:aula_id
92,21,2166,Cancelada,fk_invalida:aula_id
93,21,2182,Cancelada,fk_invalida:aula_id
94,21,846,Presente,fk_invalida:aula_id
95,22,1748,Cancelada,fk_invalida:aula_id
96,22,1764,Presente,fk_invalida:aula_id
97,22,1902,Presente,fk_invalida:aula_id
98,23,1558,Ausente,fk_invalida:aula_id
99,23,2074,Ausente,fk_invalida:aula_id
100,24,1510,Cancelada,fk_invalida:aula_id
101,24,436,Presente,fk_invalida:aula_id
102,24,578,Cancelada,fk_invalida:aula_id
103,24,921,Presente,fk_invalida:aula_id
104,24,1971,Presente,fk_invalida:aula_id
105,24,955,Ausente,fk_invalida:aula_id
106,25,529,Presente,fk_invalida:aula_id
107,25,2094,Presente,fk_invalida:aula_id
108,25,519,Ausente,fk_invalida:aula_id
109,25,478,Cancelada,fk_invalida:aula_id
110,26,763,Cancelada,fk_invalida:aula_id
111,26,1607,Ausente,fk_invalida:aula_id
112,26,1394,Ausente,fk_invalida:aula_id
113,26,867,Presente,fk_invalida:aula_id
114,26,1809,Presente,fk_invalida:aula_id
115,27,414,Presente,fk_invalida:aula_id
116,27,286,Cancelada,fk_invalida:aula_id
117,27,281,Presente,fk_invalida:aula_id
118,27,1205,Presente,fk_invalida:aula_id
119,28,226,Ausente,fk_invalida:aula_id
120,28,923,Ausente,fk_invalida:aula_id
121,29,1154,Presente,fk_invalida:aula_id
122,29,2038,Presente,fk_invalida:aula_id
123,29,1984,Cancelada,fk_invalida:aula_id
124,29,1416,Presente,fk_invalida:aula_id
125,29,816,Ausente,fk_invalida:aula_id
126,29,2009,Presente,fk_invalida:aula_id
127,30,504,Presente,fk_invalida:aula_id
128,30,1350,Presente,fk_invalida:aula_id
129,30,1442,Cancelada,fk_invalida:aula_id
130,30,72,Cancelada,fk_invalida:aula_id
131,30,1812,Presente,fk_invalida:aula_id
132,31,2074,Ausente,fk_invalida:aula_id
133,31,508,Presente,fk_invalida:aula_id
134,31,292,Presente,fk_invalida:aula_id
135,32,1234,Cancelada,fk_invalida:aula_id
136,32,1999,Ausente,fk_invalida:aula_id
137,32,1960,Presente,fk_invalida:aula_id
138,32,1923,Ausente,fk_invalida:aula_id
139,32,1197,Ausente,fk_invalida:aula_id
140,32,1995,Presente,fk_invalida:aula_id
141,33,307,Cancelada,fk_invalida:aula_id
142,33,238,Ausente,fk_invalida:aula_id
143,33,492,Presente,fk_invalida:aula_id
144,33,213,Presente,fk_invalida:aula_id
145,33,1158,Ausente,fk_invalida:aula_id
146,34,199,Cancelada,fk_invalida:aula_id
147,34,307,Cancelada,fk_invalida:aula_id
148,34,636,Cancelada,fk_invalida:aula_id
149,34,1202,Cancelada,fk_invalida:aula_id
150,34,563,Ausente,fk_invalida:aula_id
151,35,604,Cancelada,fk_invalida:aula_id
152,35,2172,Ausente,fk_invalida:aula_id
153,35,1905,Cancelada,fk_invalida:aula_id
154,35,277,Cancelada,fk_invalida:aula_id
155,35,357,Cancelada,fk_invalida:aula_id
156,36,72,Cancelada,fk_invalida:aula_id
157,36,1650,Presente,fk_invalida:aula_id
158,36,760,Presente,fk_invalida:aula_id
159,36,355,Cancelada,fk_invalida:aula_id
160,37,38,Cancelada,fk_invalida:aula_id
161,37,1393,Ausente,fk_invalida:aula_id
162,37,1540,Ausente,fk_invalida:aula_id
163,37,334,Presente,fk_invalida:aula_id
164,37,893,Cancelada,fk_invalida:aula_id
165,37,845,Ausente,fk_invalida:aula_id
166,38,1174,Presente,fk_invalida:aula_id
167,38,1532,Presente,fk_invalida:aula_id
168,38,1287,Cancelada,fk_invalida:aula_id
169,39,2038,Ausente,fk_invalida:aula_id
170,39,1859,Cancelada,fk_invalida:aula_id
171,39,1281,Cancelada,fk_invalida:aula_id
172,39,938,Presente,fk_invalida:aula_id
173,39,2151,Ausente,fk_invalida:aula_id
174,40,1743,Presente,fk_invalida:aula_id
175,40,1545,Cancelada,fk_invalida:aula_id
176,40,886,Cancelada,fk_invalida:aula_id
177,40,2080,Ausente,fk_invalida:aula_id
178,40,512,Cancelada,fk_invalida:aula_id
179,40,861,Presente,fk_invalida:aula_id
180,41,1207,Ausente,fk_invalida:aula_id
181,41,1875,Ausente,fk_invalida:aula_id
182,41,1591,Cancelada,fk_invalida:aula_id
183,42,250,Ausente,fk_invalida:aula_id
184,42,1871,Ausente,fk_invalida:aula_id
185,42,2001,Presente,fk_invalida:aula_id
186,42,1644,Cancelada,fk_invalida:aula_id
187,42,1612,Ausente,fk_invalida:aula_id
188,42,565,Cancelada,fk_invalida:aula_id
189,42,1200,Ausente,fk_invalida:aula_id
190,43,858,Presente,fk_invalida:aula_id
191,43,1790,Ausente,fk_invalida:aula_id
192,44,96,Presente,fk_invalida:aula_id
193,44,756,Cancelada,fk_invalida:aula_id
194,44,1643,Ausente,fk_invalida:aula_id
195,44,1832,Presente,fk_invalida:aula_id
196,44,1720,Presente,fk_invalida:aula_id
197,45,419,Ausente,fk_invalida:aula_id
198,45,1270,Presente,fk_invalida:aula_id
199,45,1071,Ausente,fk_invalida:aula_id
200,46,388,Cancelada,fk_invalida:aula_id
201,46,979,Ausente,fk_invalida:aula_id
202,46,1843,Cancelada,fk_invalida:aula_id
203,46,1396,Ausente,fk_invalida:aula_id
204,46,1710,Presente,fk_invalida:aula_id
205,46,499,Ausente,fk_invalida:aula_id
206,46,1172,Cancelada,fk_invalida:aula_id
207,47,521,Ausente,fk_invalida:aula_id
208,47,35,Cancelada,fk_invalida:aula_id
209,48,965,Presente,fk_invalida:aula_id
210,48,1995,Cancelada,fk_invalida:aula_id
211,49,1857,Presente,fk_invalida:aula_id
212,49,773,Ausente,fk_invalida:aula_id
213,49,1254,Presente,fk_invalida:aula_id
214,49,62,Cancelada,fk_invalida:aula_id
