matricula_id,aluno_id,plano_id,data_inicio,data_fim,status,canal_aquisicao
1,1,4,2025-01-19,,Ativa,Indicação
2,2,4,2024-05-17,2026-03-29,Cancelada,Site
3,3,4,2025-01-30,,Ativa,Site
4,4,2,2024-08-11,,Ativa,Indicação
5,5,1,2024-05-12,,Ativa,Empresa
6,6,8,2025-04-29,,Ativa,Site
7,7,5,2025-02-12,,Ativa,Site
8,8,6,2024-03-13,,Ativa,Site
9,9,3,2025-02-03,,Ativa,Passante
10,10,6,2025-02-03,,Ativa,Empresa
11,11,2,2025-04-07,,Ativa,Site
12,12,5,2024-06-28,,Ativa,Empresa
13,13,7,2024-07-11,,Ativa,Empresa
14,14,7,2024-06-17,,Ativa,Site
15,15,1,2024-06-23,,Ativa,Indicação
16,16,4,2025-03-06,,Ativa,Indicação
17,17,6,2025-05-08,2025-09-06,Cancelada,Passante
18,18,4,2025-03-27,,Ativa,Indicação
19,19,3,2024-06-07,,Ativa,Empresa
20,20,7,2025-06-02,,Ativa,Indicação
21,21,8,2024-03-26,,Ativa,Passante
22,22,4,2024-02-22,,Ativa,Passante
23,23,1,2024-10-03,,Ativa,Passante
24,24,5,2024-08-12,2026-03-18,Cancelada,Passante
25,25,6,2025-04-26,,Ativa,Indicação
26,26,8,2025-03-29,,Ativa,Site
27,27,6,2024-06-24,2025-08-08,Cancelada,Indicação
28,28,2,2024-07-28,,Ativa,Site
29,29,3,2024-09-14,,Ativa,Indicação
30,30,3,2024-08-26,,Ativa,Indicação
31,31,4,2025-05-06,,Ativa,Site
32,32,2,2024-06-08,,Ativa,Passante
33,33,3,2025-05-05,,Ativa,Passante
34,34,6,2024-11-30,,Ativa,Empresa
35,35,1,2024-11-17,2026-01-11,Cancelada,Indicação
36,36,4,2025-05-19,,Ativa,Site
37,37,6,2024-06-17,,Ativa,Empresa
38,38,1,2024-08-12,,Ativa,Indicação
39,39,4,2025-01-11,2025-08-16,Cancelada,Passante
40,40,2,2024-03-26,2025-07-28,Cancelada,Passante
41,41,5,2025-07-01,2025-12-06,Cancelada,Passante
42,42,7,2024-06-11,2025-12-28,Cancelada,Site
43,43,4,2025-03-29,,Ativa,Passante
44,44,3,2024-07-20,,Ativa,Indicação
45,45,2,2025-06-07,,Ativa,Passante
46,46,5,2024-05-03,,Ativa,Site
47,47,4,2025-06-17,,Ativa,Passante
48,48,1,2024-06-26,,Ativa,Passante
49,49,5,2024-05-18,,Ativa,Site
50,50,6,2024-10-28,2025-10-10,Cancelada,Empresa
51,51,2,2025-05-21,,Ativa,Site
52,52,3,2024-04-06,,Ativa,Indicação
53,53,2,2025-01-18,2026-03-19,Cancelada,Passante
54,54,4,2024-07-18,,Ativa,Empresa
55,55,6,2024-09-03,,Ativa,Site
56,56,7,2025-06-13,2025-11-15,Cancelada,Passante
57,57,6,2025-06-08,2025-09-12,Cancelada,Empresa
58,58,8,2025-03-02,,Ativa,Site
59,59,2,2024-05-19,,Ativa,Passante
60,60,8,2024-12-24,,Ativa,Site
61,61,2,2024-05-29,,Ativa,Passante
62,62,3,2024-11-07,,Ativa,Site
63,63,4,2024-04-17,,Ativa,Empresa
64,64,2,2025-05-23,2025-11-14,Cancelada,Empresa
65,65,6,2025-02-16,,Ativa,Passante
66,66,3,2025-03-23,,Ativa,Site
67,67,4,2024-05-12,2026-01-05,Cancelada,Passante
68,68,5,2024-04-03,,Ativa,Indicação
69,69,2,2024-11-05,,Ativa,Indicação
70,70,3,2025-04-18,2026-01-14,Cancelada,Site
71,71,2,2025-03-18,,Ativa,Empresa
72,72,7,2024-08-14,,Ativa,Indicação
73,73,5,2025-02-18,,Ativa,Passante
74,74,1,2024-12-13,2026-04-09,Cancelada,Passante
75,75,2,2024-07-05,,Ativa,Empresa
76,76,2,2025-03-27,,Ativa,Indicação
77,77,3,2024-07-26,,Ativa,Empresa
78,78,7,2025-02-05,,Ativa,Passante
79,79,2,2025-06-04,,Ativa,Indicação
80,80,8,2024-10-21,,Ativa,Empresa
81,81,7,2024-12-15,,Ativa,Site
82,82,3,2024-08-12,,Ativa,Site
83,83,2,2025-03-19,,Ativa,Indicação
84,84,5,2024-06-21,2026-01-15,Cancelada,Site
85,85,5,2024-08-26,,Ativa,Passante
86,86,6,2024-03-12,,Ativa,Site
87,87,1,2024-05-22,,Ativa,Passante
88,88,7,2024-02-19,,Ativa,Indicação
89,89,6,2024-03-26,,Ativa,Empresa
90,90,7,2024-10-18,,Ativa,Empresa
91,91,6,2025-02-10,,Ativa,Empresa
92,92,5,2024-09-01,,Ativa,Indicação
93,93,3,2024-03-21,,Ativa,Indicação
94,94,7,2024-04-23,,Ativa,Indicação
95,95,4,2024-08-20,,Ativa,Site
96,96,7,2025-02-19,2026-04-23,Cancelada,Passante
97,97,4,2024-03-30,,Ativa,Empresa
98,98,3,2025-01-17,,Ativa,Empresa
99,99,5,2024-10-28,,Ativa,Site
100,100,2,2024-10-19,,Ativa,Site
101,101,4,2025-06-17,,Ativa,Passante
102,102,6,2025-03-30,,Ativa,Site
103,103,6,2025-01-10,,Ativa,Indicação
104,104,7,2025-02-07,,Ativa,Empresa
105,105,1,2025-01-20,,Ativa,Site
106,106,8,2024-04-14,,Ativa,Passante
107,107,4,2025-04-27,,Ativa,Indicação
108,108,8,2024-08-26,,Ativa,Site
109,109,5,2024-09-09,,Ativa,Indicação
110,110,2,2025-05-27,,Ativa,Indicação
111,111,6,2024-03-31,2026-03-06,Cancelada,Passante
112,112,2,2024-11-05,,Ativa,Empresa
113,113,4,2024-05-25,,Ativa,Empresa
114,114,3,2025-05-30,,Ativa,Empresa
115,115,2,2024-06-23,,Ativa,Empresa
116,116,3,2024-09-02,2026-06-18,Cancelada,Passante
117,117,7,2024-06-26,,Ativa,Passante
118,118,2,2024-06-26,2025-10-14,Cancelada,Passante
119,119,4,2024-11-11,,Ativa,Empresa
120,120,6,2024-07-07,,Ativa,Passante
121,121,4,2025-06-22,,Ativa,Passante
122,122,1,2024-12-01,,Ativa,Indicação
123,123,4,2024-05-27,2025-08-05,Cancelada,Indicação
124,124,1,2025-03-31,2025-09-08,Cancelada,Indicação
125,125,1,2025-03-07,,Ativa,Empresa
126,126,4,2025-01-18,2025-07-28,Cancelada,Site
127,127,6,2025-04-06,,Ativa,Indicação
128,128,5,2025-02-03,,Ativa,Passante
129,129,1,2025-04-27,,Ativa,Passante
130,130,1,2024-10-06,,Ativa,Empresa
131,131,3,2025-06-24,2025-10-28,Cancelada,Empresa
132,132,8,2024-10-02,,Ativa,Indicação
133,133,1,2024-03-22,,Ativa,Site
134,134,5,2024-09-08,,Ativa,Site
135,135,5,2025-03-10,,Ativa,Empresa
136,136,1,2024-08-14,,Ativa,Site
137,137,2,2025-04-12,2025-09-11,Cancelada,Indicação
138,138,7,2025-06-25,,Ativa,Site
139,139,7,2024-04-01,,Ativa,Passante
140,140,1,2025-05-07,,Ativa,Empresa
141,141,4,2025-05-24,2026-06-15,Cancelada,Empresa
142,142,8,2024-11-14,2025-08-29,Cancelada,Passante
143,143,5,2024-10-28,,Ativa,Site
144,144,7,2025-02-20,,Ativa,Empresa
145,145,5,2024-07-10,,Ativa,Site
146,146,5,2024-04-29,2026-06-01,Cancelada,Passante
147,147,1,2024-09-15,,Ativa,Passante
148,148,7,2025-03-28,,Ativa,Empresa
149,149,7,2024-12-14,,Ativa,Site
150,150,2,2025-05-14,,Ativa,Indicação
151,151,1,2024-07-06,,Ativa,Empresa
152,152,1,2025-02-23,,Ativa,Passante
153,153,6,2024-08-03,,Ativa,Site
154,154,4,2025-06-02,2025-09-28,Cancelada,Passante
155,155,1,2025-05-20,,Ativa,Empresa
156,156,8,2024-08-17,,Ativa,Empresa
157,157,3,2025-03-20,2025-11-13,Cancelada,Empresa
158,158,4,2025-03-08,,Ativa,Indicação
159,159,7,2024-12-09,,Ativa,Indicação
160,160,8,2025-05-29,,Ativa,Indicação
161,161,2,2024-04-30,,Ativa,Indicação
162,162,1,2025-04-17,,Ativa,Indicação
163,163,4,2025-03-09,,Ativa,Passante
164,164,4,2025-05-11,,Ativa,Passante
165,165,3,2025-05-27,,Ativa,Site
166,166,6,2024-05-14,,Ativa,Site
167,167,1,2025-03-10,,Ativa,Indicação
168,168,6,2025-01-23,,Ativa,Empresa
169,169,1,2024-04-23,,Ativa,Indicação
170,170,4,2024-04-14,,Ativa,Empresa
171,171,1,2025-04-06,,Ativa,Empresa
172,172,1,2024-07-13,,Ativa,Empresa
173,173,2,2025-06-21,,Ativa,Site
174,174,7,2024-11-24,,Ativa,Site
175,175,8,2024-09-21,2026-02-28,Cancelada,Empresa
176,176,5,2024-08-04,,Ativa,Empresa
177,177,1,2024-07-24,,Ativa,Indicação
178,178,6,2025-03-18,,Ativa,Site
179,179,8,2025-04-13,,Ativa,Site
180,180,2,2025-02-10,2026-03-18,Cancelada,Empresa
181,181,1,2024-10-22,2025-10-12,Cancelada,Passante
182,182,1,2024-09-08,,Ativa,Passante
183,183,1,2024-10-25,,Ativa,Empresa
184,184,6,2025-04-17,,Ativa,Indicação
185,185,4,2025-06-29,,Ativa,Indicação
186,186,5,2024-02-18,,Ativa,Passante
187,187,8,2025-01-02,,Ativa,Site
188,188,6,2024-05-14,,Ativa,Passante
189,189,5,2024-07-20,,Ativa,Site
190,190,4,2025-05-08,,Ativa,Empresa
191,191,2,2024-03-29,,Ativa,Indicação
192,192,7,2025-02-10,,Ativa,Indicação
193,193,2,2024-02-24,,Ativa,Site
194,194,1,2024-04-04,2026-01-09,Cancelada,Passante
195,195,2,2024-04-19,2026-01-13,Cancelada,Site
196,196,8,2025-03-24,,Ativa,Passante
197,197,8,2025-05-13,2025-07-17,Cancelada,Site
198,198,4,2024-03-25,,Ativa,Indicação
199,199,5,2025-05-28,,Ativa,Indicação
200,200,3,2024-02-18,,Ativa,Passante
201,201,4,2024-10-13,,Ativa,Empresa
202,202,5,2024-05-24,,Ativa,Passante
203,203,4,2024-07-02,,Ativa,Passante
204,204,8,2025-06-03,,Ativa,Indicação
205,205,2,2024-11-06,,Ativa,Passante
206,206,6,2025-06-07,,Ativa,Passante
207,207,5,2024-03-02,2026-03-26,Cancelada,Site
208,208,8,2025-06-18,,Ativa,Indicação
209,209,1,2024-08-20,,Ativa,Site
210,210,6,2024-11-08,,Ativa,Passante
211,211,6,2024-12-09,,Ativa,Site
212,212,4,2024-05-07,2025-10-22,Cancelada,Empresa
213,213,7,2024-10-27,,Ativa,Empresa
214,214,5,2024-10-24,2026-01-31,Cancelada,Empresa
215,215,8,2024-08-23,,Ativa,Empresa
216,216,5,2024-03-03,,Ativa,Passante
217,217,2,2024-04-12,,Ativa,Empresa
218,218,3,2024-06-22,,Ativa,Indicação
219,219,7,2024-09-01,,Ativa,Indicação
220,220,5,2024-05-18,2025-07-14,Cancelada,Indicação
221,221,1,2025-05-07,2025-10-31,Cancelada,Site
222,222,2,2024-05-15,,Ativa,Indicação
223,223,6,2025-01-29,2025-10-26,Cancelada,Site
224,224,8,2025-02-12,2025-09-12,Cancelada,Empresa
225,225,7,2024-02-22,,Ativa,Indicação
226,226,6,2024-04-22,2025-08-02,Cancelada,Empresa
227,227,6,2024-02-24,2026-02-02,Cancelada,Passante
228,228,4,2025-03-11,,Ativa,Empresa
