pagamento_id,matricula_id,competencia,valor,data_vencimento,data_pagamento,status
1,1,2025-07,199,2025-07-01,2025-07-09,Pago
2,1,2025-08,399,2025-08-01,2025-08-18,Pago
3,1,2025-08,35,2025-08-31,2025-09-02,Pago
4,1,2025-10,1199,2025-10-01,,Vencido
5,1,2025-11,149,2025-11-01,2025-10-31,Pago
6,1,2025-11,35,2025-11-30,2025-12-15,Pago
7,1,2025-12,1199,2025-12-31,2026-01-16,Pago
8,1,2026-01,699,2026-01-29,2026-02-16,Pago
9,1,2026-03,149,2026-03-02,2026-02-28,Pago
10,1,2026-04,35,2026-04-01,2026-04-08,Pago
11,1,2026-04,199,2026-04-29,2026-04-27,Pago
12,1,2026-05,399,2026-05-30,2026-06-04,Pago
13,2,2025-07,109,2025-07-04,2025-07-13,Pago
14,2,2025-08,199,2025-08-01,2025-08-07,Pago
15,2,2025-08,99,2025-08-30,2025-09-03,Pago
16,2,2025-09,1199,2025-09-29,2025-10-15,Pago
17,2,2025-10,399,2025-10-29,2025-11-03,Pago
18,2,2025-12,35,2025-12-03,2025-12-08,Pago
19,2,2025-12,99,2025-12-29,2026-01-08,Pago
20,2,2026-02,399,2026-02-01,2026-02-01,Pago
21,2,2026-03,199,2026-03-03,2026-03-16,Pago
22,2,2026-03,99,2026-03-29,2026-04-10,Pago
23,2,2026-05,199,2026-05-02,2026-04-29,Pago
24,2,2026-06,35,2026-06-01,2026-06-14,Pago
25,3,2025-07,1199,2025-07-02,2025-07-14,Pago
26,3,2025-08,149,2025-08-03,2025-08-18,Pago
27,3,2025-09,149,2025-09-04,2025-09-14,Pago
28,3,2025-09,399,2025-09-29,2025-10-09,Pago
29,3,2025-11,1199,2025-11-01,2025-11-08,Pago
30,3,2025-12,199,2025-12-01,2025-11-29,Pago
31,3,2025-12,1199,2025-12-28,2025-12-30,Pago
32,3,2026-01,149,2026-01-29,2026-02-02,Pago
33,3,2026-03,149,2026-03-01,2026-02-27,Pago
34,3,2026-04,35,2026-04-01,2026-04-10,Pago
35,3,2026-04,149,2026-04-30,2026-05-16,Pago
36,3,2026-05,399,2026-05-27,2026-05-30,Pago
