tabela,campo,tipo,obrigatorio,chave_primaria,valor_padrao
alunos,aluno_id,INTEGER,nao,sim,
alunos,codigo_aluno,TEXT,nao,nao,
alunos,idade,INTEGER,nao,nao,
alunos,genero,TEXT,nao,nao,
alunos,regiao,TEXT,nao,nao,
alunos,data_cadastro,TEXT,nao,nao,
aulas,aula_id,INTEGER,nao,sim,
aulas,modalidade_id,INTEGER,nao,nao,
aulas,profissional_id,INTEGER,nao,nao,
aulas,data_aula,TEXT,nao,nao,
aulas,horario,TEXT,nao,nao,
aulas,capacidade,INTEGER,nao,nao,
aulas,participantes,INTEGER,nao,nao,
aulas,status,TEXT,nao,nao,
avaliacoes_fisicas,avaliacao_id,INTEGER,nao,sim,
avaliacoes_fisicas,matricula_id,INTEGER,nao,nao,
avaliacoes_fisicas,profissional_id,INTEGER,nao,nao,
avaliacoes_fisicas,data_avaliacao,TEXT,nao,nao,
avaliacoes_fisicas,imc,REAL,nao,nao,
avaliacoes_fisicas,gordura_pct,REAL,nao,nao,
avaliacoes_fisicas,peso_kg,REAL,nao,nao,
avaliacoes_fisicas,objetivo,TEXT,nao,nao,
cancelamentos,cancelamento_id,INTEGER,nao,sim,
cancelamentos,matricula_id,INTEGER,nao,nao,
cancelamentos,data_cancelamento,TEXT,nao,nao,
cancelamentos,motivo,TEXT,nao,nao,
cancelamentos,tentativa_retencao,TEXT,nao,nao,
frequencias,frequencia_id,INTEGER,nao,sim,
frequencias,matricula_id,INTEGER,nao,nao,
frequencias,data_acesso,TEXT,nao,nao,
frequencias,hora_acesso,TEXT,nao,nao,
frequencias,modalidade_id,INTEGER,nao,nao,
frequencias,duracao_minutos,INTEGER,nao,nao,
matriculas,matricula_id,INTEGER,nao,sim,
matriculas,aluno_id,INTEGER,nao,nao,
matriculas,plano_id,INTEGER,nao,nao,
matriculas,data_inicio,TEXT,nao,nao,
matriculas,data_fim,TEXT,nao,nao,
matriculas,status,TEXT,nao,nao,
matriculas,canal_aquisicao,TEXT,nao,nao,
modalidades,modalidade_id,INTEGER,nao,sim,
modalidades,modalidade,TEXT,nao,nao,
pagamentos,pagamento_id,INTEGER,nao,sim,
pagamentos,matricula_id,INTEGER,nao,nao,
pagamentos,competencia,TEXT,nao,nao,
pagamentos,valor,INTEGER,nao,nao,
pagamentos,data_vencimento,TEXT,nao,nao,
pagamentos,data_pagamento,TEXT,nao,nao,
pagamentos,status,TEXT,nao,nao,
planos,plano_id,INTEGER,nao,sim,
planos,plano,TEXT,nao,nao,
planos,valor_referencia,INTEGER,nao,nao,
profissionais,profissional_id,INTEGER,nao,sim,
profissionais,codigo_profissional,TEXT,nao,nao,
profissionais,modalidade_id,INTEGER,nao,nao,
profissionais,funcao,TEXT,nao,nao,
reservas_aula,reserva_id,INTEGER,nao,sim,
reservas_aula,aula_id,INTEGER,nao,nao,
reservas_aula,aluno_id,INTEGER,nao,nao,
reservas_aula,status,TEXT,nao,nao,
