lote_id;produto_id;unidade_id;data_inicio;quantidade_planejada;quantidade_produzida;horas_planejadas;horas_reais;refugo_kg;consumo_energia_kwh;consumo_agua_l
L000001;P007;U03;2025-10-06;1269,84;1096,59;8,03;9,01;15,37;296,01;2759,69
L000002;P001;U03;2026-06-09;443,86;402,23;2,87;2,81;12,74;149,7;983,34
L000003;P005;U03;2024-03-11;1091,15;1063,1;6,0;6,87;16,61;398,53;2098,09
L000004;P007;U01;2025-06-03;1990,04;2020,29;13,11;11,99;38,12;740,34;5161,27
L000005;P004;U03;2025-07-25;314,79;295,71;1,59;1,97;6,28;69,24;575,18
L000006;P001;U03;2026-03-23;550,42;515,37;2,64;2,47;15,35;119,72;1387,41
L000007;P004;U02;2025-01-17;1092,35;1087,78;6,55;6,99;29,98;368,63;2202,34
L000008;P008;U02;2026-04-04;1371,44;1228,94;8,88;8,25;22,37;559,3;2661,3
L000009;P003;U03;2026-01-09;339,67;297,66;1,77;1,64;12,11;119,04;377,78
L000010;P004;U02;2025-02-07;1039,51;1016,61;7,65;9,59;35,56;601,62;2627,85
L000011;P007;U03;2026-03-15;1384,85;1209,2;10,9;11,17;33,43;587,94;1720,06
L000012;P006;U01;2026-05-03;2069,82;1791,99;16,42;18,54;32,87;593,72;4811,39
L000013;P004;U02;2025-06-03;869,31;757,18;4,7;4,8;3,41;239,63;1960,67
L000014;P002;U01;2026-07-02;1853,88;1848,51;9,72;9,08;47,19;1028,24;2463,22
L000015;P008;U02;2025-10-03;868,51;766,78;6,35;7,62;15,55;443,02;1227,35
L000016;P007;U03;2026-02-22;1820,13;1587,77;11,27;12,31;61,21;667,62;1917,22
L000017;P008;U02;2025-05-17;1327,18;1317,31;6,96;9,04;32,37;755,1;3398,11
L000018;P008;U01;2025-04-13;964,4;943,53;5,35;6,69;25,67;454,55;821,84
L000019;P001;U01;2025-01-23;526,94;480,97;2,55;2,41;18,17;253,06;1236,83
L000020;P002;U01;2024-03-02;425,19;408,34;2,61;2,71;571,6759999999999;238,14;966,04
L000021;P006;U02;2024-05-10;1142,16;989,2;8,29;7,48;7,48;317,45;1957,3
L000022;P006;U02;2024-02-07;404,01;372,53;3,25;3,61;13,3;178,8;574,91
L000023;P001;U03;2025-12-20;2066,12;1915,47;10,42;9,89;74,84;574,52;1582,62
L000024;P008;U03;2024-07-08;423,39;372,39;2,5;2,7;1,2;176,86;671,02
