pedido_id;data_pedido;cliente_id;produto_id;unidade_id;quantidade;desconto_pct;status;receita_bruta;receita_liquida;custo_total;data_prometida;data_entrega
PV000001;01/12/2024;C0214;P006;U01;39,41;0,0606;Faturado;2167,55;2036,2;1062,26;2024-12-05;2024-12-06
PV000002;25/09/2025;C0134;P006;U02;28,81;0,0847;Entregue;1584,55;1450,34;804,92;2025-10-06;2025-10-12
PV000003;18/05/2024;C0415;P008;U01;67,58;0,0496;Entregue;1189,41;1130,42;603,21;2024-05-21;2024-05-23
PV000004;23/09/2025;C0459;P003;U02;41,4;0,0746;Entregue;1738,8;1609,09;801,16;2025-10-06;2025-10-07
PV000005;19/05/2026;C0058;P001;U01;41,35;0,1781;Entregue;764,98;628,74;303,58;2026-05-29;2026-05-27
PV000006;25/02/2025;C0428;P005;U01;15,29;0,1726;Faturado;484,69;401,03;201,39;2025-02-28;2025-02-27
PV000007;25/06/2024;C0477;P005;U03;66,75;0,0496;Entregue;2115,98;2011,03;945,8;2024-07-07;2024-07-09
PV000008;25/08/2025;C0280;P001;U02;118,93;0,1786;Entregue;2200,2;1807,24;879,9;2025-08-29;2025-09-01
PV000009;15/05/2024;C0359;P006;U01;13,76;0,0097;Entregue;756,8;749,46;390,61;2024-05-28;2024-05-28
PV000010;03/02/2025;C0261;P007;U02;24,34;0,151;Entregue;238,53;202,51;97,93;2025-02-12;2025-02-13
PV000011;03/05/2026;C0285;P007;U02;14,31;0,1113;Entregue;140,24;124,63;64,99;2026-05-11;2026-05-14
PV000012;05/05/2025;C0175;P005;U01;48,52;0,0349;Entregue;1538,08;1484,4;717,46;2025-05-15;2025-05-14
PV000013;19/10/2025;C0192;P003;U02;25,95;0,0134;Faturado;1089,9;1075,3;486,59;2025-10-30;2025-11-05
PV000014;19/03/2025;C0037;P008;U01;106,56;0,1303;Entregue;1875,46;1631,09;939,77;2025-03-31;2025-03-29
PV000015;09/02/2024;C0088;P008;U01;69,56;0,1754;Cancelado;1224,26;1009,52;583,95;2024-02-16;2024-02-16
PV000016;01/10/2024;C0170;P005;U02;49,76;0,1149;Entregue;1577,39;1396,15;694,38;2024-10-10;2024-10-13
PV000017;22/05/2026;C0237;P003;U01;26,79;0,1241;Faturado;1125,18;985,55;573,91;2026-05-28;2026-05-27
