cliente_id,segmento,uf,porte
C0001,Metalurgico,SC,Grande
C0002,Metalurgico,SP,Medio
C0003,Automotivo,PR,Medio
C0004,Manutencao,PR,Medio
C0005,Manutencao,PR,Pequeno
C0006,Manutencao,SC,Grande
C0007,Manutencao,SC,Grande
C0008,Manutencao,MG,Grande
C0009,Metalurgico,PR,Pequeno
C0010,Automotivo,MG,Medio
C0011,Construcao,SP,Pequeno
C0012,Distribuidor,MG,Pequeno
C0013,Construcao,SC,Pequeno
C0014,Automotivo,MG,Pequeno
C0015,Distribuidor,SP,Pequeno
C0016,Manutencao,SC,Grande
C0017,Metalurgico,SP,Pequeno
C0018,Construcao,SC,Pequeno
C0019,Distribuidor,SP,Pequeno
C0020,Construcao,SC,Pequeno
C0021,Construcao,SP,Medio
C0022,Metalurgico,SC,Medio
C0023,Automotivo,SP,Pequeno
C0024,Construcao,RJ,Pequeno
C0025,Metalurgico,PR,Pequeno
C0026,Construcao,GO,Pequeno
C0027,Construcao,RJ,Pequeno
C0028,Construcao,SC,Medio
C0029,Metalurgico,RJ,Pequeno
C0030,Automotivo,SC,Pequeno
C0031,Metalurgico,RJ,Grande
C0032,Construcao,GO,Pequeno
C0033,Construcao,SC,Pequeno
C0034,Automotivo,SC,Pequeno
C0035,Distribuidor,PR,Medio
C0036,Manutencao,GO,Pequeno
C0037,Automotivo,SP,Grande
C0038,Automotivo,MG,Pequeno
C0039,Manutencao,SP,Pequeno
C0040,Automotivo,SP,Medio
C0041,Manutencao,GO,Pequeno
C0042,Metalurgico,MG,Grande
C0043,Distribuidor,SC,Pequeno
C0044,Metalurgico,SP,Pequeno
C0045,Construcao,SP,Medio
C0046,Distribuidor,RJ,Medio
C0047,Metalurgico,RJ,Pequeno
C0048,Construcao,SC,Grande
C0049,Automotivo,MG,Grande
C0050,Automotivo,SP,Pequeno
C0051,Metalurgico,MG,Pequeno
C0052,Distribuidor,SC,Medio
C0053,Distribuidor,SP,Medio
C0054,Metalurgico,MG,Medio
C0055,Distribuidor,SP,Medio
C0056,Metalurgico,MG,Medio
C0057,Construcao,RJ,Pequeno
C0058,Construcao,RJ,Pequeno
C0059,Distribuidor,SP,Medio
