fornecedor_id,fornecedor,lead_time_dias,score_qualidade
F001,Fornecedor Quimico 01,14,0.808
F002,Fornecedor Quimico 02,7,0.873
F003,Fornecedor Quimico 03,22,0.956
F004,Fornecedor Quimico 04,11,0.845
F005,Fornecedor Quimico 05,28,0.813
F006,Fornecedor Quimico 06,18,0.829
F007,Fornecedor Quimico 07,10,0.859
F008,Fornecedor Quimico 08,8,0.881
F009,Fornecedor Quimico 09,17,0.841
F010,Fornecedor Quimico 10,25,0.958
F011,Fornecedor Quimico 11,16,0.76
F012,Fornecedor Quimico 12,8,0.838
F013,Fornecedor Quimico 13,22,0.762
F014,Fornecedor Quimico 14,18,0.783
F015,Fornecedor Quimico 15,23,0.794
F016,Fornecedor Quimico 16,11,0.92
F017,Fornecedor Quimico 17,11,0.876
F018,Fornecedor Quimico 18,29,0.827
F019,Fornecedor Quimico 19,28,0.843
F020,Fornecedor Quimico 20,25,0.957
F021,Fornecedor Quimico 21,21,0.818
F022,Fornecedor Quimico 22,5,0.906
F023,Fornecedor Quimico 23,28,0.792
F024,Fornecedor Quimico 24,22,0.785
F025,Fornecedor Quimico 25,5,0.99
F026,Fornecedor Quimico 26,11,0.95
F027,Fornecedor Quimico 27,5,0.816
F028,Fornecedor Quimico 28,24,0.897
F029,Fornecedor Quimico 29,26,0.917
F030,Fornecedor Quimico 30,21,0.844
