pedido_compra_id,data_pedido,fornecedor_id,unidade_id,material,quantidade_kg,custo_unitario,data_prevista,data_recebimento,status_qualidade,entrega_no_prazo,valor_compra
PC000001,2026-07-25,F005,U03,Embalagem,216.25,30.48,2026-08-08,2026-08-10,Bloqueado,False,6591.3
PC000002,2024-08-04,F006,U01,Solvente,159.86,18.48,2024-08-28,2024-08-27,Aprovado,True,2954.2128000000002
PC000003,2025-08-08,F014,U02,Isocianato,177.22,10.87,2025-08-14,2025-08-14,Aprovado,True,1926.3813999999998
PC000004,2025-05-10,F030,U01,Aditivo,201.59,16.72,2025-05-15,2025-05-16,Aprovado,False,3370.5847999999996
PC000005,2025-10-27,F028,U02,Silicone Base,273.25,3.79,2025-11-03,2025-11-01,Aprovado,True,1035.6175
PC000006,2024-01-01,F006,U03,Carga Mineral,641.23,24.56,2024-01-06,2024-01-05,Aprovado,True,15748.6088
PC000007,2025-04-24,F004,U02,Silicone Base,262.7,9.33,2025-05-07,2025-05-09,Aprovado,False,2450.991
PC000008,2024-12-16,F014,U03,Aditivo,358.17,41.96,2024-12-27,2024-12-27,Aprovado,True,15028.8132
PC000009,2026-03-05,F021,U01,Aditivo,130.4,11.37,2026-03-17,2026-03-15,Aprovado,True,1482.648
PC000010,2026-04-05,F013,U01,Carga Mineral,63.65,31.77,2026-04-17,2026-04-16,Aprovado,True,2022.1605
PC000011,2026-04-15,F023,U03,Poliol,63.51,38.63,2026-05-02,2026-05-01,Aprovado,True,2453.3913000000002
PC000012,2024-09-24,F029,U03,Poliol,112.01,24.78,2024-10-09,2024-10-09,Aprovado,True,2775.6078
PC000013,2026-02-05,F002,U03,Isocianato,208.96,24.59,2026-02-27,2026-02-28,Aprovado,False,5138.3264
PC000014,2025-09-12,F016,U02,Pigmento,107.11,19.91,2025-10-02,2025-10-02,Aprovado,True,2132.5601
PC000015,2026-01-03,F018,U03,Carga Mineral,181.79,43.87,2026-01-12,2026-01-10,Aprovado,True,7975.127299999999
PC000016,2024-04-26,F015,U02,Aditivo,218.4,15.53,2024-05-16,2024-05-14,Aprovado,True,3391.752
PC000017,2025-12-16,F002,U03,Pigmento,228.75,29.91,2025-12-27,2025-12-26,Aprovado,True,6841.9125
PC000018,2025-08-24,F019,U03,Solvente,289.08,10.48,2025-09-14,2025-09-19,Aprovado,False,3029.5584
