lote_id,produto_id,unidade_id,data_inicio,quantidade_planejada,quantidade_produzida,horas_planejadas,horas_reais,refugo_kg,consumo_energia_kwh,consumo_agua_l,rendimento_pct,refugo_pct,produtividade_kg_h
L000001,P007,U03,2025-10-06,1269.84,1096.59,8.03,9.01,15.37,296.01,2759.69,0.8635654885654885,0.014016177422737761,121.70810210876803
L000002,P001,U03,2026-06-09,443.86,402.23,2.87,2.81,12.74,149.7,983.34,0.9062091650520434,0.031673420679710615,143.1423487544484
L000003,P005,U03,2024-03-11,1091.15,1063.1,6.0,6.87,16.61,398.53,2098.09,0.9742931769234292,0.015624118145047503,154.745269286754
L000004,P007,U01,2025-06-03,1990.04,2020.29,13.11,11.99,38.12,740.34,5161.27,1.0152006994834275,0.018868578273416193,168.4979149291076
L000005,P004,U03,2025-07-25,314.79,295.71,1.59,1.97,6.28,69.24,575.18,0.9393881635375964,0.021237022758783947,150.10659898477155
L000006,P001,U03,2026-03-23,550.42,515.37,2.64,2.47,15.35,119.72,1387.41,0.9363213546019404,0.029784426722548846,208.65182186234816
L000007,P004,U02,2025-01-17,1092.35,1087.78,6.55,6.99,29.98,368.63,2202.34,0.995816359225523,0.027560719998529114,155.61945636623747
L000008,P008,U02,2026-04-04,1371.44,1228.94,8.88,8.25,22.37,559.3,2661.3,0.896094615878201,0.01820267873126434,148.96242424242425
L000009,P003,U03,2026-01-09,339.67,297.66,1.77,1.64,12.11,119.04,377.78,0.8763211352194777,0.04068400188134112,181.50000000000003
L000010,P004,U02,2025-02-07,1039.51,1016.61,7.65,9.59,35.56,601.62,2627.85,0.9779703898952391,0.034978998829442956,106.00729927007299
L000011,P007,U03,2026-03-15,1384.85,1209.2,10.9,11.17,33.43,587.94,1720.06,0.8731631584648157,0.027646377770426726,108.25425246195167
L000012,P006,U01,2026-05-03,2069.82,1791.99,16.42,18.54,32.87,593.72,4811.39,0.8657709366031828,0.01834273628759089,96.65533980582525
L000013,P004,U02,2025-06-03,869.31,757.18,4.7,4.8,3.41,239.63,1960.67,0.8710126422104888,0.0045035526559074465,157.74583333333334
L000014,P002,U01,2026-07-02,1853.88,1848.51,9.72,9.08,47.19,1028.24,2463.22,0.9971033723865622,0.02552866903614262,203.58039647577093
L000015,P008,U02,2025-10-03,868.51,766.78,6.35,7.62,15.55,443.02,1227.35,0.8828683607557771,0.020279610840136676,100.62729658792651
L000016,P007,U03,2026-02-22,1820.13,1587.77,11.27,12.31,61.21,667.62,1917.22,0.8723387889875998,0.03855092362243902,128.9821283509342
L000017,P008,U02,2025-05-17,1327.18,1317.31,6.96,9.04,32.37,755.1,3398.11,0.9925631790714144,0.024572803668081164,145.72013274336285
L000018,P008,U01,2025-04-13,964.4,943.53,5.35,6.69,25.67,454.55,821.84,0.9783596018249688,0.027206342140684455,141.03587443946188
L000019,P001,U01,2025-01-23,526.94,480.97,2.55,2.41,18.17,253.06,1236.83,0.9127604660872205,0.03777782398070566,199.57261410788382
L000020,P002,U01,2024-03-02,425.19,408.34,2.61,2.71,13.33,238.14,966.04,0.9603706578235611,0.03264436498995935,150.6789667896679
L000021,P006,U02,2024-05-10,1142.16,989.2,8.29,7.48,7.48,317.45,1957.3,0.8660783077677383,0.007561665992721391,132.24598930481284
L000022,P006,U02,2024-02-07,404.01,372.53,3.25,3.61,13.3,178.8,574.91,0.9220811366055295,0.035701822671999575,103.19390581717451
L000023,P001,U03,2025-12-20,2066.12,1915.47,10.42,9.89,74.84,574.52,1582.62,0.9270855516620526,0.03907135063457011,193.67745197168855
L000024,P008,U03,2024-07-08,423.39,372.39,2.5,2.7,1.2,176.86,671.02,0.87954368312903,0.0032224280995730285,137.92222222222222
L000025,P005,U03,2025-03-24,2099.02,1932.17,15.07,19.69,9.37,792.72,3135.78,0.9205105239587998,0.004849469767152993,98.12950736414423
L000026,P007,U03,2026-03-14,1982.5,1904.53,14.37,16.07,78.66,1161.36,4525.06,0.9606708701134931,0.041301528461090135,118.51462352209084
L000027,P008,U02,2025-04-08,1304.24,1156.68,7.79,9.99,4.19,571.05,2372.11,0.8868613138686132,0.003622436628972577,115.78378378378379
L000028,P007,U01,2025-04-02,2166.86,2210.39,15.4,16.32,58.55,1284.96,2467.43,1.0200889766759274,0.02648853822176177,135.4405637254902
L000029,P008,U02,2024-10-17,524.0,457.01,3.75,3.81,4.35,108.82,1194.66,0.8721564885496184,0.009518391282466466,119.9501312335958
L000030,P002,U03,2024-05-14,1366.63,1396.7,7.15,7.71,42.5,343.0,3474.43,1.0220030293495679,0.030428868046108684,181.1543450064851
L000031,P005,U03,2024-12-09,1687.31,1626.16,12.34,11.59,46.84,833.79,2653.42,0.9637588824815831,0.028804053721651006,140.30716134598794
L000032,P005,U03,2025-12-15,2188.12,1925.41,14.14,15.44,74.18,1060.4,2771.61,0.8799380289929255,0.03852685921440109,124.70272020725389
L000033,P001,U02,2024-03-15,229.97,233.05,1.65,1.94,4.56,124.55,579.97,1.0133930512675566,0.019566616605878565,120.12886597938146
L000034,P005,U03,2026-03-22,300.63,258.85,1.52,1.83,7.37,67.86,216.7,0.8610251804543793,0.02847208808190071,141.448087431694
L000035,P006,U03,2025-08-01,2098.27,1827.46,15.82,15.56,60.25,988.17,1342.21,0.8709365334299208,0.0329692578770534,117.44601542416453
L000036,P001,U03,2026-01-14,1091.83,1064.61,6.22,6.82,27.61,467.37,2215.85,0.9750693789326177,0.02593437972590902,156.10117302052782
L000037,P004,U03,2026-01-11,360.27,370.24,2.31,2.19,8.91,142.98,395.15,1.0276736891775613,0.024065471045808123,169.05936073059362
L000038,P002,U03,2025-09-08,1234.87,1156.22,9.2,8.94,27.9,616.41,3073.93,0.9363090851668597,0.02413035581463735,129.33109619686803
L000039,P006,U03,2026-02-22,1169.62,1170.14,5.63,7.57,38.51,450.06,2625.2,1.0004445888408202,0.03291059189498692,154.5759577278732
L000040,P008,U01,2026-02-23,471.07,470.99,2.34,2.66,19.25,219.24,1146.34,0.9998301738595113,0.040871356079746915,177.0639097744361
L000041,P008,U03,2025-01-27,1030.47,1040.21,7.02,9.15,36.48,352.67,1813.71,1.0094519976321485,0.03506984166658655,113.68415300546448
L000042,P007,U03,2025-10-07,1090.56,1004.04,8.24,8.23,40.85,548.85,2016.79,0.9206646126760564,0.0406856300545795,121.99756986634264
L000043,P004,U03,2024-07-03,1403.11,1342.83,10.7,13.18,33.52,700.22,3451.67,0.9570382935051421,0.024962206682901042,101.88391502276176
L000044,P001,U03,2024-12-04,411.31,373.37,2.96,3.18,11.62,206.17,802.97,0.9077581386302302,0.031121943380560835,117.41194968553458
L000045,P006,U03,2025-07-27,1501.71,1312.11,7.92,8.14,29.66,370.11,2362.79,0.8737439319176138,0.022604812096546786,161.19287469287468
L000046,P008,U02,2024-04-28,687.73,705.76,3.66,4.52,28.47,313.75,1344.74,1.0262166838730316,0.0403394921786443,156.141592920354
L000047,P007,U03,2024-12-03,235.9,221.19,1.8,2.37,5.41,102.03,417.56,0.937643069097075,0.024458610244586104,93.32911392405063
L000048,P001,U01,2026-02-15,2072.27,1997.6,10.19,10.31,51.15,797.28,2065.99,0.9639670506256424,0.025605726872246697,193.7536372453928
L000049,P008,U02,2024-11-13,1087.35,1022.97,5.59,6.95,37.52,420.77,2146.6,0.9407918333563251,0.03667751742475341,147.18992805755397
L000050,P003,U01,2026-02-24,1769.67,1601.73,9.21,11.39,46.49,885.19,2331.78,0.9051009510247673,0.029024866862704703,140.62598770851625
L000051,P002,U01,2025-10-07,1384.77,1373.33,8.06,9.72,29.96,328.79,3493.26,0.9917387002895788,0.021815586931036243,141.28909465020575
L000052,P002,U03,2024-10-25,855.72,766.75,6.43,8.27,3.6,317.67,674.35,0.8960290749310522,0.0046951418324095206,92.71463119709794
L000053,P008,U01,2026-07-06,492.98,453.4,3.14,4.11,12.69,253.21,663.12,0.9197127672522211,0.027988531098367887,110.316301703163
L000054,P006,U01,2026-06-14,1072.42,1074.61,6.22,8.12,38.74,565.88,1479.61,1.0020421103672068,0.03605028801146463,132.34113300492612
L000055,P007,U03,2026-01-13,663.76,627.73,3.51,3.22,14.47,368.74,1372.74,0.9457183319272027,0.02305131186975292,194.9472049689441
L000056,P007,U03,2024-03-02,1563.94,1534.39,9.23,9.22,34.17,859.98,3428.14,0.9811054132511478,0.022269436062539512,166.41973969631238
L000057,P008,U03,2026-03-27,1057.45,914.5,5.1,5.02,9.45,392.54,2424.95,0.8648163033713178,0.010333515582285402,182.17131474103587
L000058,P005,U03,2024-07-24,1029.71,976.22,7.63,9.8,11.46,531.33,2708.1,0.948053335405114,0.011739157157198173,99.61428571428571
L000059,P004,U01,2026-07-06,1282.47,1104.67,6.68,7.41,43.6,252.54,1585.46,0.861361279406146,0.039468800637294396,149.0782726045884
L000060,P005,U02,2024-05-19,229.31,203.16,1.78,2.18,7.13,74.81,223.04,0.8859622345296759,0.03509549123843276,93.19266055045871
L000061,P007,U02,2025-06-04,1935.93,1780.49,12.58,15.41,27.07,417.66,3978.48,0.9197078406760575,0.015203679885874113,115.54120700843607
L000062,P005,U03,2024-04-27,837.74,770.93,5.94,6.87,5.82,339.12,653.08,0.9202497194833719,0.007549323544290663,112.21688500727801
L000063,P002,U02,2026-06-04,1866.79,1898.21,15.51,17.19,76.77,601.1,1671.41,1.016831030806893,0.04044336506498227,110.42524723676556
L000064,P001,U02,2024-06-16,1557.7,1348.98,11.99,13.85,14.71,487.64,2137.24,0.8660075752712332,0.010904535278506725,97.39927797833936
L000065,P006,U02,2024-03-01,673.66,636.22,3.66,4.57,27.16,159.82,631.38,0.9444230027016597,0.04268963566062054,139.21663019693653
L000066,P008,U02,2024-08-14,1764.5,1707.01,8.63,10.3,5.05,659.13,3100.96,0.9674185321620856,0.0029583892302915624,165.72912621359222
L000067,P008,U01,2025-01-08,399.81,391.93,2.59,2.53,9.72,235.77,392.86,0.9802906380530753,0.02480034700073993,154.91304347826087
L000068,P004,U02,2026-03-31,1444.6,1313.02,8.74,10.62,20.58,719.18,945.43,0.9089159628963035,0.015673790193599487,123.63653483992468
L000069,P001,U03,2025-05-16,1299.5,1310.55,7.84,10.05,21.76,643.66,3305.33,1.0085032704886494,0.016603715997100456,130.40298507462686
L000070,P004,U02,2024-06-23,1438.5,1270.22,9.57,12.67,46.05,457.37,3521.75,0.8830170316301703,0.03625356237502165,100.25414364640885
L000071,P008,U03,2024-01-07,835.12,761.29,5.03,5.71,9.08,352.31,1344.43,0.9115935434428585,0.011927123697933771,133.32574430823118
L000072,P004,U02,2025-05-04,1431.22,1240.97,6.86,8.39,9.17,655.95,1147.4,0.8670714495325667,0.0073893808875315275,147.91060786650775
