inspecao_id,lote_id,ph,viscosidade_cp,resultado,tempo_liberacao_h
IQ000001,L000001,7.85,4615.0,Aprovado,5.9
IQ000002,L000002,8.5,6294.0,Aprovado,5.7
IQ000003,L000003,8.18,4518.0,Aprovado,3.5
IQ000004,L000004,7.72,5291.0,Aprovado,20.0
IQ000005,L000005,6.76,3981.0,Reprovado,8.6
IQ000006,L000006,6.27,4598.0,Reprovado,10.3
IQ000007,L000007,6.13,5777.0,Aprovado,20.3
IQ000008,L000008,5.87,6383.0,Aprovado,12.2
IQ000009,L000009,7.1,3962.0,Aprovado,4.3
IQ000010,L000010,8.62,5360.0,Aprovado,3.7
IQ000011,L000011,7.11,4998.0,Aprovado,11.5
IQ000012,L000012,5.81,4489.0,Aprovado,5.3
IQ000013,L000013,7.25,5592.0,Aprovado,23.4
IQ000014,L000014,7.84,4447.0,Aprovado,11.3
IQ000015,L000015,8.38,6229.0,Reprovado,12.5
IQ000016,L000016,7.86,5515.0,Aprovado,10.5
IQ000017,L000017,6.22,5416.0,Aprovado,4.8
IQ000018,L000018,7.27,5774.0,Aprovado,4.4
IQ000019,L000019,6.79,5279.0,Aprovado,10.8
IQ000020,L000020,6.35,5099.0,Aprovado,10.8
IQ000021,L000021,6.64,4564.0,Aprovado,1.9
IQ000022,L000022,6.42,5626.0,Aprovado,14.0
IQ000023,L000023,6.85,5230.0,Aprovado,5.2
IQ000024,L000024,7.86,5407.0,Aprovado,9.4
IQ000025,L000025,7.05,4737.0,Aprovado,9.4
IQ000026,L000026,7.6,4449.0,Aprovado,3.6
IQ000027,L000027,8.03,4887.0,Aprovado,13.0
IQ000028,L000028,7.11,5736.0,Aprovado,17.8
IQ000029,L000029,6.42,5596.0,Aprovado,16.9
IQ000030,L000030,5.45,6089.0,Aprovado,4.4
IQ000031,L000031,7.64,5183.0,Aprovado,16.6
IQ000032,L000032,6.1,4573.0,Aprovado com desvio,6.4
IQ000033,L000033,6.92,4345.0,Aprovado,2.3
IQ000034,L000034,7.18,4720.0,Aprovado,4.5
IQ000036,L000036,6.25,4838.0,Aprovado,1.4
IQ000037,L000037,6.95,4870.0,Aprovado,25.8
IQ000038,L000038,8.12,6679.0,Aprovado,9.0
IQ000039,L000039,7.42,4175.0,Aprovado,22.6
IQ000040,L000040,7.99,5774.0,Aprovado,22.4
IQ000041,L000041,8.27,4479.0,Aprovado,15.2
IQ000042,L000042,7.24,5371.0,Aprovado,2.3
IQ000043,L000043,7.1,5651.0,Aprovado,14.8
IQ000044,L000044,7.27,5320.0,Aprovado,5.0
IQ000045,L000045,5.47,5169.0,Aprovado,6.7
IQ000046,L000046,7.09,4251.0,Aprovado,22.4
IQ000047,L000047,6.52,5497.0,Aprovado,9.6
IQ000048,L000048,6.71,5789.0,Aprovado,4.3
IQ000049,L000049,5.69,4758.0,Aprovado,7.9
IQ000050,L000050,7.43,4951.0,Aprovado,12.7
IQ000051,L000051,8.08,5188.0,Aprovado,22.7
IQ000052,L000052,5.92,5632.0,Aprovado,13.3
IQ000053,L000053,7.27,4804.0,Aprovado,10.6
IQ000054,L000054,6.45,4317.0,Aprovado,12.7
IQ000055,L000055,8.02,5301.0,Aprovado,11.9
IQ000056,L000056,7.49,5845.0,Aprovado,14.8
IQ000057,L000057,8.16,5874.0,Aprovado,6.4
IQ000058,L000058,6.89,5452.0,Aprovado,5.3
IQ000059,L000059,7.33,5407.0,Aprovado,8.5
IQ000060,L000060,7.55,5585.0,Aprovado,11.5
IQ000062,L000062,6.94,5328.0,Aprovado,10.6
IQ000063,L000063,7.05,4522.0,Reprovado,7.9
IQ000064,L000064,6.96,4852.0,Aprovado,4.2
IQ000065,L000065,6.78,5300.0,Aprovado,12.2
IQ000066,L000066,7.01,5666.0,Aprovado,3.3
IQ000067,L000067,6.93,4701.0,Aprovado,5.3
IQ000068,L000068,7.36,5116.0,Aprovado,19.6
IQ000069,L000069,6.41,5485.0,Aprovado,0.5
IQ000070,L000070,8.04,5508.0,Aprovado,13.8
IQ000071,L000071,8.06,4542.0,Aprovado com desvio,8.6
IQ000072,L000072,6.55,6061.0,Aprovado,4.7
IQ000073,L000073,6.47,6133.0,Aprovado,4.2
IQ000074,L000074,5.83,5313.0,Aprovado,19.0
IQ000075,L000075,8.62,5141.0,Aprovado,9.9
IQ000076,L000076,6.59,5594.0,Aprovado,3.1
IQ000077,L000077,7.2,4588.0,Aprovado,10.1
IQ000078,L000078,8.72,5672.0,Aprovado,10.7
IQ000079,L000079,7.24,5018.0,Aprovado com desvio,12.3
IQ000080,L000080,5.67,5000.0,Aprovado,24.3
IQ000081,L000081,8.03,5555.0,Aprovado,16.2
IQ000082,L000082,7.88,6153.0,Aprovado,8.8
IQ000083,L000083,7.55,3870.0,Aprovado,15.7
IQ000084,L000084,7.85,5003.0,Aprovado,11.9
IQ000085,L000085,6.34,5827.0,Aprovado com desvio,1.1
IQ000086,L000086,7.31,4708.0,Aprovado,3.9
IQ000087,L000087,6.87,4834.0,Aprovado com desvio,11.9
IQ000088,L000088,6.3,5767.0,Aprovado,19.4
IQ000089,L000089,7.11,5005.0,Aprovado,8.8
IQ000090,L000090,6.77,4919.0,Aprovado,15.5
IQ000091,L000091,7.83,5359.0,Aprovado,9.9
IQ000092,L000092,7.35,4500.0,Reprovado,8.2
IQ000093,L000093,7.69,4442.0,Aprovado,14.4
IQ000094,L000094,7.72,4812.0,Aprovado com desvio,12.7
IQ000095,L000095,6.35,4550.0,Aprovado,7.8
IQ000096,L000096,7.4,4995.0,Aprovado,2.4
IQ000097,L000097,7.85,4705.0,Aprovado,24.0
IQ000098,L000098,6.52,4484.0,Aprovado,16.7
IQ000099,L000099,6.62,4161.0,Aprovado,9.8
IQ000100,L000100,5.84,5729.0,Aprovado,10.3
IQ000101,L000101,7.23,5478.0,Aprovado,2.9
IQ000102,L000102,7.5,4912.0,Reprovado,9.8
IQ000103,L000103,7.16,5381.0,Aprovado,17.5
IQ000104,L000104,8.51,4594.0,Aprovado,11.6
IQ000105,L000105,6.23,5606.0,Aprovado,8.3
IQ000106,L000106,7.08,4944.0,Aprovado,6.8
IQ000107,L000107,7.51,5780.0,Aprovado,11.7
IQ000108,L000108,6.97,6768.0,Aprovado,4.2
IQ000109,L000109,6.58,5577.0,Aprovado,20.6
IQ000110,L000110,6.99,4361.0,Aprovado,3.2
IQ000111,L000111,6.37,4628.0,Aprovado,4.9
IQ000112,L000112,6.65,4907.0,Aprovado,33.0
IQ000113,L000113,7.56,6122.0,Aprovado,7.6
IQ000114,L000114,7.03,3933.0,Aprovado com desvio,7.9
IQ000115,L000115,7.3,4602.0,Aprovado,4.9
IQ000117,L000117,5.47,4721.0,Aprovado,6.6
IQ000118,L000118,7.67,5850.0,Aprovado,5.0
IQ000119,L000119,8.67,4502.0,Aprovado,17.6
IQ000120,L000120,8.63,5040.0,Aprovado,20.1
IQ000121,L000121,6.91,4741.0,Aprovado,6.7
IQ000122,L000122,6.04,4606.0,Aprovado,13.8
IQ000123,L000123,7.15,5331.0,Aprovado,13.2
IQ000124,L000124,6.94,4906.0,Aprovado,14.0
IQ000125,L000125,6.83,5165.0,Aprovado,18.6
IQ000126,L000126,8.16,5160.0,Aprovado,12.0
IQ000127,L000127,6.58,4040.0,Aprovado,9.7
IQ000128,L000128,7.39,4991.0,Aprovado,16.6
IQ000129,L000129,6.17,5104.0,Aprovado,1.0
IQ000130,L000130,7.44,6880.0,Aprovado com desvio,16.7
IQ000131,L000131,6.17,6158.0,Aprovado,44.0
IQ000132,L000132,5.66,4284.0,Aprovado,6.4
IQ000133,L000133,7.04,4599.0,Aprovado com desvio,6.2
IQ000134,L000134,6.68,4904.0,Aprovado,11.2
IQ000135,L000135,5.4,5921.0,Aprovado,10.6
IQ000136,L000136,6.92,4410.0,Aprovado,13.4
IQ000137,L000137,7.7,5854.0,Reprovado,3.1
IQ000138,L000138,6.75,5486.0,Aprovado,17.0
IQ000139,L000139,6.92,4395.0,Aprovado,7.0
IQ000140,L000140,8.32,4994.0,Aprovado,9.0
IQ000141,L000141,6.52,5418.0,Aprovado,2.8
IQ000142,L000142,5.95,4954.0,Aprovado,2.4
IQ000143,L000143,6.06,4998.0,Aprovado,4.0
IQ000144,L000144,7.41,4395.0,Aprovado,8.7
IQ000146,L000146,7.07,3999.0,Aprovado,12.2
IQ000147,L000147,8.07,6548.0,Aprovado,1.7
IQ000149,L000149,7.44,5937.0,Aprovado,9.9
IQ000150,L000150,7.69,5511.0,Aprovado,10.1
IQ000151,L000151,6.55,5371.0,Aprovado,17.7
IQ000152,L000152,6.09,4924.0,Aprovado,7.2
IQ000153,L000153,7.45,4727.0,Aprovado,11.8
IQ000154,L000154,5.93,4488.0,Aprovado,5.2
IQ000155,L000155,5.79,4565.0,Reprovado,7.7
IQ000156,L000156,6.97,5061.0,Aprovado,6.8
IQ000157,L000157,8.46,4654.0,Aprovado,14.4
IQ000158,L000158,5.2,4880.0,Aprovado,12.6
IQ000159,L000159,8.25,5857.0,Aprovado,4.9
IQ000160,L000160,9.75,4771.0,Aprovado,8.6
IQ000161,L000161,5.81,4455.0,Reprovado,6.2
IQ000162,L000162,7.62,5331.0,Aprovado,15.9
IQ000163,L000163,6.16,5999.0,Aprovado,2.2
IQ000164,L000164,7.47,5198.0,Aprovado com desvio,18.1
