pedido_id,data_pedido,cliente_id,produto_id,unidade_id,quantidade,desconto_pct,status,receita_bruta,receita_liquida,custo_total,data_prometida,data_entrega,margem,margem_pct
PV000001,2024-12-01,C0214,P006,U01,39.41,0.0606,Faturado,2167.55,2036.2,1062.26,2024-12-05,2024-12-06,973.94,0.47831254297220316
PV000002,2025-09-25,C0134,P006,U02,28.81,0.0847,Entregue,1584.55,1450.34,804.92,2025-10-06,2025-10-12,645.42,0.445012893528414
PV000003,2024-05-18,C0415,P008,U01,67.58,0.0496,Entregue,1189.41,1130.42,603.21,2024-05-21,2024-05-23,527.21,0.46638417579306807
PV000004,2025-09-23,C0459,P003,U02,41.4,0.0746,Entregue,1738.8,1609.09,801.16,2025-10-06,2025-10-07,807.93,0.5021036735049003
PV000005,2026-05-19,C0058,P001,U01,41.35,0.1781,Entregue,764.98,628.74,303.58,2026-05-29,2026-05-27,325.16,0.5171613067404651
PV000006,2025-02-25,C0428,P005,U01,15.29,0.1726,Faturado,484.69,401.03,201.39,2025-02-28,2025-02-27,199.64,0.49781811834526096
PV000007,2024-06-25,C0477,P005,U03,66.75,0.0496,Entregue,2115.98,2011.03,945.8,2024-07-07,2024-07-09,1065.23,0.5296937390292537
PV000008,2025-08-25,C0280,P001,U02,118.93,0.1786,Entregue,2200.2,1807.24,879.9,2025-08-29,2025-09-01,927.34,0.5131249861667515
PV000009,2024-05-15,C0359,P006,U01,13.76,0.0097,Entregue,756.8,749.46,390.61,2024-05-28,2024-05-28,358.85,0.47881141088250206
PV000010,2025-02-03,C0261,P007,U02,24.34,0.151,Entregue,238.53,202.51,97.93,2025-02-12,2025-02-13,104.57999999999998,0.5164189422744555
PV000011,2026-05-03,C0285,P007,U02,14.31,0.1113,Entregue,140.24,124.63,64.99,2026-05-11,2026-05-14,59.64,0.47853646794511756
PV000012,2025-05-05,C0175,P005,U01,48.52,0.0349,Entregue,1538.08,1484.4,717.46,2025-05-15,2025-05-14,766.94,0.5166666666666667
PV000013,2025-10-19,C0192,P003,U02,25.95,0.0134,Faturado,1089.9,1075.3,486.59,2025-10-30,2025-11-05,588.71,0.5474844229517345
PV000014,2025-03-19,C0037,P008,U01,106.56,0.1303,Entregue,1875.46,1631.09,939.77,2025-03-31,2025-03-29,691.3199999999999,0.4238392731241072
PV000015,2024-02-09,C0088,P008,U01,69.56,0.1754,Cancelado,1224.26,1009.52,583.95,2024-02-16,2024-02-16,425.56999999999994,0.42155677945954506
PV000016,2024-10-01,C0170,P005,U02,49.76,0.1149,Entregue,1577.39,1396.15,694.38,2024-10-10,2024-10-13,701.7700000000001,0.5026465637646385
