competencia,receita_liquida,margem,pedidos,entrega_no_prazo,margem_pct
2024-01,515229.75,255088.73,350,0.58,0.4950970513639789
2024-02,439206.62,218310.96,340,0.5823529411764706,0.49705753524389046
2024-03,526146.35,262998.09,359,0.5626740947075209,0.49985729255747957
2024-04,507242.51,252085.06,388,0.5103092783505154,0.49697147819885995
2024-05,581876.46,291800.42,391,0.5601023017902813,0.5014817406430224
2024-06,443564.29,219082.51,352,0.5653409090909091,0.49391376839645956
2024-07,502478.49,248168.14,364,0.5796703296703297,0.4938880866323253
2024-08,536523.0,270608.74,394,0.5380710659898477,0.5043749103020746
2024-09,502897.24,249102.76,359,0.5153203342618384,0.4953353094560631
2024-10,493471.33,245873.29,391,0.5831202046035806,0.4982524314026511
2024-11,496145.18,244765.03,382,0.5602094240837696,0.49333348355817946
2024-12,533851.88,263688.39,380,0.55,0.4939354901213423
2025-01,490756.66,244100.75,388,0.5180412371134021,0.4973967138825992
2025-02,389795.19,193269.49,291,0.584192439862543,0.4958231783209023
2025-03,521578.73,257555.93,356,0.5758426966292135,0.4938006770329764
2025-04,519338.93,261627.9,370,0.5594594594594594,0.5037710152019607
2025-05,482893.85,239015.6,359,0.5766016713091922,0.4949650942955683
2025-06,494692.69,247256.14,362,0.494475138121547,0.4998176544715064
2025-07,609137.43,300317.42,392,0.548469387755102,0.49302079499530993
2025-08,555511.84,275933.68,404,0.556930693069307,0.4967197098805311
2025-09,479566.91,233099.45,345,0.5623188405797102,0.48606241410609424
2025-10,502216.71,244381.74,380,0.531578947368421,0.4866061505599843
2025-11,480784.87,237099.23,334,0.5568862275449101,0.49315035641616595
2025-12,501849.73,245589.54,380,0.5763157894736842,0.48936868014255985
2026-01,474384.47,235288.19,345,0.5768115942028985,0.4959862830248217
2026-02,428021.6,211538.5,355,0.5098591549295775,0.49422388963547637
2026-03,477795.27,239071.42,354,0.5480225988700564,0.5003637227300304
2026-04,531409.41,262024.72,368,0.5163043478260869,0.4930750473537907
2026-05,496538.64,245238.22,380,0.5421052631578948,0.493895540536382
2026-06,512320.08,254255.06,384,0.5260416666666666,0.4962816604806901
2026-07,528404.9,262412.81,377,0.5358090185676393,0.49661312754669756
