pedido_id,data_pedido,cliente_id,produto_id,unidade_id,quantidade,desconto_pct,status,receita_bruta,receita_liquida,custo_total,data_prometida,data_entrega
PV000027,2025-02-10,,P008,U02,74.93,0.0364,Entregue,1318.77,1270.77,672.25,2025-02-21,2025-02-23
PV000094,2025-07-18,C0062,P001,U02,-27.32,0.1563,Entregue,505.42,426.42,190.73,2025-07-26,2025-07-26
PV000192,2025-05-02,C0380,P007,U01,-10.21,0.0605,Entregue,100.06,94.01,44.41,2025-05-10,2025-05-10
PV000227,2025-01-19,,P004,U03,35.81,0.0842,Entregue,479.85,439.45,209.07,2025-02-02,2025-02-02
PV000279,2025-04-29,,P007,U01,56.47,0.1583,Faturado,553.41,465.81,214.22,2025-05-04,2025-05-07
PV000282,2026-01-15,,P004,U01,35.65,0.0418,Entregue,477.71,457.74,218.52,2026-01-18,2026-01-21
PV000339,2026-05-13,,P003,U01,31.34,0.122,Entregue,1316.28,1155.69,667.49,2026-05-17,2026-05-19
PV000459,2024-05-04,C0200,P003,U02,-16.38,0.1376,Entregue,687.96,593.3,314.69,2024-05-10,2024-05-11
PV000484,2024-01-06,,P002,U02,31.91,0.0733,Entregue,730.74,677.18,274.02,2024-01-11,2024-01-14
PV000492,2024-01-15,,P002,U01,32.23,0.0783,Entregue,738.07,680.28,329.87,2024-01-19,2024-01-17
PV000658,2024-03-16,,P004,U01,89.63,0.1161,Faturado,1201.04,1061.6,528.31,2024-03-30,2024-03-30
PV000698,2024-09-06,C0196,P006,U01,-67.76,0.0007,Entregue,3726.8,3724.19,1872.53,2024-09-12,2024-09-18
PV000890,2024-04-16,,P003,U01,48.38,0.1613,Entregue,2031.96,1704.2,1031.78,2024-04-28,2024-05-04
PV000907,2024-05-16,,P004,U01,61.51,0.0713,Entregue,824.23,765.46,328.44,2024-05-24,2024-05-24
PV000952,2024-05-26,C0456,P001,U03,-83.32,0.1054,Entregue,1541.42,1378.95,665.63,2024-06-04,2024-06-04
PV000964,2026-06-03,,P002,U01,305.68,0.0719,Entregue,7000.07,6496.76,2883.38,2026-06-09,2026-06-10
PV000999,2025-08-22,,P004,U01,90.1,0.0065,Entregue,1207.34,1199.49,488.47,2025-09-04,2025-09-02
PV001005,2026-06-24,C0496,P005,U02,-110.96,0.029,Entregue,3517.43,3415.42,1657.68,2026-06-27,2026-06-30
PV001179,2025-07-17,,P007,U02,39.44,0.0382,Entregue,386.51,371.75,166.03,2025-07-20,2025-07-20
PV001259,2026-05-13,,P002,U03,84.97,0.1,Entregue,1945.81,1751.23,746.87,2026-05-16,2026-05-14
PV001309,2026-01-25,,P005,U03,12.41,0.1328,Entregue,393.4,341.16,164.08,2026-01-30,2026-01-30
PV001536,2025-07-15,,P007,U01,57.58,0.1765,Entregue,564.28,464.68,268.5,2025-07-18,2025-07-18
PV001546,2025-11-13,C0439,P008,U03,-12.29,0.0514,Entregue,216.3,205.18,104.73,2025-11-23,2025-11-23
PV001578,2025-09-01,,P007,U02,19.85,0.1688,Entregue,194.53,161.69,92.19,2025-09-04,2025-09-07
PV001600,2026-06-30,,P001,U01,20.85,0.153,Entregue,385.72,326.7,172.28,2026-07-08,2026-07-07
PV001654,2024-07-21,C0250,P007,U02,-9.85,0.1156,Faturado,96.53,85.37,41.77,2024-07-25,2024-07-31
PV001725,2025-02-26,C0195,P005,U03,-22.53,0.1777,Entregue,714.2,587.29,332.14,2025-03-01,2025-03-04
PV001730,2025-01-14,C0167,P001,U03,-49.8,0.0958,Entregue,921.3,833.04,413.27,2025-01-25,2025-01-25
PV001870,2025-02-08,C0093,P001,U02,-45.75,0.0944,Entregue,846.38,766.48,312.04,2025-02-22,2025-02-28
PV001975,2026-02-10,C0391,P007,U01,-91.18,0.0804,Entregue,893.56,821.72,418.02,2026-02-16,2026-02-18
PV001998,2026-07-31,,P003,U01,28.64,0.1458,Entregue,1202.88,1027.5,561.71,2026-08-07,2026-08-10
PV002075,2024-12-29,,P005,U03,26.46,0.118,Entregue,838.78,739.8,410.23,2025-01-09,2025-01-08
PV002117,2025-07-03,C0139,P008,U02,-17.84,0.0026,Entregue,313.98,313.16,137.98,2025-07-16,2025-07-16
PV002160,2025-11-24,C0454,P006,U02,-6.98,0.062,Faturado,383.9,360.1,175.89,2025-12-02,2025-11-30
PV002296,2024-09-17,,P002,U01,90.11,0.0777,Entregue,2063.52,1903.18,932.55,2024-09-30,2024-09-29
PV002332,2025-05-21,C0325,P008,U02,-93.23,0.1708,Entregue,1640.85,1360.59,729.57,2025-05-27,2025-05-27
PV002372,2026-03-04,C0324,P006,U02,-48.31,0.1797,Entregue,2657.05,2179.58,1300.08,2026-03-17,2026-03-19
PV002408,2024-08-07,,P001,U01,35.31,0.0728,Entregue,653.24,605.68,289.67,2024-08-11,2024-08-11
PV002572,2026-03-01,,P007,U01,57.21,0.0532,Entregue,560.66,530.83,232.5,2026-03-11,2026-03-11
PV002738,2026-01-23,C0232,P003,U03,-120.93,0.1086,Entregue,5079.06,4527.47,2412.57,2026-01-31,2026-01-31
PV002903,2024-01-04,C0419,P001,U02,-36.12,0.0457,Entregue,668.22,637.68,267.2,2024-01-15,2024-01-18
PV002992,2025-10-22,C0463,P005,U01,-59.64,0.0793,Entregue,1890.59,1740.67,811.73,2025-10-25,2025-10-26
