tabela,campo,tipo,descricao
fato_vendas,pedido_id,object,Campo analitico do dominio
fato_vendas,data_pedido,datetime64[ns],Campo analitico do dominio
fato_vendas,cliente_id,object,Campo analitico do dominio
fato_vendas,produto_id,object,Campo analitico do dominio
fato_vendas,unidade_id,object,Campo analitico do dominio
fato_vendas,quantidade,float64,Campo analitico do dominio
fato_vendas,desconto_pct,float64,Campo analitico do dominio
fato_vendas,status,object,Campo analitico do dominio
fato_vendas,receita_bruta,float64,Campo analitico do dominio
fato_vendas,receita_liquida,float64,Campo analitico do dominio
fato_vendas,custo_total,float64,Campo analitico do dominio
fato_vendas,data_prometida,datetime64[ns],Campo analitico do dominio
fato_vendas,data_entrega,datetime64[ns],Campo analitico do dominio
fato_vendas,margem,float64,Campo analitico do dominio
fato_vendas,margem_pct,float64,Campo analitico do dominio
fato_vendas,entrega_no_prazo,bool,Campo analitico do dominio
fato_vendas,competencia,object,Campo analitico do dominio
fato_producao,lote_id,object,Campo analitico do dominio
fato_producao,produto_id,object,Campo analitico do dominio
fato_producao,unidade_id,object,Campo analitico do dominio
fato_producao,data_inicio,datetime64[ns],Campo analitico do dominio
fato_producao,quantidade_planejada,float64,Campo analitico do dominio
fato_producao,quantidade_produzida,float64,Campo analitico do dominio
fato_producao,horas_planejadas,float64,Campo analitico do dominio
fato_producao,horas_reais,float64,Campo analitico do dominio
fato_producao,refugo_kg,float64,Campo analitico do dominio
fato_producao,consumo_energia_kwh,float64,Campo analitico do dominio
fato_producao,consumo_agua_l,float64,Campo analitico do dominio
fato_producao,rendimento_pct,float64,Campo analitico do dominio
fato_producao,refugo_pct,float64,Campo analitico do dominio
fato_producao,produtividade_kg_h,float64,Campo analitico do dominio
fato_qualidade,inspecao_id,object,Campo analitico do dominio
fato_qualidade,lote_id,object,Campo analitico do dominio
fato_qualidade,ph,float64,Campo analitico do dominio
fato_qualidade,viscosidade_cp,float64,Campo analitico do dominio
fato_qualidade,resultado,object,Campo analitico do dominio
fato_qualidade,tempo_liberacao_h,float64,Campo analitico do dominio
fato_compras,pedido_compra_id,object,Campo analitico do dominio
fato_compras,data_pedido,datetime64[ns],Campo analitico do dominio
fato_compras,fornecedor_id,object,Campo analitico do dominio
fato_compras,unidade_id,object,Campo analitico do dominio
fato_compras,material,object,Campo analitico do dominio
fato_compras,quantidade_kg,float64,Campo analitico do dominio
fato_compras,custo_unitario,float64,Campo analitico do dominio
fato_compras,data_prevista,datetime64[ns],Campo analitico do dominio
fato_compras,data_recebimento,datetime64[ns],Campo analitico do dominio
fato_compras,status_qualidade,object,Campo analitico do dominio
fato_compras,entrega_no_prazo,bool,Campo analitico do dominio
fato_compras,valor_compra,float64,Campo analitico do dominio
dim_produtos,produto_id,object,Campo analitico do dominio
dim_produtos,produto,object,Campo analitico do dominio
dim_produtos,familia,object,Campo analitico do dominio
dim_produtos,unidade_medida,object,Campo analitico do dominio
dim_produtos,preco_lista,float64,Campo analitico do dominio
dim_produtos,custo_padrao,float64,Campo analitico do dominio
dim_clientes,cliente_id,object,Campo analitico do dominio
dim_clientes,segmento,object,Campo analitico do dominio
dim_clientes,uf,object,Campo analitico do dominio
dim_clientes,porte,object,Campo analitico do dominio
