aprovacao_id;viagem_id;nivel;tempo_aprovacao_h;resultado
AP00001;  VG00001  ;Gestor;41,9;Aprovada
AP00002;  VG00002  ;Gestor;6,2;Aprovada
AP00003;  VG00003  ;Diretoria;12,2;Aprovada
AP00004;  VG00004  ;Gestor;18,0;Aprovada
AP00005;VG00005;Gestor;3,8;Aprovada
AP00006;VG00006;Gestor;12,2;Aprovada
AP00007;VG00007;Gestor;15,2;Aprovada
AP00008;VG00008;Diretoria;4,0;Aprovada
AP00009;VG00009;Gestor;35,7;Aprovada
AP00010;VG00010;Gestor;18,3;Aprovada
AP00011;VG00011;Diretoria;26,1;Aprovada
AP00012;VG00012;Diretoria;11,8;Aprovada
AP00013;VG00013;Gestor;23,7;Aprovada
AP00014;VG00014;Gestor;19,5;Aprovada
AP00015;VG00015;Diretoria;33,2;Aprovada
AP00016;VG00016;Diretoria;12,8;Aprovada
AP00017;VG00017;Diretoria;31,7;Reprovada
AP00018;VG00018;Diretoria;4,3;Aprovada
AP00019;VG00019;Diretoria;46,4;Aprovada
AP00020;VG00020;Gestor;7,8;Aprovada
AP00021;VG00021;Diretoria;16,7;Aprovada
AP00022;VG00022;Gestor;23,5;Aprovada
AP00023;VG00023;Diretoria;37,8;Aprovada
AP00024;VG00024;Diretoria;6,9;Aprovada
AP00025;VG00025;Diretoria;18,3;Aprovada
AP00026;VG00026;Diretoria;11,3;Aprovada
AP00027;VG00027;Gestor;19,5;Aprovada
AP00028;VG00028;Diretoria;20,5;Aprovada
AP00029;VG00029;Gestor;18,9;Aprovada
AP00030;VG00030;Diretoria;31,6;Aprovada
AP00031;VG00031;Diretoria;13,1;Aprovada
AP00032;VG00032;Diretoria;18,3;Aprovada
AP00033;VG00033;Gestor;12,4;Aprovada
AP00034;VG00034;Gestor;24,0;Reprovada
AP00035;VG00035;Gestor;1,0;Aprovada
AP00036;VG00036;Diretoria;38,9;Aprovada
AP00037;VG00037;Gestor;19,7;Aprovada
AP00038;VG00038;Gestor;15,8;Aprovada
AP00039;VG00039;Diretoria;19,0;Aprovada
AP00040;VG00040;Diretoria;17,2;Aprovada
AP00041;VG00041;Gestor;14,2;Aprovada
AP00042;VG00042;Gestor;4,9;Aprovada
AP00043;VG00043;Gestor;18,6;Aprovada
AP00044;VG00044;Gestor;17,3;Aprovada
AP00045;VG00045;Diretoria;21,0;Aprovada
AP00046;VG00046;Gestor;10,9;Reprovada
AP00047;VG00047;Gestor;2,4;Aprovada
AP00048;VG00048;Gestor;46,1;Aprovada
AP00049;VG00049;Gestor;38,6;Aprovada
AP00050;VG00050;Diretoria;4,5;Aprovada
AP00051;VG00051;Diretoria;3,8;Aprovada
AP00052;VG00052;Diretoria;19,1;Aprovada
AP00053;VG00053;Diretoria;13,9;Aprovada
AP00054;VG00054;Gestor;14,3;Aprovada
AP00055;VG00055;Diretoria;10,5;Aprovada
AP00056;VG00056;Diretoria;3,3;Aprovada
AP00057;VG00057;Diretoria;42,5;Aprovada
AP00058;VG00058;Gestor;33,7;Aprovada
AP00059;VG00059;Diretoria;31,5;Aprovada
AP00060;VG00060;Gestor;34,2;Aprovada
AP00061;VG00061;Diretoria;24,0;Aprovada
AP00062;VG00062;Diretoria;20,0;Aprovada
AP00063;VG00063;Diretoria;23,1;Aprovada
AP00064;VG00064;Gestor;25,9;Aprovada
AP00065;VG00065;Gestor;9,8;Aprovada
AP00066;VG00066;Diretoria;29,8;Aprovada
AP00067;VG00067;Diretoria;18,3;Aprovada
AP00068;VG00068;Diretoria;12,2;Aprovada
AP00069;VG00069;Gestor;14,7;Aprovada
AP00070;VG00070;Gestor;3,0;Aprovada
AP00071;VG00071;Gestor;7,0;Aprovada
AP00072;VG00072;Diretoria;11,3;Aprovada
AP00073;VG00073;Diretoria;17,0;Aprovada
AP00074;VG00074;Gestor;36,3;Aprovada
AP00075;VG00075;Gestor;41,1;Aprovada
AP00076;VG00076;Diretoria;6,1;Aprovada
AP00077;VG00077;Diretoria;40,8;Aprovada
AP00078;VG00078;Gestor;10,0;Aprovada
AP00079;VG00079;Gestor;21,1;Aprovada
AP00080;VG00080;Diretoria;17,4;Aprovada
AP00081;VG00081;Diretoria;25,3;Aprovada
AP00082;VG00082;Diretoria;22,3;Aprovada
AP00083;VG00083;Gestor;30,9;Aprovada
AP00084;VG00084;Gestor;28,7;Aprovada
AP00085;VG00085;Diretoria;30,1;Aprovada
AP00086;VG00086;Gestor;16,9;Aprovada
AP00087;VG00087;Diretoria;8,3;Aprovada
AP00088;VG00088;Diretoria;10,2;Aprovada
AP00089;VG00089;Diretoria;20,7;Aprovada
AP00090;VG00090;Diretoria;20,4;Aprovada
AP00091;VG00091;Gestor;18,2;Aprovada
AP00092;VG00092;Diretoria;21,5;Aprovada
