reserva_id;viagem_id;veiculo_id;km_previsto;km_real
RV00001;  VG03618  ;VE011;1184;674
RV00002;  VG01411  ;VE017;984;1058
RV00003;  VG00400  ;VE045;1196;96
RV00004;  VG01352  ;VE067;132;991
RV00005;VG02749;VE017;548;875
RV00006;VG03403;VE034;722;1245
RV00007;VG02993;VE003;87;410
RV00008;VG02454;VE006;734;861
RV00009;VG01556;VE001;34;362
RV00010;VG01251;VE008;29;1197
RV00011;VG02748;VE063;485;119
RV00012;VG01688;VE030;52;343
RV00013;VG00673;VE023;825;420
RV00014;VG01738;VE065;300;764
RV00015;VG00361;VE019;54;916
RV00016;VG03950;VE070;191;1101
RV00017;VG01246;VE014;342;1088
RV00018;VG02479;VE043;524;1061
RV00019;VG00882;VE049;356;1031
RV00020;VG03745;VE063;109;645
RV00021;VG02103;VE068;1059;293
RV00022;VG01160;VE044;284;579
RV00023;VG02883;VE003;233;594
RV00024;VG00445;VE021;579;907
RV00025;VG02835;VE043;92;613
RV00026;VG02662;VE041;800;618
RV00027;VG00207;VE038;1173;1297
RV00028;VG02767;VE007;854;892
RV00029;VG01203;VE015;747;489
RV00030;VG00978;VE011;328;770
RV00031;VG02104;VE031;391;925
RV00032;VG00770;VE019;630;1099
RV00033;VG00717;VE048;153;905
RV00034;VG00105;VE041;871;519
RV00035;VG02592;VE018;654;887
RV00036;VG01840;VE042;626;910
RV00037;VG01731;VE028;902;135
RV00038;VG00501;VE036;643;621
RV00039;VG00638;VE051;762;685
RV00040;VG03856;VE038;1028;346
RV00041;VG00846;VE022;1127;382
RV00042;VG03611;VE010;655;590
RV00043;VG01864;VE034;1113;580
RV00044;VG00910;VE006;1108;403
RV00045;VG00198;VE050;268;152
RV00046;VG01139;VE051;968;1116
RV00047;VG03271;VE048;1171;1157
RV00048;VG03161;VE013;666;514
RV00049;VG03029;VE008;132;1005
RV00050;VG01248;VE064;500;391
RV00051;VG03896;VE046;1104;990
RV00052;VG00792;VE006;343;1065
RV00053;VG01249;VE037;1105;289
RV00054;VG01145;VE058;310;787
RV00055;VG02442;VE021;811;475
RV00056;VG00032;VE003;441;1291
RV00057;VG02266;VE015;276;411
RV00058;VG00543;VE058;844;356
RV00059;VG00161;VE048;666;1121
RV00060;VG01032;VE023;772;1244
RV00061;VG02396;VE005;821;502
RV00062;VG00927;VE047;852;1121
RV00063;VG00943;VE041;1091;54
RV00064;VG02684;VE002;618;324
RV00065;VG03947;VE001;946;432
RV00066;VG01655;VE048;576;55
RV00067;VG02492;VE014;1194;57
RV00068;VG02865;VE055;1089;280
RV00069;VG02965;VE053;874;1299
RV00070;VG03212;VE046;655;260
RV00071;VG04030;VE047;693;702
RV00072;VG02273;VE032;107;1060
RV00073;VG00387;VE028;400;712
RV00074;VG04155;VE068;152;635
RV00075;VG02070;VE062;226;560
RV00076;VG03917;VE042;38;1121
RV00077;VG01011;VE018;963;539
RV00078;VG02883;VE020;762;326
RV00079;VG01116;VE042;942;687
RV00080;VG02903;VE020;831;610
RV00081;VG00419;VE025;951;569
RV00082;VG01716;VE065;1168;725
RV00083;VG02607;VE041;995;565
RV00084;VG03822;VE058;469;747
RV00085;VG02729;VE065;1167;851
RV00086;VG00152;VE048;330;186
RV00087;VG01745;VE062;997;1169
RV00088;VG01584;VE050;121;416
RV00089;VG00607;VE066;1139;1288
RV00090;VG01534;VE047;419;362
RV00091;VG01090;VE016;633;1072
RV00092;VG00309;VE010;1111;268
RV00093;VG03929;VE012;485;577
RV00094;VG00653;VE058;211;331
RV00095;VG01618;VE068;1139;399
RV00096;VG01768;VE054;194;1203
RV00097;VG02678;VE062;1061;1200
RV00098;VG01392;VE068;79;363
RV00099;VG04059;VE005;815;1118
RV00100;VG02074;VE018;583;1093
RV00101;VG02746;VE003;1114;1151
RV00102;VG00035;VE041;596;275
RV00103;VG03167;VE021;610;345
RV00104;VG00197;VE050;142;72
RV00105;VG01582;VE063;852;689
RV00106;VG02095;VE007;236;54
RV00107;VG04028;VE067;947;338
RV00108;VG02561;VE059;260;1130
RV00109;VG00689;VE017;1059;684
RV00110;VG03788;VE020;1079;252
RV00111;VG04101;VE028;1165;560
RV00112;VG00231;VE042;20;38
RV00113;VG02287;VE037;994;97
RV00114;VG02496;VE037;133;1222
RV00115;VG01299;VE018;822;537
RV00116;VG00419;VE040;1034;303
RV00117;VG02670;VE017;554;886
RV00118;VG00658;VE068;110;402
RV00119;VG04120;VE034;105;514
RV00120;VG00027;VE015;1086;1151
RV00121;VG01301;VE068;354;461
RV00122;VG02947;VE044;409;1099
RV00123;VG04121;VE047;899;740
RV00124;VG01451;VE032;818;1060
RV00125;VG02464;VE016;587;40
RV00126;VG01399;VE046;851;381
RV00127;VG03997;VE003;775;94
RV00128;VG04070;VE057;287;832
RV00129;VG02964;VE007;995;833
RV00130;VG00839;VE018;556;62
RV00131;VG00735;VE039;1179;665
RV00132;VG03940;VE056;606;1250
RV00133;VG02031;VE034;619;773
RV00134;VG00426;VE035;534;294
RV00135;VG04092;VE053;865;721
RV00136;VG01524;VE048;820;1020
RV00137;VG00246;VE060;635;1055
RV00138;VG01040;VE054;1126;354
RV00139;VG02317;VE069;1133;864
RV00140;VG01248;VE067;390;1220
RV00141;VG00140;VE019;141;332
RV00142;VG00552;VE063;1186;195
RV00143;VG01853;VE041;599;300
RV00144;VG01571;VE022;208;258
RV00145;VG01397;VE024;1051;597
RV00146;VG00797;VE013;174;155
RV00147;VG01830;VE043;965;660
RV00148;VG02399;VE052;64;398
RV00149;VG04019;VE059;346;1148
RV00150;VG03894;VE005;792;725
RV00151;VG03070;VE025;1013;1126
RV00152;VG02160;VE025;341;27
RV00153;VG00567;VE031;432;277
RV00154;VG02828;VE010;968;589
RV00155;VG00720;VE048;1180;788
RV00156;VG03756;VE041;1170;355
RV00157;VG01754;VE046;756;230
RV00158;VG03232;VE051;939;792
RV00159;VG01420;VE016;164;1007
RV00160;VG01469;VE068;469;658
RV00161;VG03309;VE007;809;525
RV00162;VG01210;VE053;466;1149
RV00163;VG00707;VE034;322;521
RV00164;VG01802;VE007;1193;769
RV00165;VG01244;VE041;883;850
RV00166;VG00023;VE033;1177;489
RV00167;VG00816;VE048;98;457
RV00168;VG02116;VE066;669;84
RV00169;VG02117;VE043;410;1211
RV00170;VG00332;VE052;859;762
RV00171;VG01852;VE070;161;297
RV00172;VG03619;VE013;336;587
RV00173;VG01138;VE007;140;261
RV00174;VG00621;VE012;256;489
RV00175;VG03633;VE058;324;215
RV00176;VG03001;VE037;937;709
RV00177;VG02917;VE022;911;294
RV00178;VG03815;VE049;377;1048
RV00179;VG00860;VE034;1127;251
RV00180;VG02772;VE061;51;187
RV00181;VG02799;VE031;820;595
RV00182;VG02757;VE060;534;637
RV00183;VG03038;VE001;677;661
RV00184;VG00079;VE032;768;868
RV00185;VG01612;VE026;227;1016
RV00186;VG01589;VE031;1016;871
RV00187;VG03359;VE008;220;793
RV00188;VG00663;VE032;738;1101
RV00189;VG04124;VE053;976;851
RV00190;VG03282;VE030;264;1067
RV00191;VG01898;VE009;1035;708
RV00192;VG03426;VE039;708;1009
RV00193;VG02980;VE016;453;180
RV00194;VG02360;VE052;240;718
RV00195;VG02200;VE005;864;299
RV00196;VG03193;VE004;1146;757
RV00197;VG02117;VE041;82;734
RV00198;VG01466;VE025;864;965
RV00199;VG00006;VE050;699;1027
RV00200;VG03947;VE066;181;573
RV00201;VG02807;VE030;327;312
RV00202;VG01526;VE042;652;1155
RV00203;VG00532;VE055;772;98
RV00204;VG02009;VE060;1097;1264
RV00205;VG02638;VE054;706;375
RV00206;VG00787;VE004;50;1094
RV00207;VG03480;VE049;299;1011
RV00208;VG00221;VE060;67;1237
RV00209;VG00035;VE034;207;1207
RV00210;VG03221;VE013;1186;703
RV00211;VG02092;VE032;1063;726
RV00212;VG02752;VE030;936;792
RV00213;VG00182;VE012;683;555
RV00214;VG01390;VE064;758;1138
RV00215;VG00921;VE032;532;1009
RV00216;VG03725;VE017;601;587
RV00217;VG01696;VE027;1178;68
RV00218;VG03969;VE063;166;1266
RV00219;VG01130;VE066;660;481
RV00220;VG01792;VE056;1003;946
RV00221;VG02124;VE008;591;903
RV00222;VG00906;VE003;791;1201
RV00223;VG01700;VE010;202;689
RV00224;VG00262;VE039;856;294
RV00225;VG04043;VE064;611;586
RV00226;VG01613;VE038;1060;1241
RV00227;VG03450;VE036;1066;535
RV00228;VG01677;VE056;678;76
RV00229;VG00150;VE030;1095;143
RV00230;VG01884;VE032;1058;893
RV00231;VG00892;VE028;973;1085
RV00232;VG02536;VE061;134;357
RV00233;VG02214;VE069;1085;471
RV00234;VG00549;VE035;323;215
RV00235;VG03177;VE041;966;24
RV00236;VG01550;VE028;598;668
RV00237;VG03648;VE033;909;682
RV00238;VG00849;VE017;338;533
RV00239;VG03839;VE035;1152;1282
RV00240;VG03394;VE012;87;353
RV00241;VG02688;VE061;1004;457
RV00242;VG03137;VE009;377;561
RV00243;VG04168;VE008;538;149
RV00244;VG00158;VE043;860;409
RV00245;VG00163;VE040;355;324
RV00246;VG03799;VE005;125;1104
RV00247;VG01009;VE005;198;478
RV00248;VG00370;VE067;573;642
RV00249;VG03415;VE018;399;1047
RV00250;VG01728;VE070;208;66
RV00251;VG03531;VE016;303;349
RV00252;VG02414;VE007;279;847
RV00253;VG02614;VE030;469;376
RV00254;VG02235;VE051;933;712
RV00255;VG01507;VE010;244;720
RV00256;VG04045;VE060;239;419
RV00257;VG01004;VE046;614;215
RV00258;VG00626;VE066;991;374
RV00259;VG03432;VE024;822;356
RV00260;VG03774;VE032;177;1222
RV00261;VG00837;VE016;849;1238
RV00262;VG03747;VE035;556;700
RV00263;VG01975;VE067;918;1039
RV00264;VG01610;VE026;1199;738
RV00265;VG03907;VE033;337;979
RV00266;VG01893;VE033;1080;792
RV00267;VG03151;VE051;1144;1279
RV00268;VG00572;VE023;975;483
RV00269;VG03320;VE047;629;1224
RV00270;VG03884;VE037;525;290
