veiculo_id;categoria;custo_km;status
VE001;  Hatch  ;1,6;Reservado
VE002;  Utilitário  ;1,33;Reservado
VE003;  Sedan  ;1,18;Manutenção
VE004;  SUV  ;1,31;Disponível
VE005;Sedan;0,95;Reservado
VE006;Hatch;1,07;Disponível
VE007;Hatch;1,44;Manutenção
VE008;SUV;1,62;Reservado
VE009;Hatch;1,02;Reservado
VE010;SUV;1,26;Manutenção
VE011;Utilitário;1,75;Manutenção
VE012;Sedan;1,68;Disponível
VE013;SUV;0,91;Manutenção
VE014;Utilitário;1,62;Disponível
VE015;Sedan;1,01;Disponível
VE016;Hatch;1,76;Manutenção
VE017;Hatch;1,18;Reservado
VE018;SUV;0,87;Disponível
VE019;SUV;1,29;Disponível
VE020;Hatch;1,34;Reservado
VE021;Utilitário;1,62;Disponível
VE022;SUV;0,84;Manutenção
VE023;Hatch;1,3;Reservado
VE024;Sedan;1,82;Manutenção
VE025;Utilitário;0,82;Disponível
VE026;Utilitário;1,01;Manutenção
VE027;Sedan;1,68;Disponível
VE028;Hatch;0,92;Manutenção
VE029;Sedan;0,86;Reservado
VE030;Sedan;1,37;Disponível
VE031;Sedan;1,58;Reservado
VE032;Hatch;1,73;Disponível
VE033;Hatch;1,86;Manutenção
VE034;SUV;1,55;Reservado
VE035;Utilitário;1,61;Manutenção
VE036;Hatch;1,76;Reservado
VE037;Sedan;1,21;Disponível
VE038;SUV;1,64;Disponível
VE039;Utilitário;1,16;Manutenção
VE040;SUV;1,3;Reservado
VE041;Sedan;1,73;Disponível
VE042;SUV;1,7;Manutenção
VE043;Utilitário;1,54;Reservado
VE044;SUV;1,88;Reservado
VE045;SUV;1,41;Manutenção
VE046;Hatch;1,84;Disponível
VE047;Hatch;1,44;Disponível
VE048;SUV;1,31;Reservado
VE049;Sedan;1,81;Disponível
VE050;Sedan;1,36;Reservado
VE051;SUV;1,85;Manutenção
VE052;Utilitário;1,64;Reservado
VE053;Hatch;1,71;Reservado
VE054;Utilitário;1,82;Disponível
VE055;Utilitário;1,28;Reservado
VE056;Hatch;1,42;Manutenção
VE057;Hatch;1,35;Manutenção
VE058;Sedan;1,48;Disponível
VE059;Utilitário;1,45;Reservado
VE060;Sedan;1,18;Manutenção
VE061;Sedan;0,99;Reservado
VE062;Utilitário;0,96;Reservado
VE063;SUV;0,94;Reservado
VE064;Utilitário;1,67;Reservado
VE065;SUV;1,38;Disponível
VE066;Hatch;0,98;Disponível
VE067;Sedan;1,76;Reservado
VE068;Sedan;1,72;Reservado
VE069;Hatch;1,67;Reservado
VE070;SUV;0,83;Reservado
VE020;Hatch;1,34;Reservado
VE064;Utilitário;1,67;Reservado
VE024;Sedan;1,82;Manutenção
ERRO_veiculos_1;Hatch;-999,0;Reservado
