despesa_id,viagem_id,tipo,valor,data_despesa,status
DE00001,VG00302,Pedágio,49.96,2026-05-16,Aprovada
DE00002,VG02834,Alimentação,58.28,2024-03-17,Reprovada
DE00003,VG03576,Combustível,656.85,2025-01-01,Pendente
DE00004,VG01258,Aéreo,187.82,2024-03-06,Aprovada
DE00005,VG03853,Pedágio,173.64,2024-08-12,Aprovada
DE00006,VG02932,Alimentação,96.87,2025-11-10,Reprovada
DE00007,VG00130,Pedágio,249.62,2024-11-29,Aprovada
DE00008,VG03459,Aéreo,335.66,2025-10-09,Aprovada
DE00009,VG03463,Combustível,475.99,2025-08-07,Aprovada
DE00010,VG03232,Alimentação,239.48,2024-11-13,Aprovada
DE00011,VG00313,Alimentação,212.11,2024-06-02,Aprovada
DE00012,VG00955,Combustível,123.83,2025-07-12,Aprovada
DE00013,VG04071,Combustível,74.07,2026-06-24,Aprovada
DE00014,VG01527,Alimentação,414.82,2024-01-14,Aprovada
DE00015,VG02580,Aéreo,159.27,2025-09-11,Aprovada
DE00016,VG03152,Aéreo,189.23,2025-06-20,Aprovada
DE00017,VG01412,Alimentação,603.71,2025-12-20,Aprovada
DE00018,VG03727,Hotel,291.49,2024-11-18,Aprovada
DE00019,VG03333,Pedágio,171.43,2024-03-03,Aprovada
DE00020,VG03681,Táxi,258.57,2025-07-20,Aprovada
DE00021,VG02643,Hotel,149.4,2026-01-23,Aprovada
DE00022,VG04006,Hotel,342.58,2024-10-27,Aprovada
DE00023,VG00693,Hotel,251.45,2024-05-26,Aprovada
DE00024,VG03267,Pedágio,71.01,2025-05-11,Aprovada
DE00025,VG01982,Hotel,370.66,2026-07-04,Aprovada
DE00026,VG00612,Hotel,714.57,2024-09-29,Pendente
DE00027,VG04010,Táxi,332.68,2024-02-02,Aprovada
DE00028,VG04076,Hotel,197.59,2025-12-18,Aprovada
DE00029,VG01109,Alimentação,119.51,2024-07-04,Aprovada
DE00030,VG03870,Aéreo,30.26,2024-02-10,Aprovada
DE00031,VG01256,Aéreo,288.14,2025-03-30,Aprovada
DE00032,VG01613,Hotel,170.1,2024-06-05,Aprovada
DE00033,VG03302,Táxi,367.08,2025-09-09,Aprovada
DE00034,VG02417,Hotel,116.39,2025-11-03,Aprovada
DE00035,VG02320,Alimentação,133.74,2026-04-10,Aprovada
DE00036,VG04127,Táxi,242.38,2024-07-03,Aprovada
DE00037,VG02382,Aéreo,201.92,2024-04-12,Aprovada
DE00038,VG02540,Alimentação,523.49,2024-09-18,Reprovada
DE00039,VG03877,Combustível,65.59,2024-05-05,Pendente
DE00040,VG03448,Táxi,80.52,2026-01-23,Aprovada
DE00041,VG03706,Combustível,180.64,2026-06-13,Aprovada
DE00042,VG01401,Pedágio,23.4,2026-04-15,Aprovada
DE00043,VG01363,Alimentação,111.77,2025-11-12,Aprovada
DE00044,VG00104,Combustível,106.61,2025-03-12,Aprovada
DE00045,VG01828,Táxi,162.28,2025-07-19,Aprovada
DE00046,VG01839,Pedágio,190.37,2025-02-03,Aprovada
DE00047,VG01470,Táxi,629.82,2025-05-22,Pendente
DE00048,VG01027,Táxi,139.95,2024-05-19,Aprovada
DE00049,VG01972,Pedágio,415.7,2025-07-26,Pendente
DE00050,VG00576,Hotel,311.5,2024-02-24,Aprovada
DE00051,VG03534,Alimentação,67.33,2026-02-03,Aprovada
DE00052,VG00709,Combustível,258.08,2026-02-18,Aprovada
DE00053,VG03413,Pedágio,466.77,2025-04-16,Aprovada
DE00054,VG00175,Alimentação,201.86,2024-02-02,Pendente
DE00055,VG03475,Aéreo,224.82,2024-07-24,Aprovada
DE00056,VG03507,Combustível,16.91,2024-01-20,Aprovada
DE00057,VG00605,Combustível,164.16,2024-11-23,Aprovada
DE00058,VG01459,Aéreo,122.25,2024-08-24,Aprovada
DE00059,VG00264,Pedágio,68.76,2024-08-19,Aprovada
DE00060,VG01248,Pedágio,876.56,2026-03-16,Aprovada
DE00061,VG03449,Alimentação,120.35,2024-04-12,Aprovada
DE00062,VG00743,Combustível,164.45,2024-02-01,Aprovada
DE00063,VG01508,Combustível,612.06,2024-04-01,Aprovada
DE00064,VG03999,Aéreo,184.35,2025-12-27,Aprovada
DE00065,VG02948,Pedágio,285.85,2024-10-05,Aprovada
DE00066,VG00508,Táxi,665.83,2025-06-22,Aprovada
DE00067,VG01836,Aéreo,273.08,2025-07-20,Aprovada
