pessoa_id,unidade,area,status
P00001,Guarulhos,Produção,Ativo
P00002,Jaboticabal,RH,Ativo
P00003,Camaçari,Engenharia,Ativo
P00004,Jaboticabal,Qualidade,Ativo
P00005,Camaçari,Engenharia,Ativo
P00006,Camaçari,Compras,Ativo
P00007,Jaboticabal,Qualidade,Ativo
P00008,Guarulhos,Produção,Ativo
P00009,Camaçari,Compras,Ativo
P00010,Guarulhos,TI,Ativo
P00011,Camaçari,TI,Ativo
P00012,Jaboticabal,RH,Ativo
P00013,Jaboticabal,TI,Ativo
P00014,Camaçari,Qualidade,Ativo
P00015,Jaboticabal,RH,Ativo
P00016,Camaçari,TI,Ativo
P00017,Camaçari,TI,Ativo
P00018,Joinville,Logística,Ativo
P00019,Joinville,RH,Ativo
P00020,Guarulhos,Qualidade,Ativo
P00021,Jaboticabal,Engenharia,Ativo
P00022,Joinville,Engenharia,Ativo
P00023,Joinville,Qualidade,Ativo
P00024,Guarulhos,Compras,Ativo
P00025,Camaçari,Compras,Ativo
P00026,Guarulhos,TI,Ativo
P00027,Camaçari,RH,Ativo
P00028,Guarulhos,RH,Ativo
P00029,Joinville,Qualidade,Ativo
P00030,Joinville,Produção,Ativo
P00031,Guarulhos,Compras,Ativo
P00032,Guarulhos,Engenharia,Ativo
P00033,Camaçari,RH,Ativo
P00034,Camaçari,RH,Ativo
P00035,Guarulhos,Logística,Ativo
P00036,Guarulhos,Logística,Ativo
P00037,Jaboticabal,RH,Ativo
P00038,Guarulhos,Qualidade,Ativo
P00039,Guarulhos,Compras,Ativo
P00040,Guarulhos,TI,Ativo
P00041,Joinville,TI,Ativo
P00042,Guarulhos,TI,Ativo
P00043,Guarulhos,Qualidade,Ativo
P00044,Jaboticabal,Produção,Ativo
P00045,Joinville,TI,Ativo
P00046,Jaboticabal,TI,Ativo
P00047,Camaçari,Engenharia,Ativo
P00048,Joinville,Compras,Ativo
P00049,Guarulhos,Produção,Ativo
P00050,Camaçari,TI,Ativo
P00051,Camaçari,Qualidade,Ativo
P00052,Guarulhos,Produção,Ativo
P00053,Guarulhos,RH,Ativo
P00054,Jaboticabal,Compras,Ativo
P00055,Jaboticabal,RH,Inativo
P00056,Jaboticabal,Logística,Ativo
P00057,Camaçari,Produção,Ativo
P00058,Camaçari,Engenharia,Ativo
P00059,Joinville,TI,Ativo
P00060,Camaçari,Produção,Ativo
P00061,Jaboticabal,Qualidade,Ativo
P00062,Jaboticabal,Logística,Ativo
P00063,Joinville,TI,Ativo
P00064,Camaçari,Compras,Ativo
P00065,Guarulhos,Engenharia,Ativo
P00066,Joinville,TI,Ativo
P00067,Jaboticabal,Engenharia,Ativo
P00068,Guarulhos,Logística,Ativo
P00069,Joinville,Compras,Ativo
P00070,Joinville,Produção,Ativo
P00071,Jaboticabal,Qualidade,Ativo
P00072,Jaboticabal,Qualidade,Ativo
P00073,Jaboticabal,Compras,Ativo
P00074,Joinville,Produção,Ativo
P00075,Jaboticabal,Qualidade,Ativo
P00076,Jaboticabal,Produção,Ativo
P00077,Jaboticabal,Logística,Ativo
P00078,Joinville,Qualidade,Ativo
P00079,Guarulhos,TI,Ativo
P00080,Camaçari,Compras,Ativo
P00081,Joinville,TI,Ativo
P00082,Jaboticabal,Compras,Ativo
P00083,Guarulhos,Logística,Ativo
P00084,Joinville,Compras,Ativo
P00085,Camaçari,Compras,Ativo
P00086,Jaboticabal,Qualidade,Ativo
P00087,Jaboticabal,RH,Ativo
P00088,Jaboticabal,TI,Ativo
P00089,Guarulhos,Compras,Ativo
P00090,Camaçari,Engenharia,Ativo
P00091,Joinville,RH,Ativo
P00092,Jaboticabal,Compras,Ativo
P00093,Joinville,RH,Ativo
P00094,Guarulhos,Qualidade,Ativo
P00095,Camaçari,Logística,Ativo
P00096,Guarulhos,Logística,Ativo
P00097,Camaçari,Qualidade,Ativo
P00098,Joinville,Engenharia,Ativo
P00099,Joinville,Qualidade,Ativo
P00100,Camaçari,Compras,Inativo
P00101,Jaboticabal,Logística,Ativo
P00102,Jaboticabal,Engenharia,Ativo
P00103,Camaçari,TI,Ativo
P00104,Guarulhos,Qualidade,Ativo
P00105,Jaboticabal,TI,Ativo
P00106,Guarulhos,Engenharia,Ativo
P00107,Joinville,Compras,Ativo
P00108,Camaçari,Qualidade,Ativo
P00109,Jaboticabal,Logística,Ativo
P00110,Camaçari,Compras,Ativo
P00111,Guarulhos,Engenharia,Ativo
P00112,Guarulhos,TI,Ativo
P00113,Jaboticabal,Logística,Ativo
P00114,Camaçari,Qualidade,Ativo
P00115,Camaçari,Qualidade,Ativo
P00116,Jaboticabal,Produção,Ativo
P00117,Guarulhos,Compras,Ativo
P00118,Camaçari,Produção,Ativo
P00119,Guarulhos,Engenharia,Ativo
P00120,Guarulhos,Qualidade,Ativo
P00121,Joinville,Produção,Ativo
P00122,Guarulhos,Engenharia,Ativo
P00123,Jaboticabal,Engenharia,Ativo
P00124,Guarulhos,Logística,Ativo
P00125,Camaçari,RH,Ativo
P00126,Jaboticabal,Qualidade,Ativo
P00127,Joinville,Compras,Ativo
P00128,Jaboticabal,Engenharia,Ativo
P00129,Jaboticabal,Compras,Ativo
P00130,Jaboticabal,TI,Inativo
P00131,Guarulhos,Compras,Ativo
P00132,Joinville,Qualidade,Ativo
P00133,Jaboticabal,RH,Ativo
P00134,Jaboticabal,Qualidade,Ativo
P00135,Joinville,Engenharia,Ativo
P00136,Joinville,Compras,Ativo
P00137,Joinville,TI,Ativo
P00138,Joinville,RH,Ativo
P00139,Joinville,Compras,Ativo
P00140,Joinville,Logística,Ativo
P00141,Jaboticabal,TI,Ativo
P00142,Jaboticabal,TI,Ativo
P00143,Guarulhos,Qualidade,Ativo
P00144,Guarulhos,Logística,Ativo
P00145,Guarulhos,Engenharia,Inativo
P00146,Joinville,Logística,Ativo
P00147,Guarulhos,Logística,Ativo
P00148,Jaboticabal,Produção,Ativo
P00149,Jaboticabal,Qualidade,Ativo
P00150,Camaçari,Logística,Ativo
P00151,Guarulhos,Logística,Ativo
P00152,Camaçari,RH,Ativo
P00153,Jaboticabal,TI,Ativo
P00154,Guarulhos,Logística,Ativo
P00155,Camaçari,Compras,Ativo
P00156,Camaçari,Logística,Ativo
P00157,Jaboticabal,TI,Ativo
P00158,Camaçari,Engenharia,Inativo
P00159,Guarulhos,Logística,Ativo
P00160,Guarulhos,TI,Ativo
P00161,Jaboticabal,Produção,Ativo
P00162,Camaçari,Compras,Ativo
P00163,Camaçari,RH,Ativo
P00164,Joinville,RH,Ativo
P00165,Jaboticabal,Compras,Ativo
P00166,Camaçari,RH,Ativo
P00167,Camaçari,Engenharia,Ativo
P00168,Jaboticabal,RH,Ativo
P00169,Camaçari,Logística,Ativo
P00170,Jaboticabal,Compras,Ativo
P00171,Guarulhos,Qualidade,Ativo
P00172,Joinville,Engenharia,Ativo
P00173,Camaçari,Logística,Ativo
P00174,Guarulhos,RH,Ativo
P00175,Jaboticabal,Logística,Ativo
P00176,Joinville,Logística,Ativo
P00177,Camaçari,Qualidade,Ativo
P00178,Camaçari,TI,Ativo
P00179,Jaboticabal,Engenharia,Ativo
P00180,Joinville,Engenharia,Ativo
P00181,Guarulhos,Qualidade,Ativo
P00182,Camaçari,Engenharia,Ativo
P00183,Joinville,Compras,Ativo
P00184,Joinville,Qualidade,Ativo
P00185,Guarulhos,TI,Ativo
