viagem_id,pessoa_id,data_solicitacao,destino,finalidade,status,orcamento
VG00001,P00487,2025-10-02,Curitiba,Projeto,Em análise,2054.4
VG00002,P00505,2024-12-01,Campinas,Treinamento,Concluída,2463.62
VG00003,P00758,2026-02-18,Belo Horizonte,Projeto,Concluída,4133.61
VG00004,P00003,2026-06-18,Belo Horizonte,Treinamento,Concluída,841.41
VG00005,P00353,2024-02-25,Curitiba,Treinamento,Concluída,3105.3
VG00006,P00585,2025-12-04,Belo Horizonte,Auditoria,Concluída,948.25
VG00007,P00545,2025-05-21,São Paulo,Fornecedor,Concluída,963.49
VG00008,P00837,2026-03-02,Rio de Janeiro,Projeto,Concluída,2196.81
VG00009,P00058,2024-03-18,Rio de Janeiro,Projeto,Concluída,1186.34
VG00010,P00414,2026-02-26,Campinas,Cliente,Aprovada,2919.52
VG00011,P00028,2024-10-10,São Paulo,Treinamento,Concluída,2031.1
VG00012,P00601,2024-08-28,Curitiba,Treinamento,Aprovada,3663.91
VG00013,P00357,2025-05-07,Rio de Janeiro,Projeto,Concluída,751.75
VG00014,P00812,2024-12-07,Rio de Janeiro,Treinamento,Concluída,473.04
VG00015,P00138,2026-06-14,Campinas,Fornecedor,Concluída,654.5
VG00016,P00392,2024-08-29,Curitiba,Auditoria,Aprovada,825.95
VG00017,P00772,2025-09-04,Belo Horizonte,Cliente,Concluída,2084.88
VG00018,P00078,2026-06-08,São Paulo,Fornecedor,Concluída,705.27
VG00019,P00853,2026-04-11,Belo Horizonte,Fornecedor,Concluída,2370.06
VG00020,P00529,2024-01-12,Rio de Janeiro,Fornecedor,Concluída,757.64
VG00021,P00717,2025-12-27,Belo Horizonte,Treinamento,Concluída,1497.9
VG00022,P00875,2025-05-19,Rio de Janeiro,Cliente,Em análise,944.32
VG00023,P00824,2025-07-26,Belo Horizonte,Treinamento,Em análise,939.71
VG00024,P00243,2025-11-25,Belo Horizonte,Projeto,Concluída,1216.88
VG00025,P00725,2026-01-20,Campinas,Fornecedor,Concluída,1004.3
VG00026,P00895,2024-02-09,Rio de Janeiro,Treinamento,Concluída,1634.87
VG00027,P00063,2024-06-30,Curitiba,Fornecedor,Concluída,2867.38
VG00028,P00203,2025-10-22,Rio de Janeiro,Projeto,Aprovada,1366.23
VG00029,P00618,2024-10-27,Belo Horizonte,Treinamento,Concluída,758.44
VG00030,P00779,2024-06-04,São Paulo,Projeto,Cancelada,2723.9
VG00031,P00288,2024-11-10,Curitiba,Treinamento,Cancelada,1328.71
VG00032,P00839,2025-05-18,São Paulo,Fornecedor,Em análise,1479.9
VG00033,P00358,2025-07-15,Belo Horizonte,Auditoria,Aprovada,854.67
VG00034,P00169,2024-08-08,Belo Horizonte,Projeto,Concluída,1001.13
VG00035,P00338,2024-06-09,Campinas,Auditoria,Aprovada,3327.56
VG00036,P00898,2024-07-01,São Paulo,Treinamento,Concluída,2745.35
VG00037,P00784,2024-10-31,Belo Horizonte,Fornecedor,Em análise,972.18
VG00038,P00076,2025-07-29,São Paulo,Cliente,Concluída,3469.9
VG00039,P00788,2024-07-28,São Paulo,Cliente,Concluída,2432.2
VG00040,P00667,2025-10-24,Belo Horizonte,Treinamento,Concluída,890.03
VG00041,P00898,2024-11-14,Campinas,Fornecedor,Concluída,1586.04
VG00042,P00346,2025-08-06,Curitiba,Cliente,Concluída,821.53
VG00043,P00085,2024-08-24,Campinas,Treinamento,Concluída,896.21
VG00044,P00764,2026-05-12,Belo Horizonte,Fornecedor,Concluída,3006.4
VG00045,P00095,2024-12-18,Curitiba,Cliente,Concluída,3220.79
VG00046,P00860,2024-07-10,São Paulo,Fornecedor,Aprovada,1007.71
VG00047,P00876,2025-08-06,Curitiba,Treinamento,Concluída,2243.76
VG00048,P00044,2025-08-30,Curitiba,Fornecedor,Concluída,2062.8
VG00049,P00050,2024-01-06,Curitiba,Projeto,Concluída,1133.62
VG00050,P00861,2025-06-30,Belo Horizonte,Auditoria,Concluída,1196.53
VG00051,P00566,2024-11-10,São Paulo,Auditoria,Aprovada,2592.14
VG00052,P00073,2024-03-31,Campinas,Treinamento,Cancelada,1629.75
VG00053,P00587,2025-04-18,Campinas,Projeto,Concluída,3291.6
VG00054,P00233,2025-03-03,Campinas,Auditoria,Em análise,1715.78
VG00055,P00876,2025-02-25,Rio de Janeiro,Projeto,Em análise,1644.67
VG00056,P00119,2026-01-13,Belo Horizonte,Projeto,Aprovada,2169.14
VG00057,P00745,2024-11-13,Belo Horizonte,Fornecedor,Aprovada,1317.98
VG00058,P00776,2026-07-27,Curitiba,Fornecedor,Concluída,2054.8
VG00059,P00618,2024-10-30,Rio de Janeiro,Cliente,Concluída,638.83
VG00060,P00391,2025-04-25,Curitiba,Cliente,Em análise,1369.62
VG00061,P00410,2025-07-15,Curitiba,Cliente,Concluída,1194.42
VG00062,P00632,2025-11-02,Campinas,Cliente,Cancelada,1430.97
VG00063,P00027,2026-02-27,Belo Horizonte,Projeto,Concluída,4899.37
VG00064,P00703,2024-06-26,São Paulo,Fornecedor,Aprovada,990.03
VG00065,P00751,2025-09-30,Belo Horizonte,Fornecedor,Aprovada,1026.56
VG00066,P00195,2024-08-09,Belo Horizonte,Treinamento,Cancelada,3748.95
VG00067,P00540,2024-04-29,São Paulo,Projeto,Em análise,707.04
VG00068,P00683,2025-10-11,Curitiba,Projeto,Concluída,1119.38
VG00069,P00172,2025-07-03,Curitiba,Fornecedor,Aprovada,787.32
VG00070,P00129,2024-03-22,São Paulo,Fornecedor,Concluída,2864.1
VG00071,P00757,2026-03-13,Belo Horizonte,Fornecedor,Em análise,988.31
VG00072,P00691,2024-01-09,Rio de Janeiro,Treinamento,Concluída,2872.44
VG00073,P00323,2024-06-23,São Paulo,Treinamento,Concluída,979.82
VG00074,P00181,2026-04-05,Curitiba,Treinamento,Concluída,780.65
VG00075,P00573,2024-06-07,Rio de Janeiro,Treinamento,Aprovada,589.88
VG00076,P00309,2024-01-27,Belo Horizonte,Cliente,Concluída,1180.73
VG00077,P00624,2025-11-04,Campinas,Auditoria,Aprovada,1808.52
VG00078,P00783,2026-01-21,São Paulo,Fornecedor,Concluída,2992.54
VG00079,P00820,2025-03-16,Belo Horizonte,Cliente,Concluída,390.89
VG00080,P00081,2025-03-18,Belo Horizonte,Treinamento,Concluída,731.93
VG00081,P00871,2025-02-04,Rio de Janeiro,Auditoria,Concluída,1448.12
VG00082,P00213,2025-03-27,Curitiba,Auditoria,Em análise,804.68
