tabela,campo,tipo
pessoas,pessoa_id,object
pessoas,unidade,object
pessoas,area,object
pessoas,status,object
veiculos,veiculo_id,object
veiculos,categoria,object
veiculos,custo_km,float64
veiculos,status,object
viagens,viagem_id,object
viagens,pessoa_id,object
viagens,data_solicitacao,datetime64[ns]
viagens,destino,object
viagens,finalidade,object
viagens,status,object
viagens,orcamento,float64
reservas_frota,reserva_id,object
reservas_frota,viagem_id,object
reservas_frota,veiculo_id,object
reservas_frota,km_previsto,int64
reservas_frota,km_real,int64
despesas,despesa_id,object
despesas,viagem_id,object
despesas,tipo,object
despesas,valor,float64
despesas,data_despesa,datetime64[ns]
despesas,status,object
aprovacoes,aprovacao_id,object
aprovacoes,viagem_id,object
aprovacoes,nivel,object
aprovacoes,tempo_aprovacao_h,float64
aprovacoes,resultado,object
