calibracao_id;equipamento_id;laboratorio_id;data_programada;data_realizada;custo;resultado
CA00001;  EQ01138  ;LB017;2026-02-21 00:00:00;2025-09-27;899,7;Aprovado
CA00002;  EQ00284  ;LB023;2026-06-08 00:00:00;2024-10-17;257,28;Aprovado
CA00003;  EQ00210  ;LB005;2025-08-12 00:00:00;2024-08-07;948,21;Aprovado
CA00004;  EQ00301  ;LB006;2026-06-30 00:00:00;2024-07-27;1014,9;Aprovado
CA00005;EQ01011;LB014;2026-01-15 00:00:00;2025-02-17;1056,3;Aprovado
CA00006;EQ01357;LB020;2025-11-11 00:00:00;2025-04-23;1537,44;Aprovado
CA00007;EQ00111;LB018;2024-06-18 00:00:00;2025-03-19;600,26;Aprovado
CA00008;EQ00916;LB016;2025-10-29 00:00:00;2025-06-16;1494,49;Aprovado
CA00009;EQ00571;LB010;2026-02-12 00:00:00;2024-10-16;1414,42;Aprovado
CA00010;EQ01267;LB021;2025-01-01 00:00:00;2024-06-13;836,12;Aprovado
CA00011;EQ00113;LB013;2026-04-01 00:00:00;2024-06-21;263,55;Aprovado
CA00012;EQ01271;LB019;2024-10-29 00:00:00;2024-05-04;94,04;Aprovado
CA00013;EQ00319;LB008;2025-02-22 00:00:00;2025-06-28;662,18;Reprovado
CA00014;EQ00569;LB022;2025-11-14 00:00:00;2026-06-22;1510,8;Aprovado
CA00015;EQ00359;LB002;2024-10-17 00:00:00;2024-04-06;1071,58;Aprovado
CA00016;EQ00193;LB023;2024-06-14 00:00:00;2026-06-09;189,31;Aprovado
CA00017;EQ00643;LB018;2026-06-05 00:00:00;2026-03-06;872,19;Aprovado
CA00018;EQ01244;LB014;2025-01-24 00:00:00;2024-01-17;1551,51;Aprovado
CA00019;EQ01105;LB010;2024-01-25 00:00:00;2025-10-08;278,48;Ajustado
CA00020;EQ01227;LB007;2026-04-25 00:00:00;2025-01-30;1478,27;Aprovado
CA00021;EQ00058;LB024;2026-02-16 00:00:00;2026-04-23;1219,61;Aprovado
CA00022;EQ00198;LB008;2025-09-06 00:00:00;2024-09-03;1066,02;Aprovado
CA00023;EQ00737;LB012;2024-08-09 00:00:00;2024-12-16;1020,34;Aprovado
CA00024;EQ00087;LB023;2024-02-21 00:00:00;2026-05-09;334,49;Aprovado
CA00025;EQ01238;LB006;2026-07-11 00:00:00;2025-08-27;359,98;Reprovado
CA00026;EQ00509;LB003;2025-01-30 00:00:00;2025-09-23;413,39;Aprovado
CA00027;EQ00310;LB023;2025-07-10 00:00:00;2024-09-07;1163,83;Aprovado
CA00028;EQ00570;LB001;2026-06-16 00:00:00;2025-01-01;970,64;Aprovado
CA00029;EQ00265;LB002;2024-07-17 00:00:00;2025-08-15;1395,4;Aprovado
