equipamento_id;tipo;unidade;criticidade;periodicidade_dias
EQ00001;  Manômetro  ;Jaboticabal;Alta;180
EQ00002;  Micrômetro  ;Joinville;Baixa;365
EQ00003;  Termômetro  ;Joinville;Média;180
EQ00004;  Manômetro  ;Jaboticabal;Baixa;180
EQ00005;Manômetro;Guarulhos;Média;180
EQ00006;Micrômetro;Joinville;Alta;90
EQ00007;Termômetro;Jaboticabal;Média;180
EQ00008;Micrômetro;Guarulhos;Baixa;365
EQ00009;Torquímetro;Guarulhos;Média;90
EQ00010;Termômetro;Joinville;Média;365
EQ00011;Manômetro;Guarulhos;Média;180
EQ00012;Torquímetro;Guarulhos;Média;180
EQ00013;Termômetro;Guarulhos;Baixa;365
EQ00014;Paquímetro;Guarulhos;Alta;365
EQ00015;Micrômetro;Guarulhos;Média;90
EQ00016;Paquímetro;Joinville;Alta;180
EQ00017;Termômetro;Jaboticabal;Média;365
EQ00018;Manômetro;Joinville;Média;180
EQ00019;Balança;Jaboticabal;Baixa;90
EQ00020;Balança;Joinville;Baixa;90
EQ00021;Manômetro;Guarulhos;Baixa;180
EQ00022;Manômetro;Joinville;Baixa;180
EQ00023;Micrômetro;Jaboticabal;Média;365
EQ00024;Manômetro;Joinville;Média;90
EQ00025;Micrômetro;Joinville;Média;365
EQ00026;Balança;Jaboticabal;Alta;90
EQ00027;Manômetro;Jaboticabal;Média;180
EQ00028;Termômetro;Guarulhos;Baixa;180
EQ00029;Paquímetro;Jaboticabal;Baixa;90
EQ00030;Paquímetro;Jaboticabal;Média;180
EQ00031;Torquímetro;Jaboticabal;Alta;180
EQ00032;Manômetro;Joinville;Média;365
EQ00033;Balança;Guarulhos;Média;365
EQ00034;Manômetro;Guarulhos;Baixa;180
EQ00035;Balança;Joinville;Baixa;90
EQ00036;Termômetro;Joinville;Média;90
EQ00037;Micrômetro;Joinville;Média;365
EQ00038;Manômetro;Joinville;Alta;365
EQ00039;Micrômetro;Jaboticabal;Baixa;180
EQ00040;Micrômetro;Guarulhos;Média;90
EQ00041;Micrômetro;Jaboticabal;Média;90
EQ00042;Paquímetro;Jaboticabal;Baixa;180
EQ00043;Termômetro;Guarulhos;Média;180
EQ00044;Manômetro;Jaboticabal;Alta;180
EQ00045;Torquímetro;Jaboticabal;Alta;180
EQ00046;Manômetro;Guarulhos;Média;90
EQ00047;Paquímetro;Jaboticabal;Alta;90
EQ00048;Balança;Jaboticabal;Média;90
EQ00049;Termômetro;Joinville;Baixa;365
EQ00050;Termômetro;Jaboticabal;Média;180
EQ00051;Balança;Jaboticabal;Baixa;180
EQ00052;Balança;Jaboticabal;Média;90
EQ00053;Termômetro;Guarulhos;Alta;90
EQ00054;Termômetro;Jaboticabal;Alta;365
EQ00055;Torquímetro;Guarulhos;Baixa;365
EQ00056;Manômetro;Jaboticabal;Média;180
EQ00057;Micrômetro;Joinville;Alta;365
EQ00058;Torquímetro;Jaboticabal;Média;180
EQ00059;Termômetro;Joinville;Média;90
EQ00060;Paquímetro;Jaboticabal;Alta;180
EQ00061;Termômetro;Joinville;Baixa;365
EQ00062;Manômetro;Guarulhos;Baixa;365
EQ00063;Balança;Guarulhos;Média;90
EQ00064;Paquímetro;Guarulhos;Alta;90
EQ00065;Termômetro;Joinville;Média;365
EQ00066;Micrômetro;Jaboticabal;Média;180
EQ00067;Termômetro;Jaboticabal;Média;90
EQ00068;Balança;Guarulhos;Alta;180
EQ00069;Balança;Jaboticabal;Média;180
EQ00070;Balança;Joinville;Média;90
EQ00071;Balança;Joinville;Média;180
EQ00072;Manômetro;Guarulhos;Média;90
EQ00073;Termômetro;Joinville;Média;90
