nao_conformidade_id;calibracao_id;tipo;criticidade;status
NC00001;  CA03367  ;Certificado incompleto;Alta;Tratada
NC00002;  CA05121  ;Fora de tolerância;Alta;Tratada
NC00003;  CA01864  ;Certificado incompleto;Baixa;Aberta
NC00004;  CA05876  ;Dano físico;Baixa;Aberta
NC00005;CA06740;Dano físico;Média;Tratada
NC00006;CA02649;Dano físico;Alta;Tratada
NC00007;CA02457;Dano físico;Alta;Em análise
NC00008;CA02799;Fora de tolerância;Média;Tratada
NC00009;CA00863;Dano físico;Alta;Aberta
NC00010;CA06433;Dano físico;Alta;Tratada
NC00011;CA03856;Fora de tolerância;Baixa;Em análise
NC00012;CA04111;Dano físico;Média;Tratada
NC00013;CA01224;Dano físico;Alta;Tratada
NC00014;CA04941;Fora de tolerância;Média;Aberta
NC00015;CA01476;Dano físico;Alta;Aberta
NC00016;CA05412;Certificado incompleto;Média;Tratada
NC00017;CA07008;Fora de tolerância;Média;Tratada
NC00018;CA04429;Dano físico;Alta;Em análise
NC00019;CA06818;Fora de tolerância;Alta;Aberta
NC00020;CA01296;Dano físico;Média;Tratada
NC00021;CA06813;Fora de tolerância;Baixa;Tratada
NC00022;CA00346;Fora de tolerância;Média;Em análise
NC00023;CA04550;Dano físico;Alta;Tratada
NC00024;CA00288;Fora de tolerância;Alta;Aberta
NC00025;CA06772;Certificado incompleto;Baixa;Aberta
NC00026;CA01446;Certificado incompleto;Baixa;Aberta
NC00027;CA05378;Certificado incompleto;Baixa;Tratada
NC00028;CA01913;Fora de tolerância;Média;Aberta
NC00029;CA05176;Certificado incompleto;Média;Em análise
NC00030;CA06013;Dano físico;Alta;Tratada
NC00031;CA04786;Certificado incompleto;Baixa;Em análise
NC00032;CA02150;Dano físico;Média;Em análise
NC00033;CA01520;Fora de tolerância;Baixa;Em análise
NC00034;CA04321;Fora de tolerância;Média;Em análise
NC00035;CA06141;Certificado incompleto;Baixa;Em análise
NC00036;CA00583;Certificado incompleto;Alta;Aberta
NC00037;CA05532;Certificado incompleto;Média;Tratada
NC00038;CA00796;Fora de tolerância;Alta;Em análise
NC00039;CA05721;Fora de tolerância;Média;Tratada
NC00040;CA01237;Certificado incompleto;Baixa;Em análise
NC00041;CA03519;Fora de tolerância;Alta;Tratada
NC00042;CA01794;Certificado incompleto;Média;Em análise
NC00043;CA02276;Certificado incompleto;Alta;Tratada
NC00044;CA05286;Certificado incompleto;Alta;Em análise
NC00045;CA05077;Dano físico;Média;Em análise
NC00046;CA00752;Certificado incompleto;Média;Tratada
NC00047;CA03423;Certificado incompleto;Média;Aberta
NC00048;CA05730;Certificado incompleto;Alta;Tratada
NC00049;CA04553;Certificado incompleto;Baixa;Em análise
NC00050;CA03365;Fora de tolerância;Baixa;Em análise
NC00051;CA00428;Dano físico;Baixa;Tratada
NC00052;CA05998;Dano físico;Baixa;Tratada
NC00053;CA03814;Dano físico;Baixa;Aberta
NC00054;CA01625;Fora de tolerância;Média;Tratada
NC00055;CA01754;Dano físico;Média;Aberta
NC00056;CA06271;Dano físico;Alta;Aberta
NC00057;CA01014;Fora de tolerância;Média;Em análise
NC00058;CA04106;Dano físico;Baixa;Tratada
NC00059;CA02843;Dano físico;Média;Tratada
NC00060;CA02843;Certificado incompleto;Média;Tratada
NC00061;CA02385;Fora de tolerância;Média;Em análise
NC00062;CA01166;Fora de tolerância;Média;Em análise
NC00063;CA01139;Certificado incompleto;Baixa;Aberta
NC00064;CA03038;Certificado incompleto;Alta;Em análise
NC00065;CA05154;Fora de tolerância;Média;Em análise
NC00066;CA01661;Certificado incompleto;Alta;Aberta
NC00067;CA06725;Fora de tolerância;Baixa;Tratada
NC00068;CA06324;Certificado incompleto;Média;Em análise
NC00069;CA06536;Fora de tolerância;Baixa;Aberta
NC00070;CA05854;Dano físico;Média;Tratada
NC00071;CA05358;Fora de tolerância;Alta;Aberta
NC00072;CA03606;Dano físico;Média;Tratada
NC00073;CA05378;Fora de tolerância;Alta;Tratada
NC00074;CA04410;Certificado incompleto;Média;Aberta
NC00075;CA06045;Dano físico;Alta;Aberta
NC00076;CA04246;Fora de tolerância;Baixa;Tratada
NC00077;CA01010;Fora de tolerância;Baixa;Aberta
NC00078;CA06254;Fora de tolerância;Alta;Tratada
NC00079;CA04766;Dano físico;Alta;Tratada
NC00080;CA00674;Certificado incompleto;Média;Tratada
NC00081;CA01843;Fora de tolerância;Baixa;Aberta
NC00082;CA03178;Dano físico;Alta;Aberta
NC00083;CA06018;Certificado incompleto;Baixa;Em análise
NC00084;CA04708;Fora de tolerância;Baixa;Tratada
NC00085;CA00678;Fora de tolerância;Alta;Em análise
NC00086;CA02378;Fora de tolerância;Média;Aberta
NC00087;CA01385;Certificado incompleto;Alta;Tratada
NC00088;CA01096;Fora de tolerância;Média;Tratada
NC00089;CA06650;Fora de tolerância;Baixa;Aberta
NC00090;CA06974;Dano físico;Alta;Aberta
NC00091;CA06214;Certificado incompleto;Baixa;Em análise
NC00092;CA01697;Certificado incompleto;Alta;Em análise
NC00093;CA04866;Certificado incompleto;Alta;Aberta
NC00094;CA01344;Dano físico;Alta;Aberta
NC00095;CA03921;Fora de tolerância;Baixa;Aberta
NC00096;CA01892;Dano físico;Alta;Em análise
NC00097;CA04059;Certificado incompleto;Alta;Aberta
NC00098;CA01244;Certificado incompleto;Média;Em análise
NC00099;CA04794;Dano físico;Alta;Aberta
NC00100;CA06229;Certificado incompleto;Alta;Em análise
NC00101;CA02089;Fora de tolerância;Média;Em análise
NC00102;CA00263;Fora de tolerância;Alta;Tratada
NC00103;CA03396;Dano físico;Média;Tratada
NC00104;CA04517;Fora de tolerância;Baixa;Aberta
NC00105;CA02789;Fora de tolerância;Alta;Em análise
NC00106;CA00189;Certificado incompleto;Média;Aberta
NC00107;CA00595;Dano físico;Média;Aberta
NC00108;CA01420;Dano físico;Alta;Em análise
NC00109;CA04724;Fora de tolerância;Baixa;Em análise
NC00110;CA03865;Dano físico;Média;Aberta
NC00111;CA06389;Dano físico;Baixa;Aberta
NC00112;CA01430;Certificado incompleto;Alta;Em análise
NC00113;CA05971;Certificado incompleto;Alta;Aberta
NC00114;CA07072;Fora de tolerância;Média;Tratada
NC00115;CA07150;Dano físico;Baixa;Tratada
NC00116;CA03488;Dano físico;Alta;Aberta
NC00117;CA05048;Dano físico;Alta;Aberta
NC00118;CA03357;Certificado incompleto;Média;Aberta
NC00119;CA04851;Fora de tolerância;Média;Aberta
NC00120;CA00559;Fora de tolerância;Baixa;Em análise
NC00121;CA00426;Certificado incompleto;Média;Aberta
NC00122;CA05907;Certificado incompleto;Média;Aberta
NC00123;CA02968;Dano físico;Média;Em análise
NC00124;CA00649;Certificado incompleto;Alta;Em análise
