medicao_id,calibracao_id,ponto,erro,tolerancia
ME00001,CA00318,25%,-0.2212,0.326
ME00002,CA06024,25%,0.22,0.47
ME00003,CA00058,25%,-0.2174,0.114
ME00004,CA03119,50%,0.2128,0.273
ME00005,CA05447,50%,0.2588,0.205
ME00006,CA05180,25%,0.1938,0.307
ME00007,CA06134,50%,0.0913,0.443
ME00008,CA01911,50%,-0.0864,0.142
ME00009,CA04638,75%,-0.0423,0.449
ME00010,CA05105,50%,0.1748,0.449
ME00011,CA06686,75%,-0.0975,0.231
ME00012,CA03958,50%,0.3365,0.49
ME00013,CA06459,50%,0.0235,0.411
ME00014,CA05889,75%,-0.0989,0.233
ME00015,CA03652,75%,-0.0017,0.292
ME00016,CA06350,50%,-0.0955,0.12
ME00017,CA04204,100%,0.2324,0.378
ME00018,CA02537,50%,-0.147,0.165
ME00019,CA03271,75%,-0.0716,0.121
ME00020,CA06121,75%,-0.2058,0.194
ME00021,CA01733,100%,0.344,0.173
ME00022,CA05082,25%,-0.0058,0.29
ME00023,CA00809,50%,0.2233,0.496
ME00024,CA02378,75%,0.1031,0.442
ME00025,CA07154,25%,0.185,0.466
ME00026,CA03120,75%,-0.0827,0.332
ME00027,CA01952,25%,-0.2458,0.296
ME00028,CA01768,25%,0.0153,0.409
ME00029,CA06616,100%,0.0581,0.458
ME00030,CA02913,75%,0.0608,0.174
ME00031,CA00363,75%,-0.16,0.369
ME00032,CA02238,25%,0.4482,0.348
ME00033,CA00504,75%,-0.1287,0.134
ME00034,CA00316,50%,0.0295,0.41
ME00035,CA06319,75%,-0.226,0.423
ME00036,CA03418,50%,-0.2152,0.47
ME00037,CA06662,100%,-0.115,0.441
ME00038,CA04984,50%,-0.0738,0.197
ME00039,CA02038,50%,-0.1757,0.158
ME00040,CA02164,50%,0.2352,0.349
ME00041,CA03274,100%,0.311,0.244
ME00042,CA02078,75%,0.1385,0.455
ME00043,CA00186,25%,0.0753,0.422
ME00044,CA05217,25%,-0.0471,0.458
ME00045,CA07083,100%,0.038,0.265
ME00046,CA04407,25%,-0.032,0.235
ME00047,CA04173,75%,0.3445,0.392
ME00048,CA01260,75%,-0.1656,0.357
ME00049,CA03284,75%,-0.4048,0.304
ME00050,CA02217,100%,0.3018,0.102
ME00051,CA04701,75%,-0.3514,0.276
ME00052,CA05839,75%,-0.0929,0.239
ME00053,CA05628,50%,0.2398,0.302
ME00054,CA00845,75%,0.0908,0.296
ME00055,CA06665,100%,-0.1953,0.302
ME00056,CA00489,50%,-0.1511,0.108
ME00057,CA05573,50%,0.0602,0.285
ME00058,CA04111,25%,0.1595,0.138
ME00059,CA04255,50%,-0.0818,0.116
ME00060,CA05585,25%,0.2651,0.392
ME00061,CA03872,100%,0.0063,0.121
ME00062,CA02815,25%,-0.1523,0.332
ME00063,CA02122,100%,-0.2384,0.363
ME00064,CA05322,100%,0.3265,0.234
ME00065,CA03271,75%,-0.0085,0.162
ME00066,CA05745,75%,-0.0134,0.279
ME00067,CA04397,50%,-0.0199,0.232
ME00068,CA02505,100%,-0.1076,0.241
ME00069,CA00551,50%,-0.0595,0.331
ME00070,CA03865,75%,-0.0628,0.388
ME00071,CA02631,25%,0.0835,0.345
ME00072,CA05178,100%,0.5438,0.477
ME00073,CA04504,75%,0.1527,0.288
ME00074,CA01107,25%,-0.2282,0.302
ME00075,CA01144,25%,0.1118,0.178
ME00076,CA02637,100%,0.18,0.307
ME00077,CA03704,75%,-0.0691,0.152
ME00078,CA03189,100%,0.1008,0.219
ME00079,CA04923,50%,-0.0081,0.259
ME00080,CA01396,25%,-0.2017,0.209
ME00081,CA05348,25%,-0.1639,0.174
ME00082,CA07195,25%,-0.0703,0.348
ME00083,CA07095,100%,0.1206,0.231
ME00084,CA04104,50%,0.0826,0.244
ME00085,CA04152,50%,0.1968,0.387
ME00086,CA04326,50%,-0.1414,0.329
ME00087,CA04334,25%,0.0691,0.443
ME00088,CA04900,75%,0.0995,0.471
ME00089,CA02929,75%,0.2939,0.432
ME00090,CA06552,100%,-0.1668,0.226
ME00091,CA05842,100%,0.054,0.391
ME00092,CA04834,75%,0.3201,0.154
ME00093,CA06884,75%,0.0466,0.353
ME00094,CA00414,50%,0.1144,0.485
ME00095,CA04927,50%,-0.0091,0.231
ME00096,CA00827,75%,0.1724,0.178
ME00097,CA06778,25%,-0.2029,0.13
ME00098,CA06394,75%,0.0585,0.119
ME00099,CA02479,50%,-0.0117,0.351
ME00100,CA04084,50%,-0.0775,0.183
ME00101,CA03007,50%,0.0514,0.392
ME00102,CA05796,50%,-0.0343,0.113
ME00103,CA03919,75%,-0.1049,0.259
ME00104,CA00988,50%,0.3546,0.359
ME00105,CA04534,100%,0.0159,0.285
ME00106,CA03465,75%,-0.0227,0.144
ME00107,CA03940,75%,-0.2101,0.412
ME00108,CA06379,50%,0.1253,0.112
ME00109,CA06712,50%,-0.1825,0.266
ME00110,CA06924,50%,-0.3343,0.182
ME00111,CA00551,50%,-0.2044,0.398
ME00112,CA03420,100%,-0.0105,0.166
ME00113,CA06488,50%,-0.0002,0.422
ME00114,CA00109,25%,0.1087,0.222
ME00115,CA05795,50%,-0.1223,0.291
ME00116,CA03656,50%,-0.0173,0.221
ME00117,CA04675,100%,-0.12,0.174
ME00118,CA05899,25%,0.2502,0.251
ME00119,CA06618,50%,0.2089,0.299
ME00120,CA06071,50%,-0.0966,0.33
ME00121,CA06044,50%,-0.397,0.221
ME00122,CA02430,75%,0.0198,0.438
ME00123,CA01623,75%,0.2532,0.186
ME00124,CA04234,50%,-0.0099,0.451
ME00125,CA00128,50%,-0.083,0.362
ME00126,CA06983,100%,0.0971,0.237
ME00127,CA03436,100%,-0.1268,0.417
ME00128,CA02265,25%,0.0035,0.487
ME00129,CA01573,25%,0.2191,0.481
ME00130,CA06350,75%,0.0445,0.153
ME00131,CA02653,100%,0.0792,0.176
ME00132,CA01493,25%,-0.0746,0.45
ME00133,CA01101,75%,0.0741,0.362
ME00134,CA00651,75%,-0.125,0.116
ME00135,CA03254,25%,-0.0634,0.217
ME00136,CA05370,75%,-0.1055,0.437
ME00137,CA02020,75%,0.0315,0.421
ME00138,CA00815,25%,0.2311,0.273
ME00139,CA00810,50%,-0.1562,0.473
ME00140,CA04920,25%,0.2282,0.24
ME00141,CA04372,75%,-0.0243,0.206
ME00142,CA04216,75%,-0.1715,0.378
ME00143,CA05789,75%,-0.0518,0.219
ME00144,CA05670,50%,0.0906,0.49
ME00145,CA04054,50%,0.1328,0.137
ME00146,CA05443,25%,-0.0632,0.32
ME00147,CA00977,25%,-0.1531,0.346
ME00148,CA06196,75%,0.0082,0.214
ME00149,CA03363,75%,-0.1281,0.243
ME00150,CA06125,75%,0.0503,0.426
ME00151,CA01997,100%,0.0041,0.101
ME00152,CA01508,75%,-0.11,0.26
ME00153,CA05375,25%,-0.241,0.427
ME00154,CA02591,100%,0.0468,0.231
ME00155,CA05218,100%,0.0429,0.464
ME00156,CA06992,25%,0.0641,0.187
ME00157,CA06634,25%,0.1803,0.224
ME00158,CA01354,50%,0.1075,0.197
ME00159,CA04656,50%,-0.1472,0.19
ME00160,CA04067,50%,-0.0475,0.498
ME00161,CA01054,50%,-0.1762,0.108
ME00162,CA05970,50%,-0.2457,0.166
ME00163,CA05647,50%,0.0057,0.167
ME00164,CA00850,100%,-0.4046,0.216
ME00165,CA01134,75%,-0.0026,0.356
ME00166,CA01940,25%,0.0764,0.29
ME00167,CA00653,25%,-0.2241,0.394
ME00168,CA05232,100%,-0.3051,0.249
ME00169,CA00192,100%,-0.0585,0.385
ME00170,CA03338,25%,0.2896,0.393
ME00171,CA01557,50%,0.004,0.272
ME00172,CA02358,75%,0.049,0.259
ME00173,CA00794,25%,0.0614,0.477
ME00174,CA04913,25%,-0.0151,0.182
ME00175,CA06103,50%,0.0538,0.36
ME00176,CA03724,100%,-0.0414,0.342
ME00177,CA02633,100%,-0.0519,0.495
ME00178,CA05791,75%,-0.1543,0.38
ME00179,CA00745,75%,-0.0641,0.422
ME00180,CA02648,75%,0.0379,0.297
ME00181,CA01514,75%,0.0114,0.207
ME00182,CA04678,100%,0.3433,0.128
ME00183,CA04649,25%,-0.2092,0.117
ME00184,CA07113,100%,-0.146,0.469
ME00185,CA05508,50%,0.0752,0.499
ME00186,CA03781,100%,-0.3551,0.294
ME00187,CA03335,25%,-0.0314,0.405
ME00188,CA01319,50%,0.0969,0.335
ME00189,CA03223,50%,0.0569,0.493
ME00190,CA00993,100%,-0.1987,0.278
ME00191,CA04607,100%,0.2374,0.413
ME00192,CA00371,25%,-0.0745,0.327
ME00193,CA07089,100%,-0.0442,0.115
ME00194,CA03006,50%,0.07,0.361
ME00195,CA03981,75%,0.064,0.323
ME00196,CA03072,100%,-0.0243,0.337
ME00197,CA05988,75%,-0.0535,0.374
ME00198,CA04152,100%,-0.082,0.329
