tabela,campo,tipo,obrigatorio,chave_primaria,valor_padrao
calibracoes,calibracao_id,TEXT,nao,nao,
calibracoes,equipamento_id,TEXT,nao,nao,
calibracoes,laboratorio_id,TEXT,nao,nao,
calibracoes,data_programada,TEXT,nao,nao,
calibracoes,data_realizada,TEXT,nao,nao,
calibracoes,custo,REAL,nao,nao,
calibracoes,resultado,TEXT,nao,nao,
equipamentos,equipamento_id,TEXT,nao,nao,
equipamentos,tipo,TEXT,nao,nao,
equipamentos,unidade,TEXT,nao,nao,
equipamentos,criticidade,TEXT,nao,nao,
equipamentos,periodicidade_dias,INTEGER,nao,nao,
laboratorios,laboratorio_id,TEXT,nao,nao,
laboratorios,laboratorio,TEXT,nao,nao,
laboratorios,acreditado,TEXT,nao,nao,
laboratorios,lead_time_dias,INTEGER,nao,nao,
medicoes,medicao_id,TEXT,nao,nao,
medicoes,calibracao_id,TEXT,nao,nao,
medicoes,ponto,TEXT,nao,nao,
medicoes,erro,REAL,nao,nao,
medicoes,tolerancia,REAL,nao,nao,
nao_conformidades,nao_conformidade_id,TEXT,nao,nao,
nao_conformidades,calibracao_id,TEXT,nao,nao,
nao_conformidades,tipo,TEXT,nao,nao,
nao_conformidades,criticidade,TEXT,nao,nao,
nao_conformidades,status,TEXT,nao,nao,
