documento_id;terceiro_id;tipo;validade;status
DO00001;  TE00427  ;NR-10;2026-03-27 00:00:00;Válido
DO00002;  TE02240  ;NR-35;2025-07-28 00:00:00;Válido
DO00003;  TE03200  ;Seguro;2024-12-09 00:00:00;Pendente
DO00004;  TE02653  ;NR-35;2026-01-26 00:00:00;Vencido
DO00005;TE02530;ASO;2026-05-04 00:00:00;Válido
DO00006;TE02172;NR-10;2024-05-30 00:00:00;Vencido
DO00007;TE02253;Integração;2026-04-25 00:00:00;Válido
DO00008;TE00481;Integração;2024-09-30 00:00:00;Válido
DO00009;TE01660;Integração;2025-11-03 00:00:00;Pendente
DO00010;TE02687;Seguro;2024-05-11 00:00:00;Vencido
DO00011;TE00405;Integração;2025-08-16 00:00:00;Válido
DO00012;TE01629;Seguro;2024-06-01 00:00:00;Válido
DO00013;TE01697;Integração;2024-08-14 00:00:00;Válido
DO00014;TE01973;Seguro;2024-08-01 00:00:00;Vencido
DO00015;TE01633;Seguro;2025-12-20 00:00:00;Válido
DO00016;TE02998;Integração;2025-09-06 00:00:00;Vencido
DO00017;TE02138;NR-35;2024-01-29 00:00:00;Válido
DO00018;TE02552;ASO;2025-12-01 00:00:00;Válido
DO00019;TE02764;NR-35;2026-04-30 00:00:00;Válido
DO00020;TE00470;ASO;2024-06-14 00:00:00;Pendente
DO00021;TE02630;Integração;2025-10-18 00:00:00;Válido
DO00022;TE00256;ASO;2026-04-11 00:00:00;Válido
DO00023;TE02958;ASO;2025-12-31 00:00:00;Pendente
DO00024;TE00058;ASO;2026-05-22 00:00:00;Válido
DO00025;TE00405;NR-10;2025-08-22 00:00:00;Válido
DO00026;TE00601;Seguro;2026-05-05 00:00:00;Válido
DO00027;TE01189;Integração;2026-04-29 00:00:00;Pendente
DO00028;TE03111;NR-10;2026-02-18 00:00:00;Válido
DO00029;TE00038;Integração;2024-10-19 00:00:00;Vencido
DO00030;TE01619;Seguro;2025-07-11 00:00:00;Válido
DO00031;TE01833;NR-35;2025-11-09 00:00:00;Válido
DO00032;TE01278;NR-35;2025-11-18 00:00:00;Válido
DO00033;TE02904;Integração;2025-07-26 00:00:00;Válido
DO00034;TE00438;NR-10;2025-06-04 00:00:00;Válido
DO00035;TE02981;Seguro;2025-12-25 00:00:00;Válido
DO00036;TE02451;ASO;2025-05-28 00:00:00;Válido
DO00037;TE03131;Integração;2024-01-22 00:00:00;Válido
DO00038;TE00475;NR-10;2025-01-04 00:00:00;Válido
DO00039;TE00841;ASO;2025-09-23 00:00:00;Pendente
DO00040;TE00831;Seguro;2025-07-12 00:00:00;Válido
DO00041;TE01691;Integração;2026-02-03 00:00:00;Válido
DO00042;TE02944;NR-35;2025-02-15 00:00:00;Válido
DO00043;TE00866;NR-10;2025-01-13 00:00:00;Válido
DO00044;TE01851;Seguro;2026-04-12 00:00:00;Válido
DO00045;TE00299;NR-35;2024-03-12 00:00:00;Válido
DO00046;TE02818;Seguro;2024-11-28 00:00:00;Pendente
DO00047;TE03007;NR-10;2024-10-17 00:00:00;Válido
DO00048;TE01330;NR-10;2024-07-06 00:00:00;Válido
DO00049;TE00604;Integração;2025-12-15 00:00:00;Válido
DO00050;TE01302;Seguro;2024-10-30 00:00:00;Vencido
DO00051;TE03178;NR-10;2025-12-26 00:00:00;Válido
DO00052;TE02297;NR-10;2024-11-20 00:00:00;Válido
DO00053;TE01895;ASO;2026-05-17 00:00:00;Válido
DO00054;TE00855;Seguro;2024-03-11 00:00:00;Válido
DO00055;TE02351;Seguro;2024-12-28 00:00:00;Válido
DO00056;TE02826;Seguro;2024-01-22 00:00:00;Válido
DO00057;TE02616;Integração;2025-01-28 00:00:00;Válido
DO00058;TE01629;Seguro;2024-08-28 00:00:00;Válido
DO00059;TE00561;Seguro;2025-12-01 00:00:00;Válido
DO00060;TE01276;NR-35;2025-09-11 00:00:00;Pendente
DO00061;TE00017;NR-10;2026-01-25 00:00:00;Vencido
DO00062;TE00634;ASO;2026-06-09 00:00:00;Válido
DO00063;TE03125;ASO;2026-03-29 00:00:00;Válido
DO00064;TE01880;Seguro;2024-12-10 00:00:00;Válido
DO00065;TE02803;Seguro;2024-07-10 00:00:00;Válido
DO00066;TE00703;NR-10;2024-05-18 00:00:00;Válido
DO00067;TE02083;Integração;2024-06-22 00:00:00;Válido
DO00068;TE00915;NR-35;2024-05-30 00:00:00;Pendente
DO00069;TE00857;NR-10;2024-11-16 00:00:00;Válido
DO00070;TE02935;NR-35;2025-07-03 00:00:00;Válido
DO00071;TE02739;ASO;2025-05-19 00:00:00;Válido
DO00072;TE00217;Seguro;2024-06-19 00:00:00;Válido
DO00073;TE00020;Integração;2025-10-07 00:00:00;Válido
DO00074;TE02487;NR-10;2026-01-18 00:00:00;Válido
DO00075;TE01734;NR-35;2025-12-10 00:00:00;Válido
DO00076;TE01654;NR-10;2024-10-16 00:00:00;Vencido
DO00077;TE02986;NR-35;2024-02-01 00:00:00;Válido
DO00078;TE01823;Integração;2024-09-09 00:00:00;Válido
DO00079;TE00902;NR-10;2026-03-16 00:00:00;Válido
DO00080;TE01405;Seguro;2025-11-20 00:00:00;Vencido
DO00081;TE01344;Seguro;2025-11-09 00:00:00;Válido
DO00082;TE02680;Seguro;2026-05-25 00:00:00;Pendente
DO00083;TE01057;NR-10;2025-07-12 00:00:00;Válido
DO00084;TE00781;Integração;2024-03-20 00:00:00;Válido
DO00085;TE02291;Integração;2024-01-20 00:00:00;Vencido
DO00086;TE00870;NR-10;2024-03-19 00:00:00;Válido
DO00087;TE00798;ASO;2025-08-24 00:00:00;Válido
DO00088;TE02038;NR-35;2024-04-14 00:00:00;Pendente
DO00089;TE02504;ASO;2024-01-16 00:00:00;Pendente
DO00090;TE00186;Seguro;2026-03-30 00:00:00;Válido
DO00091;TE01636;Seguro;2026-02-03 00:00:00;Válido
DO00092;TE00564;ASO;2025-02-03 00:00:00;Válido
DO00093;TE03192;NR-10;2026-01-30 00:00:00;Pendente
DO00094;TE01496;Integração;2024-03-10 00:00:00;Pendente
DO00095;TE01564;Integração;2024-10-02 00:00:00;Válido
DO00096;TE00829;NR-35;2025-04-20 00:00:00;Pendente
DO00097;TE01966;ASO;2026-03-07 00:00:00;Válido
DO00098;TE00154;ASO;2024-05-14 00:00:00;Válido
