acesso_id,visita_id,data_hora,ponto,evento
AC00001,VI07040,2025-01-10,Laboratório,Saída
AC00002,VI07037,2025-05-07,Laboratório,Saída
AC00003,VI04272,2024-07-12,Portaria,Saída
AC00004,VI06510,2024-03-16,Produção,Entrada
AC00005,VI04017,2024-03-25,Almoxarifado,Negado
AC00006,VI02435,2025-07-04,Almoxarifado,Entrada
AC00007,VI06453,2026-05-12,Produção,Saída
AC00008,VI05837,2024-07-18,Almoxarifado,Saída
AC00009,VI07194,2024-07-31,Produção,Entrada
AC00010,VI02851,2026-05-31,Produção,Saída
AC00011,VI01746,2025-03-13,Almoxarifado,Entrada
AC00012,VI07971,2025-10-06,Almoxarifado,Entrada
AC00013,VI08633,2024-09-20,Laboratório,Saída
AC00014,VI00199,2026-03-09,Almoxarifado,Saída
AC00015,VI04889,2025-06-12,Produção,Entrada
AC00016,VI06728,2025-11-30,Portaria,Entrada
AC00017,VI07766,2024-11-15,Almoxarifado,Entrada
AC00018,VI03072,2024-07-12,Almoxarifado,Saída
AC00019,VI08396,2024-10-11,Almoxarifado,Saída
AC00020,VI01254,2025-01-25,Almoxarifado,Entrada
AC00021,VI05381,2025-04-29,Almoxarifado,Entrada
AC00022,VI05244,2025-12-02,Almoxarifado,Saída
AC00023,VI06283,2024-06-14,Almoxarifado,Entrada
AC00024,VI03145,2026-03-18,Portaria,Entrada
AC00025,VI01800,2025-11-25,Portaria,Saída
AC00026,VI08737,2024-01-20,Laboratório,Saída
AC00027,VI08259,2026-01-09,Produção,Saída
AC00028,VI01047,2026-04-07,Almoxarifado,Negado
AC00029,VI07013,2025-03-04,Laboratório,Saída
AC00030,VI08598,2024-06-15,Portaria,Entrada
AC00031,VI08182,2024-07-26,Almoxarifado,Negado
AC00032,VI01025,2024-07-14,Portaria,Entrada
AC00033,VI08726,2026-04-05,Produção,Saída
AC00034,VI00065,2025-03-11,Portaria,Entrada
AC00035,VI07217,2024-12-03,Produção,Entrada
AC00036,VI07289,2024-03-26,Almoxarifado,Saída
AC00037,VI07242,2024-11-01,Almoxarifado,Saída
